日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-4-1,09:35,78.400,79.460,78.400,78.920,8167128.0,103500
2024-4-1,09:40,78.850,79.520,78.710,79.390,12941057.0,163600
2024-4-1,09:45,79.570,80.770,79.570,80.440,6832414.0,85300
2024-4-1,09:50,80.490,80.820,80.410,80.760,7904111.0,98000
2024-4-1,09:55,80.730,81.710,80.600,81.100,8155888.0,100500
2024-4-1,10:00,81.090,81.090,80.300,80.500,2978221.0,36900
2024-4-1,10:05,80.500,80.570,80.250,80.450,3345371.0,41600
2024-4-1,10:10,80.580,80.800,80.390,80.420,1755725.0,21800
2024-4-1,10:15,80.420,80.420,79.550,80.180,7200912.0,90000
2024-4-1,10:20,80.180,80.340,80.050,80.280,794186.0,9900
2024-4-1,10:25,80.170,80.780,80.170,80.710,2013278.0,25000
2024-4-1,10:30,80.710,82.310,80.710,82.280,10507220.0,128900
2024-4-1,10:35,82.270,82.270,81.010,81.310,5886655.0,72300
2024-4-1,10:40,81.200,81.430,81.010,81.290,2685221.0,33100
2024-4-1,10:45,81.290,81.700,81.290,81.630,1607852.0,19700
2024-4-1,10:50,81.470,81.470,81.160,81.170,1560401.0,19200
2024-4-1,10:55,81.200,81.350,81.070,81.070,1355638.0,16700
2024-4-1,11:00,81.070,81.350,81.010,81.350,901287.0,11100
2024-4-1,11:05,81.120,81.770,81.120,81.760,1459101.0,17900
2024-4-1,11:10,81.750,81.860,81.470,81.860,890473.0,10900
2024-4-1,11:15,81.860,81.880,81.760,81.800,936947.0,11400
2024-4-1,11:20,81.750,81.880,81.280,81.880,1706398.0,20900
2024-4-1,11:25,81.860,81.880,81.690,81.810,793745.0,9700
2024-4-1,11:30,81.760,81.830,81.460,81.460,1143573.0,14000
2024-4-1,13:05,81.460,81.800,81.460,81.700,751411.0,9200
2024-4-1,13:10,81.760,81.780,81.370,81.410,856518.0,10500
2024-4-1,13:15,81.370,81.500,81.160,81.300,2609875.0,32100
2024-4-1,13:20,81.300,81.300,80.740,80.770,1230361.0,15200
2024-4-1,13:25,80.760,81.440,80.700,81.360,3847699.0,47600
2024-4-1,13:30,81.360,81.400,81.290,81.390,1147574.0,14100
2024-4-1,13:35,81.400,81.440,81.290,81.370,1017222.0,12500
2024-4-1,13:40,81.370,81.440,81.320,81.380,520862.0,6400
2024-4-1,13:45,81.440,81.440,81.210,81.360,699526.0,8600
2024-4-1,13:50,81.350,81.380,81.160,81.370,787707.0,9700
2024-4-1,13:55,81.250,81.730,81.250,81.680,1638219.0,20100
2024-4-1,14:00,81.520,81.890,81.520,81.890,1022455.0,12500
2024-4-1,14:05,81.890,82.200,81.820,82.180,3841778.0,46900
2024-4-1,14:10,82.180,82.700,82.100,82.300,4429334.5,53700
2024-4-1,14:15,82.310,82.340,82.230,82.300,839405.875,10200
2024-4-1,14:20,82.150,82.350,82.140,82.340,1221219.25,14800
2024-4-1,14:25,82.340,82.420,82.240,82.260,1662798.0,20200
2024-4-1,14:30,82.260,82.260,81.800,82.020,2918339.25,35600
2024-4-1,14:35,82.040,82.280,81.900,82.220,2232296.0,27200
2024-4-1,14:40,82.220,82.480,82.220,82.470,2218372.25,26900
2024-4-1,14:45,82.320,82.900,82.240,82.900,8396659.0,101700
2024-4-1,14:50,82.880,83.080,82.880,83.010,6219749.5,74900
2024-4-1,14:55,82.900,83.000,82.720,83.000,3462800.5,41800
2024-4-1,15:00,83.000,83.010,82.730,82.770,3072710.0,37100
2024-4-2,09:35,82.560,83.580,81.900,82.020,14252463.0,172200
2024-4-2,09:40,82.020,82.020,81.100,81.530,5484666.0,67200
2024-4-2,09:45,81.530,81.880,81.200,81.560,4448732.0,54600
2024-4-2,09:50,81.610,82.210,81.440,81.780,3141849.5,38300
2024-4-2,09:55,81.790,81.790,80.880,80.900,5163060.0,63500
2024-4-2,10:00,80.860,81.090,80.860,81.000,4582438.0,56600
2024-4-2,10:05,80.980,81.040,80.510,80.600,6297150.0,78000
2024-4-2,10:10,80.600,80.800,80.450,80.450,3231475.0,40100
2024-4-2,10:15,80.310,80.430,80.080,80.430,5095467.0,63500
2024-4-2,10:20,80.430,80.560,80.270,80.480,3754916.0,46700
2024-4-2,10:25,80.400,80.800,80.390,80.800,2345342.0,29100
2024-4-2,10:30,80.800,80.800,80.320,80.320,1980547.0,24600
2024-4-2,10:35,80.330,80.340,80.120,80.300,2992667.0,37300
2024-4-2,10:40,80.300,80.430,80.170,80.400,1830015.0,22800
2024-4-2,10:45,80.350,80.350,80.140,80.140,1588269.0,19800
2024-4-2,10:50,80.240,80.300,79.850,79.940,5699539.0,71200
2024-4-2,10:55,79.950,80.010,79.800,79.960,2946448.0,36900
2024-4-2,11:00,80.000,80.000,79.800,79.960,2109592.0,26400
2024-4-2,11:05,79.940,80.100,79.790,79.900,2317164.0,29000
2024-4-2,11:10,79.870,79.910,79.600,79.650,2733672.0,34300
2024-4-2,11:15,79.680,79.810,79.330,79.330,2888623.0,36300
2024-4-2,11:20,79.330,79.660,79.310,79.430,2772284.0,34900
2024-4-2,11:25,79.470,79.540,79.430,79.440,1669446.0,21000
2024-4-2,11:30,79.420,79.420,78.900,78.970,3043134.75,38500
2024-4-2,13:05,79.000,79.300,78.550,79.000,6622186.0,84000
2024-4-2,13:10,79.000,79.020,78.680,78.880,3448205.0,43700
2024-4-2,13:15,78.970,79.230,78.760,79.230,3505527.0,44400
2024-4-2,13:20,79.390,79.500,78.700,78.700,3057196.0,38700
2024-4-2,13:25,78.710,79.000,78.690,78.900,1662493.0,21100
2024-4-2,13:30,78.900,79.300,78.900,79.240,2808256.0,35500
2024-4-2,13:35,79.300,79.580,79.030,79.040,1276912.0,16100
2024-4-2,13:40,79.080,79.300,79.050,79.280,1180352.0,14900
2024-4-2,13:45,79.180,79.180,78.800,78.800,1359255.0,17200
2024-4-2,13:50,78.800,78.880,78.700,78.720,1700951.0,21600
2024-4-2,13:55,78.720,78.820,78.700,78.720,1370047.0,17400
2024-4-2,14:00,78.790,78.990,78.740,78.810,1545486.0,19600
2024-4-2,14:05,78.740,78.840,78.740,78.830,2143135.0,27200
2024-4-2,14:10,78.820,78.820,78.730,78.740,1559494.0,19800
2024-4-2,14:15,78.750,78.770,78.640,78.640,2699143.0,34300
2024-4-2,14:20,78.640,79.100,78.310,78.880,5678129.0,72300
2024-4-2,14:25,78.880,78.880,78.730,78.790,1379176.0,17500
2024-4-2,14:30,78.780,79.430,78.730,79.070,3229604.0,40900
2024-4-2,14:35,79.180,79.470,79.040,79.230,1839549.0,23200
2024-4-2,14:40,79.230,79.470,79.210,79.400,1839278.0,23200
2024-4-2,14:45,79.220,79.660,79.220,79.630,2152839.0,27100
2024-4-2,14:50,79.610,79.800,79.480,79.800,3855442.0,48400
2024-4-2,14:55,79.800,79.990,79.660,79.950,6230486.0,78000
2024-4-2,15:00,79.990,79.990,79.690,79.710,1943125.5,24300
2024-4-3,09:35,79.710,80.580,79.250,80.580,6883751.0,86000
2024-4-3,09:40,80.470,81.300,80.360,80.360,6028432.0,74500
2024-4-3,09:45,80.270,80.860,80.100,80.860,3323972.0,41300
2024-4-3,09:50,80.860,81.250,80.540,80.900,5445843.0,67300
2024-4-3,09:55,80.940,80.940,80.240,80.550,3865820.0,47900
2024-4-3,10:00,80.550,80.550,79.880,80.100,1337474.0,16700
2024-4-3,10:05,80.020,80.340,79.800,80.220,2105116.0,26300
2024-4-3,10:10,80.120,80.340,79.990,80.250,1802041.0,22500
2024-4-3,10:15,80.170,80.170,79.800,79.800,1559240.0,19500
2024-4-3,10:20,79.780,79.780,79.420,79.420,2768763.0,34800
2024-4-3,10:25,79.400,79.400,78.920,79.230,2840954.0,35900
2024-4-3,10:30,79.180,79.530,79.170,79.510,770019.0,9700
2024-4-3,10:35,79.610,79.900,79.390,79.770,2607250.0,32700
2024-4-3,10:40,79.660,79.990,79.660,79.860,954207.0,12000
2024-4-3,10:45,79.860,80.100,79.720,79.900,1518984.5,19000
2024-4-3,10:50,79.920,80.100,79.900,79.900,1023316.0,12800
2024-4-3,10:55,79.900,80.530,79.860,80.390,2602008.0,32500
2024-4-3,11:00,80.390,80.560,80.000,80.030,1260301.0,15700
2024-4-3,11:05,80.020,80.060,79.750,79.960,1222609.0,15300
2024-4-3,11:10,79.960,80.400,79.900,79.960,656422.0,8200
2024-4-3,11:15,79.990,80.200,79.970,80.050,456256.0,5700
2024-4-3,11:20,80.060,80.060,79.930,79.930,535934.0,6700
2024-4-3,11:25,79.910,79.960,79.850,79.880,399545.0,5000
2024-4-3,11:30,79.870,79.940,79.860,79.870,420204.46875,5200
2024-4-3,13:05,79.950,80.150,79.870,80.150,1596470.0,20000
2024-4-3,13:10,80.150,80.300,79.950,80.140,1602477.5,20000
