日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-4-1,09:35,17.640,18.100,17.590,18.000,8693616.0,484400
2024-4-1,09:40,17.990,18.010,17.880,17.980,2834834.0,158000
2024-4-1,09:45,17.980,18.050,17.920,17.990,3246787.0,180500
2024-4-1,09:50,18.000,18.000,17.930,17.940,880424.0,49000
2024-4-1,09:55,17.940,18.000,17.940,17.990,988554.0,55000
2024-4-1,10:00,18.000,18.020,17.980,18.010,1679294.0,93300
2024-4-1,10:05,18.000,18.020,17.990,18.000,982910.0,54600
2024-4-1,10:10,18.010,18.040,17.990,18.040,1831994.0,101700
2024-4-1,10:15,18.040,18.170,18.040,18.170,1820817.0,100600
2024-4-1,10:20,18.180,18.190,18.100,18.100,1489976.0,82100
2024-4-1,10:25,18.100,18.140,18.100,18.120,558357.0,30800
2024-4-1,10:30,18.130,18.260,18.130,18.210,1862575.0,102300
2024-4-1,10:35,18.210,18.260,18.210,18.240,923252.0,50600
2024-4-1,10:40,18.220,18.230,18.160,18.230,1056540.0,58000
2024-4-1,10:45,18.250,18.420,18.230,18.300,3051837.0,166600
2024-4-1,10:50,18.360,18.360,18.210,18.300,986305.0,54000
2024-4-1,10:55,18.300,18.310,18.220,18.290,1079481.5,59100
2024-4-1,11:00,18.280,18.300,18.250,18.270,321608.0,17600
2024-4-1,11:05,18.260,18.280,18.240,18.240,623640.0,34100
2024-4-1,11:10,18.260,18.260,18.220,18.220,302855.0,16600
2024-4-1,11:15,18.220,18.220,18.190,18.200,282140.0,15500
2024-4-1,11:20,18.190,18.190,18.150,18.180,979124.0,53900
2024-4-1,11:25,18.200,18.230,18.170,18.220,174851.0,9600
2024-4-1,11:30,18.220,18.220,18.170,18.190,63708.0,3500
2024-4-1,13:05,18.170,18.200,18.160,18.160,354448.0,19500
2024-4-1,13:10,18.160,18.160,18.110,18.120,273813.0,15100
2024-4-1,13:15,18.120,18.150,18.100,18.150,320622.0,17700
2024-4-1,13:20,18.130,18.130,18.030,18.030,597175.0,33000
2024-4-1,13:25,18.020,18.060,18.000,18.060,578602.0,32100
