日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-9-30,09:35,53.000,53.220,50.120,53.080,34850232.0,664700
2024-9-30,09:40,53.170,53.300,51.510,51.510,26338736.0,498800
2024-9-30,09:45,51.820,52.160,51.210,51.960,12494886.0,242000
2024-9-30,09:50,52.020,52.020,50.790,51.170,10847251.0,211100
2024-9-30,09:55,51.200,52.120,50.670,52.120,17247634.0,336500
2024-9-30,10:00,52.270,52.510,52.050,52.250,14959080.0,285900
2024-9-30,10:05,52.250,52.980,52.120,52.700,10123165.0,192600
2024-9-30,10:10,52.680,52.980,52.650,52.690,9773014.0,185100
2024-9-30,10:15,52.670,52.790,52.440,52.650,6818940.0,129600
2024-9-30,10:20,52.570,52.660,52.200,52.660,6857706.0,130800
2024-9-30,10:25,52.660,53.400,52.660,53.340,11698212.0,220200
2024-9-30,10:30,53.320,53.680,53.280,53.660,9225792.0,172400
2024-9-30,10:35,53.680,53.690,53.220,53.440,7400685.0,138400
2024-9-30,10:40,53.440,54.190,53.220,54.060,8015302.0,149300
2024-9-30,10:45,54.080,54.760,53.900,54.240,11826825.0,217500
2024-9-30,10:50,54.160,54.700,53.750,54.660,5648231.0,103900
2024-9-30,10:55,54.640,55.550,54.640,55.210,13690194.0,248700
2024-9-30,11:00,55.080,55.600,55.020,55.020,7140519.0,129000
2024-9-30,11:05,55.030,55.400,54.060,54.060,7935080.0,144500
2024-9-30,11:10,54.060,54.550,53.800,54.530,6733547.0,124000
2024-9-30,11:15,54.540,55.020,54.500,55.000,3151591.0,57600
2024-9-30,11:20,55.000,55.570,54.900,55.510,4902126.0,88800
2024-9-30,11:25,55.560,56.080,55.340,55.880,8666533.0,155200
2024-9-30,11:30,55.880,55.990,55.400,55.990,4133291.0,74300
2024-9-30,13:05,55.980,57.770,55.980,57.630,14986919.0,263500
2024-9-30,13:10,57.630,57.700,56.770,56.770,7767429.0,134900
2024-9-30,13:15,56.750,57.290,56.140,56.200,6649945.0,116800
2024-9-30,13:20,56.450,56.730,56.200,56.290,5680520.0,100700
2024-9-30,13:25,56.290,56.440,56.070,56.100,4119584.0,73100
2024-9-30,13:30,56.100,56.900,56.100,56.900,9250754.0,163800
2024-9-30,13:35,56.890,56.910,56.300,56.540,6411321.0,113300
2024-9-30,13:40,56.530,56.860,56.290,56.860,5579280.0,98700
2024-9-30,13:45,56.860,56.970,56.560,56.970,4225938.0,74300
2024-9-30,13:50,56.970,57.000,56.550,56.950,3188998.0,56100
2024-9-30,13:55,56.970,56.980,56.360,56.860,4281552.0,75500
2024-9-30,14:00,56.860,56.860,56.250,56.790,5469849.0,96700
