日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-12-31,09:35,32.990,33.120,32.800,33.000,2925993.0,88800
2024-12-31,09:40,33.060,33.080,32.840,32.940,2007718.0,61000
2024-12-31,09:45,32.960,33.080,32.900,33.010,1632538.0,49500
2024-12-31,09:50,32.990,33.270,32.970,33.270,3159763.0,95300
2024-12-31,09:55,33.310,33.590,33.290,33.530,8008374.0,239200
2024-12-31,10:00,33.510,33.510,33.020,33.130,2266480.0,68200
2024-12-31,10:05,33.110,33.180,33.040,33.080,1391546.0,42000
2024-12-31,10:10,33.090,33.210,33.030,33.200,1333341.0,40300
2024-12-31,10:15,33.200,33.200,33.000,33.020,1351192.0,40800
2024-12-31,10:20,33.080,33.080,32.970,32.970,1238507.0,37500
2024-12-31,10:25,32.960,33.030,32.910,32.910,968960.0,29400
2024-12-31,10:30,32.920,33.040,32.920,33.030,682580.0,20700
2024-12-31,10:35,33.030,33.090,32.980,32.980,875406.0,26500
2024-12-31,10:40,32.990,33.030,32.950,32.990,481507.0,14600
2024-12-31,10:45,32.990,33.060,32.960,32.980,389371.0,11800
2024-12-31,10:50,33.000,33.000,32.900,32.930,665410.0,20200
2024-12-31,10:55,32.930,32.950,32.860,32.870,552830.0,16800
2024-12-31,11:00,32.850,32.850,32.740,32.740,924708.0,28200
2024-12-31,11:05,32.760,32.780,32.680,32.770,1197382.0,36600
2024-12-31,11:10,32.740,32.740,32.600,32.600,1932975.0,59100
2024-12-31,11:15,32.570,32.750,32.550,32.730,1090021.0,33400
2024-12-31,11:20,32.730,32.820,32.560,32.560,1088359.0,33300
2024-12-31,11:25,32.660,32.720,32.560,32.670,666032.0,20400
2024-12-31,11:30,32.690,32.720,32.600,32.600,516016.0,15800
2024-12-31,13:05,32.640,32.900,32.640,32.860,1915777.0,58400
2024-12-31,13:10,32.850,32.850,32.710,32.710,452348.0,13800
2024-12-31,13:15,32.720,32.750,32.660,32.690,343471.0,10500
2024-12-31,13:20,32.680,32.810,32.680,32.680,1079735.0,33000
2024-12-31,13:25,32.690,32.710,32.680,32.680,398818.0,12200
2024-12-31,13:30,32.700,32.700,32.650,32.680,486876.0,14900
2024-12-31,13:35,32.660,32.700,32.580,32.630,743996.0,22800
2024-12-31,13:40,32.630,32.670,32.610,32.610,574200.0,17600
2024-12-31,13:45,32.610,32.650,32.580,32.610,397880.0,12200
2024-12-31,13:50,32.610,32.690,32.580,32.670,1275175.0,39100
2024-12-31,13:55,32.700,32.710,32.630,32.660,421309.0,12900
2024-12-31,14:00,32.670,32.700,32.630,32.680,656210.0,20100
2024-12-31,14:05,32.660,32.660,32.550,32.610,1115250.0,34200
2024-12-31,14:10,32.620,32.620,32.440,32.510,2425531.0,74600
2024-12-31,14:15,32.530,32.530,32.400,32.420,1236332.0,38100
2024-12-31,14:20,32.450,32.520,32.450,32.490,568535.0,17500
2024-12-31,14:25,32.480,32.520,32.480,32.480,688819.0,21200
2024-12-31,14:30,32.470,32.510,32.360,32.400,1021307.0,31500
2024-12-31,14:35,32.370,32.540,32.360,32.480,1279004.0,39400
2024-12-31,14:40,32.480,32.600,32.460,32.560,884902.0,27200
2024-12-31,14:45,32.530,32.660,32.520,32.650,706770.0,21700
2024-12-31,14:50,32.620,32.640,32.430,32.430,2183994.0,67200
2024-12-31,14:55,32.410,32.460,32.000,32.320,4143679.0,128400
2024-12-31,15:00,32.320,32.370,32.000,32.260,3472202.0,107700
2025-1-2,09:35,33.100,33.980,33.100,33.620,19483424.0,580300
2025-1-2,09:40,33.690,33.730,33.200,33.680,7926556.0,236800
2025-1-2,09:45,33.670,33.720,33.500,33.500,5300423.0,157600
2025-1-2,09:50,33.510,33.660,33.400,33.520,3967957.0,118400
2025-1-2,09:55,33.520,33.680,33.450,33.570,1744716.0,52000
2025-1-2,10:00,33.620,33.660,33.330,33.410,1853947.0,55300
2025-1-2,10:05,33.450,33.490,33.160,33.190,1377326.0,41400
2025-1-2,10:10,33.210,33.330,33.180,33.330,684688.0,20600
2025-1-2,10:15,33.280,33.420,33.200,33.390,1769393.0,53200
2025-1-2,10:20,33.390,33.500,33.270,33.300,837147.0,25100
2025-1-2,10:25,33.310,33.410,33.310,33.360,640709.0,19200
2025-1-2,10:30,33.380,33.600,33.340,33.600,1774152.0,53000
2025-1-2,10:35,33.600,33.750,33.470,33.470,2552929.0,75900
2025-1-2,10:40,33.470,33.470,33.340,33.410,1307011.0,39100
2025-1-2,10:45,33.390,33.390,33.260,33.320,713362.0,21400
2025-1-2,10:50,33.290,33.480,33.290,33.460,460621.0,13800
2025-1-2,10:55,33.490,33.500,33.280,33.450,1390359.0,41600
2025-1-2,11:00,33.400,33.480,33.340,33.360,591266.0,17700
2025-1-2,11:05,33.360,33.560,33.360,33.530,1057344.0,31600
2025-1-2,11:10,33.520,33.520,33.370,33.480,438128.0,13100
2025-1-2,11:15,33.420,33.550,33.360,33.500,1699008.0,50800
2025-1-2,11:20,33.530,33.530,33.400,33.440,431564.0,12900
2025-1-2,11:25,33.410,33.450,33.380,33.380,741612.0,22200
2025-1-2,11:30,33.390,33.440,33.340,33.340,808022.0,24200
2025-1-2,13:05,33.340,33.440,33.160,33.180,2307428.0,69300
2025-1-2,13:10,33.160,33.180,33.040,33.070,1100342.0,33200
2025-1-2,13:15,33.050,33.160,33.030,33.070,850285.0,25700
2025-1-2,13:20,33.070,33.070,32.970,32.990,702964.0,21300
2025-1-2,13:25,33.000,33.020,32.900,32.940,675380.0,20500
2025-1-2,13:30,32.980,33.000,32.910,32.960,395440.0,12000
2025-1-2,13:35,32.980,32.990,32.800,32.930,1231356.0,37400
2025-1-2,13:40,32.960,32.960,32.840,32.910,411103.0,12500
2025-1-2,13:45,32.840,32.900,32.820,32.820,538857.0,16400
2025-1-2,13:50,32.830,32.840,32.710,32.780,1390567.0,42400
2025-1-2,13:55,32.750,32.780,32.690,32.750,883674.0,27000
2025-1-2,14:00,32.750,32.960,32.720,32.960,1384565.0,42200
2025-1-2,14:05,32.930,32.950,32.850,32.940,1158164.0,35200
2025-1-2,14:10,32.950,32.950,32.670,32.730,1352539.0,41300
2025-1-2,14:15,32.710,32.750,32.660,32.660,902342.0,27600
2025-1-2,14:20,32.670,32.700,32.540,32.620,1318747.0,40400
2025-1-2,14:25,32.630,32.850,32.630,32.800,1263186.0,38600
2025-1-2,14:30,32.830,32.900,32.770,32.860,682865.0,20800
2025-1-2,14:35,32.800,32.920,32.710,32.770,2713352.0,82700
2025-1-2,14:40,32.720,32.740,32.550,32.570,1095916.0,33600
2025-1-2,14:45,32.570,32.620,32.530,32.530,1230691.0,37800
2025-1-2,14:50,32.540,32.620,32.520,32.620,2105343.0,64700
2025-1-2,14:55,32.550,32.740,32.550,32.710,1908331.0,58400
2025-1-2,15:00,32.710,32.790,32.710,32.770,1185221.0,36200
2025-1-3,09:35,32.790,33.030,32.200,32.510,9889233.0,303000
2025-1-3,09:40,32.530,32.530,31.840,32.210,6940590.0,215900
2025-1-3,09:45,32.210,32.460,32.110,32.280,2324232.0,72000
2025-1-3,09:50,32.230,32.270,31.800,31.950,5276202.0,165300
2025-1-3,09:55,32.040,32.040,31.700,31.920,3118209.0,97900
2025-1-3,10:00,31.840,32.150,31.760,31.920,2106754.0,66000
2025-1-3,10:05,31.910,32.030,31.810,31.880,1338137.0,41900
2025-1-3,10:10,31.880,31.970,31.800,31.860,1510550.0,47400
2025-1-3,10:15,31.860,31.960,31.800,31.910,682531.0,21400
2025-1-3,10:20,31.900,31.970,31.800,31.900,969055.0,30400
2025-1-3,10:25,31.910,32.200,31.900,32.190,714184.0,22300
2025-1-3,10:30,32.200,32.320,32.180,32.220,1109256.0,34400
2025-1-3,10:35,32.190,32.210,32.010,32.090,1370645.0,42700
2025-1-3,10:40,32.090,32.140,31.930,32.000,1316842.0,41100
2025-1-3,10:45,31.930,32.040,31.890,32.020,578674.0,18100
2025-1-3,10:50,31.950,32.100,31.940,32.010,566339.0,17700
2025-1-3,10:55,31.950,32.010,31.900,32.000,457247.0,14300
2025-1-3,11:00,31.960,32.010,31.920,31.960,543530.0,17000
2025-1-3,11:05,32.010,32.200,32.000,32.070,850291.0,26500
