日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-12-31,09:35,77.310,77.840,76.910,77.260,4839765.0,62700
2024-12-31,09:40,77.340,78.220,77.230,78.120,4888413.0,62800
2024-12-31,09:45,78.050,78.650,78.050,78.630,2427893.0,31000
2024-12-31,09:50,78.610,79.110,78.500,79.040,6208873.0,78700
2024-12-31,09:55,79.100,79.300,78.960,79.300,2966805.0,37500
2024-12-31,10:00,79.300,79.800,79.120,79.700,7887055.0,99200
2024-12-31,10:05,79.710,79.990,79.180,79.210,8588403.0,107800
2024-12-31,10:10,79.220,79.580,79.080,79.390,5010719.0,63200
2024-12-31,10:15,79.460,79.780,79.390,79.770,2292233.0,28800
2024-12-31,10:20,79.740,80.100,79.740,80.000,6108758.0,76400
2024-12-31,10:25,80.050,80.160,79.810,79.820,4656417.0,58200
2024-12-31,10:30,79.890,79.890,79.750,79.750,2322989.0,29100
2024-12-31,10:35,79.720,79.880,79.400,79.400,3050203.0,38300
2024-12-31,10:40,79.480,79.550,79.320,79.500,1612862.0,20300
2024-12-31,10:45,79.510,79.520,79.270,79.390,2294386.0,28900
2024-12-31,10:50,79.390,79.660,79.390,79.500,1590754.0,20000
2024-12-31,10:55,79.490,79.590,79.260,79.340,2956115.0,37200
2024-12-31,11:00,79.340,79.350,79.220,79.250,1419322.0,17900
2024-12-31,11:05,79.190,79.240,78.730,78.930,2150047.0,27200
2024-12-31,11:10,78.930,78.970,78.800,78.800,1940776.0,24600
2024-12-31,11:15,78.800,78.870,78.680,78.780,1575505.0,20000
2024-12-31,11:20,78.770,79.030,78.770,78.860,1530357.0,19400
2024-12-31,11:25,78.860,79.180,78.830,79.180,1674428.0,21200
2024-12-31,11:30,79.180,79.300,79.040,79.050,1140416.0,14400
2024-12-31,13:05,79.140,79.670,79.040,79.600,2732405.0,34400
2024-12-31,13:10,79.570,79.800,79.390,79.390,1559786.0,19600
2024-12-31,13:15,79.430,79.510,79.200,79.390,1594711.0,20100
2024-12-31,13:20,79.380,79.380,79.150,79.150,1720283.0,21700
2024-12-31,13:25,79.130,79.390,79.130,79.390,1838267.0,23200
2024-12-31,13:30,79.390,79.450,79.320,79.320,1349659.0,17000
2024-12-31,13:35,79.310,79.330,79.220,79.220,1784338.0,22500
2024-12-31,13:40,79.220,79.240,79.090,79.160,1440748.0,18200
2024-12-31,13:45,79.170,79.240,79.150,79.150,1718417.0,21700
2024-12-31,13:50,79.150,79.150,78.990,79.010,1509985.0,19100
2024-12-31,13:55,79.060,79.140,78.970,79.140,1501654.0,19000
2024-12-31,14:00,79.150,79.200,79.000,79.170,1147216.0,14500
2024-12-31,14:05,79.150,79.230,79.080,79.080,2089533.0,26400
2024-12-31,14:10,79.160,79.170,78.990,79.090,1992809.0,25200
2024-12-31,14:15,79.060,79.060,78.600,78.600,6720467.0,85300
2024-12-31,14:20,78.520,78.820,78.520,78.670,5627763.0,71500
2024-12-31,14:25,78.680,78.800,78.520,78.520,1558347.0,19800
2024-12-31,14:30,78.550,78.680,78.400,78.400,3227449.0,41100
2024-12-31,14:35,78.300,78.700,78.300,78.680,8100658.0,103300
2024-12-31,14:40,78.700,78.780,78.570,78.740,1416823.0,18000
2024-12-31,14:45,78.720,79.120,78.700,79.120,2604176.0,33000
2024-12-31,14:50,79.120,79.130,78.800,78.810,3586787.0,45400
2024-12-31,14:55,78.720,78.810,78.460,78.680,1668551.0,21200
2024-12-31,15:00,78.510,78.700,78.500,78.650,3733900.0,47500
2025-1-2,09:35,78.360,80.050,77.810,79.200,9842801.0,124100
2025-1-2,09:40,79.050,79.190,78.220,78.690,3818643.0,48500
2025-1-2,09:45,78.690,78.780,78.300,78.390,1986143.0,25300
2025-1-2,09:50,78.310,78.400,78.110,78.340,2270423.0,29000
2025-1-2,09:55,78.340,78.590,78.190,78.590,1793936.0,22900
2025-1-2,10:00,78.600,78.630,78.010,78.110,1721709.0,22000
2025-1-2,10:05,78.050,78.150,77.620,77.620,2874595.0,36900
2025-1-2,10:10,77.750,78.170,77.640,78.160,2043671.0,26200
2025-1-2,10:15,78.100,78.270,77.910,78.270,6294302.0,80600
2025-1-2,10:20,78.320,78.390,78.040,78.350,2925920.0,37400
2025-1-2,10:25,78.340,78.820,78.200,78.540,2705129.0,34500
2025-1-2,10:30,78.550,78.610,78.380,78.560,1413240.0,18000
2025-1-2,10:35,78.570,78.630,78.180,78.310,1371049.0,17500
2025-1-2,10:40,78.240,78.380,78.100,78.380,2173903.0,27800
2025-1-2,10:45,78.460,78.600,78.370,78.530,1883333.0,24000
2025-1-2,10:50,78.540,78.960,78.540,78.900,1038634.0,13200
2025-1-2,10:55,78.860,79.280,78.860,78.950,8382253.0,106000
2025-1-2,11:00,78.930,79.120,78.880,78.980,1460788.0,18500
2025-1-2,11:05,78.980,78.980,78.750,78.870,954443.0,12100
2025-1-2,11:10,78.830,79.280,78.830,79.060,1280468.0,16200
2025-1-2,11:15,79.070,79.090,78.550,78.710,5305491.0,67200
2025-1-2,11:20,78.680,78.710,78.340,78.340,1068220.0,13600
2025-1-2,11:25,78.430,78.500,78.350,78.480,823584.0,10500
2025-1-2,11:30,78.470,78.570,78.460,78.570,847943.0,10800
2025-1-2,13:05,78.550,78.570,78.280,78.420,2280136.75,29100
2025-1-2,13:10,78.410,78.450,78.240,78.410,1519737.0,19400
2025-1-2,13:15,78.420,78.670,78.280,78.380,1240225.0,15800
2025-1-2,13:20,78.390,78.450,78.250,78.350,1527938.0,19500
2025-1-2,13:25,78.350,78.360,77.950,77.970,1876250.0,24000
2025-1-2,13:30,77.990,78.110,77.930,78.110,1747452.0,22400
2025-1-2,13:35,78.110,78.110,77.800,77.940,2533492.0,32500
2025-1-2,13:40,77.870,77.950,77.720,77.720,2528328.0,32500
2025-1-2,13:45,77.730,77.880,77.600,77.620,2379482.0,30600
2025-1-2,13:50,77.600,77.670,77.330,77.550,3496287.0,45100
2025-1-2,13:55,77.560,77.570,77.400,77.400,4418528.0,57000
2025-1-2,14:00,77.420,77.690,77.410,77.680,6358073.0,82000
2025-1-2,14:05,77.680,78.000,77.650,77.940,4302935.0,55300
2025-1-2,14:10,77.960,78.000,77.440,77.710,3666121.0,47100
2025-1-2,14:15,77.720,77.720,77.420,77.500,1892488.0,24400
2025-1-2,14:20,77.520,77.600,77.420,77.550,3674116.0,47400
2025-1-2,14:25,77.520,77.880,77.500,77.870,7344338.0,94500
2025-1-2,14:30,77.890,78.090,77.720,78.050,10729881.0,137700
2025-1-2,14:35,78.040,78.120,77.500,77.610,6269615.0,80600
2025-1-2,14:40,77.610,77.610,77.360,77.460,3124191.0,40300
2025-1-2,14:45,77.410,77.740,77.380,77.500,6777267.0,87400
2025-1-2,14:50,77.500,77.510,77.400,77.450,3877975.5,50000
2025-1-2,14:55,77.490,77.740,77.490,77.670,3460763.0,44600
2025-1-2,15:00,77.670,77.800,77.510,77.770,4296191.0,55400
2025-1-3,09:35,77.530,78.720,77.500,77.580,5774835.0,74000
2025-1-3,09:40,77.550,77.900,77.490,77.490,3761456.0,48400
2025-1-3,09:45,77.500,77.980,77.350,77.730,3013021.0,38800
2025-1-3,09:50,77.730,77.770,76.810,76.900,3872562.0,50200
2025-1-3,09:55,76.820,76.880,76.290,76.550,4575374.0,59700
2025-1-3,10:00,76.520,76.690,76.230,76.690,3825067.0,50000
2025-1-3,10:05,76.700,77.030,76.670,76.920,2106143.0,27400
2025-1-3,10:10,76.930,76.970,76.390,76.500,2613348.0,34100
2025-1-3,10:15,76.500,77.000,76.500,76.930,2702593.0,35200
2025-1-3,10:20,76.850,77.270,76.850,77.190,1880990.0,24400
2025-1-3,10:25,77.170,77.530,77.040,77.430,1923392.0,24900
2025-1-3,10:30,77.430,77.760,77.400,77.590,2877244.0,37100
2025-1-3,10:35,77.590,77.710,77.240,77.530,4756065.0,61400
2025-1-3,10:40,77.540,77.730,77.360,77.390,6950519.0,89600
2025-1-3,10:45,77.400,77.490,77.130,77.150,1770714.0,22900
2025-1-3,10:50,77.150,77.250,77.060,77.180,1991027.0,25800
2025-1-3,10:55,77.170,77.170,77.000,77.000,771047.0,10000
2025-1-3,11:00,77.000,77.010,76.870,76.920,1415216.0,18400
2025-1-3,11:05,76.950,77.050,76.930,76.930,561888.0,7300
2025-1-3,11:10,76.970,77.110,76.950,77.070,847471.0,11000
2025-1-3,11:15,77.070,77.410,77.040,77.220,1258639.0,16300
2025-1-3,11:20,77.210,77.360,77.110,77.300,2479393.0,32100
2025-1-3,11:25,77.230,77.320,77.010,77.320,1157239.0,15000
2025-1-3,11:30,77.190,77.320,76.980,76.980,910579.0,11800
2025-1-3,13:05,77.050,77.050,76.820,76.840,1338644.0,17400
2025-1-3,13:10,76.850,76.870,76.730,76.770,929090.0,12100
2025-1-3,13:15,76.760,77.000,76.630,76.870,3316188.0,43200
2025-1-3,13:20,76.800,76.970,76.800,76.880,2013717.0,26200
2025-1-3,13:25,76.870,76.910,76.670,76.840,2104695.0,27400
2025-1-3,13:30,76.840,77.100,76.700,77.100,2428442.0,31600
2025-1-3,13:35,77.170,77.220,76.800,77.150,3888211.0,50500
2025-1-3,13:40,77.220,77.220,77.000,77.000,1233662.0,16000
2025-1-3,13:45,77.010,77.110,76.910,77.000,1924984.0,25000
2025-1-3,13:50,76.970,77.120,76.670,76.830,7947945.0,103400
2025-1-3,13:55,77.000,77.000,76.600,76.670,8683879.0,113100
2025-1-3,14:00,76.690,76.910,76.510,76.550,9531926.0,124300
2025-1-3,14:05,76.560,76.690,76.450,76.470,3390592.0,44300
2025-1-3,14:10,76.450,76.540,76.350,76.470,7357127.0,96200
2025-1-3,14:15,76.500,76.500,76.170,76.190,3835500.0,50200
2025-1-3,14:20,76.190,76.190,75.780,76.070,3319584.0,43700
2025-1-3,14:25,76.170,76.480,76.170,76.480,7816282.0,102500
2025-1-3,14:30,76.500,76.610,76.190,76.230,4042599.0,53000
2025-1-3,14:35,76.240,76.240,76.010,76.080,1780416.0,23400
2025-1-3,14:40,76.080,76.410,75.980,76.170,2132917.0,28000
2025-1-3,14:45,76.130,76.350,76.110,76.280,2157567.0,28300
2025-1-3,14:50,76.120,76.260,75.960,76.030,1400095.0,18400
2025-1-3,14:55,76.020,76.030,75.900,76.000,2270649.5,29900
2025-1-3,15:00,76.050,76.100,75.880,75.930,2766794.0,36400
2025-1-6,09:35,75.930,76.590,75.280,75.280,10627380.0,139900
2025-1-6,09:40,75.090,75.730,75.090,75.730,5179016.0,68800
2025-1-6,09:45,75.610,76.160,75.610,75.840,2111272.0,27800
2025-1-6,09:50,75.810,76.270,75.590,75.820,4485735.0,59100
2025-1-6,09:55,75.940,75.960,75.590,75.630,12591397.0,166300
2025-1-6,10:00,75.630,75.810,75.040,75.770,16225174.0,215100
