日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,13.910,13.970,13.800,13.840,13650528.0,984400
2025-3-31,09:40,13.850,14.080,13.850,14.020,12115911.0,866400
2025-3-31,09:45,14.050,14.080,14.010,14.070,10862396.0,773300
2025-3-31,09:50,14.050,14.100,14.020,14.090,13711717.0,974100
2025-3-31,09:55,14.070,14.200,14.060,14.180,12586313.0,891300
2025-3-31,10:00,14.180,14.380,14.140,14.360,37640096.0,2636200
2025-3-31,10:05,14.360,14.490,14.260,14.470,38330776.0,2663800
2025-3-31,10:10,14.510,14.580,14.460,14.460,43880032.0,3020900
2025-3-31,10:15,14.460,14.530,14.440,14.510,19140116.0,1320400
2025-3-31,10:20,14.510,14.540,14.440,14.450,21384288.0,1474900
2025-3-31,10:25,14.480,14.500,14.350,14.350,13608662.0,943500
2025-3-31,10:30,14.350,14.380,14.330,14.330,8487496.0,591500
2025-3-31,10:35,14.350,14.430,14.350,14.350,9199105.0,639200
2025-3-31,10:40,14.360,14.410,14.360,14.360,5914278.0,411200
2025-3-31,10:45,14.360,14.400,14.350,14.400,6075856.5,422700
2025-3-31,10:50,14.390,14.410,14.370,14.380,5946118.0,413300
2025-3-31,10:55,14.400,14.420,14.330,14.330,8599846.0,597800
2025-3-31,11:00,14.350,14.350,14.300,14.300,6465865.0,451600
2025-3-31,11:05,14.290,14.300,14.250,14.250,7425145.0,520000
2025-3-31,11:10,14.260,14.280,14.250,14.280,3156396.0,221300
2025-3-31,11:15,14.280,14.310,14.240,14.280,4602175.0,322400
2025-3-31,11:20,14.290,14.300,14.230,14.250,3996131.0,280200
2025-3-31,11:25,14.250,14.270,14.170,14.170,6803543.0,478800
2025-3-31,11:30,14.180,14.190,14.140,14.150,3921822.5,276900
2025-3-31,13:05,14.150,14.300,14.140,14.300,10833402.0,762200
2025-3-31,13:10,14.300,14.440,14.240,14.440,9008460.0,628000
2025-3-31,13:15,14.420,14.520,14.380,14.470,20182082.0,1395500
2025-3-31,13:20,14.470,14.470,14.350,14.360,5133160.0,356500
2025-3-31,13:25,14.360,14.360,14.300,14.350,6054555.0,422400
2025-3-31,13:30,14.350,14.350,14.280,14.300,4047507.0,282800
2025-3-31,13:35,14.300,14.370,14.280,14.330,10644066.0,742600
2025-3-31,13:40,14.320,14.350,14.310,14.340,4352176.0,303700
2025-3-31,13:45,14.330,14.340,14.290,14.300,5412976.0,378100
2025-3-31,13:50,14.300,14.300,14.260,14.280,4352369.0,304800
2025-3-31,13:55,14.280,14.320,14.260,14.290,4442687.0,311000
2025-3-31,14:00,14.290,14.300,14.270,14.280,3350282.0,234500
2025-3-31,14:05,14.280,14.320,14.250,14.310,5621363.0,393700
2025-3-31,14:10,14.320,14.410,14.310,14.410,6389850.5,444400
2025-3-31,14:15,14.400,14.490,14.390,14.450,8714245.0,603300
2025-3-31,14:20,14.460,14.530,14.450,14.500,12012489.0,828400
2025-3-31,14:25,14.480,14.540,14.450,14.450,8465008.0,584200
2025-3-31,14:30,14.470,14.480,14.440,14.440,5334863.0,368900
