日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,30.900,30.990,30.710,30.980,47478400.0,1540900
2025-3-31,09:40,30.990,31.090,30.870,30.910,32482816.0,1048500
2025-3-31,09:45,30.910,30.960,30.750,30.760,34680644.0,1123000
2025-3-31,09:50,30.760,30.820,30.660,30.700,34769464.0,1131900
2025-3-31,09:55,30.700,30.760,30.650,30.750,27686092.0,902400
2025-3-31,10:00,30.740,30.740,30.660,30.700,23666544.0,771200
2025-3-31,10:05,30.690,30.690,30.580,30.600,52986268.0,1729900
2025-3-31,10:10,30.590,30.720,30.560,30.570,26559404.0,867800
2025-3-31,10:15,30.560,30.600,30.480,30.480,38462680.0,1260000
2025-3-31,10:20,30.510,30.590,30.490,30.490,23281680.0,762800
2025-3-31,10:25,30.490,30.590,30.480,30.500,22879418.0,749600
2025-3-31,10:30,30.500,30.590,30.490,30.490,14747160.0,483300
2025-3-31,10:35,30.500,30.570,30.490,30.520,12707827.0,416300
2025-3-31,10:40,30.520,30.560,30.480,30.500,13785363.0,451900
2025-3-31,10:45,30.500,30.570,30.500,30.540,15152630.0,496600
2025-3-31,10:50,30.540,30.560,30.490,30.510,13474220.0,441700
2025-3-31,10:55,30.500,30.550,30.480,30.510,11954237.0,391900
2025-3-31,11:00,30.500,30.550,30.500,30.510,10199991.0,334300
2025-3-31,11:05,30.510,30.530,30.490,30.500,14551646.0,477000
2025-3-31,11:10,30.490,30.500,30.450,30.460,12059635.0,395700
2025-3-31,11:15,30.450,30.460,30.410,30.430,15060606.0,494800
2025-3-31,11:20,30.450,30.530,30.430,30.500,11871241.0,389600
2025-3-31,11:25,30.510,30.510,30.400,30.410,15998814.0,525700
2025-3-31,11:30,30.410,30.410,30.350,30.350,16647239.0,548100
2025-3-31,13:05,30.360,30.460,30.350,30.440,26787864.0,881400
2025-3-31,13:10,30.430,30.440,30.380,30.400,15360834.0,505100
2025-3-31,13:15,30.400,30.420,30.340,30.400,20899160.0,688000
2025-3-31,13:20,30.400,30.410,30.330,30.330,16695900.0,550000
2025-3-31,13:25,30.330,30.350,30.300,30.320,19835186.0,654200
2025-3-31,13:30,30.320,30.340,30.300,30.310,12544107.0,413700
2025-3-31,13:35,30.310,30.310,30.260,30.280,23507176.0,776000
2025-3-31,13:40,30.280,30.290,30.250,30.290,16550336.0,546700
2025-3-31,13:45,30.290,30.290,30.220,30.240,16029590.0,529800
2025-3-31,13:50,30.240,30.240,30.200,30.230,21088158.0,698000
2025-3-31,13:55,30.220,30.220,30.180,30.200,19746720.0,653800
2025-3-31,14:00,30.190,30.200,30.160,30.170,18791884.0,622600
2025-3-31,14:05,30.170,30.260,30.140,30.250,22615856.0,749400
2025-3-31,14:10,30.260,30.330,30.240,30.320,15911798.0,525500
2025-3-31,14:15,30.320,30.370,30.290,30.350,15059098.0,496500
2025-3-31,14:20,30.350,30.430,30.340,30.400,22117352.0,727900
2025-3-31,14:25,30.400,30.480,30.360,30.410,25239336.0,829800
2025-3-31,14:30,30.410,30.410,30.360,30.370,12865945.0,423500
2025-3-31,14:35,30.360,30.490,30.360,30.480,24578428.0,807500
2025-3-31,14:40,30.490,30.600,30.460,30.550,27541608.0,901400
2025-3-31,14:45,30.560,30.670,30.540,30.650,33785036.0,1104200
2025-3-31,14:50,30.660,30.710,30.570,30.600,30796108.0,1004400
2025-3-31,14:55,30.600,30.730,30.580,30.690,50806852.0,1655500
2025-3-31,15:00,30.700,30.720,30.690,30.700,22627422.0,737000
2025-4-1,09:35,30.720,30.760,30.530,30.600,40438672.0,1319300
2025-4-1,09:40,30.610,30.620,30.470,30.470,26135852.0,856000
2025-4-1,09:45,30.460,30.460,30.250,30.300,50991480.0,1680500
2025-4-1,09:50,30.290,30.360,30.210,30.360,53563176.0,1768800
2025-4-1,09:55,30.340,30.390,30.310,30.390,20863144.0,687700
2025-4-1,10:00,30.370,30.410,30.340,30.410,21706852.0,714600
2025-4-1,10:05,30.410,30.570,30.380,30.470,52117220.0,1710300
2025-4-1,10:10,30.470,30.550,30.450,30.520,24172770.0,792700
2025-4-1,10:15,30.510,30.540,30.490,30.540,20017772.0,656200
2025-4-1,10:20,30.530,30.600,30.510,30.600,35915340.0,1175100
2025-4-1,10:25,30.590,30.600,30.550,30.580,13820688.0,452000
2025-4-1,10:30,30.580,30.600,30.530,30.590,14290395.0,467500
