日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,44.240,44.580,43.700,44.060,7884193.0,178700
2025-3-31,09:40,44.070,44.450,44.070,44.340,3347530.0,75700
2025-3-31,09:45,44.380,44.450,44.210,44.230,1971238.0,44500
2025-3-31,09:50,44.230,44.280,43.900,44.120,3192849.0,72400
2025-3-31,09:55,44.070,44.450,44.070,44.370,1306920.0,29500
2025-3-31,10:00,44.420,44.980,44.250,44.980,6609806.0,148000
2025-3-31,10:05,44.980,45.180,44.820,45.010,8757279.0,194500
2025-3-31,10:10,45.070,45.100,44.820,44.890,2649354.0,58900
2025-3-31,10:15,44.860,44.860,44.530,44.550,3465443.0,77600
2025-3-31,10:20,44.550,44.550,44.260,44.430,3438390.0,77400
2025-3-31,10:25,44.380,44.450,44.130,44.230,1733090.0,39100
2025-3-31,10:30,44.220,44.290,44.050,44.130,1505885.0,34100
2025-3-31,10:35,44.080,44.150,44.000,44.120,2215959.0,50300
2025-3-31,10:40,44.120,44.150,43.950,43.960,1806352.0,41000
2025-3-31,10:45,43.950,44.040,43.910,43.930,1995837.0,45400
2025-3-31,10:50,43.920,43.980,43.760,43.880,3299219.0,75200
2025-3-31,10:55,43.880,44.020,43.810,43.810,2631145.0,59900
2025-3-31,11:00,43.820,43.970,43.760,43.820,2362200.0,53900
2025-3-31,11:05,43.840,43.920,43.750,43.760,2353145.0,53700
2025-3-31,11:10,43.770,43.930,43.680,43.850,1999781.0,45700
2025-3-31,11:15,43.880,43.990,43.720,43.920,2117835.0,48300
2025-3-31,11:20,43.850,43.980,43.830,43.860,891289.0,20300
2025-3-31,11:25,43.840,43.910,43.680,43.680,1016554.0,23200
2025-3-31,11:30,43.690,43.860,43.690,43.770,669342.0,15300
2025-3-31,13:05,43.780,44.450,43.750,44.450,2246270.0,51000
2025-3-31,13:10,44.420,45.550,44.290,45.510,21820668.0,482900
2025-3-31,13:15,45.520,45.520,44.830,45.370,13335864.0,295300
2025-3-31,13:20,45.400,45.620,45.000,45.160,8916511.0,196600
2025-3-31,13:25,45.130,45.280,44.940,45.160,5287525.0,117200
2025-3-31,13:30,45.100,45.160,44.820,45.070,4601608.0,102200
2025-3-31,13:35,45.090,45.160,45.000,45.090,3711579.0,82300
2025-3-31,13:40,45.020,45.380,45.020,45.380,3343479.0,73900
2025-3-31,13:45,45.380,45.500,45.270,45.330,4592063.0,101100
2025-3-31,13:50,45.350,45.850,45.330,45.740,11818497.0,259200
2025-3-31,13:55,45.760,45.990,45.720,45.910,12323944.0,268800
2025-3-31,14:00,45.820,45.900,45.770,45.820,4881722.0,106500
2025-3-31,14:05,45.830,45.830,45.370,45.620,4673159.0,102500
2025-3-31,14:10,45.640,45.820,45.620,45.650,2910957.0,63700
2025-3-31,14:15,45.580,45.690,45.530,45.680,3574803.0,78400
2025-3-31,14:20,45.700,45.920,45.700,45.870,4846436.0,105700
2025-3-31,14:25,45.790,46.020,45.650,45.910,8454618.0,184300
2025-3-31,14:30,45.840,45.890,45.410,45.430,6103998.0,133800
2025-3-31,14:35,45.430,45.710,45.400,45.610,5161011.0,113400
2025-3-31,14:40,45.630,45.660,45.560,45.640,2970198.0,65100
2025-3-31,14:45,45.650,45.700,45.570,45.700,3236668.0,70900
2025-3-31,14:50,45.700,45.700,45.570,45.600,3326346.0,72900
2025-3-31,14:55,45.590,45.590,45.400,45.590,8079122.0,177600
2025-3-31,15:00,45.550,45.560,45.460,45.560,5405009.0,118700
2025-4-1,09:35,45.370,46.110,45.040,45.480,17663712.0,388100
2025-4-1,09:40,45.490,45.540,44.860,44.940,12398843.0,275100
2025-4-1,09:45,44.940,44.940,44.670,44.840,6676390.0,149000
2025-4-1,09:50,44.830,45.030,44.830,44.880,4488350.0,99900
2025-4-1,09:55,44.860,44.990,44.680,44.720,8923751.0,199000
2025-4-1,10:00,44.730,44.870,44.500,44.660,5798691.0,129900
2025-4-1,10:05,44.660,44.930,44.610,44.860,2613040.0,58400
2025-4-1,10:10,44.860,44.860,44.670,44.780,1840023.0,41100
2025-4-1,10:15,44.760,44.950,44.750,44.750,3062994.0,68300
2025-4-1,10:20,44.750,44.820,44.470,44.570,4970746.0,111400
2025-4-1,10:25,44.590,44.880,44.470,44.600,19741238.0,442300
2025-4-1,10:30,44.610,44.700,44.480,44.480,5422826.0,121700
2025-4-1,10:35,44.480,44.550,44.200,44.330,7396942.0,166700
2025-4-1,10:40,44.330,44.510,44.230,44.450,2713704.0,61200
2025-4-1,10:45,44.450,44.450,44.320,44.330,1935597.0,43600
2025-4-1,10:50,44.280,44.530,44.270,44.280,3982634.0,89800
2025-4-1,10:55,44.320,44.320,44.130,44.270,2705138.0,61200
2025-4-1,11:00,44.260,44.270,44.000,44.250,4874743.0,110500
2025-4-1,11:05,44.250,44.290,44.140,44.140,4289508.0,97000
2025-4-1,11:10,44.110,44.190,44.040,44.150,2927936.0,66400
2025-4-1,11:15,44.130,44.280,44.110,44.220,2424575.0,54900
2025-4-1,11:20,44.260,44.330,44.190,44.240,5877302.0,132900
2025-4-1,11:25,44.300,44.600,44.100,44.150,8632217.0,195100
2025-4-1,11:30,44.150,44.210,44.130,44.180,1470376.0,33300
2025-4-1,13:05,44.180,44.180,43.800,43.840,7360154.0,167300
2025-4-1,13:10,43.820,43.950,43.780,43.850,2368542.0,54000
2025-4-1,13:15,43.840,43.970,43.840,43.940,2383700.0,54300
2025-4-1,13:20,43.960,44.020,43.900,43.970,2427376.0,55200
2025-4-1,13:25,43.980,44.010,43.910,43.970,1573469.0,35800
2025-4-1,13:30,44.010,44.010,43.930,43.980,1121064.0,25500
2025-4-1,13:35,44.000,44.010,43.850,43.850,3302969.0,75200
2025-4-1,13:40,43.910,43.980,43.890,43.950,966188.0,22000
2025-4-1,13:45,43.990,43.990,43.900,43.980,1102936.0,25100
2025-4-1,13:50,43.990,44.020,43.910,43.950,1908992.0,43400
2025-4-1,13:55,43.980,44.000,43.880,43.900,1313639.0,29900
2025-4-1,14:00,43.890,43.910,43.850,43.880,1812171.0,41300
2025-4-1,14:05,43.810,43.860,43.750,43.860,4139835.0,94500
2025-4-1,14:10,43.840,43.930,43.780,43.890,1898488.0,43300
2025-4-1,14:15,43.900,43.910,43.830,43.900,1232539.0,28100
2025-4-1,14:20,43.910,43.910,43.830,43.830,1008966.0,23000
2025-4-1,14:25,43.840,43.900,43.830,43.880,925575.0,21100
2025-4-1,14:30,43.870,43.930,43.850,43.930,1307545.0,29800
2025-4-1,14:35,43.930,43.990,43.780,43.790,3448709.0,78600
2025-4-1,14:40,43.820,43.820,43.740,43.740,2469243.0,56400
2025-4-1,14:45,43.750,43.800,43.750,43.750,2695956.0,61600
2025-4-1,14:50,43.750,43.850,43.710,43.850,3072409.0,70200
2025-4-1,14:55,43.850,43.870,43.760,43.770,4384253.0,100100
2025-4-1,15:00,43.770,43.800,43.730,43.730,3657765.0,83600
2025-4-2,09:35,43.620,44.370,43.300,44.220,12650624.0,287000
2025-4-2,09:40,44.180,44.550,44.150,44.270,8339714.0,187900
2025-4-2,09:45,44.280,44.620,44.230,44.390,6113572.0,137400
2025-4-2,09:50,44.380,44.380,44.200,44.360,4173169.0,94300
2025-4-2,09:55,44.320,44.330,44.210,44.290,2771940.0,62600
2025-4-2,10:00,44.290,44.310,44.010,44.250,3766437.0,85300
2025-4-2,10:05,44.260,44.260,44.120,44.190,2836179.0,64200
2025-4-2,10:10,44.160,44.200,44.010,44.010,1226156.0,27800
2025-4-2,10:15,44.010,44.100,43.990,44.050,1408908.0,32000
2025-4-2,10:20,44.070,44.320,44.020,44.320,2102669.0,47600
2025-4-2,10:25,44.320,44.460,44.270,44.440,1888944.0,42600
2025-4-2,10:30,44.450,44.550,44.270,44.360,3395783.0,76400
2025-4-2,10:35,44.350,44.410,44.130,44.130,4023911.0,90900
2025-4-2,10:40,44.100,44.600,43.950,44.600,9541596.0,215300
2025-4-2,10:45,44.580,44.630,44.390,44.400,4596794.0,103200
2025-4-2,10:50,44.430,44.460,44.350,44.350,1487184.0,33500
2025-4-2,10:55,44.350,44.500,44.320,44.410,932004.0,21000
2025-4-2,11:00,44.490,44.550,44.390,44.400,1205371.0,27100
2025-4-2,11:05,44.380,44.410,44.350,44.390,603571.0,13600
2025-4-2,11:10,44.390,44.450,44.380,44.450,710445.0,16000
2025-4-2,11:15,44.420,44.590,44.400,44.570,2902054.0,65200
2025-4-2,11:20,44.530,44.560,44.370,44.370,1058215.0,23800
2025-4-2,11:25,44.400,44.450,44.380,44.410,599503.0,13500
2025-4-2,11:30,44.420,44.440,44.290,44.360,1325944.0,29900
2025-4-2,13:05,44.360,44.550,44.300,44.410,1914801.0,43100
2025-4-2,13:10,44.380,44.420,44.350,44.370,710112.0,16000
2025-4-2,13:15,44.370,44.370,44.210,44.280,921035.0,20800
2025-4-2,13:20,44.250,44.270,44.210,44.250,451283.0,10200
2025-4-2,13:25,44.270,44.350,44.200,44.330,867425.0,19600
2025-4-2,13:30,44.310,44.370,44.280,44.370,731319.0,16500
2025-4-2,13:35,44.370,44.400,44.250,44.330,1448804.0,32700
2025-4-2,13:40,44.300,44.330,44.270,44.290,575807.0,13000
2025-4-2,13:45,44.280,44.280,44.180,44.270,2503080.0,56600
2025-4-2,13:50,44.210,44.270,44.190,44.270,893606.0,20200
2025-4-2,13:55,44.260,44.260,44.210,44.230,460086.0,10400
2025-4-2,14:00,44.250,44.260,44.200,44.210,915419.0,20700
2025-4-2,14:05,44.210,44.260,44.150,44.180,1471706.0,33300
2025-4-2,14:10,44.180,44.180,44.110,44.140,1443574.0,32700
2025-4-2,14:15,44.120,44.170,44.060,44.160,1636519.0,37100
2025-4-2,14:20,44.170,44.170,44.090,44.140,926595.0,21000
2025-4-2,14:25,44.140,44.150,44.070,44.080,1547926.0,35100
2025-4-2,14:30,44.090,44.150,44.080,44.150,1107058.0,25100
2025-4-2,14:35,44.150,44.240,44.140,44.180,1139788.0,25800
2025-4-2,14:40,44.190,44.240,44.140,44.180,1683061.0,38100
2025-4-2,14:45,44.180,44.200,44.130,44.140,3470976.0,78600
2025-4-2,14:50,44.160,44.250,44.150,44.240,4562050.0,103200
2025-4-2,14:55,44.230,44.230,44.180,44.210,2409207.0,54500
2025-4-2,15:00,44.200,44.230,44.160,44.200,2280474.0,51600
2025-4-3,09:35,43.680,44.340,43.520,43.980,4863484.0,110800
2025-4-3,09:40,44.060,44.420,43.930,44.300,6132505.0,138800
2025-4-3,09:45,44.310,44.490,44.230,44.470,4125652.0,93000
2025-4-3,09:50,44.470,45.200,44.310,45.160,10407058.0,232300
2025-4-3,09:55,45.160,45.160,44.700,44.830,10743349.0,238600
2025-4-3,10:00,44.830,44.920,44.370,44.410,6992599.0,156400
2025-4-3,10:05,44.410,44.540,44.370,44.420,2146276.0,48300
2025-4-3,10:10,44.420,44.430,44.110,44.130,2406310.0,54400
2025-4-3,10:15,44.140,44.330,44.120,44.330,1472632.0,33300
2025-4-3,10:20,44.320,44.430,44.260,44.400,1303611.0,29400
2025-4-3,10:25,44.440,44.520,44.240,44.360,536898.0,12100
2025-4-3,10:30,44.340,44.640,44.300,44.490,1057664.0,23800
2025-4-3,10:35,44.510,44.990,44.480,44.910,4690205.0,104700
2025-4-3,10:40,44.920,45.200,44.810,44.820,6966233.0,154500
2025-4-3,10:45,44.820,44.820,44.630,44.630,3140585.0,70200
2025-4-3,10:50,44.630,44.700,44.540,44.630,1441112.0,32300
2025-4-3,10:55,44.650,44.660,44.450,44.450,1091179.0,24500
2025-4-3,11:00,44.400,44.430,44.370,44.390,408443.0,9200
2025-4-3,11:05,44.380,44.530,44.380,44.510,502468.0,11300
2025-4-3,11:10,44.460,44.530,44.430,44.530,871766.0,19600
2025-4-3,11:15,44.480,44.530,44.330,44.330,768670.0,17300
2025-4-3,11:20,44.330,44.400,44.330,44.370,328398.0,7400
2025-4-3,11:25,44.370,44.400,44.300,44.300,962196.0,21700
2025-4-3,11:30,44.280,44.350,44.200,44.350,2387792.0,54000
2025-4-3,13:05,44.350,44.480,44.350,44.350,701674.0,15800
2025-4-3,13:10,44.350,44.410,44.270,44.290,789314.0,17800
2025-4-3,13:15,44.310,44.450,44.310,44.410,758751.0,17100
2025-4-3,13:20,44.390,44.430,44.350,44.420,625911.0,14100
2025-4-3,13:25,44.400,44.400,44.270,44.270,465523.0,10500
2025-4-3,13:30,44.260,44.300,44.200,44.270,1885205.0,42600
2025-4-3,13:35,44.270,44.270,44.210,44.260,345097.0,7800
2025-4-3,13:40,44.250,44.450,44.180,44.390,1490872.0,33700
2025-4-3,13:45,44.360,44.400,44.220,44.230,815268.0,18400
2025-4-3,13:50,44.220,44.330,44.210,44.330,902523.0,20400
2025-4-3,13:55,44.330,44.440,44.300,44.430,1202666.0,27100
2025-4-3,14:00,44.400,44.430,44.340,44.340,869757.0,19600
2025-4-3,14:05,44.350,44.380,44.250,44.320,1347632.0,30400
2025-4-3,14:10,44.320,44.760,44.320,44.630,2514104.0,56400
2025-4-3,14:15,44.740,44.740,44.530,44.600,2894425.0,64900
2025-4-3,14:20,44.600,44.600,44.340,44.360,538282.0,12100
2025-4-3,14:25,44.360,44.400,44.340,44.400,421464.0,9500
2025-4-3,14:30,44.400,44.410,44.330,44.380,1597048.0,36000
2025-4-3,14:35,44.360,44.440,44.350,44.350,1473732.0,33200
2025-4-3,14:40,44.390,44.420,44.370,44.380,847898.0,19100
2025-4-3,14:45,44.390,44.390,44.270,44.280,1187648.0,26800
2025-4-3,14:50,44.270,44.300,44.210,44.250,2436747.0,55100
2025-4-3,14:55,44.250,44.320,44.230,44.280,1814967.0,41000
2025-4-3,15:00,44.280,44.350,44.270,44.350,2606833.0,58800
2025-4-7,09:35,41.370,43.290,41.350,42.130,13709684.0,325900
2025-4-7,09:40,41.990,42.020,40.470,40.690,10592469.0,256400
2025-4-7,09:45,40.660,40.780,40.010,40.270,17102172.0,423500
2025-4-7,09:50,40.210,40.490,39.920,40.130,19133080.0,477500
2025-4-7,09:55,40.150,40.150,39.920,39.920,6985728.0,174900
2025-4-7,10:00,39.920,39.920,39.920,39.920,1664664.0,41700
2025-4-7,10:05,39.920,40.120,39.920,40.020,10457643.0,261700
2025-4-7,10:10,40.000,40.240,39.920,40.150,3819301.0,95400
2025-4-7,10:15,40.150,40.210,40.010,40.100,2565986.0,64000
2025-4-7,10:20,40.140,40.510,40.140,40.490,2875447.0,71200
2025-4-7,10:25,40.490,40.660,40.390,40.480,2425924.0,59900
2025-4-7,10:30,40.480,40.550,40.280,40.350,2056162.0,50900
2025-4-7,10:35,40.450,40.500,40.280,40.320,1102794.0,27300
2025-4-7,10:40,40.310,40.310,39.920,39.940,4314526.0,107800
2025-4-7,10:45,40.070,40.220,40.060,40.110,1645043.0,41000
2025-4-7,10:50,40.110,40.210,40.090,40.150,1055575.0,26300
2025-4-7,10:55,40.170,40.200,39.930,39.960,2880176.0,71900
2025-4-7,11:00,39.920,40.040,39.920,39.920,1529680.0,38300
2025-4-7,11:05,39.960,39.980,39.920,39.950,767016.0,19200
2025-4-7,11:10,39.970,39.970,39.920,39.930,2148239.0,53800
2025-4-7,11:15,39.930,39.980,39.920,39.920,1273714.0,31900
2025-4-7,11:20,39.920,39.920,39.920,39.920,291416.0,7300
2025-4-7,11:25,39.920,39.920,39.920,39.920,998000.0,25000
2025-4-7,11:30,39.920,39.920,39.920,39.920,115768.0,2900
2025-4-7,13:05,39.920,39.920,39.920,39.920,570856.0,14300
2025-4-7,13:10,39.920,39.920,39.920,39.920,107784.0,2700
2025-4-7,13:15,39.920,39.920,39.920,39.920,135728.0,3400
2025-4-7,13:20,39.920,39.920,39.920,39.920,275448.0,6900
2025-4-7,13:25,39.920,39.920,39.920,39.920,103792.0,2600
2025-4-7,13:30,39.920,39.920,39.920,39.920,143712.0,3600
2025-4-7,13:35,39.920,39.920,39.920,39.920,155688.0,3900
2025-4-7,13:40,39.920,39.920,39.920,39.920,914168.0,22900
2025-4-7,13:45,39.920,39.920,39.920,39.920,419160.0,10500
2025-4-7,13:50,39.920,39.920,39.920,39.920,95808.0,2400
2025-4-7,13:55,39.920,39.920,39.920,39.920,79840.0,2000
2025-4-7,14:00,39.920,39.920,39.920,39.920,171656.0,4300
2025-4-7,14:05,39.920,39.920,39.920,39.920,43912.0,1100
2025-4-7,14:10,39.920,39.920,39.920,39.920,23952.0,600
2025-4-7,14:15,39.920,39.920,39.920,39.920,15968.0,400
2025-4-7,14:20,39.920,39.920,39.920,39.920,11976.0,300
2025-4-7,14:25,39.920,39.920,39.920,39.920,47904.0,1200
2025-4-7,14:30,39.920,39.920,39.920,39.920,67864.0,1700
2025-4-7,14:35,39.920,39.920,39.920,39.920,11976.0,300
2025-4-7,14:40,39.920,39.920,39.920,39.920,203592.0,5100
2025-4-7,14:45,39.920,39.920,39.920,39.920,95808.0,2400
2025-4-7,14:50,39.920,39.920,39.920,39.920,0.0,0
2025-4-7,14:55,39.920,39.920,39.920,39.920,95808.0,2400
2025-4-7,15:00,39.920,39.920,39.920,39.920,275448.0,6900
2025-4-8,09:35,41.770,41.770,39.050,39.730,19505272.0,487000
2025-4-8,09:40,39.600,40.220,39.510,39.550,9850261.0,247100
2025-4-8,09:45,39.550,39.620,39.050,39.090,12033872.0,305900
2025-4-8,09:50,39.020,39.320,38.800,39.000,8385948.0,214800
2025-4-8,09:55,38.910,38.990,38.130,38.530,7377844.0,191500
2025-4-8,10:00,38.530,38.880,38.400,38.880,4077742.0,105600
2025-4-8,10:05,38.880,38.950,38.580,38.580,3582074.0,92300
2025-4-8,10:10,38.580,39.080,38.550,38.990,4628899.0,119200
2025-4-8,10:15,38.940,39.140,38.790,38.790,1873805.0,48100
2025-4-8,10:20,38.790,38.970,38.740,38.930,1753501.0,45100
2025-4-8,10:25,38.930,38.990,38.000,38.500,2329644.0,60500
2025-4-8,10:30,38.510,38.700,38.410,38.530,1962737.0,50900
2025-4-8,10:35,38.520,38.850,38.430,38.650,2074105.0,53600
2025-4-8,10:40,38.690,38.810,38.640,38.660,1257947.0,32500
2025-4-8,10:45,38.670,38.790,38.660,38.660,813436.0,21000
2025-4-8,10:50,38.640,38.790,38.530,38.760,1866799.0,48300
2025-4-8,10:55,38.760,38.780,38.580,38.730,1078837.0,27900
2025-4-8,11:00,38.680,38.800,38.500,38.540,811736.0,21000
2025-4-8,11:05,38.640,39.020,38.600,39.010,2560588.0,65900
2025-4-8,11:10,38.890,38.900,38.530,38.640,1015552.0,26200
2025-4-8,11:15,38.650,38.850,38.590,38.730,1218999.0,31500
2025-4-8,11:20,38.730,38.900,38.650,38.700,1047441.0,27000
2025-4-8,11:25,38.730,38.730,38.520,38.630,1889306.0,48900
2025-4-8,11:30,38.620,38.890,38.580,38.680,1137339.0,29400
2025-4-8,13:05,38.680,38.710,38.450,38.480,5753034.0,149100
2025-4-8,13:10,38.480,38.580,38.290,38.300,2946058.0,76700
2025-4-8,13:15,38.300,38.300,38.000,38.080,3426784.0,89800
2025-4-8,13:20,38.080,38.100,37.910,38.020,3045084.0,80100
2025-4-8,13:25,38.070,38.300,38.040,38.170,3003273.0,78800
2025-4-8,13:30,38.130,38.160,37.900,37.980,1645706.0,43300
2025-4-8,13:35,37.990,38.140,37.700,37.920,3980596.0,105100
2025-4-8,13:40,37.820,38.070,37.760,38.040,4750531.0,125500
2025-4-8,13:45,38.020,38.070,37.520,37.620,4127249.0,109300
2025-4-8,13:50,37.550,37.660,37.110,37.500,4875347.0,130000
2025-4-8,13:55,37.500,37.630,37.410,37.480,2735720.0,72900
2025-4-8,14:00,37.500,37.900,37.420,37.860,10225709.0,271600
