日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,294.000,298.850,293.050,296.160,353599584.0,1197000
2025-3-31,09:40,296.180,301.860,296.040,300.000,142204928.0,474600
2025-3-31,09:45,300.100,300.240,297.100,297.120,89538352.0,299700
2025-3-31,09:50,297.140,297.140,293.040,294.700,170628704.0,579400
2025-3-31,09:55,294.910,298.010,294.910,297.100,80520816.0,271400
2025-3-31,10:00,297.120,297.850,296.410,296.940,62228100.0,209300
2025-3-31,10:05,296.940,297.830,296.800,297.070,44749676.0,150500
2025-3-31,10:10,297.070,297.310,296.000,296.860,33077332.0,111400
2025-3-31,10:15,296.850,296.850,295.400,295.500,38627400.0,130600
2025-3-31,10:20,295.490,296.000,295.000,295.680,40228148.0,136200
2025-3-31,10:25,295.690,295.710,294.620,294.940,33286812.0,112800
2025-3-31,10:30,294.970,294.970,293.980,294.100,46356448.0,157500
2025-3-31,10:35,294.080,294.620,294.080,294.610,83756480.0,284600
2025-3-31,10:40,294.610,295.390,294.000,294.130,42074528.0,142800
2025-3-31,10:45,294.010,294.860,294.010,294.860,28032712.0,95300
2025-3-31,10:50,294.850,294.850,294.130,294.460,20875676.0,70800
2025-3-31,10:55,294.460,294.810,293.840,294.070,22449590.0,76300
2025-3-31,11:00,294.140,294.230,293.330,293.910,65237644.0,222100
2025-3-31,11:05,293.870,293.870,293.310,293.310,28978328.0,98700
2025-3-31,11:10,293.310,293.370,292.440,292.950,38221644.0,130400
2025-3-31,11:15,292.940,293.010,292.700,292.850,37833008.0,129200
2025-3-31,11:20,292.850,294.300,292.850,293.960,52361616.0,178300
2025-3-31,11:25,293.960,294.500,293.500,294.000,33910824.0,115300
2025-3-31,11:30,294.010,294.010,292.740,292.880,21441994.0,73100
2025-3-31,13:05,292.880,294.300,292.690,294.260,49558752.0,169000
2025-3-31,13:10,294.500,295.400,294.300,294.880,30862702.0,104700
2025-3-31,13:15,294.940,295.860,294.430,294.990,26788606.0,90800
2025-3-31,13:20,295.400,295.520,294.300,295.100,16700544.0,56600
2025-3-31,13:25,294.740,295.790,294.310,295.750,41054740.0,139200
2025-3-31,13:30,295.750,295.970,295.200,295.310,15930738.0,53900
2025-3-31,13:35,295.310,295.790,294.800,295.460,19467962.0,65900
2025-3-31,13:40,295.460,296.160,295.280,296.160,15649921.0,53000
2025-3-31,13:45,296.150,296.630,296.090,296.330,17745356.0,59800
2025-3-31,13:50,296.440,296.600,296.210,296.600,13798404.0,46600
2025-3-31,13:55,296.600,297.840,296.570,296.880,21813416.0,73400
2025-3-31,14:00,297.050,297.520,296.830,297.500,19459912.0,65500
2025-3-31,14:05,297.400,297.700,296.700,297.070,21160706.0,71200
2025-3-31,14:10,297.060,298.160,297.060,298.010,24880564.0,83600
2025-3-31,14:15,298.150,298.890,297.630,298.000,30934744.0,103700
2025-3-31,14:20,298.100,299.320,298.060,298.600,39430260.0,131900
2025-3-31,14:25,298.610,300.550,298.600,299.590,50093400.0,167200
2025-3-31,14:30,299.590,299.830,298.370,298.460,39932816.0,133600
2025-3-31,14:35,298.480,299.860,298.090,299.030,69911720.0,233600
2025-3-31,14:40,299.040,300.000,298.700,299.540,49649800.0,165800
2025-3-31,14:45,299.550,299.790,299.100,299.530,39050564.0,130400
2025-3-31,14:50,299.510,299.970,299.200,299.570,28993936.0,96800
2025-3-31,14:55,299.200,299.400,298.630,299.000,55901412.0,187000
2025-3-31,15:00,298.890,299.490,298.600,299.120,60934528.0,203700
2025-4-1,09:35,301.000,301.610,299.000,301.500,104350400.0,347500
2025-4-1,09:40,301.280,301.810,299.200,299.520,43974144.0,146600
2025-4-1,09:45,299.440,300.450,298.510,299.990,46722080.0,156100
2025-4-1,09:50,300.200,300.320,299.120,299.450,20741884.0,69200
2025-4-1,09:55,299.430,299.430,297.060,298.690,31208386.0,104600
2025-4-1,10:00,298.620,299.500,297.420,299.320,25375796.0,85100
2025-4-1,10:05,299.200,300.750,299.070,300.150,58589352.0,195300
2025-4-1,10:10,300.010,302.500,299.970,302.500,69537824.0,230900
2025-4-1,10:15,302.450,303.500,301.850,303.500,74743952.0,246800
2025-4-1,10:20,303.660,304.630,303.480,304.630,61545300.0,202500
2025-4-1,10:25,304.670,304.930,302.620,302.880,39140728.0,128700
2025-4-1,10:30,303.070,303.070,302.010,302.650,23169988.0,76700
2025-4-1,10:35,302.640,302.980,302.240,302.650,18521164.0,61200
2025-4-1,10:40,302.690,302.720,301.180,302.300,25197808.0,83400
2025-4-1,10:45,302.300,302.410,301.610,302.300,17643464.0,58400
2025-4-1,10:50,302.300,302.530,301.610,301.890,11736665.0,38800
2025-4-1,10:55,301.830,302.000,301.030,301.580,15676446.0,52000
2025-4-1,11:00,301.610,301.610,300.830,301.070,15087540.0,50100
2025-4-1,11:05,301.070,301.070,300.400,300.680,13496528.0,44900
2025-4-1,11:10,300.550,300.550,300.030,300.530,12927703.0,43100
2025-4-1,11:15,300.550,300.810,300.010,300.700,8624600.0,28700
2025-4-1,11:20,300.750,300.910,300.120,300.910,11716815.0,39000
2025-4-1,11:25,300.760,300.910,300.300,300.460,9638453.0,32000
2025-4-1,11:30,300.300,300.380,299.800,300.170,12526240.0,41800
2025-4-1,13:05,300.170,300.170,298.030,298.050,23245384.0,77700
2025-4-1,13:10,298.140,298.530,297.570,297.990,27525396.0,92300
2025-4-1,13:15,297.720,298.180,297.720,298.010,12242486.0,41100
2025-4-1,13:20,298.010,298.160,297.870,297.930,13193709.0,44300
2025-4-1,13:25,298.000,298.030,296.740,296.740,26226326.0,88200
2025-4-1,13:30,296.870,297.190,296.740,296.810,14936343.0,50300
2025-4-1,13:35,296.800,296.950,296.270,296.560,17786324.0,59900
2025-4-1,13:40,296.580,296.800,296.380,296.760,11937435.0,40300
2025-4-1,13:45,296.780,297.440,296.780,297.410,11727387.0,39500
2025-4-1,13:50,297.650,298.590,297.490,298.200,18233394.0,61100
2025-4-1,13:55,297.960,298.330,297.500,297.500,11922011.0,40100
2025-4-1,14:00,297.470,297.870,297.460,297.520,11231063.0,37700
2025-4-1,14:05,297.660,297.790,296.870,296.920,14879506.0,50100
2025-4-1,14:10,296.810,297.390,296.510,296.840,19129508.0,64400
2025-4-1,14:15,296.800,297.090,296.510,296.720,16154307.0,54400
2025-4-1,14:20,296.940,296.940,296.400,296.480,14130254.0,47600
2025-4-1,14:25,296.480,296.720,296.460,296.520,12384523.0,41800
2025-4-1,14:30,296.650,297.020,296.340,296.960,21395968.0,72100
2025-4-1,14:35,296.690,297.260,296.170,296.170,26996804.0,91000
2025-4-1,14:40,296.310,296.500,296.080,296.180,20153652.0,68000
2025-4-1,14:45,296.180,296.360,296.080,296.100,19388480.0,65500
2025-4-1,14:50,296.260,296.270,295.540,295.570,39102328.0,132200
2025-4-1,14:55,295.580,295.950,295.480,295.700,50810656.0,171800
2025-4-1,15:00,295.500,295.690,295.030,295.480,37415608.0,126700
2025-4-2,09:35,296.000,298.660,296.000,297.600,61874020.0,208000
2025-4-2,09:40,297.410,298.370,296.510,296.510,37243688.0,125100
2025-4-2,09:45,296.520,297.780,296.320,296.770,22046132.0,74200
2025-4-2,09:50,296.970,298.000,296.100,298.000,17145552.0,57800
2025-4-2,09:55,298.010,298.330,297.710,297.710,23081968.0,77400
2025-4-2,10:00,297.710,298.280,297.270,298.230,17955202.0,60300
2025-4-2,10:05,298.210,298.680,297.870,298.600,21327594.0,71500
2025-4-2,10:10,298.450,299.000,298.010,298.500,26492200.0,88700
