日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-6-30,09:35,21.800,22.010,21.450,21.860,160008880.0,7330500
2025-6-30,09:40,21.830,22.360,21.810,22.230,133092592.0,6015500
2025-6-30,09:45,22.220,22.220,21.890,22.090,89058320.0,4038000
2025-6-30,09:50,22.080,22.300,21.990,22.250,61202696.0,2760200
2025-6-30,09:55,22.240,22.500,22.190,22.460,110731848.0,4948400
2025-6-30,10:00,22.480,22.780,22.420,22.730,121472936.0,5364600
2025-6-30,10:05,22.740,22.850,22.650,22.780,84391408.0,3709700
2025-6-30,10:10,22.780,22.960,22.780,22.910,101807072.0,4450800
2025-6-30,10:15,22.910,23.220,22.860,23.110,134148416.0,5835000
2025-6-30,10:20,23.140,23.300,23.130,23.240,79757296.0,3432800
2025-6-30,10:25,23.250,23.480,23.250,23.410,103240064.0,4416000
2025-6-30,10:30,23.400,23.510,23.330,23.490,52556624.0,2242700
2025-6-30,10:35,23.480,23.550,23.430,23.480,98125656.0,4174400
2025-6-30,10:40,23.500,23.540,23.460,23.530,48235572.0,2052700
2025-6-30,10:45,23.540,23.550,23.470,23.550,46111272.0,1959600
2025-6-30,10:50,23.550,23.550,23.540,23.550,47017320.0,1996500
2025-6-30,10:55,23.550,23.550,23.550,23.550,6582225.0,279500
2025-6-30,11:00,23.550,23.550,23.550,23.550,4260195.0,180900
2025-6-30,11:05,23.550,23.550,23.550,23.550,58274472.0,2474500
2025-6-30,11:10,23.550,23.550,23.550,23.550,13468245.0,571900
2025-6-30,11:15,23.550,23.550,23.550,23.550,6984930.0,296600
2025-6-30,11:20,23.550,23.550,23.550,23.550,2178375.0,92500
2025-6-30,11:25,23.550,23.550,23.550,23.550,751245.0,31900
2025-6-30,11:30,23.550,23.550,23.550,23.550,2498655.0,106100
2025-6-30,13:05,23.550,23.550,23.550,23.550,7797099.0,331100
2025-6-30,13:10,23.550,23.550,23.550,23.550,824250.0,35000
2025-6-30,13:15,23.550,23.550,23.550,23.550,9580140.0,406800
2025-6-30,13:20,23.550,23.550,23.550,23.550,960840.0,40800
2025-6-30,13:25,23.550,23.550,23.550,23.550,617010.0,26200
2025-6-30,13:30,23.550,23.550,23.550,23.550,1022070.0,43400
2025-6-30,13:35,23.550,23.550,23.550,23.550,9224535.0,391700
2025-6-30,13:40,23.550,23.550,23.550,23.550,22009830.0,934600
2025-6-30,13:45,23.550,23.550,23.310,23.390,169716544.0,7224800
2025-6-30,13:50,23.370,23.530,23.330,23.480,54879772.0,2341200
2025-6-30,13:55,23.480,23.520,23.440,23.520,35563920.0,1514500
2025-6-30,14:00,23.520,23.550,23.510,23.550,40000480.0,1698900
2025-6-30,14:05,23.550,23.550,23.550,23.550,4005855.0,170100
2025-6-30,14:10,23.550,23.550,23.550,23.550,1339995.0,56900
2025-6-30,14:15,23.550,23.550,23.550,23.550,1822770.0,77400
2025-6-30,14:20,23.550,23.550,23.550,23.550,1599045.0,67900
2025-6-30,14:25,23.550,23.550,23.550,23.550,2616405.0,111100
2025-6-30,14:30,23.550,23.550,23.550,23.550,2317320.0,98400
2025-6-30,14:35,23.550,23.550,23.550,23.550,1033845.0,43900
2025-6-30,14:40,23.550,23.550,23.550,23.550,1151595.0,48900
2025-6-30,14:45,23.550,23.550,23.550,23.550,2253735.0,95700
2025-6-30,14:50,23.550,23.550,23.550,23.550,2378550.0,101000
