日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-6-30,09:35,185.000,189.000,181.550,188.800,164944032.0,891700
2025-6-30,09:40,189.000,190.000,184.790,186.270,127633936.0,679700
2025-6-30,09:45,186.270,188.660,185.290,185.320,59803424.0,320700
2025-6-30,09:50,185.320,187.980,183.790,187.000,36054688.0,194100
2025-6-30,09:55,186.940,188.000,185.050,187.030,28377452.0,151300
2025-6-30,10:00,187.620,187.980,186.610,186.800,14944392.0,79800
2025-6-30,10:05,186.830,187.330,185.000,186.400,17024204.0,91400
2025-6-30,10:10,187.290,188.800,186.030,186.480,36216712.0,193100
2025-6-30,10:15,186.510,188.800,186.510,188.000,19333820.0,102900
2025-6-30,10:20,188.050,188.980,188.050,188.690,22722084.0,120500
2025-6-30,10:25,188.050,188.910,188.000,188.740,13165458.0,69900
2025-6-30,10:30,188.700,188.830,187.710,187.710,14090760.0,74700
2025-6-30,10:35,187.720,188.530,186.100,187.030,12241225.0,65400
2025-6-30,10:40,186.990,187.230,186.300,187.230,11779127.0,63100
2025-6-30,10:45,187.120,188.880,186.770,188.880,14979517.0,79800
2025-6-30,10:50,188.880,191.580,188.880,191.100,37697804.0,197800
2025-6-30,10:55,190.630,190.630,188.010,188.050,11545494.0,60800
2025-6-30,11:00,188.070,190.000,187.270,190.000,15961729.0,84700
2025-6-30,11:05,190.000,190.720,189.360,190.450,19891488.0,104600
2025-6-30,11:10,190.030,191.580,189.700,191.560,17391504.0,91300
2025-6-30,11:15,191.210,191.550,190.000,190.620,8805559.0,46100
2025-6-30,11:20,191.340,191.540,190.660,191.370,14908730.0,77900
2025-6-30,11:25,190.910,191.580,190.690,191.150,12904752.0,67500
2025-6-30,11:30,191.140,193.100,191.140,193.100,32177300.0,167500
2025-6-30,13:05,193.330,196.000,193.100,193.460,34353740.0,176600
2025-6-30,13:10,194.170,195.970,193.050,194.950,16311945.0,84000
2025-6-30,13:15,193.710,194.950,193.010,193.010,9961730.0,51400
2025-6-30,13:20,192.900,193.400,190.530,190.530,18867206.0,98200
2025-6-30,13:25,191.200,191.280,190.020,190.020,8928966.0,46800
2025-6-30,13:30,190.970,192.300,190.040,191.000,12387240.0,64700
2025-6-30,13:35,190.800,192.980,190.800,190.890,16038276.0,83800
2025-6-30,13:40,190.890,193.500,190.880,193.390,16819884.0,87500
2025-6-30,13:45,192.550,193.500,189.000,189.100,26271388.0,137600
2025-6-30,13:50,189.100,190.000,185.000,185.040,36173636.0,192700
2025-6-30,13:55,185.300,188.650,185.300,188.410,41807444.0,223800
2025-6-30,14:00,188.440,188.930,187.260,188.900,14717747.0,78400
2025-6-30,14:05,188.310,190.030,188.300,190.000,15077517.0,79600
2025-6-30,14:10,190.020,190.490,188.320,188.850,9540270.0,50400
2025-6-30,14:15,189.120,189.650,188.330,188.900,11895677.0,63000
2025-6-30,14:20,189.000,190.000,188.450,189.090,13553100.0,71600
2025-6-30,14:25,189.010,189.800,188.560,189.000,9056704.0,47900
2025-6-30,14:30,189.000,191.480,189.000,191.400,17410288.0,91400
