日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-6-30,09:35,54.910,56.600,50.120,50.590,109270912.0,2044000
2025-6-30,09:40,50.770,51.450,50.170,51.340,22832864.0,449900
2025-6-30,09:45,51.100,51.600,50.540,51.380,16658865.0,325200
2025-6-30,09:50,51.350,52.170,50.600,52.130,13246183.0,256800
2025-6-30,09:55,52.070,52.090,51.110,51.110,8632782.0,167500
2025-6-30,10:00,51.080,51.080,50.730,50.860,4479942.0,88000
2025-6-30,10:05,50.840,50.840,50.350,50.460,7933832.5,156800
2025-6-30,10:10,50.470,50.640,50.420,50.480,4535392.5,89800
2025-6-30,10:15,50.460,50.470,50.200,50.330,6791602.0,135000
2025-6-30,10:20,50.330,50.490,50.320,50.430,2415395.0,47900
2025-6-30,10:25,50.410,50.580,50.410,50.490,2104758.0,41700
2025-6-30,10:30,50.470,50.730,50.460,50.510,3373576.0,66600
2025-6-30,10:35,50.510,51.100,50.510,51.070,4244950.0,83500
2025-6-30,10:40,51.110,51.350,51.110,51.180,3765966.0,73500
2025-6-30,10:45,51.180,51.460,51.150,51.290,3783627.0,73700
2025-6-30,10:50,51.290,51.410,51.060,51.070,2462273.0,48000
2025-6-30,10:55,51.170,51.300,50.930,51.260,2692378.75,52600
2025-6-30,11:00,51.060,51.230,50.980,50.980,1149570.0,22500
2025-6-30,11:05,50.990,51.050,50.600,50.610,2284429.0,44900
2025-6-30,11:10,50.620,50.960,50.620,50.950,2289086.0,45000
2025-6-30,11:15,50.960,51.020,50.920,50.930,1350589.0,26500
2025-6-30,11:20,50.930,50.930,50.790,50.830,1627524.0,32000
2025-6-30,11:25,50.840,50.870,50.820,50.860,972045.125,19200
2025-6-30,11:30,50.860,50.900,50.860,50.900,737634.0,14500
2025-6-30,13:05,50.880,50.940,50.750,50.800,2153283.0,42300
2025-6-30,13:10,50.820,50.930,50.820,50.920,1444197.0,28400
2025-6-30,13:15,50.910,50.920,50.870,50.890,839930.0,16500
2025-6-30,13:20,50.870,50.900,50.860,50.900,1167179.25,22900
2025-6-30,13:25,50.890,50.930,50.870,50.870,1763449.5,34700
2025-6-30,13:30,50.870,50.900,50.870,50.880,1150057.0,22600
2025-6-30,13:35,50.880,50.890,50.870,50.890,646188.0,12700
2025-6-30,13:40,50.890,50.910,50.870,50.890,1562187.0,30700
2025-6-30,13:45,50.890,50.900,50.870,50.870,1801395.0,35400
2025-6-30,13:50,50.870,50.870,50.680,50.680,2278134.75,44800
2025-6-30,13:55,50.690,50.690,50.570,50.580,2056826.0,40600
2025-6-30,14:00,50.580,50.590,50.560,50.560,1127710.0,22300
