日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-7-1,09:35,10.650,10.690,10.610,10.670,62970872.0,5906900
2024-7-1,09:40,10.660,10.720,10.650,10.720,40398312.0,3781100
2024-7-1,09:45,10.720,10.740,10.700,10.710,46312184.0,4321000
2024-7-1,09:50,10.710,10.780,10.680,10.770,56788036.0,5290000
2024-7-1,09:55,10.770,10.800,10.770,10.770,66562740.0,6173200
2024-7-1,10:00,10.780,10.820,10.770,10.820,57021680.0,5282900
2024-7-1,10:05,10.820,10.830,10.780,10.800,59449936.0,5505600
2024-7-1,10:10,10.800,10.840,10.800,10.840,25807986.0,2386500
2024-7-1,10:15,10.830,10.850,10.790,10.790,53984700.0,4985700
2024-7-1,10:20,10.790,10.810,10.780,10.800,27648556.0,2560800
2024-7-1,10:25,10.810,10.830,10.800,10.820,16822516.0,1554300
2024-7-1,10:30,10.820,10.820,10.800,10.810,15594238.0,1442500
2024-7-1,10:35,10.800,10.810,10.780,10.780,25734552.0,2384800
2024-7-1,10:40,10.780,10.840,10.770,10.830,26579452.0,2461700
2024-7-1,10:45,10.840,10.850,10.820,10.830,30487744.0,2812000
2024-7-1,10:50,10.830,10.860,10.820,10.860,17158284.0,1582100
2024-7-1,10:55,10.860,10.890,10.850,10.890,43816524.0,4029100
2024-7-1,11:00,10.880,10.940,10.880,10.930,51900388.0,4760900
2024-7-1,11:05,10.930,10.950,10.920,10.930,43893436.0,4011700
2024-7-1,11:10,10.940,10.950,10.920,10.950,34239360.0,3129900
2024-7-1,11:15,10.950,11.010,10.950,11.010,104660112.0,9523000
2024-7-1,11:20,11.020,11.060,11.010,11.040,64037028.0,5804200
2024-7-1,11:25,11.050,11.080,10.990,11.000,51679140.0,4680100
2024-7-1,11:30,11.010,11.010,10.950,10.970,24166054.0,2200700
2024-7-1,13:05,11.000,11.000,10.900,10.910,39601460.0,3614100
2024-7-1,13:10,10.920,10.920,10.880,10.880,39994060.0,3670200
2024-7-1,13:15,10.870,10.910,10.870,10.870,28449320.0,2613800
2024-7-1,13:20,10.870,10.870,10.810,10.820,44039392.0,4065100
2024-7-1,13:25,10.830,10.830,10.770,10.790,45810820.0,4244000
2024-7-1,13:30,10.790,10.800,10.780,10.800,31101372.0,2882300
2024-7-1,13:35,10.800,10.820,10.790,10.810,20885488.0,1933600
2024-7-1,13:40,10.810,10.820,10.800,10.820,17114056.0,1583600
2024-7-1,13:45,10.820,10.830,10.810,10.830,19162812.0,1770400
2024-7-1,13:50,10.830,10.870,10.820,10.850,19986894.0,1841800
2024-7-1,13:55,10.860,10.880,10.850,10.860,24488558.0,2253100
2024-7-1,14:00,10.860,10.860,10.830,10.840,15045912.0,1387400
2024-7-1,14:05,10.860,10.880,10.850,10.870,20159896.0,1854900
2024-7-1,14:10,10.860,10.880,10.860,10.870,20799428.0,1913700
2024-7-1,14:15,10.870,10.870,10.860,10.870,14402154.0,1325800
2024-7-1,14:20,10.860,10.870,10.860,10.870,16444691.0,1513900
2024-7-1,14:25,10.860,10.880,10.860,10.880,16158453.0,1486500
2024-7-1,14:30,10.880,10.910,10.870,10.910,24776276.0,2276800
2024-7-1,14:35,10.910,10.940,10.900,10.940,20123048.0,1842500
2024-7-1,14:40,10.940,10.950,10.920,10.950,22855338.0,2091100
2024-7-1,14:45,10.950,10.950,10.930,10.940,20960232.0,1916600
2024-7-1,14:50,10.940,10.940,10.930,10.940,21062596.0,1926200
2024-7-1,14:55,10.940,10.950,10.930,10.940,30315360.0,2771900
2024-7-1,15:00,10.940,10.940,10.930,10.930,23591292.0,2157700
2024-7-2,09:35,10.850,10.920,10.830,10.880,115385624.0,10619100
2024-7-2,09:40,10.880,10.900,10.840,10.840,65168280.0,5994100
2024-7-2,09:45,10.840,10.880,10.800,10.840,77963424.0,7190500
2024-7-2,09:50,10.820,10.850,10.800,10.850,38982296.0,3602900
2024-7-2,09:55,10.850,10.850,10.820,10.820,27267728.0,2516600
2024-7-2,10:00,10.830,10.850,10.810,10.820,38229576.0,3530600
2024-7-2,10:05,10.820,10.830,10.780,10.830,57644224.0,5336800
2024-7-2,10:10,10.830,10.880,10.810,10.880,32783546.0,3024700
2024-7-2,10:15,10.880,10.900,10.870,10.900,26242852.0,2410900
2024-7-2,10:20,10.900,10.930,10.890,10.900,30984840.0,2840200
2024-7-2,10:25,10.900,10.930,10.890,10.890,27464510.0,2516900
2024-7-2,10:30,10.890,10.920,10.880,10.900,28015138.0,2570100
2024-7-2,10:35,10.900,10.940,10.890,10.900,22010718.0,2016100
