日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-7-1,09:35,12.610,12.740,12.580,12.740,8984554.0,709800
2024-7-1,09:40,12.740,12.800,12.710,12.790,8171414.0,640400
2024-7-1,09:45,12.790,12.840,12.740,12.780,6278282.0,491100
2024-7-1,09:50,12.780,12.820,12.770,12.820,4668384.0,365000
2024-7-1,09:55,12.830,12.840,12.810,12.830,3875012.0,302100
2024-7-1,10:00,12.820,12.850,12.820,12.830,2563426.0,199700
2024-7-1,10:05,12.830,12.850,12.830,12.850,3167136.0,246700
2024-7-1,10:10,12.850,12.890,12.840,12.870,4745778.0,368900
2024-7-1,10:15,12.870,12.880,12.850,12.870,3230779.0,251100
2024-7-1,10:20,12.870,12.870,12.820,12.840,3188775.0,248300
2024-7-1,10:25,12.840,12.850,12.830,12.850,1384788.0,107900
2024-7-1,10:30,12.850,12.880,12.840,12.880,1927012.0,149900
2024-7-1,10:35,12.880,12.880,12.830,12.840,1464592.0,114000
2024-7-1,10:40,12.840,12.920,12.830,12.920,2367008.0,183800
2024-7-1,10:45,12.910,12.950,12.900,12.900,2397305.0,185500
2024-7-1,10:50,12.900,12.930,12.900,12.930,855047.0,66200
2024-7-1,10:55,12.930,12.940,12.920,12.930,1497287.0,115800
2024-7-1,11:00,12.920,12.940,12.910,12.930,1596367.0,123500
2024-7-1,11:05,12.930,13.060,12.930,12.990,6001704.0,462300
2024-7-1,11:10,13.000,13.000,12.960,12.970,1848814.0,142400
2024-7-1,11:15,12.970,13.010,12.970,13.010,1403206.0,108000
2024-7-1,11:20,13.000,13.010,12.960,12.970,2052047.0,157900
2024-7-1,11:25,12.970,12.970,12.960,12.970,584814.0,45100
2024-7-1,11:30,12.970,12.970,12.940,12.960,1083311.0,83600
2024-7-1,13:05,12.960,12.990,12.950,12.980,2261731.0,174400
2024-7-1,13:10,12.980,12.980,12.950,12.960,1642498.0,126700
2024-7-1,13:15,12.960,12.970,12.950,12.970,1049851.0,81000
2024-7-1,13:20,12.970,12.970,12.930,12.940,2329156.0,179900
2024-7-1,13:25,12.940,12.950,12.880,12.890,3060576.0,237100
2024-7-1,13:30,12.890,12.890,12.840,12.850,2987304.0,232300
2024-7-1,13:35,12.860,12.940,12.860,12.940,2524857.0,195900
2024-7-1,13:40,12.940,12.960,12.920,12.930,2005258.0,155000
2024-7-1,13:45,12.930,12.940,12.920,12.940,847222.0,65500
2024-7-1,13:50,12.930,12.940,12.900,12.940,1676445.0,129700
2024-7-1,13:55,12.940,12.950,12.930,12.950,1013395.0,78300
2024-7-1,14:00,12.940,12.950,12.910,12.940,1920885.0,148500
2024-7-1,14:05,12.950,12.950,12.920,12.930,1211721.0,93700
2024-7-1,14:10,12.930,12.940,12.910,12.920,1832397.0,141800
2024-7-1,14:15,12.920,12.920,12.890,12.900,1349607.0,104600
2024-7-1,14:20,12.900,12.910,12.870,12.900,1331986.0,103300
2024-7-1,14:25,12.900,12.910,12.880,12.910,1249309.0,96900
2024-7-1,14:30,12.910,12.920,12.880,12.920,1980810.0,153500
2024-7-1,14:35,12.920,12.980,12.910,12.980,3500107.0,270300
2024-7-1,14:40,12.980,13.050,12.950,12.990,9511341.0,732300
2024-7-1,14:45,13.000,13.090,12.980,13.060,5337368.0,409400
2024-7-1,14:50,13.100,13.100,13.030,13.080,7747574.0,592800
2024-7-1,14:55,13.070,13.130,13.030,13.080,5762809.0,440700
2024-7-1,15:00,13.080,13.080,13.020,13.030,2204835.0,169000
2024-7-2,09:35,12.950,13.060,12.950,13.050,8613394.0,662400
2024-7-2,09:40,13.050,13.070,12.990,12.990,3631635.0,278600
2024-7-2,09:45,12.990,13.070,12.990,13.020,4647732.0,356700
2024-7-2,09:50,13.030,13.060,12.980,13.050,3052971.0,234500
2024-7-2,09:55,13.040,13.060,13.010,13.050,2429171.0,186200
2024-7-2,10:00,13.050,13.070,12.920,12.940,3152495.0,242200
2024-7-2,10:05,12.930,13.000,12.910,13.000,2815759.0,217400
