日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-7-1,09:35,11.850,11.950,11.820,11.950,12237553.0,1030100
2024-7-1,09:40,11.940,12.040,11.930,11.990,15621486.0,1302200
2024-7-1,09:45,11.980,12.030,11.980,12.000,6877583.0,573200
2024-7-1,09:50,12.010,12.040,11.970,12.040,7734485.0,644300
2024-7-1,09:55,12.040,12.050,12.010,12.020,5114070.0,425200
2024-7-1,10:00,12.030,12.050,12.010,12.030,3904249.0,324500
2024-7-1,10:05,12.030,12.070,12.020,12.070,5940651.0,493100
2024-7-1,10:10,12.060,12.090,12.050,12.070,7264752.0,601700
2024-7-1,10:15,12.080,12.090,12.060,12.060,4539398.0,375900
2024-7-1,10:20,12.060,12.110,12.060,12.060,7685065.0,636100
2024-7-1,10:25,12.060,12.090,12.050,12.070,3918343.0,324500
2024-7-1,10:30,12.070,12.080,12.030,12.040,5399912.0,447700
2024-7-1,10:35,12.030,12.120,12.030,12.110,8336602.0,689500
2024-7-1,10:40,12.090,12.110,12.070,12.100,3566369.0,295000
2024-7-1,10:45,12.100,12.110,12.090,12.110,4395476.0,363200
2024-7-1,10:50,12.110,12.140,12.110,12.120,6865836.0,566300
2024-7-1,10:55,12.130,12.130,12.080,12.100,4002277.0,330600
2024-7-1,11:00,12.090,12.110,12.080,12.110,3374678.75,279000
2024-7-1,11:05,12.110,12.150,12.110,12.140,4246160.0,349900
2024-7-1,11:10,12.140,12.150,12.130,12.150,3111078.0,256200
2024-7-1,11:15,12.150,12.160,12.130,12.130,4058740.0,334300
2024-7-1,11:20,12.140,12.170,12.120,12.170,2976574.0,244900
2024-7-1,11:25,12.160,12.170,12.150,12.150,1658884.0,136400
2024-7-1,11:30,12.150,12.160,12.130,12.140,3207984.0,264000
2024-7-1,13:05,12.130,12.150,12.100,12.140,5203279.0,429000
2024-7-1,13:10,12.140,12.160,12.130,12.130,3672289.0,302400
2024-7-1,13:15,12.140,12.170,12.140,12.150,4499289.0,370300
2024-7-1,13:20,12.150,12.150,12.050,12.070,8526222.0,704700
2024-7-1,13:25,12.070,12.080,12.030,12.080,4608910.0,382300
2024-7-1,13:30,12.070,12.100,12.060,12.060,7397806.0,613200
2024-7-1,13:35,12.060,12.100,12.030,12.100,4321023.0,358400
2024-7-1,13:40,12.090,12.130,12.090,12.110,3168874.0,261700
2024-7-1,13:45,12.100,12.120,12.100,12.100,3062233.0,253000
2024-7-1,13:50,12.100,12.130,12.100,12.120,3118469.0,257300
2024-7-1,13:55,12.120,12.120,12.080,12.080,3648285.75,301600
2024-7-1,14:00,12.090,12.100,12.050,12.080,5223143.0,432800
2024-7-1,14:05,12.070,12.100,12.060,12.090,2429523.5,201100
2024-7-1,14:10,12.080,12.100,12.060,12.060,2737774.75,226600
2024-7-1,14:15,12.060,12.100,12.060,12.100,2072812.0,171700
2024-7-1,14:20,12.080,12.100,12.070,12.070,4124995.0,341400
2024-7-1,14:25,12.070,12.090,12.060,12.080,4253635.0,352200
2024-7-1,14:30,12.080,12.080,12.050,12.050,3094665.0,256500
2024-7-1,14:35,12.050,12.080,12.050,12.080,1719169.0,142500
2024-7-1,14:40,12.070,12.090,12.060,12.080,2054250.0,170100
2024-7-1,14:45,12.080,12.090,12.070,12.090,2168474.0,179400
2024-7-1,14:50,12.090,12.110,12.080,12.100,3065660.0,253500
2024-7-1,14:55,12.100,12.110,12.090,12.100,2984461.5,246700
2024-7-1,15:00,12.110,12.110,12.090,12.110,3670104.0,303100
2024-7-2,09:35,12.110,12.220,12.100,12.180,19264564.0,1583700
2024-7-2,09:40,12.190,12.270,12.180,12.180,11027376.0,902000
2024-7-2,09:45,12.180,12.220,12.160,12.170,7923266.0,650100
2024-7-2,09:50,12.190,12.190,12.110,12.130,4873703.0,401300
2024-7-2,09:55,12.130,12.140,12.110,12.130,4747927.0,391700
2024-7-2,10:00,12.130,12.130,12.090,12.090,8541473.0,705500
2024-7-2,10:05,12.090,12.100,12.010,12.070,9977535.0,828100
2024-7-2,10:10,12.080,12.120,12.070,12.100,5257836.0,435000
2024-7-2,10:15,12.100,12.140,12.100,12.130,3394262.0,280100
2024-7-2,10:20,12.130,12.150,12.120,12.140,5906960.0,486700
2024-7-2,10:25,12.140,12.150,12.120,12.130,3009214.0,247900
2024-7-2,10:30,12.140,12.180,12.130,12.160,8015689.0,659200
2024-7-2,10:35,12.150,12.170,12.120,12.150,3597551.0,296100
2024-7-2,10:40,12.150,12.180,12.130,12.170,4362274.0,358900
2024-7-2,10:45,12.170,12.190,12.150,12.150,2504567.0,205800
2024-7-2,10:50,12.150,12.180,12.140,12.180,3013723.75,247800
2024-7-2,10:55,12.180,12.180,12.140,12.140,3871949.0,318500
2024-7-2,11:00,12.140,12.170,12.130,12.150,2830463.0,233000
2024-7-2,11:05,12.150,12.220,12.150,12.220,11656424.0,956000
2024-7-2,11:10,12.220,12.220,12.160,12.180,4576129.0,375500
2024-7-2,11:15,12.180,12.190,12.160,12.160,2541505.0,208700
2024-7-2,11:20,12.160,12.160,12.140,12.140,2079183.0,171100
2024-7-2,11:25,12.150,12.150,12.080,12.080,4197806.0,346700
2024-7-2,11:30,12.090,12.100,12.080,12.080,2215837.0,183300
2024-7-2,13:05,12.080,12.120,12.070,12.110,7453863.0,616700
2024-7-2,13:10,12.130,12.130,12.080,12.120,5174659.0,427500
2024-7-2,13:15,12.110,12.110,12.090,12.100,3458825.0,285900
2024-7-2,13:20,12.090,12.120,12.080,12.100,2858999.0,236300
2024-7-2,13:25,12.110,12.150,12.100,12.150,15782503.0,1302600
2024-7-2,13:30,12.150,12.160,12.130,12.150,4049772.0,333400
2024-7-2,13:35,12.150,12.170,12.140,12.150,4030437.0,331600
2024-7-2,13:40,12.150,12.160,12.110,12.110,6137455.0,505800
2024-7-2,13:45,12.120,12.140,12.120,12.130,2998784.0,247300
2024-7-2,13:50,12.130,12.150,12.120,12.130,4318262.0,355900
2024-7-2,13:55,12.130,12.150,12.120,12.140,3276038.0,270000
2024-7-2,14:00,12.140,12.180,12.120,12.180,5792499.5,477200
2024-7-2,14:05,12.170,12.200,12.140,12.150,4481818.0,368100
2024-7-2,14:10,12.150,12.160,12.120,12.130,1868469.0,153900
2024-7-2,14:15,12.130,12.140,12.120,12.140,1267674.0,104500
2024-7-2,14:20,12.140,12.150,12.120,12.140,3373970.0,277900
2024-7-2,14:25,12.130,12.160,12.130,12.160,2572327.0,211700
2024-7-2,14:30,12.150,12.160,12.140,12.150,2133901.0,175600
2024-7-2,14:35,12.140,12.180,12.140,12.160,5632329.0,462900
2024-7-2,14:40,12.160,12.170,12.150,12.160,2037831.375,167600
2024-7-2,14:45,12.150,12.170,12.150,12.160,3227109.0,265400
2024-7-2,14:50,12.160,12.170,12.140,12.160,4189580.0,344500
2024-7-2,14:55,12.170,12.170,12.160,12.160,3315662.0,272500
2024-7-2,15:00,12.160,12.180,12.160,12.170,5298898.0,435400
2024-7-3,09:35,12.140,12.200,12.110,12.180,6945992.0,570900
2024-7-3,09:40,12.180,12.200,12.160,12.180,4081424.0,335000
2024-7-3,09:45,12.180,12.190,12.140,12.170,5104397.0,419400
2024-7-3,09:50,12.180,12.220,12.160,12.190,8157366.0,669100
2024-7-3,09:55,12.200,12.200,12.100,12.140,6078640.0,500600
2024-7-3,10:00,12.140,12.210,12.140,12.200,5051460.0,414800
2024-7-3,10:05,12.190,12.200,12.150,12.160,3696402.0,303500
2024-7-3,10:10,12.170,12.210,12.170,12.200,2832922.0,232400
2024-7-3,10:15,12.210,12.300,12.210,12.250,12831479.0,1046300
2024-7-3,10:20,12.240,12.280,12.230,12.270,3024968.25,246900
2024-7-3,10:25,12.270,12.320,12.250,12.300,7621622.0,620500
2024-7-3,10:30,12.290,12.300,12.250,12.260,2166084.0,176400
2024-7-3,10:35,12.250,12.260,12.210,12.250,5298808.0,433200
2024-7-3,10:40,12.250,12.260,12.220,12.230,1754320.0,143300
2024-7-3,10:45,12.230,12.240,12.210,12.240,1239593.125,101400
2024-7-3,10:50,12.240,12.250,12.220,12.230,1009899.0,82500
2024-7-3,10:55,12.230,12.240,12.220,12.240,1218646.0,99600
2024-7-3,11:00,12.240,12.240,12.200,12.220,3246907.0,265600
2024-7-3,11:05,12.210,12.210,12.170,12.180,2304621.0,189100
2024-7-3,11:10,12.190,12.190,12.130,12.140,2563791.0,211000
2024-7-3,11:15,12.130,12.160,12.110,12.130,6507494.0,536400
2024-7-3,11:20,12.120,12.170,12.120,12.140,3199525.0,263500
2024-7-3,11:25,12.140,12.140,12.110,12.110,7633056.0,630300
2024-7-3,11:30,12.110,12.150,12.110,12.150,2666579.0,219900
2024-7-3,13:05,12.140,12.150,12.080,12.100,3457550.0,285300
2024-7-3,13:10,12.110,12.120,12.080,12.080,3270185.0,270300
2024-7-3,13:15,12.080,12.080,12.030,12.060,5077850.0,421300
2024-7-3,13:20,12.050,12.060,12.020,12.020,3899724.0,323900
2024-7-3,13:25,12.030,12.050,12.000,12.040,9343170.0,776800
2024-7-3,13:30,12.040,12.040,12.020,12.040,1997422.0,166000
2024-7-3,13:35,12.030,12.080,12.030,12.080,2983790.0,247500
2024-7-3,13:40,12.080,12.090,12.070,12.080,1808536.0,149700
2024-7-3,13:45,12.080,12.110,12.070,12.090,2844962.5,235400
2024-7-3,13:50,12.090,12.090,12.070,12.080,1164640.375,96400
2024-7-3,13:55,12.070,12.080,12.050,12.070,3068024.0,254300
2024-7-3,14:00,12.060,12.070,12.020,12.040,4835855.0,401600
2024-7-3,14:05,12.050,12.080,12.050,12.060,2328348.0,193000
2024-7-3,14:10,12.070,12.080,12.070,12.080,1943372.0,161000
2024-7-3,14:15,12.070,12.080,12.060,12.070,2548290.0,211100
2024-7-3,14:20,12.070,12.070,12.050,12.060,2156015.0,178800
2024-7-3,14:25,12.050,12.060,12.020,12.040,2052884.0,170500
2024-7-3,14:30,12.040,12.050,11.990,12.030,11098183.0,923900
2024-7-3,14:35,12.040,12.070,12.030,12.040,3150511.5,261600
2024-7-3,14:40,12.040,12.070,12.000,12.020,36048776.0,3002900
2024-7-3,14:45,12.010,12.030,12.010,12.030,2672118.0,222300
2024-7-3,14:50,12.030,12.090,12.020,12.080,5025208.0,416900
2024-7-3,14:55,12.060,12.070,12.040,12.060,4590332.0,380700
2024-7-3,15:00,12.060,12.080,12.040,12.040,4270847.0,354500
2024-7-4,09:35,12.010,12.140,12.010,12.080,15686915.0,1297800
2024-7-4,09:40,12.100,12.140,12.090,12.130,5874321.0,484800
2024-7-4,09:45,12.130,12.140,12.100,12.110,5062091.0,417800
2024-7-4,09:50,12.110,12.120,12.040,12.070,8850964.0,733300
2024-7-4,09:55,12.080,12.090,12.060,12.070,1605926.75,133000
2024-7-4,10:00,12.070,12.130,12.070,12.120,3284805.75,271200
2024-7-4,10:05,12.110,12.120,12.060,12.080,4847666.5,401000
2024-7-4,10:10,12.070,12.100,12.070,12.090,2539438.0,210200
2024-7-4,10:15,12.090,12.100,12.050,12.090,5451601.0,451400
2024-7-4,10:20,12.100,12.140,12.090,12.140,4734120.0,390500
2024-7-4,10:25,12.130,12.180,12.130,12.170,3968582.5,326600
2024-7-4,10:30,12.160,12.170,12.150,12.160,1947991.0,160200
2024-7-4,10:35,12.160,12.170,12.150,12.160,2473038.0,203400
2024-7-4,10:40,12.160,12.170,12.110,12.120,3546812.0,291800
2024-7-4,10:45,12.110,12.120,12.100,12.120,1888584.0,155900
2024-7-4,10:50,12.120,12.140,12.110,12.130,2214247.0,182600
2024-7-4,10:55,12.120,12.120,12.090,12.090,3655821.0,301900
2024-7-4,11:00,12.090,12.100,12.080,12.100,2174174.0,179900
2024-7-4,11:05,12.100,12.130,12.080,12.110,1945940.0,160700
2024-7-4,11:10,12.110,12.130,12.090,12.100,1906297.5,157400
2024-7-4,11:15,12.090,12.120,12.090,12.110,2147862.0,177500
2024-7-4,11:20,12.120,12.120,12.080,12.080,1423808.0,117700
2024-7-4,11:25,12.080,12.090,12.080,12.090,676676.0,56000
2024-7-4,11:30,12.090,12.100,12.050,12.080,2445605.0,202500
2024-7-4,13:05,12.080,12.090,12.060,12.060,1415175.0,117200
2024-7-4,13:10,12.070,12.080,12.060,12.060,530888.0,44000
2024-7-4,13:15,12.060,12.090,12.060,12.080,1372027.0,113600
2024-7-4,13:20,12.070,12.090,12.050,12.060,1917952.0,158900
2024-7-4,13:25,12.060,12.070,12.030,12.040,6141221.0,509900
2024-7-4,13:30,12.040,12.050,12.010,12.020,4391640.0,365000
2024-7-4,13:35,12.020,12.030,12.010,12.020,2327932.0,193700
2024-7-4,13:40,12.010,12.020,12.000,12.010,7692896.0,640900
2024-7-4,13:45,12.020,12.030,12.010,12.020,2331828.5,194000
2024-7-4,13:50,12.030,12.080,12.020,12.070,2643578.0,219400
2024-7-4,13:55,12.070,12.090,12.070,12.090,2664401.0,220500
2024-7-4,14:00,12.090,12.100,12.080,12.080,2300506.0,190300
2024-7-4,14:05,12.090,12.100,12.070,12.090,2204744.0,182400
2024-7-4,14:10,12.090,12.090,12.040,12.040,2326754.0,192900
2024-7-4,14:15,12.050,12.050,12.020,12.030,2293847.0,190600
2024-7-4,14:20,12.030,12.050,12.020,12.020,2537928.0,210900
2024-7-4,14:25,12.030,12.030,11.980,12.010,4777069.0,398000
2024-7-4,14:30,12.020,12.020,12.000,12.000,1887146.0,157100
2024-7-4,14:35,12.000,12.020,11.990,12.000,3735131.0,311200
2024-7-4,14:40,12.020,12.020,12.000,12.000,2739684.0,228100
