日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-9-30,09:35,19.180,19.840,19.180,19.820,150301776.0,76924
2024-9-30,09:40,19.840,20.050,19.800,20.000,189097136.0,94828
2024-9-30,09:45,20.000,20.100,19.780,19.780,125005312.0,62520
2024-9-30,09:50,19.760,19.780,19.480,19.540,89155968.0,45492
2024-9-30,09:55,19.560,19.580,19.460,19.480,76117184.0,39016
2024-9-30,10:00,19.480,19.680,19.420,19.440,75103744.0,38398
2024-9-30,10:05,19.460,19.500,19.220,19.220,71067328.0,36735
2024-9-30,10:10,19.240,19.440,19.180,19.400,87150336.0,45282
2024-9-30,10:15,19.400,19.660,19.400,19.540,59501952.0,30444
2024-9-30,10:20,19.540,19.700,19.520,19.680,46548800.0,23740
2024-9-30,10:25,19.700,19.820,19.680,19.680,54875840.0,27779
2024-9-30,10:30,19.660,19.760,19.640,19.700,53291136.0,27067
2024-9-30,10:35,19.700,19.720,19.600,19.620,34252928.0,17445
2024-9-30,10:40,19.620,19.660,19.520,19.600,40652928.0,20739
2024-9-30,10:45,19.620,19.980,19.620,19.920,77004416.0,38794
2024-9-30,10:50,19.960,20.200,19.940,20.000,160878976.0,80181
2024-9-30,10:55,20.000,20.100,19.800,19.840,70159488.0,35122
2024-9-30,11:00,19.840,19.860,19.780,19.840,46729472.0,23550
2024-9-30,11:05,19.820,20.050,19.820,20.050,60070016.0,30104
2024-9-30,11:10,20.000,20.100,19.980,20.100,49732608.0,24817
2024-9-30,11:15,20.050,20.400,20.050,20.400,127534592.0,63091
2024-9-30,11:20,20.400,20.500,20.300,20.350,104846080.0,51372
2024-9-30,11:25,20.400,20.450,20.050,20.100,80616448.0,39725
2024-9-30,11:30,20.150,20.350,20.000,20.250,65791744.0,32635
2024-9-30,11:35,20.300,20.400,20.100,20.350,54881920.0,27080
2024-9-30,11:40,20.400,20.450,20.200,20.400,76761856.0,37681
2024-9-30,11:45,20.400,20.700,20.400,20.600,146697344.0,71311
2024-9-30,11:50,20.600,20.700,20.500,20.600,48396288.0,23495
2024-9-30,11:55,20.550,20.650,20.500,20.600,41864448.0,20349
2024-9-30,12:00,20.600,20.750,20.550,20.650,47449856.0,22980
2024-9-30,13:05,20.750,20.950,20.650,20.750,146070528.0,70182
2024-9-30,13:10,20.750,21.000,20.700,20.950,72748032.0,34895
2024-9-30,13:15,20.950,21.000,20.850,20.950,130345216.0,62240
2024-9-30,13:20,20.950,20.950,20.500,20.500,68707328.0,33122
2024-9-30,13:25,20.500,20.700,20.450,20.650,51784192.0,25182
2024-9-30,13:30,20.650,20.750,20.600,20.700,41707776.0,20175
2024-9-30,13:35,20.700,20.900,20.650,20.800,49355776.0,23740
2024-9-30,13:40,20.800,20.950,20.750,20.950,73197056.0,35089
2024-9-30,13:45,20.950,21.100,20.900,21.050,110770944.0,52746
2024-9-30,13:50,21.050,21.100,20.950,21.000,75468032.0,35885
2024-9-30,13:55,21.000,21.200,20.900,21.200,93287424.0,44275
2024-9-30,14:00,21.150,21.300,21.050,21.100,83281664.0,39293
2024-9-30,14:05,21.050,21.250,21.050,21.150,73685504.0,34856
2024-9-30,14:10,21.200,21.250,21.100,21.200,61830144.0,29175
2024-9-30,14:15,21.150,21.400,21.150,21.300,77683456.0,36463
2024-9-30,14:20,21.250,21.250,21.000,21.150,96240128.0,45610
2024-9-30,14:25,21.100,21.200,20.900,21.000,44775936.0,21226
2024-9-30,14:30,20.950,21.000,20.600,20.650,53135104.0,25575
2024-9-30,14:35,20.650,20.650,20.150,20.300,132840192.0,65239
2024-9-30,14:40,20.300,20.700,20.300,20.550,87378432.0,42512
2024-9-30,14:45,20.550,20.900,20.550,20.800,78499328.0,37876
2024-9-30,14:50,20.750,20.950,20.700,20.750,53835520.0,25869
2024-9-30,14:55,20.750,21.000,20.750,21.000,45109248.0,21595
2024-9-30,15:00,21.000,21.000,20.800,20.850,52742144.0,25246
2024-9-30,15:05,20.850,20.850,20.550,20.650,38412544.0,18600
2024-9-30,15:10,20.700,20.800,20.650,20.800,26205696.0,12647
2024-9-30,15:15,20.800,20.900,20.800,20.850,34186240.0,16399
2024-9-30,15:20,20.800,20.900,20.800,20.850,24993792.0,11990
2024-9-30,15:25,20.850,20.900,20.750,20.750,49647104.0,23836
2024-9-30,15:30,20.750,20.800,20.600,20.650,29648384.0,14314
2024-9-30,15:35,20.600,20.650,20.350,20.400,54591488.0,26640
2024-9-30,15:40,20.400,20.500,20.300,20.300,37362688.0,18303
2024-9-30,15:45,20.300,20.550,20.300,20.500,39582208.0,19392
2024-9-30,15:50,20.450,20.550,20.400,20.550,34338304.0,16755
2024-9-30,15:55,20.550,20.600,20.500,20.600,29689344.0,14436
2024-9-30,16:00,20.600,20.850,20.550,20.850,99621376.0,47971
2024-10-2,09:35,21.500,22.150,21.500,22.100,124406160.0,57255
2024-10-2,09:40,22.150,22.150,21.650,21.650,52131808.0,23807
2024-10-2,09:45,21.650,22.000,21.650,21.850,53225088.0,24362
2024-10-2,09:50,21.750,22.100,21.700,22.050,42521104.0,19385
2024-10-2,09:55,22.000,22.150,22.000,22.050,51944512.0,23539
2024-10-2,10:00,22.000,22.150,22.000,22.100,45413760.0,20555
2024-10-2,10:05,22.150,22.150,21.800,21.950,78472256.0,35711
2024-10-2,10:10,21.900,22.200,21.900,22.200,67724576.0,30645
2024-10-2,10:15,22.200,22.400,22.100,22.300,89057568.0,39958
2024-10-2,10:20,22.300,22.600,22.200,22.550,86569600.0,38585
2024-10-2,10:25,22.500,22.550,22.200,22.450,56418688.0,25179
2024-10-2,10:30,22.450,22.500,22.350,22.450,30293248.0,13501
2024-10-2,10:35,22.450,22.500,22.400,22.450,55857920.0,24881
2024-10-2,10:40,22.450,22.500,22.200,22.300,24702400.0,11070
2024-10-2,10:45,22.300,22.300,22.100,22.100,22276928.0,10032
2024-10-2,10:50,22.100,22.200,22.000,22.200,29834368.0,13477
2024-10-2,10:55,22.200,22.400,22.150,22.400,20967808.0,9420
2024-10-2,11:00,22.400,22.400,22.300,22.350,14652224.0,6548
2024-10-2,11:05,22.350,22.450,22.300,22.400,15838464.0,7087
2024-10-2,11:10,22.450,22.450,22.350,22.350,9876736.0,4411
2024-10-2,11:15,22.350,22.450,22.300,22.400,14628032.0,6530
2024-10-2,11:20,22.400,22.450,22.350,22.400,17513216.0,7823
2024-10-2,11:25,22.400,22.400,22.300,22.350,11828352.0,5285
2024-10-2,11:30,22.350,22.400,22.300,22.350,18259136.0,8175
2024-10-2,11:35,22.400,22.400,22.250,22.350,35751616.0,16009
2024-10-2,11:40,22.400,22.500,22.300,22.500,18306112.0,8160
2024-10-2,11:45,22.500,22.550,22.350,22.450,46049664.0,20509
2024-10-2,11:50,22.400,22.450,22.250,22.300,23305344.0,10415
2024-10-2,11:55,22.300,22.450,22.250,22.350,38502656.0,17230
2024-10-2,12:00,22.350,22.350,22.200,22.350,27385472.0,12301
2024-10-2,13:05,22.350,22.450,22.300,22.450,38152192.0,17047
2024-10-2,13:10,22.450,22.500,22.350,22.350,21361024.0,9530
2024-10-2,13:15,22.400,22.450,22.350,22.350,9807104.0,4382
2024-10-2,13:20,22.350,22.500,22.300,22.450,17749120.0,7924
2024-10-2,13:25,22.450,22.450,22.300,22.350,23209728.0,10376
2024-10-2,13:30,22.400,22.400,22.200,22.200,28577792.0,12824
2024-10-2,13:35,22.200,22.300,22.000,22.100,65694720.0,29673
2024-10-2,13:40,22.050,22.150,21.900,22.100,52474368.0,23835
2024-10-2,13:45,22.050,22.150,21.900,21.900,24099584.0,10950
2024-10-2,13:50,21.900,22.150,21.850,22.000,32365312.0,14744
2024-10-2,13:55,21.950,22.000,21.750,21.800,32898176.0,15050
2024-10-2,14:00,21.750,22.000,21.700,21.950,23979648.0,10960
2024-10-2,14:05,22.000,22.000,21.800,21.800,26157696.0,11927
2024-10-2,14:10,21.800,21.850,21.750,21.750,21015424.0,9640
2024-10-2,14:15,21.800,22.000,21.750,22.000,13428224.0,6140
2024-10-2,14:20,22.000,22.000,21.800,21.900,16898688.0,7715
2024-10-2,14:25,21.900,22.000,21.850,21.850,13174784.0,6010
2024-10-2,14:30,21.850,22.150,21.850,22.150,40235520.0,18285
2024-10-2,14:35,22.150,22.150,21.950,22.050,29276928.0,13265
2024-10-2,14:40,22.050,22.150,22.000,22.050,18321152.0,8302
