日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-9-30,09:35,126.700,129.900,126.530,128.380,42153176.0,328500
2024-9-30,09:40,128.760,129.900,125.600,126.000,28360414.0,221000
2024-9-30,09:45,125.970,127.630,125.280,126.420,24917200.0,197600
2024-9-30,09:50,126.220,126.540,124.700,124.740,16873424.0,134300
2024-9-30,09:55,124.660,125.280,123.000,125.280,18770760.0,151600
2024-9-30,10:00,125.280,126.270,124.910,125.960,10949085.0,87100
2024-9-30,10:05,125.960,126.480,125.650,126.250,8402131.0,66700
2024-9-30,10:10,126.230,126.680,126.010,126.550,11238261.0,88900
2024-9-30,10:15,126.550,126.550,125.530,126.080,4934215.0,39300
2024-9-30,10:20,126.160,126.780,125.520,126.780,8903373.0,70400
2024-9-30,10:25,126.790,128.880,126.790,128.700,13250501.0,103500
2024-9-30,10:30,128.960,130.000,128.800,129.680,16324652.0,126100
2024-9-30,10:35,129.750,129.950,128.000,129.080,12550773.0,97300
2024-9-30,10:40,129.080,129.480,128.080,128.830,6086671.0,47200
2024-9-30,10:45,129.330,130.000,128.720,129.790,11705611.0,90300
2024-9-30,10:50,129.850,132.000,129.850,131.990,20614748.0,157400
2024-9-30,10:55,132.000,134.000,131.990,133.900,16929976.0,127100
2024-9-30,11:00,133.900,135.590,133.900,134.690,16029691.0,118900
2024-9-30,11:05,135.300,135.420,133.020,133.500,6963726.0,51800
2024-9-30,11:10,133.480,134.890,133.150,134.600,7860044.0,58800
2024-9-30,11:15,134.160,135.000,133.270,134.020,5330080.0,39800
2024-9-30,11:20,134.370,135.360,134.370,135.290,5892813.0,43700
2024-9-30,11:25,135.290,135.290,134.600,135.180,5803207.0,43000
2024-9-30,11:30,135.180,135.880,135.020,135.880,6329823.0,46700
2024-9-30,13:05,135.800,138.000,135.800,138.000,13368364.0,97500
2024-9-30,13:10,138.000,138.000,137.510,137.910,11237198.0,81600
2024-9-30,13:15,137.800,137.950,136.430,136.750,9645740.0,70100
2024-9-30,13:20,136.420,137.500,135.950,137.030,7149352.0,52300
2024-9-30,13:25,137.030,137.270,136.020,136.820,6614209.0,48400
2024-9-30,13:30,136.850,137.490,136.840,137.490,5597722.0,40800
2024-9-30,13:35,137.480,138.080,137.480,138.080,11834263.0,85800
2024-9-30,13:40,138.070,138.390,137.990,138.380,6599571.0,47800
2024-9-30,13:45,138.390,140.000,138.380,139.990,19133524.0,137700
2024-9-30,13:50,140.000,140.880,139.590,140.510,15559208.0,111000
2024-9-30,13:55,140.680,141.660,140.680,141.610,11991627.0,85100
2024-9-30,14:00,141.650,141.800,141.620,141.740,9779706.0,69000
2024-9-30,14:05,141.730,141.730,140.890,140.890,8351464.0,59100
2024-9-30,14:10,140.890,140.930,140.000,140.000,9930378.0,70800
2024-9-30,14:15,140.000,140.100,139.970,140.100,7169845.0,51200
2024-9-30,14:20,140.100,140.800,139.580,139.600,13380716.0,95400
2024-9-30,14:25,139.600,139.610,137.990,137.990,14530443.0,104600
2024-9-30,14:30,138.010,138.550,137.050,138.150,8999427.0,65300
2024-9-30,14:35,138.150,138.300,136.960,137.280,6526815.0,47400
2024-9-30,14:40,137.270,138.070,137.120,138.070,10185393.0,74000
2024-9-30,14:45,138.050,138.160,137.890,137.950,9316984.0,67500
2024-9-30,14:50,137.950,138.550,137.950,138.550,11251069.0,81500
2024-9-30,14:55,138.550,140.000,138.450,139.990,19618832.0,141300
2024-9-30,15:00,139.610,140.010,139.610,140.010,11583962.0,82800
2024-10-8,09:35,168.010,168.010,163.000,164.300,118845656.0,709200
2024-10-8,09:40,164.800,167.800,164.800,166.050,78501424.0,470500
2024-10-8,09:45,166.040,167.590,163.110,163.200,47059420.0,284300
2024-10-8,09:50,163.120,165.570,160.000,162.970,82285040.0,505300
2024-10-8,09:55,162.860,165.650,161.930,164.010,42189240.0,257200
2024-10-8,10:00,163.980,163.980,162.340,162.340,43841400.0,269000
2024-10-8,10:05,162.310,163.700,160.110,163.000,45581444.0,282300
2024-10-8,10:10,163.700,165.000,162.600,163.600,23467008.0,143600
2024-10-8,10:15,163.900,165.000,161.200,161.270,29024708.0,178000
2024-10-8,10:20,161.200,162.950,161.160,161.730,27972860.0,173000
2024-10-8,10:25,161.740,161.780,160.040,160.100,33307214.0,206900
2024-10-8,10:30,160.120,160.880,159.960,160.360,36876936.0,230100
2024-10-8,10:35,160.340,160.340,155.270,155.530,35076776.0,222500
2024-10-8,10:40,155.530,155.550,148.000,153.200,59057624.0,387900
2024-10-8,10:45,153.200,160.360,153.130,157.100,72500752.0,460000
2024-10-8,10:50,157.500,158.450,153.840,155.830,34906144.0,222600
2024-10-8,10:55,155.960,155.960,152.490,152.900,20401448.0,131700
2024-10-8,11:00,152.490,155.370,152.490,153.390,19054960.0,123800
2024-10-8,11:05,153.380,158.000,153.380,157.030,19543856.0,126300
2024-10-8,11:10,157.030,160.130,157.030,158.510,18874804.0,118700
2024-10-8,11:15,158.470,159.500,157.030,158.990,30309764.0,191200
2024-10-8,11:20,159.000,160.420,158.490,159.220,29136096.0,182800
2024-10-8,11:25,160.400,160.600,159.230,159.600,17588808.0,110000
2024-10-8,11:30,159.610,159.610,157.080,159.080,18361412.0,115600
2024-10-8,13:05,159.000,165.600,159.000,164.000,42746660.0,261800
2024-10-8,13:10,164.000,164.990,162.120,164.900,17894256.0,109000
2024-10-8,13:15,163.530,164.900,161.250,161.250,16088779.0,98700
2024-10-8,13:20,161.430,162.660,161.000,161.170,19768460.0,122500
2024-10-8,13:25,161.000,161.170,159.450,159.890,19415926.0,120900
2024-10-8,13:30,159.900,161.160,159.800,160.550,13106658.0,81700
2024-10-8,13:35,160.100,161.150,160.090,160.130,13867145.0,86500
2024-10-8,13:40,160.140,160.430,159.500,159.620,9514719.0,59400
2024-10-8,13:45,159.530,160.160,159.000,160.080,13848591.0,86800
2024-10-8,13:50,160.160,160.250,159.070,159.100,10028013.0,62800
2024-10-8,13:55,159.100,159.110,157.050,157.080,15426559.0,97500
2024-10-8,14:00,157.730,158.660,157.060,158.610,19760044.0,125100
2024-10-8,14:05,158.620,158.840,157.900,158.830,23378540.0,147600
2024-10-8,14:10,158.830,159.100,158.810,158.810,13868456.0,87200
2024-10-8,14:15,158.990,159.000,158.130,158.130,8208241.0,51800
2024-10-8,14:20,158.140,158.220,157.000,157.940,30031998.0,190600
2024-10-8,14:25,157.460,158.500,157.320,158.500,26274104.0,166500
2024-10-8,14:30,158.560,163.770,158.560,163.100,45804500.0,285200
2024-10-8,14:35,162.070,165.600,162.060,165.590,40236364.0,244200
2024-10-8,14:40,165.590,167.500,165.300,166.690,33479406.0,201600
2024-10-8,14:45,166.690,167.500,166.510,166.780,33787000.0,202400
2024-10-8,14:50,166.820,166.960,164.790,164.790,28481552.0,171100
2024-10-8,14:55,164.790,166.660,164.070,166.550,53454280.0,321800
2024-10-8,15:00,166.590,166.590,166.390,166.440,29331356.0,176200
2024-10-9,09:35,158.000,159.990,148.010,153.010,98880032.0,652100
2024-10-9,09:40,153.020,157.000,152.980,152.980,86570608.0,555200
2024-10-9,09:45,152.410,154.160,150.390,150.490,86237360.0,567700
