日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-12-31,09:35,406.180,406.900,402.000,402.310,154187232.0,381600
2024-12-31,09:40,402.660,403.000,400.000,402.000,165215840.0,411600
2024-12-31,09:45,402.010,402.010,397.970,398.000,205843792.0,514500
2024-12-31,09:50,397.970,398.000,395.500,397.200,276261792.0,696800
2024-12-31,09:55,397.690,398.430,397.090,398.270,121639032.0,305800
2024-12-31,10:00,398.480,399.300,397.010,397.010,72598288.0,182300
2024-12-31,10:05,397.000,398.490,396.800,397.950,61059088.0,153600
2024-12-31,10:10,397.980,398.000,397.010,397.010,52606484.0,132300
2024-12-31,10:15,397.010,397.610,396.510,397.610,65244968.0,164300
2024-12-31,10:20,397.560,398.420,397.560,398.000,43215052.0,108600
2024-12-31,10:25,397.700,398.540,397.310,397.520,44654688.0,112200
2024-12-31,10:30,397.630,398.830,397.510,398.650,38152552.0,95800
2024-12-31,10:35,398.640,399.430,397.410,397.640,43727864.0,109700
2024-12-31,10:40,397.530,397.940,396.780,397.000,53781152.0,135400
2024-12-31,10:45,396.920,397.000,396.060,396.660,54439128.0,137300
2024-12-31,10:50,397.000,397.230,396.330,396.370,43260668.0,109100
2024-12-31,10:55,396.350,396.840,395.800,395.810,59258112.0,149600
2024-12-31,11:00,395.800,396.010,395.610,395.850,52292860.0,132200
2024-12-31,11:05,395.850,395.880,395.050,395.260,68923904.0,174300
2024-12-31,11:10,395.400,395.610,394.830,394.890,77991032.0,197400
2024-12-31,11:15,394.820,395.370,394.090,394.700,61899044.0,156800
2024-12-31,11:20,394.690,395.330,393.870,393.900,48200524.0,122200
2024-12-31,11:25,393.880,395.390,393.860,395.330,69370456.0,175900
2024-12-31,11:30,395.330,396.990,395.100,395.830,53599640.0,135300
2024-12-31,13:05,395.560,397.500,395.260,395.590,47550008.0,120000
2024-12-31,13:10,395.590,395.910,394.500,394.630,38908024.0,98500
2024-12-31,13:15,394.640,395.440,394.500,394.960,52432720.0,132800
2024-12-31,13:20,394.970,394.970,394.000,394.000,42506628.0,107800
2024-12-31,13:25,394.240,395.000,393.970,394.370,61359664.0,155600
2024-12-31,13:30,394.370,395.000,393.500,393.560,66210604.0,167900
2024-12-31,13:35,393.500,393.500,391.540,392.390,136115664.0,346800
2024-12-31,13:40,392.390,393.990,392.390,393.540,64713432.0,164500
2024-12-31,13:45,393.180,393.520,392.980,393.000,45721728.0,116300
2024-12-31,13:50,393.000,394.920,392.500,394.850,64720924.0,164400
2024-12-31,13:55,394.850,395.300,393.770,394.500,32305840.0,81900
2024-12-31,14:00,394.500,394.900,393.790,394.390,29839928.0,75700
2024-12-31,14:05,394.310,394.390,393.380,393.380,33765656.0,85700
2024-12-31,14:10,393.680,393.690,391.800,391.950,69973424.0,178300
2024-12-31,14:15,391.880,392.400,391.640,391.840,76673464.0,195600
2024-12-31,14:20,391.830,392.990,391.060,392.000,79995088.0,204100
2024-12-31,14:25,392.280,392.760,391.550,392.360,50046260.0,127600
2024-12-31,14:30,392.100,392.750,391.300,391.390,34105448.0,87000
2024-12-31,14:35,391.360,393.810,391.360,392.800,43496208.0,110800
2024-12-31,14:40,392.800,394.240,392.800,393.510,43694788.0,111000
2024-12-31,14:45,393.750,393.810,392.690,393.810,51179248.0,130200
2024-12-31,14:50,393.800,393.880,391.660,391.760,68265376.0,173800
2024-12-31,14:55,391.760,392.490,391.000,391.000,112232712.0,286900
2024-12-31,15:00,391.010,391.100,391.000,391.000,79676224.0,203700
2025-1-2,09:35,391.000,391.390,384.000,386.050,226011360.0,584200
2025-1-2,09:40,385.820,387.500,384.790,385.590,83390176.0,216200
2025-1-2,09:45,385.620,387.000,382.860,384.650,128693600.0,334800
2025-1-2,09:50,384.620,384.620,383.600,384.090,79272968.0,206400
2025-1-2,09:55,383.990,385.950,383.610,385.500,82106024.0,213600
2025-1-2,10:00,385.500,386.000,383.570,383.600,49150580.0,127700
2025-1-2,10:05,383.510,383.750,381.050,382.000,114890872.0,300500
2025-1-2,10:10,382.470,382.470,381.010,381.020,95211408.0,249600
2025-1-2,10:15,381.020,381.020,378.890,379.610,129572304.0,341000
2025-1-2,10:20,379.610,380.000,379.300,379.900,58051536.0,152900
2025-1-2,10:25,379.750,380.920,379.580,379.580,77326704.0,203400
2025-1-2,10:30,379.530,380.070,379.280,379.920,76756136.0,202100
2025-1-2,10:35,379.920,379.920,379.130,379.570,55253304.0,145600
2025-1-2,10:40,379.570,380.340,379.570,379.790,69951360.0,184100
2025-1-2,10:45,379.780,379.980,379.600,379.710,27948108.0,73600
2025-1-2,10:50,379.710,381.000,379.700,381.000,48251604.0,126900
2025-1-2,10:55,381.000,381.500,380.700,381.210,57572676.0,151100
2025-1-2,11:00,381.210,381.210,379.700,380.030,51702456.0,136000
2025-1-2,11:05,380.040,380.350,379.500,379.670,38462872.0,101300
2025-1-2,11:10,379.590,379.670,379.250,379.400,28681958.0,75600
2025-1-2,11:15,379.410,379.970,379.410,379.510,24066464.0,63400
2025-1-2,11:20,379.660,380.900,379.660,379.910,40588556.0,106800
2025-1-2,11:25,379.910,380.140,379.640,379.790,49427396.0,130100
2025-1-2,11:30,379.790,380.100,379.700,379.730,37382264.0,98400
2025-1-2,13:05,379.730,380.000,379.190,379.980,59917768.0,157800
2025-1-2,13:10,379.980,380.000,379.000,379.010,43628096.0,115000
2025-1-2,13:15,379.000,379.010,378.200,378.200,54970428.0,145100
2025-1-2,13:20,378.170,378.330,377.770,378.010,59725728.0,158000
2025-1-2,13:25,377.790,379.100,377.750,377.760,30182428.0,79800
2025-1-2,13:30,377.750,379.700,377.740,379.700,34342312.0,90800
2025-1-2,13:35,379.030,379.900,378.620,379.000,27612516.0,72800
2025-1-2,13:40,379.000,379.290,378.000,378.500,34210736.0,90400
2025-1-2,13:45,378.200,378.770,377.120,377.150,36909080.0,97700
2025-1-2,13:50,377.150,377.470,376.580,377.000,43242116.0,114700
2025-1-2,13:55,377.040,377.220,376.000,376.000,66792920.0,177400
2025-1-2,14:00,375.960,377.700,375.460,377.700,60820708.0,161600
2025-1-2,14:05,377.770,377.770,376.500,377.300,41428476.0,109900
2025-1-2,14:10,377.150,377.150,374.010,374.600,99651072.0,265600
2025-1-2,14:15,374.500,375.340,374.500,374.520,50838624.0,135600
2025-1-2,14:20,374.520,375.410,374.130,374.500,55565424.0,148300
2025-1-2,14:25,374.900,376.570,374.500,376.540,62816144.0,167400
2025-1-2,14:30,376.390,376.880,375.840,376.000,47792052.0,127000
2025-1-2,14:35,376.000,376.000,374.330,374.350,37471020.0,100000
2025-1-2,14:40,374.390,374.880,373.420,373.460,63919816.0,170900
2025-1-2,14:45,373.520,374.000,372.600,372.750,97788104.0,262000
2025-1-2,14:50,372.850,373.550,371.550,373.310,83408432.0,224000
2025-1-2,14:55,373.870,376.390,373.600,376.320,58703992.0,156300
2025-1-2,15:00,376.320,376.470,376.300,376.400,64461760.0,171200
2025-1-3,09:35,378.000,379.200,374.050,376.440,164166224.0,436100
2025-1-3,09:40,376.630,378.500,374.200,375.940,143942368.0,382000
2025-1-3,09:45,375.800,376.720,373.010,374.600,84324608.0,225000
2025-1-3,09:50,374.810,375.100,373.440,373.440,92148104.0,246300
2025-1-3,09:55,373.370,374.500,372.600,372.680,121126800.0,324400
2025-1-3,10:00,372.500,376.380,372.000,374.170,73093312.0,195400
2025-1-3,10:05,373.520,374.230,373.130,373.500,42541428.0,113900
2025-1-3,10:10,373.500,375.180,373.350,374.470,36510784.0,97500
2025-1-3,10:15,374.600,376.110,374.600,375.310,40285188.0,107300
2025-1-3,10:20,375.310,377.300,375.230,376.060,55381332.0,147100
2025-1-3,10:25,376.430,379.840,376.120,379.780,71283664.0,188400
2025-1-3,10:30,379.880,380.000,378.000,378.120,109732168.0,289300
2025-1-3,10:35,378.150,379.990,377.530,379.880,64081584.0,169100
2025-1-3,10:40,379.780,379.780,378.020,378.570,40799488.0,107700
2025-1-3,10:45,378.590,379.860,378.590,379.000,41370440.0,109100
2025-1-3,10:50,379.030,379.470,378.560,378.810,33137964.0,87500
2025-1-3,10:55,378.560,378.830,378.010,378.160,21152696.0,55900
2025-1-3,11:00,378.210,378.680,378.050,378.250,19585428.0,51700
2025-1-3,11:05,378.250,379.380,378.250,378.800,21617976.0,57100
2025-1-3,11:10,378.880,381.000,378.800,379.940,72314240.0,190300
2025-1-3,11:15,379.640,381.600,379.050,381.500,55554688.0,146100
2025-1-3,11:20,381.500,383.370,380.630,382.610,108882176.0,285000
2025-1-3,11:25,382.600,382.600,380.080,381.570,39298664.0,103000
2025-1-3,11:30,381.570,381.570,380.300,380.400,24529364.0,64500
2025-1-3,13:05,380.480,380.480,379.050,379.100,43000168.0,113200
2025-1-3,13:10,379.080,379.350,378.600,379.210,22672604.0,59800
2025-1-3,13:15,379.230,379.340,377.680,378.130,36433072.0,96300
2025-1-3,13:20,378.100,379.000,377.570,377.620,29798316.0,78800
2025-1-3,13:25,377.650,377.830,376.540,376.540,42257152.0,112100
2025-1-3,13:30,376.500,377.990,376.260,377.850,37175460.0,98500
2025-1-3,13:35,377.860,379.000,377.520,377.700,25025800.0,66200
2025-1-3,13:40,377.700,377.700,376.800,377.330,28191766.0,74800
2025-1-3,13:45,377.380,377.800,376.900,377.100,37622328.0,99700
2025-1-3,13:50,377.010,377.010,376.380,376.390,20431024.0,54200
2025-1-3,13:55,376.380,376.500,376.290,376.390,25913662.0,68900
2025-1-3,14:00,376.390,377.930,376.330,376.510,28859752.0,76600
2025-1-3,14:05,376.490,376.910,376.330,376.480,45821856.0,121700
2025-1-3,14:10,376.590,376.850,376.310,376.480,51136160.0,135800
