日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,96.200,98.490,95.800,97.730,42222304.0,433500
2025-3-31,09:40,97.710,98.010,97.180,97.420,17412858.0,178300
2025-3-31,09:45,97.590,97.720,96.800,96.930,12282637.0,126300
2025-3-31,09:50,96.820,97.090,96.540,96.800,9862628.0,101800
2025-3-31,09:55,96.920,97.440,96.810,97.440,22311092.0,230000
2025-3-31,10:00,97.500,99.460,97.500,98.750,61598624.0,624000
2025-3-31,10:05,98.710,98.960,98.150,98.600,24705206.0,250600
2025-3-31,10:10,98.610,99.000,98.110,98.110,14187304.0,143900
2025-3-31,10:15,98.140,98.240,97.610,97.930,8778983.0,89600
2025-3-31,10:20,97.930,98.430,97.890,98.230,5152530.0,52500
2025-3-31,10:25,98.120,98.240,97.700,97.730,6844435.0,69900
2025-3-31,10:30,97.730,97.880,97.500,97.500,6121738.0,62600
2025-3-31,10:35,97.490,98.120,97.390,97.790,8901192.0,91100
2025-3-31,10:40,97.690,97.970,97.500,97.610,5525541.0,56600
2025-3-31,10:45,97.670,97.670,97.400,97.490,4067143.0,41700
2025-3-31,10:50,97.420,97.650,97.420,97.650,3401257.0,34900
2025-3-31,10:55,97.650,97.650,97.100,97.260,6193697.0,63600
2025-3-31,11:00,97.220,97.440,97.200,97.370,3100692.0,31900
2025-3-31,11:05,97.340,97.360,96.940,97.090,6611355.0,68100
2025-3-31,11:10,96.910,97.390,96.910,97.390,3386188.0,34900
2025-3-31,11:15,97.370,97.390,97.000,97.220,4289802.0,44100
2025-3-31,11:20,97.220,97.400,96.940,96.970,5508543.0,56700
2025-3-31,11:25,97.080,97.200,96.780,96.800,6751698.0,69600
2025-3-31,11:30,96.800,96.800,96.510,96.600,4745689.0,49100
2025-3-31,13:05,96.520,97.340,96.160,97.250,6915474.0,71500
2025-3-31,13:10,97.090,97.400,96.780,97.400,5720513.0,58900
2025-3-31,13:15,97.430,97.430,97.080,97.380,4303740.0,44300
2025-3-31,13:20,97.400,97.500,97.120,97.120,3166174.0,32500
2025-3-31,13:25,97.200,97.200,97.020,97.080,1506206.0,15500
2025-3-31,13:30,97.100,97.280,97.100,97.250,2129631.0,21900
2025-3-31,13:35,97.150,97.330,97.070,97.330,2855294.0,29400
2025-3-31,13:40,97.220,97.350,96.860,97.220,3436309.0,35400
2025-3-31,13:45,97.000,97.180,96.700,96.700,2216344.0,22900
2025-3-31,13:50,96.720,96.840,96.500,96.590,2656164.0,27500
2025-3-31,13:55,96.590,96.650,96.350,96.650,4218030.0,43700
2025-3-31,14:00,96.500,96.670,96.500,96.650,2295363.0,23700
2025-3-31,14:05,96.630,96.870,96.430,96.740,2203777.0,22900
2025-3-31,14:10,96.790,97.170,96.740,97.080,4601971.0,47400
2025-3-31,14:15,97.160,97.790,97.000,97.730,6145716.0,63100
2025-3-31,14:20,97.730,98.170,97.620,98.080,8485718.0,86600
2025-3-31,14:25,97.790,98.400,97.790,97.820,9489461.0,96800
2025-3-31,14:30,97.850,97.950,97.540,97.700,4983509.0,51000
2025-3-31,14:35,97.700,98.000,97.510,97.700,8937895.0,91500
2025-3-31,14:40,97.700,97.860,97.520,97.700,5189340.0,53100
2025-3-31,14:45,97.670,98.200,97.600,98.060,9410451.0,96200
2025-3-31,14:50,98.330,98.740,98.300,98.490,31422682.0,319000
2025-3-31,14:55,98.480,98.500,98.060,98.360,12290073.0,125100
2025-3-31,15:00,98.320,98.350,98.150,98.320,11268961.0,114600
2025-4-1,09:35,99.000,99.370,97.490,98.260,30853076.0,314000
2025-4-1,09:40,98.240,98.240,97.300,97.980,16571294.0,169600
2025-4-1,09:45,98.010,98.390,96.900,97.230,19572944.0,200500
2025-4-1,09:50,97.130,97.560,97.090,97.480,6944856.0,71300
2025-4-1,09:55,97.480,97.820,97.270,97.600,5420391.0,55600
2025-4-1,10:00,97.600,98.190,97.460,98.000,5975532.0,61100
2025-4-1,10:05,98.000,98.200,97.800,98.170,6353686.0,64900
2025-4-1,10:10,98.170,98.350,97.990,98.060,7827986.0,79700
2025-4-1,10:15,98.050,98.610,97.970,98.610,7752736.0,78900
2025-4-1,10:20,98.610,98.610,98.300,98.500,6430602.0,65300
2025-4-1,10:25,98.480,98.500,98.120,98.270,10400908.0,105800
2025-4-1,10:30,98.270,98.440,97.960,97.960,5202457.0,53000
2025-4-1,10:35,97.870,98.440,97.870,98.220,4985179.0,50800
2025-4-1,10:40,98.230,98.490,98.080,98.470,7781976.0,79200
