日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-6-30,09:35,82.880,84.500,82.880,83.430,16051618.0,191300
2025-6-30,09:40,83.270,84.810,83.090,84.700,11792100.0,140300
2025-6-30,09:45,84.690,84.700,84.010,84.130,10536220.0,124900
2025-6-30,09:50,84.120,84.990,83.800,84.860,13974167.0,165500
2025-6-30,09:55,84.660,84.800,84.320,84.450,6438159.0,76100
2025-6-30,10:00,84.450,84.850,84.150,84.780,11504703.0,136100
2025-6-30,10:05,84.540,85.000,84.200,84.480,12905109.0,152300
2025-6-30,10:10,84.590,84.630,83.800,83.800,7086185.0,84200
2025-6-30,10:15,83.810,83.970,83.800,83.940,5102305.0,60800
2025-6-30,10:20,83.980,84.380,83.980,84.150,2791295.0,33200
2025-6-30,10:25,84.150,84.200,83.930,83.970,1711606.0,20400
2025-6-30,10:30,83.950,84.320,83.950,84.160,2587997.0,30700
2025-6-30,10:35,84.160,84.280,84.060,84.240,2102880.0,25000
2025-6-30,10:40,84.240,84.370,84.130,84.230,2097610.0,24900
2025-6-30,10:45,84.150,84.300,84.140,84.280,3466315.0,41200
2025-6-30,10:50,84.210,84.270,84.010,84.190,3101154.0,36800
2025-6-30,10:55,84.190,84.560,84.070,84.380,6295193.0,74600
2025-6-30,11:00,84.360,84.360,84.000,84.170,3541280.0,42100
2025-6-30,11:05,84.160,84.280,84.020,84.170,4787498.0,56800
2025-6-30,11:10,84.180,84.290,84.180,84.200,1961063.0,23300
2025-6-30,11:15,84.200,84.280,84.190,84.220,1286214.0,15300
2025-6-30,11:20,84.190,84.370,84.190,84.230,3675222.0,43500
2025-6-30,11:25,84.230,84.370,84.230,84.360,906707.0,10800
2025-6-30,11:30,84.350,84.790,84.330,84.600,17197282.0,203300
2025-6-30,13:05,84.580,84.580,84.010,84.390,3680862.0,43700
2025-6-30,13:10,84.390,84.670,84.170,84.670,4762423.0,56400
2025-6-30,13:15,84.670,84.780,84.350,84.350,6564457.0,77600
2025-6-30,13:20,84.350,84.370,84.050,84.370,2740087.0,32500
2025-6-30,13:25,84.370,84.690,84.370,84.530,4425816.0,52400
2025-6-30,13:30,84.500,84.500,84.260,84.330,2818183.0,33400
2025-6-30,13:35,84.330,84.330,84.190,84.190,2616701.0,31000
2025-6-30,13:40,84.250,84.480,84.190,84.320,3029714.0,35900
2025-6-30,13:45,84.190,84.380,84.190,84.360,1761637.0,20900
2025-6-30,13:50,84.360,84.360,84.200,84.290,2100537.0,25000
2025-6-30,13:55,84.130,84.400,84.120,84.350,6449944.0,76500
2025-6-30,14:00,84.180,84.350,84.170,84.310,1334972.0,15800
2025-6-30,14:05,84.260,84.360,84.210,84.330,2463811.0,29300
2025-6-30,14:10,84.320,84.360,84.210,84.360,1650775.0,19500
2025-6-30,14:15,84.330,84.330,84.040,84.040,5000981.0,59500
2025-6-30,14:20,84.040,84.220,83.920,83.950,5746597.0,68300
2025-6-30,14:25,83.940,84.180,83.920,83.960,4641387.0,55300
2025-6-30,14:30,83.970,84.180,83.930,84.120,3115979.0,37100
2025-6-30,14:35,84.100,84.220,84.090,84.180,3292145.0,39100
2025-6-30,14:40,84.170,84.210,84.150,84.150,3117514.0,37000
2025-6-30,14:45,84.210,84.210,84.100,84.130,3404325.0,40400
2025-6-30,14:50,84.140,84.210,84.100,84.170,5444339.0,64700
2025-6-30,14:55,84.130,84.170,83.730,83.760,7503694.0,89400
2025-6-30,15:00,83.760,84.190,83.760,84.190,2987042.0,35600
