日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-6-30,09:35,175.640,179.280,175.640,178.070,27118886.0,152400
2025-6-30,09:40,178.310,179.660,177.500,177.600,15667290.0,87600
2025-6-30,09:45,177.600,178.360,176.050,176.500,18093296.0,102100
2025-6-30,09:50,176.540,177.080,176.500,177.000,11724537.0,66300
2025-6-30,09:55,176.810,177.230,176.710,177.000,8181924.0,46200
2025-6-30,10:00,177.000,177.310,176.750,177.000,4358266.0,24600
2025-6-30,10:05,177.060,179.460,177.000,179.400,20546724.0,115200
2025-6-30,10:10,179.400,179.480,178.500,178.790,16539430.0,92300
2025-6-30,10:15,178.790,178.790,176.800,176.800,6957607.0,39300
2025-6-30,10:20,177.000,177.340,176.760,177.000,5703021.0,32200
2025-6-30,10:25,177.230,177.230,175.890,176.240,8063412.0,45700
2025-6-30,10:30,175.890,176.550,175.890,176.460,5427959.0,30700
2025-6-30,10:35,176.460,176.460,176.020,176.100,3609058.0,20500
2025-6-30,10:40,176.020,176.970,175.860,176.740,4280874.0,24300
2025-6-30,10:45,176.450,176.940,176.210,176.920,2313262.0,13100
2025-6-30,10:50,177.000,177.000,176.010,176.120,2859561.0,16200
2025-6-30,10:55,176.110,176.400,175.880,175.880,3768392.0,21400
2025-6-30,11:00,175.970,176.200,175.850,176.140,3142760.0,17900
2025-6-30,11:05,175.970,176.080,175.500,175.800,6189710.0,35200
2025-6-30,11:10,175.940,175.940,175.280,175.280,6401187.0,36500
2025-6-30,11:15,175.350,175.960,175.280,175.950,2980832.0,16900
2025-6-30,11:20,175.950,176.190,175.650,175.890,4221805.0,24000
2025-6-30,11:25,175.870,175.870,175.170,175.260,5727741.0,32700
2025-6-30,11:30,175.210,175.760,175.000,175.140,6430750.0,36700
2025-6-30,13:05,175.140,175.980,175.110,175.180,4953729.0,28200
2025-6-30,13:10,175.630,176.410,175.630,176.070,4518488.0,25700
2025-6-30,13:15,176.350,176.350,175.840,175.850,1449477.0,8200
2025-6-30,13:20,175.850,176.230,175.360,175.830,7108388.0,40400
2025-6-30,13:25,176.220,176.270,175.510,175.880,5678995.0,32300
2025-6-30,13:30,175.660,175.870,175.500,175.610,1899697.0,10800
2025-6-30,13:35,175.620,175.730,175.310,175.670,6664296.0,37900
2025-6-30,13:40,175.670,176.000,175.670,175.710,3970595.0,22600
2025-6-30,13:45,175.700,175.800,175.320,175.380,3696261.0,21100
2025-6-30,13:50,175.610,175.610,175.140,175.320,5095377.0,29000
2025-6-30,13:55,175.300,175.720,175.000,175.680,7704978.0,44000
2025-6-30,14:00,175.780,175.870,175.730,175.730,3889474.0,22100
2025-6-30,14:05,175.870,175.990,175.810,175.950,5698925.0,32400
2025-6-30,14:10,175.960,175.960,175.410,175.520,2233244.0,12700
2025-6-30,14:15,175.550,175.600,175.410,175.410,2073207.0,11800
2025-6-30,14:20,175.400,175.950,175.320,175.790,5298752.0,30200
2025-6-30,14:25,175.810,175.950,175.320,175.490,3682289.0,21000
2025-6-30,14:30,175.290,175.660,175.130,175.540,5027242.0,28600
2025-6-30,14:35,175.530,175.530,174.910,175.090,15033405.0,85900
2025-6-30,14:40,175.000,175.170,174.880,174.930,13935118.0,79600
2025-6-30,14:45,174.930,174.990,174.910,174.980,7419773.0,42400
2025-6-30,14:50,174.920,174.960,174.190,174.350,11683836.0,66900
2025-6-30,14:55,174.350,175.100,173.910,174.380,12929090.0,74200
2025-6-30,15:00,174.400,174.690,174.180,174.490,4767820.0,27300
2025-7-1,09:35,175.000,175.000,172.060,174.600,31107592.0,178900
2025-7-1,09:40,174.600,175.540,172.900,172.900,15930950.0,91400
2025-7-1,09:45,172.970,172.970,171.660,171.760,16383351.0,95100
2025-7-1,09:50,171.750,172.010,171.000,171.010,15969068.0,93100
2025-7-1,09:55,171.010,171.990,170.780,171.560,12156477.0,71000
2025-7-1,10:00,171.440,171.860,171.300,171.590,8811869.0,51300
2025-7-1,10:05,171.770,172.600,171.600,172.200,7120430.0,41400
2025-7-1,10:10,172.500,172.560,171.800,171.840,3357348.0,19500
2025-7-1,10:15,171.780,173.000,171.780,172.710,11081562.0,64200
2025-7-1,10:20,172.700,172.700,172.120,172.120,5536080.0,32100
2025-7-1,10:25,172.160,172.160,171.500,171.500,4197898.0,24500
2025-7-1,10:30,171.480,171.820,171.460,171.610,3526835.0,20500
2025-7-1,10:35,171.740,171.800,171.360,171.430,5164176.0,30100
2025-7-1,10:40,171.420,171.670,171.340,171.670,2771268.0,16200
2025-7-1,10:45,171.340,171.670,171.230,171.270,1841936.0,10700
2025-7-1,10:50,171.270,171.270,171.020,171.020,3696761.0,21700
