日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-12-31,09:35,61.400,62.050,61.400,61.750,2845842.75,460
2024-12-31,09:40,61.800,62.200,61.800,61.950,3912365.25,631
2024-12-31,09:45,61.950,62.350,61.850,62.300,3142504.0,506
2024-12-31,09:50,62.200,62.350,61.850,61.950,2594301.0,418
2024-12-31,09:55,61.950,62.200,61.900,62.100,2122304.0,342
2024-12-31,10:00,62.100,62.150,62.050,62.150,2459365.0,396
2024-12-31,10:05,62.150,62.300,62.050,62.100,2916106.0,469
2024-12-31,10:10,62.100,62.500,62.100,62.500,3191300.0,512
2024-12-31,10:15,62.500,62.850,62.500,62.850,3898274.0,622
2024-12-31,10:20,62.800,62.950,62.750,62.800,7123514.0,1134
2024-12-31,10:25,62.750,62.750,62.600,62.650,2632452.0,420
2024-12-31,10:30,62.650,62.950,62.650,62.850,2236048.0,356
2024-12-31,10:35,62.850,63.100,62.750,63.000,4807572.0,764
2024-12-31,10:40,62.950,63.100,62.850,63.050,4250656.0,675
2024-12-31,10:45,63.000,63.100,62.950,62.950,3379140.0,536
2024-12-31,10:50,62.900,62.950,62.600,62.650,7671668.0,1221
2024-12-31,10:55,62.700,62.850,62.650,62.700,4280736.0,682
2024-12-31,11:00,62.700,62.700,62.450,62.600,7978260.0,1275
2024-12-31,11:05,62.600,62.600,62.150,62.300,5060024.0,812
2024-12-31,11:10,62.300,62.600,62.300,62.450,5599968.0,897
2024-12-31,11:15,62.450,62.650,62.250,62.600,6491208.0,1039
2024-12-31,11:20,62.600,62.650,62.500,62.600,2648096.0,423
2024-12-31,11:25,62.600,62.750,62.550,62.650,3157480.0,504
2024-12-31,11:30,62.550,62.600,62.350,62.400,2812120.0,450
2024-12-31,11:35,62.450,62.600,62.450,62.450,4852056.0,776
2024-12-31,11:40,62.550,62.550,62.100,62.150,4101304.0,659
2024-12-31,11:45,62.100,62.100,61.850,61.850,4751144.0,766
2024-12-31,11:50,61.850,62.050,61.850,62.000,3096360.0,500
2024-12-31,11:55,62.000,62.050,61.850,61.850,4212040.0,680
2024-12-31,12:00,61.850,61.950,61.750,61.900,2788968.0,451
2024-12-31,13:05,62.000,62.000,62.000,62.000,12567400.0,2027
2024-12-31,13:10,62.000,62.000,62.000,62.000,0.0,0
2024-12-31,13:15,62.000,62.000,62.000,62.000,0.0,0
2024-12-31,13:20,62.000,62.000,62.000,62.000,0.0,0
2024-12-31,13:25,62.000,62.000,62.000,62.000,0.0,0
2024-12-31,13:30,62.000,62.000,62.000,62.000,0.0,0
2024-12-31,13:35,62.000,62.000,62.000,62.000,0.0,0
2024-12-31,13:40,62.000,62.000,62.000,62.000,0.0,0
2024-12-31,13:45,62.000,62.000,62.000,62.000,0.0,0
2024-12-31,13:50,62.000,62.000,62.000,62.000,0.0,0
2024-12-31,13:55,62.000,62.000,62.000,62.000,0.0,0
2024-12-31,14:00,62.000,62.000,62.000,62.000,0.0,0
2024-12-31,14:05,62.000,62.000,62.000,62.000,0.0,0
2024-12-31,14:10,62.000,62.000,62.000,62.000,0.0,0
2024-12-31,14:15,62.000,62.000,62.000,62.000,0.0,0
2024-12-31,14:20,62.000,62.000,62.000,62.000,0.0,0
2024-12-31,14:25,62.000,62.000,62.000,62.000,0.0,0
2024-12-31,14:30,62.000,62.000,62.000,62.000,0.0,0
2024-12-31,14:35,62.000,62.000,62.000,62.000,0.0,0
2024-12-31,14:40,62.000,62.000,62.000,62.000,0.0,0
2024-12-31,14:45,62.000,62.000,62.000,62.000,0.0,0
2024-12-31,14:50,62.000,62.000,62.000,62.000,0.0,0
2024-12-31,14:55,62.000,62.000,62.000,62.000,0.0,0
2024-12-31,15:00,62.000,62.000,62.000,62.000,0.0,0
2024-12-31,15:05,62.000,62.000,62.000,62.000,0.0,0
2024-12-31,15:10,62.000,62.000,62.000,62.000,0.0,0
2024-12-31,15:15,62.000,62.000,62.000,62.000,0.0,0
2024-12-31,15:20,62.000,62.000,62.000,62.000,0.0,0
2024-12-31,15:25,62.000,62.000,62.000,62.000,0.0,0
2024-12-31,15:30,62.000,62.000,62.000,62.000,0.0,0
2024-12-31,15:35,62.000,62.000,62.000,62.000,0.0,0
2024-12-31,15:40,62.000,62.000,62.000,62.000,0.0,0
2024-12-31,15:45,62.000,62.000,62.000,62.000,0.0,0
2024-12-31,15:50,62.000,62.000,62.000,62.000,0.0,0
2024-12-31,15:55,62.000,62.000,62.000,62.000,0.0,0
