日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-12-31,09:35,293.400,295.800,293.400,294.600,36841180.0,1251
2024-12-31,09:40,294.600,295.200,294.400,294.600,13721092.0,465
2024-12-31,09:45,294.400,294.600,294.000,294.200,7653540.0,260
2024-12-31,09:50,294.200,294.800,294.000,294.600,5415480.0,183
2024-12-31,09:55,294.800,294.800,293.800,294.000,23144140.0,787
2024-12-31,10:00,294.000,294.400,293.800,294.200,8674584.0,295
2024-12-31,10:05,294.600,295.000,293.600,294.200,22830656.0,776
2024-12-31,10:10,294.200,294.600,293.800,294.400,11297224.0,384
2024-12-31,10:15,294.400,294.600,294.200,294.600,8218488.0,279
2024-12-31,10:20,294.600,295.800,294.600,295.800,14668096.0,497
2024-12-31,10:25,295.800,295.800,295.400,295.600,6178560.0,209
2024-12-31,10:30,295.600,295.800,295.000,295.400,32288544.0,1093
2024-12-31,10:35,295.400,295.800,295.200,295.800,12347296.0,418
2024-12-31,10:40,295.800,295.800,295.400,295.600,7682400.0,259
2024-12-31,10:45,295.600,296.000,295.400,295.600,6948688.0,235
2024-12-31,10:50,295.800,295.800,295.200,295.200,10372400.0,351
2024-12-31,10:55,295.400,295.400,295.000,295.200,10626288.0,360
2024-12-31,11:00,295.200,295.400,294.600,294.800,25159808.0,853
2024-12-31,11:05,294.600,294.800,294.000,294.000,18637904.0,633
2024-12-31,11:10,294.200,294.200,293.400,293.600,19629600.0,668
2024-12-31,11:15,293.400,294.200,293.200,294.200,41111008.0,1401
2024-12-31,11:20,294.200,295.000,294.200,294.600,11540736.0,392
2024-12-31,11:25,294.600,295.400,294.400,295.000,9525952.0,323
2024-12-31,11:30,295.200,295.400,295.000,295.000,18862176.0,639
2024-12-31,11:35,295.000,295.200,294.400,294.400,7249760.0,245
2024-12-31,11:40,294.400,295.000,294.200,294.600,16882080.0,573
2024-12-31,11:45,294.600,295.000,294.400,294.600,13063072.0,443
2024-12-31,11:50,294.800,295.200,294.600,295.200,10471264.0,355
2024-12-31,11:55,295.200,295.200,295.000,295.200,10237728.0,346
2024-12-31,12:00,295.200,295.200,294.800,295.200,14458400.0,490
2024-12-31,13:05,294.800,294.800,294.800,294.800,77208128.0,2619
2024-12-31,13:10,294.800,294.800,294.800,294.800,0.0,0
2024-12-31,13:15,294.800,294.800,294.800,294.800,0.0,0
2024-12-31,13:20,294.800,294.800,294.800,294.800,0.0,0
2024-12-31,13:25,294.800,294.800,294.800,294.800,0.0,0
2024-12-31,13:30,294.800,294.800,294.800,294.800,0.0,0
2024-12-31,13:35,294.800,294.800,294.800,294.800,0.0,0
2024-12-31,13:40,294.800,294.800,294.800,294.800,0.0,0
2024-12-31,13:45,294.800,294.800,294.800,294.800,0.0,0
2024-12-31,13:50,294.800,294.800,294.800,294.800,0.0,0
2024-12-31,13:55,294.800,294.800,294.800,294.800,0.0,0
2024-12-31,14:00,294.800,294.800,294.800,294.800,0.0,0
2024-12-31,14:05,294.800,294.800,294.800,294.800,0.0,0
2024-12-31,14:10,294.800,294.800,294.800,294.800,0.0,0
2024-12-31,14:15,294.800,294.800,294.800,294.800,0.0,0
2024-12-31,14:20,294.800,294.800,294.800,294.800,0.0,0
2024-12-31,14:25,294.800,294.800,294.800,294.800,0.0,0
2024-12-31,14:30,294.800,294.800,294.800,294.800,0.0,0
2024-12-31,14:35,294.800,294.800,294.800,294.800,0.0,0
2024-12-31,14:40,294.800,294.800,294.800,294.800,0.0,0
2024-12-31,14:45,294.800,294.800,294.800,294.800,0.0,0
2024-12-31,14:50,294.800,294.800,294.800,294.800,0.0,0
2024-12-31,14:55,294.800,294.800,294.800,294.800,0.0,0
2024-12-31,15:00,294.800,294.800,294.800,294.800,0.0,0
2024-12-31,15:05,294.800,294.800,294.800,294.800,0.0,0
2024-12-31,15:10,294.800,294.800,294.800,294.800,0.0,0
2024-12-31,15:15,294.800,294.800,294.800,294.800,0.0,0
2024-12-31,15:20,294.800,294.800,294.800,294.800,0.0,0
