日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,3.730,3.740,3.660,3.740,15419941.0,41710
2025-3-31,09:40,3.740,3.740,3.690,3.690,18384072.0,49505
2025-3-31,09:45,3.700,3.730,3.690,3.710,9066848.0,24410
2025-3-31,09:50,3.710,3.720,3.690,3.710,8559404.0,23119
2025-3-31,09:55,3.710,3.740,3.700,3.720,8118040.0,21800
2025-3-31,10:00,3.730,3.750,3.720,3.720,11579512.0,31020
2025-3-31,10:05,3.720,3.770,3.700,3.750,20086024.0,53670
2025-3-31,10:10,3.760,3.800,3.750,3.800,27039344.0,71589
2025-3-31,10:15,3.790,3.800,3.750,3.750,9633488.0,25530
2025-3-31,10:20,3.750,3.760,3.740,3.750,4932080.0,13150
2025-3-31,10:25,3.760,3.780,3.740,3.770,9692688.0,25780
2025-3-31,10:30,3.760,3.770,3.740,3.770,9737616.0,25920
2025-3-31,10:35,3.770,3.770,3.750,3.760,4639968.0,12340
2025-3-31,10:40,3.760,3.790,3.750,3.790,5785888.0,15350
2025-3-31,10:45,3.770,3.780,3.750,3.750,3861568.0,10260
2025-3-31,10:50,3.750,3.760,3.740,3.740,4243952.0,11320
2025-3-31,10:55,3.750,3.750,3.730,3.730,10716112.0,28680
2025-3-31,11:00,3.730,3.740,3.720,3.720,6200912.0,16630
2025-3-31,11:05,3.720,3.730,3.700,3.710,14454800.0,38910
2025-3-31,11:10,3.710,3.720,3.680,3.680,12740064.0,34460
2025-3-31,11:15,3.680,3.700,3.680,3.690,6494208.0,17600
2025-3-31,11:20,3.700,3.710,3.690,3.700,4876992.0,13190
2025-3-31,11:25,3.710,3.710,3.690,3.700,8810800.0,23800
2025-3-31,11:30,3.700,3.710,3.700,3.700,2635264.0,7120
2025-3-31,11:35,3.700,3.710,3.670,3.670,4326464.0,11750
2025-3-31,11:40,3.670,3.680,3.670,3.670,1596736.0,4350
2025-3-31,11:45,3.670,3.680,3.670,3.670,2139712.0,5830
2025-3-31,11:50,3.670,3.680,3.670,3.670,3128480.0,8520
2025-3-31,11:55,3.670,3.670,3.650,3.650,2913120.0,7959
2025-3-31,12:00,3.660,3.660,3.650,3.650,2734064.0,7490
2025-3-31,13:05,3.650,3.660,3.640,3.650,12599232.0,34550
2025-3-31,13:10,3.660,3.670,3.650,3.660,3576256.0,9773
2025-3-31,13:15,3.670,3.680,3.670,3.680,2017984.0,5500
2025-3-31,13:20,3.680,3.680,3.640,3.650,9310048.0,25450
2025-3-31,13:25,3.660,3.670,3.660,3.670,4363136.0,11910
2025-3-31,13:30,3.680,3.680,3.640,3.650,6931424.0,18980
2025-3-31,13:35,3.650,3.650,3.640,3.640,3673408.0,10090
2025-3-31,13:40,3.640,3.650,3.640,3.640,844736.0,2320
2025-3-31,13:45,3.640,3.650,3.630,3.630,3320064.0,9120
2025-3-31,13:50,3.630,3.650,3.620,3.640,6764192.0,18610
2025-3-31,13:55,3.640,3.660,3.640,3.640,2961472.0,8121
2025-3-31,14:00,3.640,3.650,3.630,3.650,1962688.0,5390
2025-3-31,14:05,3.640,3.640,3.630,3.640,3013248.0,8289
2025-3-31,14:10,3.640,3.650,3.630,3.650,6447680.0,17710
2025-3-31,14:15,3.650,3.660,3.640,3.660,4319392.0,11829
2025-3-31,14:20,3.660,3.670,3.650,3.670,5792928.0,15820
2025-3-31,14:25,3.670,3.690,3.660,3.690,10224896.0,27795
2025-3-31,14:30,3.690,3.690,3.680,3.690,4126016.0,11200
2025-3-31,14:35,3.690,3.710,3.690,3.700,6285184.0,17010
2025-3-31,14:40,3.700,3.710,3.690,3.700,3530400.0,9550
2025-3-31,14:45,3.700,3.710,3.680,3.700,4185696.0,11320
2025-3-31,14:50,3.700,3.720,3.690,3.700,5514336.0,14880
2025-3-31,14:55,3.710,3.710,3.700,3.710,4742464.0,12790
2025-3-31,15:00,3.710,3.710,3.690,3.710,6545792.0,17680
2025-3-31,15:05,3.710,3.720,3.700,3.720,8948384.0,24080
2025-3-31,15:10,3.720,3.730,3.710,3.720,6131040.0,16480
2025-3-31,15:15,3.710,3.730,3.710,3.730,6623776.0,17820
2025-3-31,15:20,3.730,3.740,3.720,3.740,3970688.0,10630
2025-3-31,15:25,3.740,3.740,3.720,3.730,9163072.0,24570
2025-3-31,15:30,3.730,3.740,3.720,3.730,6902816.0,18490
2025-3-31,15:35,3.740,3.750,3.730,3.750,8514144.0,22737
2025-3-31,15:40,3.750,3.760,3.740,3.740,16279136.0,43390
2025-3-31,15:45,3.740,3.760,3.740,3.740,16766816.0,44690
2025-3-31,15:50,3.740,3.760,3.740,3.760,16279168.0,43370
2025-3-31,15:55,3.750,3.760,3.750,3.750,9033408.0,24060
2025-3-31,16:00,3.760,3.760,3.750,3.750,49455488.0,131849
2025-4-1,09:35,3.760,3.800,3.720,3.800,13075891.0,34780
2025-4-1,09:40,3.800,3.800,3.750,3.770,7899615.0,20902
2025-4-1,09:45,3.770,3.800,3.770,3.790,10192960.0,26930
2025-4-1,09:50,3.800,3.830,3.790,3.820,15637358.0,41034
2025-4-1,09:55,3.820,3.840,3.800,3.820,24231160.0,63291
