日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,34.450,34.880,33.880,34.250,33150528.0,967500
2025-3-31,09:40,34.250,34.680,34.240,34.680,14002701.0,406800
2025-3-31,09:45,34.680,34.960,34.560,34.960,24494596.0,704700
2025-3-31,09:50,34.900,34.950,34.660,34.700,16396075.0,471100
2025-3-31,09:55,34.770,34.780,34.590,34.730,10541202.0,303800
2025-3-31,10:00,34.750,34.790,34.500,34.730,5444944.0,157000
2025-3-31,10:05,34.730,34.760,34.610,34.620,5032380.0,145100
2025-3-31,10:10,34.660,34.700,34.520,34.580,4114006.0,118900
2025-3-31,10:15,34.550,34.550,34.430,34.510,4679189.0,135700
2025-3-31,10:20,34.510,34.510,34.210,34.400,6189086.0,179900
2025-3-31,10:25,34.400,34.420,34.320,34.340,3903316.0,113600
2025-3-31,10:30,34.340,34.400,34.310,34.330,3727821.0,108500
2025-3-31,10:35,34.330,34.400,34.240,34.240,5848193.0,170500
2025-3-31,10:40,34.240,34.330,34.160,34.160,3783185.0,110500
2025-3-31,10:45,34.170,34.290,34.140,34.290,3799603.0,111100
2025-3-31,10:50,34.250,34.250,34.190,34.220,2361078.0,69000
2025-3-31,10:55,34.210,34.300,34.130,34.130,4522238.0,132200
2025-3-31,11:00,34.130,34.160,34.010,34.060,6280575.0,184300
2025-3-31,11:05,34.080,34.120,34.030,34.030,4031211.0,118300
2025-3-31,11:10,34.030,34.130,34.030,34.120,2687873.25,78800
2025-3-31,11:15,34.120,34.120,34.010,34.110,6423674.0,188800
2025-3-31,11:20,34.110,34.200,34.100,34.150,5112787.0,149700
2025-3-31,11:25,34.150,34.190,33.880,33.880,8779750.0,258300
2025-3-31,11:30,33.890,33.920,33.800,33.810,11898635.0,351600
2025-3-31,13:05,33.820,34.140,33.700,34.140,8697397.0,256700
2025-3-31,13:10,34.080,34.150,33.960,34.140,3961557.0,116300
2025-3-31,13:15,34.100,34.210,34.000,34.160,4665598.0,136800
2025-3-31,13:20,34.150,34.190,34.030,34.120,2402563.0,70400
2025-3-31,13:25,34.140,34.140,34.020,34.060,3609854.0,106000
2025-3-31,13:30,34.060,34.060,34.010,34.040,2167349.0,63700
2025-3-31,13:35,34.050,34.100,33.990,34.010,3042076.0,89400
2025-3-31,13:40,34.000,34.020,33.930,34.020,2143934.0,63100
2025-3-31,13:45,34.010,34.010,33.960,33.980,1549718.0,45600
2025-3-31,13:50,33.980,34.010,33.920,33.960,2455047.0,72300
2025-3-31,13:55,33.960,34.010,33.900,33.990,2760038.0,81300
2025-3-31,14:00,33.990,34.000,33.950,34.000,1508677.0,44400
2025-3-31,14:05,34.000,34.000,33.880,33.940,5416331.0,159600
