日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,7.320,7.320,7.160,7.190,2202364.0,3044
2025-3-31,09:40,7.200,7.220,7.170,7.170,3129600.5,4354
2025-3-31,09:45,7.170,7.210,7.150,7.150,6573452.5,9170
2025-3-31,09:50,7.160,7.160,7.110,7.120,2598166.0,3642
2025-3-31,09:55,7.100,7.120,7.050,7.090,7595015.0,10744
2025-3-31,10:00,7.090,7.090,7.060,7.080,2607216.0,3686
2025-3-31,10:05,7.080,7.100,7.060,7.070,3673592.0,5192
2025-3-31,10:10,7.070,7.110,7.050,7.080,8036406.0,11374
2025-3-31,10:15,7.080,7.120,7.060,7.110,2790196.0,3938
2025-3-31,10:20,7.110,7.120,7.060,7.080,2881000.0,4066
2025-3-31,10:25,7.070,7.070,7.050,7.070,2546376.0,3607
2025-3-31,10:30,7.060,7.160,7.060,7.150,1442812.0,2034
2025-3-31,10:35,7.140,7.170,7.140,7.140,689208.0,964
2025-3-31,10:40,7.150,7.150,7.140,7.140,305792.0,428
2025-3-31,10:45,7.140,7.140,7.110,7.120,407532.0,572
2025-3-31,10:50,7.110,7.120,7.110,7.110,251704.0,354
2025-3-31,10:55,7.110,7.110,7.100,7.110,603788.0,850
2025-3-31,11:00,7.110,7.110,7.080,7.080,1029188.0,1452
2025-3-31,11:05,7.090,7.100,7.070,7.090,549412.0,776
2025-3-31,11:10,7.090,7.090,7.060,7.060,435588.0,616
2025-3-31,11:15,7.070,7.090,7.060,7.070,2061908.0,2916
2025-3-31,11:20,7.070,7.090,7.070,7.090,2451424.0,3466
2025-3-31,11:25,7.090,7.090,7.060,7.080,2152704.0,3044
2025-3-31,11:30,7.080,7.080,7.070,7.080,953524.0,1348
2025-3-31,11:35,7.080,7.080,7.060,7.060,371856.0,526
2025-3-31,11:40,7.060,7.080,7.060,7.080,747800.0,1058
2025-3-31,11:45,7.080,7.080,7.060,7.080,555704.0,786
2025-3-31,11:50,7.060,7.120,7.060,7.120,2015204.0,2844
2025-3-31,11:55,7.090,7.100,7.080,7.080,556928.0,786
2025-3-31,12:00,7.070,7.080,7.060,7.070,649840.0,920
2025-3-31,13:05,7.060,7.100,7.060,7.100,829488.0,1172
2025-3-31,13:10,7.100,7.100,7.090,7.090,356888.0,503
2025-3-31,13:15,7.100,7.130,7.100,7.130,1348244.0,1896
2025-3-31,13:20,7.120,7.130,7.100,7.100,1315184.0,1850
2025-3-31,13:25,7.110,7.110,7.080,7.100,628480.0,886
2025-3-31,13:30,7.110,7.110,7.080,7.110,1002744.0,1414
2025-3-31,13:35,7.100,7.110,7.080,7.100,1634720.0,2304
2025-3-31,13:40,7.100,7.110,7.080,7.100,1293192.0,1822
2025-3-31,13:45,7.100,7.100,7.070,7.090,908584.0,1282
2025-3-31,13:50,7.090,7.100,7.080,7.090,522928.0,738
