日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,23.310,23.330,23.130,23.260,4203593.0,180800
2025-3-31,09:40,23.300,23.390,23.270,23.350,2588429.0,111000
2025-3-31,09:45,23.370,23.450,23.310,23.370,2472712.0,105700
2025-3-31,09:50,23.370,23.400,23.300,23.380,1601999.0,68600
2025-3-31,09:55,23.380,23.380,23.300,23.350,1213606.0,52000
2025-3-31,10:00,23.360,23.530,23.320,23.500,2628692.0,112000
2025-3-31,10:05,23.490,23.510,23.430,23.480,1550100.0,66000
2025-3-31,10:10,23.480,23.480,23.410,23.420,897604.0,38300
2025-3-31,10:15,23.420,23.420,23.320,23.320,960553.0,41100
2025-3-31,10:20,23.340,23.340,23.270,23.280,1214181.0,52100
2025-3-31,10:25,23.290,23.290,23.220,23.220,1097460.0,47200
2025-3-31,10:30,23.230,23.230,23.180,23.200,1724463.0,74300
2025-3-31,10:35,23.190,23.200,23.160,23.160,2345432.0,101200
2025-3-31,10:40,23.150,23.190,23.110,23.130,2129109.0,92000
2025-3-31,10:45,23.140,23.140,23.050,23.130,2611522.0,113100
2025-3-31,10:50,23.110,23.120,23.070,23.070,641984.0,27800
2025-3-31,10:55,23.070,23.120,23.060,23.070,1163263.0,50400
2025-3-31,11:00,23.050,23.100,23.040,23.090,636646.0,27600
2025-3-31,11:05,23.100,23.150,23.080,23.090,677126.0,29300
2025-3-31,11:10,23.130,23.130,23.070,23.090,507997.0,22000
2025-3-31,11:15,23.090,23.090,23.030,23.080,809213.0,35100
2025-3-31,11:20,23.080,23.150,23.070,23.090,1178636.0,51000
2025-3-31,11:25,23.090,23.130,23.010,23.010,1311762.0,56900
2025-3-31,11:30,23.010,23.060,23.000,23.040,676952.0,29400
2025-3-31,13:05,23.040,23.140,23.010,23.080,3171934.0,137800
2025-3-31,13:10,23.120,23.180,23.060,23.180,707173.0,30600
2025-3-31,13:15,23.180,23.180,23.080,23.150,795725.0,34400
2025-3-31,13:20,23.150,23.170,23.110,23.140,585545.0,25300
2025-3-31,13:25,23.130,23.130,23.090,23.120,721033.0,31200
2025-3-31,13:30,23.130,23.130,23.090,23.110,603157.0,26100
2025-3-31,13:35,23.100,23.180,23.090,23.130,1320963.0,57100
2025-3-31,13:40,23.140,23.180,23.130,23.180,729253.0,31500
2025-3-31,13:45,23.160,23.160,23.070,23.090,494917.0,21400
2025-3-31,13:50,23.100,23.110,23.060,23.070,417797.0,18100
2025-3-31,13:55,23.070,23.120,23.050,23.080,833186.0,36100
2025-3-31,14:00,23.100,23.110,23.060,23.100,842451.0,36500
2025-3-31,14:05,23.090,23.150,23.060,23.150,1835648.0,79500
2025-3-31,14:10,23.150,23.250,23.150,23.190,1384424.0,59700
2025-3-31,14:15,23.200,23.300,23.200,23.290,1640061.0,70500
2025-3-31,14:20,23.310,23.390,23.310,23.370,1758177.0,75300
2025-3-31,14:25,23.370,23.420,23.350,23.390,1127686.0,48200
2025-3-31,14:30,23.380,23.400,23.280,23.280,730245.0,31300
2025-3-31,14:35,23.290,23.330,23.280,23.330,1102221.0,47300
