日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,37.030,37.790,36.820,37.340,3132090.0,84100
2025-3-31,09:40,37.390,38.050,37.200,37.980,3651542.0,96900
2025-3-31,09:45,38.080,38.150,37.830,38.100,3823763.0,100500
2025-3-31,09:50,38.010,38.040,37.650,37.650,815862.0,21500
2025-3-31,09:55,37.690,37.880,37.600,37.880,806700.0,21400
2025-3-31,10:00,37.970,38.600,37.870,38.410,3434464.0,89700
2025-3-31,10:05,38.400,38.400,38.190,38.190,1147899.0,30000
2025-3-31,10:10,38.180,38.300,38.100,38.290,1655203.0,43300
2025-3-31,10:15,38.250,38.250,38.100,38.100,345828.0,9100
2025-3-31,10:20,38.050,38.050,37.830,37.920,1256473.0,33100
2025-3-31,10:25,37.920,37.930,37.810,37.820,247525.0,6500
2025-3-31,10:30,37.820,37.840,37.810,37.820,250220.0,6600
2025-3-31,10:35,37.810,37.970,37.800,37.960,1409597.0,37300
2025-3-31,10:40,37.960,37.960,37.810,37.810,94807.0,2500
2025-3-31,10:45,37.810,37.850,37.740,37.820,806919.0,21300
2025-3-31,10:50,37.820,37.820,37.820,37.820,0.0,0
2025-3-31,10:55,37.890,38.130,37.890,37.940,999271.0,26300
2025-3-31,11:00,37.940,38.090,37.920,38.090,338344.0,8900
2025-3-31,11:05,38.030,38.130,38.000,38.120,468804.0,12400
2025-3-31,11:10,38.120,38.120,37.910,38.030,380867.0,10000
2025-3-31,11:15,38.040,38.050,37.960,37.960,176191.0,4600
2025-3-31,11:20,37.960,38.120,37.960,38.060,764079.0,20100
2025-3-31,11:25,38.070,38.070,37.900,37.940,1785205.0,46900
2025-3-31,11:30,37.940,37.940,37.780,37.780,94727.0,2500
2025-3-31,13:05,37.780,38.120,37.680,37.910,1076254.0,28400
2025-3-31,13:10,38.130,38.290,38.070,38.290,1287391.0,33700
2025-3-31,13:15,38.240,38.310,38.100,38.270,602873.0,15700
2025-3-31,13:20,38.300,38.300,38.150,38.240,829680.0,21800
2025-3-31,13:25,38.240,38.240,38.130,38.130,340695.0,8900
2025-3-31,13:30,38.170,38.240,38.170,38.240,466968.0,12200
2025-3-31,13:35,38.240,38.240,38.070,38.120,483175.0,12700
2025-3-31,13:40,38.120,38.120,38.050,38.110,106828.0,2800
2025-3-31,13:45,38.060,38.060,37.910,37.910,586816.0,15400
2025-3-31,13:50,37.900,37.990,37.800,37.990,234665.0,6200
2025-3-31,13:55,37.990,37.990,37.830,37.830,230725.0,6100
2025-3-31,14:00,38.000,38.000,37.820,38.000,171121.0,4600
2025-3-31,14:05,37.830,37.830,37.650,37.650,471380.0,12400
2025-3-31,14:10,37.710,37.980,37.650,37.700,1222117.0,32400
2025-3-31,14:15,37.930,37.930,37.700,37.910,504108.0,13400
2025-3-31,14:20,37.910,38.110,37.760,37.860,1139252.0,30000
2025-3-31,14:25,37.890,38.180,37.810,38.170,1127420.0,29600
2025-3-31,14:30,38.080,38.180,37.810,37.810,741625.0,19500
2025-3-31,14:35,37.860,38.090,37.810,37.810,658376.0,17400
2025-3-31,14:40,37.700,38.040,37.700,38.010,702051.0,18500
2025-3-31,14:45,38.000,38.110,38.000,38.100,1103232.0,29000
2025-3-31,14:50,38.100,38.250,38.010,38.060,1118894.0,29300
2025-3-31,14:55,38.160,38.200,38.100,38.100,1284642.0,33700
2025-3-31,15:00,38.160,38.220,38.100,38.140,1132750.0,29700
2025-4-1,09:35,38.080,38.290,38.070,38.290,930401.0,24400
2025-4-1,09:40,38.220,38.270,38.060,38.230,1807402.0,47300
2025-4-1,09:45,38.240,38.330,38.150,38.150,719831.0,18800
2025-4-1,09:50,38.100,38.270,38.100,38.250,438230.0,11500
2025-4-1,09:55,38.200,38.200,38.020,38.070,1252925.0,32900
2025-4-1,10:00,38.070,38.150,38.070,38.150,234078.0,6100
2025-4-1,10:05,38.160,38.200,38.100,38.170,599315.0,15700
2025-4-1,10:10,38.170,38.250,38.130,38.250,665902.0,17500
2025-4-1,10:15,38.250,38.350,38.240,38.330,923042.0,24100
2025-4-1,10:20,38.380,38.480,38.370,38.480,1701267.0,44300
2025-4-1,10:25,38.480,38.680,38.480,38.650,2396129.0,62100
2025-4-1,10:30,38.650,38.650,38.430,38.430,157155.0,4100
2025-4-1,10:35,38.430,38.430,38.340,38.380,209154.0,5500
2025-4-1,10:40,38.390,38.520,38.330,38.520,363593.0,9400
2025-4-1,10:45,38.520,38.520,38.410,38.430,237022.0,6200
2025-4-1,10:50,38.420,38.420,38.380,38.380,363266.0,9400
2025-4-1,10:55,38.380,38.430,38.380,38.420,315122.0,8200
2025-4-1,11:00,38.420,38.420,38.410,38.410,19206.0,500
2025-4-1,11:05,38.380,38.410,38.380,38.410,201858.0,5300
2025-4-1,11:10,38.410,38.410,38.330,38.330,993797.0,25900
2025-4-1,11:15,38.330,38.330,38.210,38.310,314736.0,8200
2025-4-1,11:20,38.340,38.500,38.340,38.500,785677.0,20500
2025-4-1,11:25,38.520,38.590,38.510,38.510,250804.0,6500
2025-4-1,11:30,38.530,38.560,38.500,38.500,456397.0,11800
2025-4-1,13:05,38.570,38.640,38.470,38.640,1335262.0,34600
2025-4-1,13:10,38.590,38.590,38.410,38.420,441586.0,11500
2025-4-1,13:15,38.430,38.430,38.260,38.260,512275.0,13400
2025-4-1,13:20,38.350,38.380,38.280,38.350,368262.0,9600
2025-4-1,13:25,38.290,38.350,38.270,38.340,260879.0,6800
2025-4-1,13:30,38.350,38.440,38.340,38.440,535867.0,14000
2025-4-1,13:35,38.440,38.440,38.330,38.370,165863.0,4300
2025-4-1,13:40,38.370,38.370,38.220,38.220,871111.0,22700
2025-4-1,13:45,38.220,38.250,38.160,38.200,622473.0,16300
2025-4-1,13:50,38.200,38.380,38.200,38.360,647947.0,16900
2025-4-1,13:55,38.370,38.470,38.370,38.470,492829.0,12800
2025-4-1,14:00,38.430,38.500,38.430,38.490,427823.0,11100
2025-4-1,14:05,38.560,38.560,38.460,38.540,201235.0,5300
2025-4-1,14:10,38.540,38.690,38.440,38.640,2177921.0,56400
2025-4-1,14:15,38.580,38.580,38.480,38.480,520430.0,13500
2025-4-1,14:20,38.540,38.540,38.450,38.450,146689.0,3800
2025-4-1,14:25,38.440,38.440,38.300,38.390,676333.0,17700
2025-4-1,14:30,38.390,38.390,38.300,38.380,71701.0,1800
2025-4-1,14:35,38.380,38.420,38.310,38.420,1009522.0,26300
2025-4-1,14:40,38.320,38.320,38.320,38.320,24601.0,700
2025-4-1,14:45,38.320,38.380,38.320,38.380,263005.0,6800
2025-4-1,14:50,38.320,38.380,38.280,38.380,543863.0,14200
2025-4-1,14:55,38.420,38.640,38.420,38.610,4165698.0,108200
2025-4-1,15:00,38.540,38.610,38.530,38.530,1399012.0,36300
2025-4-2,09:35,38.410,38.870,38.410,38.640,1451788.0,37500
2025-4-2,09:40,38.640,38.940,38.570,38.940,1879721.0,48600
2025-4-2,09:45,38.850,38.960,38.550,38.550,2079590.0,53500
2025-4-2,09:50,38.560,38.600,38.360,38.490,862541.0,22400
2025-4-2,09:55,38.490,38.750,38.430,38.610,980744.0,25400
2025-4-2,10:00,38.610,38.730,38.510,38.680,895263.0,23200
2025-4-2,10:05,38.650,38.670,38.550,38.670,540354.0,14000
2025-4-2,10:10,38.630,38.630,38.490,38.550,874159.0,22700
2025-4-2,10:15,38.460,38.460,38.380,38.380,1138071.0,29600
2025-4-2,10:20,38.380,38.460,38.360,38.370,1311278.0,34200
2025-4-2,10:25,38.370,38.570,38.370,38.560,315938.0,8200
2025-4-2,10:30,38.610,38.610,38.560,38.560,304455.0,7900
2025-4-2,10:35,38.560,38.560,38.400,38.430,350993.0,9100
2025-4-2,10:40,38.370,38.690,38.370,38.680,2060357.0,53400
2025-4-2,10:45,38.650,38.650,38.580,38.600,216082.0,5600
2025-4-2,10:50,38.600,38.600,38.410,38.410,292154.0,7600
2025-4-2,10:55,38.410,38.470,38.360,38.470,268434.0,7000
2025-4-2,11:00,38.410,38.510,38.350,38.350,480037.0,12500
2025-4-2,11:05,38.330,38.330,38.210,38.260,698874.0,18300
2025-4-2,11:10,38.270,38.270,38.180,38.180,408706.0,10700
2025-4-2,11:15,38.200,38.270,38.200,38.270,106685.0,2800
2025-4-2,11:20,38.260,38.260,38.150,38.170,326990.0,8500
2025-4-2,11:25,38.170,38.230,38.160,38.230,685391.0,18000
2025-4-2,11:30,38.210,38.210,37.900,37.930,1584042.0,41600
2025-4-2,13:05,37.930,37.970,37.920,37.930,518256.0,13700
2025-4-2,13:10,37.930,37.970,37.750,37.760,576797.0,15200
2025-4-2,13:15,37.750,37.790,37.710,37.770,574561.0,15200
2025-4-2,13:20,37.730,37.800,37.730,37.790,340273.0,9000
2025-4-2,13:25,37.800,37.890,37.750,37.890,711314.0,18900
2025-4-2,13:30,37.820,37.950,37.820,37.950,71999.0,1900
2025-4-2,13:35,37.950,37.950,37.900,37.900,296811.0,7800
2025-4-2,13:40,37.920,37.920,37.840,37.850,454292.0,12000
2025-4-2,13:45,37.830,37.950,37.830,37.850,1105502.0,29200
2025-4-2,13:50,37.950,38.000,37.890,38.000,348823.0,9200
2025-4-2,13:55,38.010,38.020,37.820,37.950,951873.0,25100
2025-4-2,14:00,37.950,37.960,37.860,37.860,287096.0,7600
2025-4-2,14:05,37.840,37.840,37.760,37.760,525291.0,13900
2025-4-2,14:10,37.730,37.790,37.730,37.730,234416.0,6200
2025-4-2,14:15,37.720,37.730,37.650,37.730,1994322.0,52900
2025-4-2,14:20,37.790,37.820,37.790,37.820,16407.0,400
2025-4-2,14:25,37.800,37.820,37.800,37.810,65026.0,1700
2025-4-2,14:30,37.810,37.820,37.800,37.820,147428.0,3900
2025-4-2,14:35,37.800,37.850,37.800,37.850,56735.0,1500
2025-4-2,14:40,37.810,37.810,37.640,37.670,1823833.0,48400
2025-4-2,14:45,37.680,37.760,37.680,37.760,263822.0,7000
2025-4-2,14:50,37.760,37.880,37.760,37.880,150354.0,4000
2025-4-2,14:55,37.960,37.960,37.840,37.870,444709.0,11700
2025-4-2,15:00,37.860,37.870,37.830,37.840,313643.0,8300
2025-4-3,09:35,37.170,37.600,37.170,37.490,1782977.0,47700
2025-4-3,09:40,37.510,37.720,37.510,37.630,748734.0,19900
2025-4-3,09:45,37.660,37.980,37.610,37.980,1211392.0,32100
2025-4-3,09:50,37.940,38.090,37.800,37.800,1291889.0,34000
2025-4-3,09:55,37.810,37.840,37.750,37.800,272566.0,7200
2025-4-3,10:00,37.800,37.800,37.630,37.630,1177976.0,31200
2025-4-3,10:05,37.600,37.700,37.600,37.610,694338.0,18500
2025-4-3,10:10,37.600,37.620,37.380,37.490,1058651.0,28200
2025-4-3,10:15,37.460,37.460,37.300,37.430,1231742.0,33000
2025-4-3,10:20,37.350,37.470,37.340,37.470,390935.0,10500
2025-4-3,10:25,37.570,37.570,37.370,37.370,447454.0,11900
2025-4-3,10:30,37.350,37.640,37.350,37.640,248174.0,6600
2025-4-3,10:35,37.640,37.640,37.500,37.500,338870.0,9100
2025-4-3,10:40,37.500,37.500,37.420,37.440,97336.0,2600
2025-4-3,10:45,37.380,37.380,37.320,37.320,368172.0,9800
2025-4-3,10:50,37.310,37.400,37.310,37.400,186121.0,5000
2025-4-3,10:55,37.340,37.340,37.110,37.160,1256574.0,33800
2025-4-3,11:00,37.130,37.150,37.110,37.150,217935.0,5800
2025-4-3,11:05,37.170,37.190,37.010,37.060,1305420.0,35200
2025-4-3,11:10,37.030,37.120,37.010,37.060,422676.0,11400
2025-4-3,11:15,37.060,37.060,37.000,37.000,571531.0,15500
2025-4-3,11:20,37.010,37.190,36.920,37.110,1100940.0,29700
2025-4-3,11:25,37.000,37.100,36.950,36.950,439949.0,11900
2025-4-3,11:30,37.020,37.020,36.910,37.000,675656.0,18300
2025-4-3,13:05,37.000,37.060,36.910,37.060,836979.0,22600
2025-4-3,13:10,37.040,37.040,36.890,36.950,644462.0,17400
2025-4-3,13:15,36.970,37.150,36.970,37.130,777328.0,21000
2025-4-3,13:20,37.130,37.130,36.880,36.980,443988.0,12000
2025-4-3,13:25,36.980,37.000,36.890,36.960,255394.0,6900
2025-4-3,13:30,37.000,37.060,36.910,37.000,719387.0,19400
2025-4-3,13:35,36.990,37.030,36.910,36.920,562568.0,15300
2025-4-3,13:40,36.910,36.980,36.910,36.970,115652.0,3100
2025-4-3,13:45,36.990,37.000,36.900,36.900,831298.0,22500
2025-4-3,13:50,36.900,37.060,36.890,37.060,393448.0,10700
2025-4-3,13:55,36.990,37.250,36.990,37.250,579715.0,15600
2025-4-3,14:00,37.210,37.230,37.210,37.230,113781.0,3000
2025-4-3,14:05,37.230,37.230,37.150,37.170,254564.0,6900
2025-4-3,14:10,37.130,37.360,37.130,37.210,229493.0,6100
2025-4-3,14:15,37.210,37.300,37.140,37.300,398257.0,10700
2025-4-3,14:20,37.210,37.210,37.180,37.180,105288.0,2800
2025-4-3,14:25,37.230,37.270,37.180,37.270,713700.0,19200
2025-4-3,14:30,37.270,37.310,37.150,37.310,261572.0,7000
2025-4-3,14:35,37.200,37.300,37.200,37.300,118651.0,3200
2025-4-3,14:40,37.240,37.360,37.240,37.360,853153.0,22900
2025-4-3,14:45,37.350,37.350,37.140,37.180,721735.0,19400
2025-4-3,14:50,37.180,37.190,37.030,37.090,911303.0,24500
2025-4-3,14:55,37.090,37.210,37.060,37.210,689983.0,18600
2025-4-3,15:00,37.120,37.190,37.010,37.010,794388.0,21500
2025-4-7,09:35,35.800,35.800,34.120,34.900,5277933.0,151100
2025-4-7,09:40,34.900,34.900,34.000,34.050,3532884.0,102900
2025-4-7,09:45,34.040,35.100,34.040,35.100,6837115.0,197800
2025-4-7,09:50,34.900,35.100,34.730,34.920,2107622.0,60400
2025-4-7,09:55,34.810,34.810,34.010,34.120,2989266.0,87200
2025-4-7,10:00,34.760,35.000,34.610,34.940,582580.0,16700
2025-4-7,10:05,34.950,35.000,34.680,34.760,853496.0,24500
2025-4-7,10:10,34.680,34.690,34.510,34.510,420493.0,12200
2025-4-7,10:15,34.530,34.550,34.400,34.550,465742.0,13500
2025-4-7,10:20,34.550,34.780,34.460,34.690,590627.0,17100
2025-4-7,10:25,34.600,34.780,34.600,34.670,121143.0,3500
2025-4-7,10:30,34.690,34.780,34.630,34.780,421545.0,12100
2025-4-7,10:35,34.640,34.640,34.500,34.500,310952.0,9000
2025-4-7,10:40,34.510,34.650,34.510,34.650,213675.0,6200
2025-4-7,10:45,34.650,34.770,34.650,34.660,141805.0,4100
2025-4-7,10:50,34.770,34.780,34.680,34.690,146550.0,4200
2025-4-7,10:55,34.700,34.700,34.480,34.480,284009.0,8200
2025-4-7,11:00,34.490,34.600,34.490,34.540,112598.0,3300
2025-4-7,11:05,34.540,34.550,34.240,34.390,2081271.0,60600
2025-4-7,11:10,34.390,34.660,34.370,34.370,362925.0,10500
2025-4-7,11:15,34.390,34.390,34.200,34.200,502881.0,14700
2025-4-7,11:20,34.150,34.330,34.150,34.330,1391468.0,40700
