日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-6-30,09:35,22.000,22.330,21.720,22.260,62362920.0,2830600
2025-6-30,09:40,22.200,22.290,22.130,22.160,11277509.0,508300
2025-6-30,09:45,22.160,22.160,21.800,21.810,20116882.0,918000
2025-6-30,09:50,21.750,22.180,21.700,22.090,12154814.0,556100
2025-6-30,09:55,22.090,22.090,21.720,21.750,6298630.0,288000
2025-6-30,10:00,21.790,21.900,21.760,21.900,2616563.0,119800
2025-6-30,10:05,21.900,21.910,21.640,21.650,6196157.0,285200
2025-6-30,10:10,21.650,21.650,21.290,21.420,17064288.0,796700
2025-6-30,10:15,21.400,21.560,21.390,21.450,9176867.0,427600
2025-6-30,10:20,21.450,21.550,21.450,21.480,3381262.0,157300
2025-6-30,10:25,21.450,21.470,21.300,21.300,10707132.0,501500
2025-6-30,10:30,21.310,21.410,21.300,21.330,5324357.0,249300
2025-6-30,10:35,21.330,21.380,21.250,21.250,7032408.0,330300
2025-6-30,10:40,21.250,21.400,21.240,21.370,2868206.0,134500
2025-6-30,10:45,21.380,21.420,21.330,21.400,2527306.0,118200
2025-6-30,10:50,21.400,21.400,21.310,21.340,3768243.0,176500
2025-6-30,10:55,21.330,21.590,21.310,21.460,5169945.0,240900
2025-6-30,11:00,21.440,21.600,21.380,21.590,1223792.0,56900
2025-6-30,11:05,21.560,21.930,21.550,21.920,7862700.0,361300
2025-6-30,11:10,21.900,22.030,21.820,22.010,5893223.0,268900
2025-6-30,11:15,22.010,22.050,21.920,21.980,4347625.0,197700
2025-6-30,11:20,21.990,22.030,21.940,21.990,2960630.0,134600
2025-6-30,11:25,21.980,22.000,21.830,21.930,5097660.0,232300
2025-6-30,11:30,21.900,21.960,21.900,21.930,922606.0,42100
2025-6-30,13:05,21.950,22.000,21.770,21.780,5699064.0,260700
2025-6-30,13:10,21.780,21.780,21.660,21.660,2277630.0,104800
2025-6-30,13:15,21.660,21.670,21.540,21.570,4360395.0,201900
2025-6-30,13:20,21.580,21.590,21.510,21.560,2641657.0,122600
2025-6-30,13:25,21.570,21.640,21.570,21.610,2349312.0,108800
2025-6-30,13:30,21.600,21.620,21.560,21.620,1971115.0,91300
2025-6-30,13:35,21.620,21.640,21.550,21.560,1551918.0,71900
2025-6-30,13:40,21.580,21.600,21.530,21.600,3787813.0,175700
2025-6-30,13:45,21.580,21.600,21.550,21.590,2244490.0,104100
2025-6-30,13:50,21.590,21.600,21.460,21.490,4019400.0,186800
2025-6-30,13:55,21.500,21.500,21.410,21.440,2503148.0,116700
2025-6-30,14:00,21.450,21.460,21.400,21.400,3074338.0,143500
2025-6-30,14:05,21.400,21.400,21.360,21.400,3090200.0,144600
2025-6-30,14:10,21.400,21.470,21.400,21.450,1140784.0,53200
2025-6-30,14:15,21.450,21.510,21.440,21.500,867288.0,40400
2025-6-30,14:20,21.500,21.510,21.490,21.500,649366.0,30200
2025-6-30,14:25,21.520,21.550,21.470,21.510,2027716.0,94200
2025-6-30,14:30,21.500,21.600,21.500,21.600,1853705.0,86000
2025-6-30,14:35,21.610,21.660,21.600,21.630,2113624.0,97700
2025-6-30,14:40,21.630,21.630,21.520,21.620,3372024.0,156200
2025-6-30,14:45,21.580,21.660,21.550,21.650,3972765.0,183900
2025-6-30,14:50,21.650,21.680,21.570,21.660,2827212.0,130700
2025-6-30,14:55,21.610,21.740,21.610,21.640,4701941.5,217100
2025-6-30,15:00,21.640,21.690,21.610,21.630,5643999.0,260800
2025-7-1,09:35,21.600,21.900,21.530,21.750,9408564.0,433500
2025-7-1,09:40,21.740,21.860,21.690,21.790,4276868.0,196400
2025-7-1,09:45,21.780,21.830,21.600,21.730,8072632.5,371200
2025-7-1,09:50,21.770,21.850,21.740,21.840,3068266.0,140700
2025-7-1,09:55,21.840,22.000,21.820,21.990,7775016.0,354900
2025-7-1,10:00,21.990,22.070,21.920,21.940,9086406.0,413200
2025-7-1,10:05,21.940,21.950,21.880,21.900,4849601.0,221300
2025-7-1,10:10,21.910,22.120,21.910,22.080,13396211.0,608000
2025-7-1,10:15,22.080,22.110,21.920,21.930,6566111.0,298000
2025-7-1,10:20,21.910,21.910,21.800,21.810,3983101.0,182400
2025-7-1,10:25,21.810,21.840,21.790,21.790,2056976.0,94300
