日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-1-2,09:35,18.230,18.240,17.950,17.980,29133758.0,1610900
2024-1-2,09:40,18.000,18.080,17.970,18.080,10216652.0,567300
2024-1-2,09:45,18.090,18.190,18.050,18.170,12185026.0,672600
2024-1-2,09:50,18.130,18.200,18.130,18.170,18301164.0,1006900
2024-1-2,09:55,18.170,18.190,18.110,18.120,11259730.0,620100
2024-1-2,10:00,18.120,18.200,18.110,18.180,15541444.0,855600
2024-1-2,10:05,18.180,18.200,18.120,18.140,12161268.0,669800
2024-1-2,10:10,18.150,18.180,18.080,18.100,8966635.0,495000
2024-1-2,10:15,18.090,18.100,18.030,18.050,7049947.0,390500
2024-1-2,10:20,18.040,18.060,18.020,18.040,8111207.0,449700
2024-1-2,10:25,18.040,18.040,17.990,18.040,12581279.0,698600
2024-1-2,10:30,18.040,18.050,18.010,18.020,4581836.0,254200
2024-1-2,10:35,18.000,18.020,17.990,18.010,4045260.0,224700
2024-1-2,10:40,18.010,18.020,17.970,18.000,7122974.0,395900
2024-1-2,10:45,17.990,18.000,17.970,18.000,2557948.0,142200
2024-1-2,10:50,18.000,18.030,17.990,18.000,3454027.0,191800
2024-1-2,10:55,18.000,18.000,17.910,17.930,10095019.0,562100
2024-1-2,11:00,17.930,17.970,17.930,17.970,2627052.0,146400
2024-1-2,11:05,17.970,17.990,17.960,17.980,2718293.0,151200
2024-1-2,11:10,17.990,18.010,17.960,18.010,2737538.0,152200
2024-1-2,11:15,18.010,18.010,17.970,17.970,2205770.0,122600
2024-1-2,11:20,17.980,18.010,17.970,17.990,3879081.0,215600
2024-1-2,11:25,17.990,18.000,17.950,17.970,3798221.0,211400
2024-1-2,11:30,17.970,17.970,17.940,17.950,3179074.0,177100
2024-1-2,13:05,17.950,17.970,17.930,17.960,4247238.0,236600
2024-1-2,13:10,17.950,18.000,17.950,17.970,4826365.0,268500
2024-1-2,13:15,17.960,17.980,17.950,17.970,5079212.0,282900
2024-1-2,13:20,17.980,17.990,17.950,17.970,2526772.0,140600
2024-1-2,13:25,17.970,18.000,17.900,17.970,8232528.0,458700
2024-1-2,13:30,17.970,18.000,17.940,17.940,5157221.0,287100
2024-1-2,13:35,17.940,17.940,17.880,17.890,12273934.0,685500
2024-1-2,13:40,17.910,17.920,17.880,17.900,5776478.0,322700
2024-1-2,13:45,17.910,17.920,17.890,17.890,5391835.0,301200
2024-1-2,13:50,17.900,17.900,17.810,17.830,15751758.0,882000
2024-1-2,13:55,17.840,17.840,17.810,17.840,8574391.0,481000
2024-1-2,14:00,17.840,17.840,17.800,17.820,9068396.0,509000
2024-1-2,14:05,17.830,17.830,17.750,17.770,13205676.0,742200
2024-1-2,14:10,17.790,17.800,17.770,17.800,8987512.0,505300
2024-1-2,14:15,17.800,17.820,17.790,17.800,6980968.0,392100
2024-1-2,14:20,17.810,17.810,17.750,17.750,8757711.0,492600
2024-1-2,14:25,17.770,17.780,17.730,17.760,7948020.0,447600
2024-1-2,14:30,17.770,17.770,17.730,17.750,10412816.0,586800
2024-1-2,14:35,17.750,17.790,17.750,17.770,7531864.0,423800
2024-1-2,14:40,17.770,17.780,17.750,17.750,5948759.0,334900
2024-1-2,14:45,17.760,17.760,17.700,17.720,14738631.0,831300
2024-1-2,14:50,17.710,17.740,17.710,17.720,7783434.0,439200
2024-1-2,14:55,17.720,17.750,17.720,17.720,7217878.0,407100
2024-1-2,15:00,17.730,17.740,17.710,17.710,8053649.0,454600
2024-1-3,09:35,17.710,17.710,17.420,17.630,29547264.0,1683400
2024-1-3,09:40,17.640,17.650,17.530,17.540,9069039.0,515900
2024-1-3,09:45,17.550,17.610,17.500,17.510,10474171.0,596600
2024-1-3,09:50,17.510,17.550,17.460,17.540,17610980.0,1005900
2024-1-3,09:55,17.540,17.560,17.500,17.510,13500721.0,770600
2024-1-3,10:00,17.510,17.510,17.320,17.330,37977600.0,2182600
2024-1-3,10:05,17.330,17.330,17.150,17.210,39239348.0,2275500
2024-1-3,10:10,17.210,17.220,17.090,17.140,33456208.0,1950400
2024-1-3,10:15,17.140,17.150,17.040,17.110,26944740.0,1576000
2024-1-3,10:20,17.100,17.110,17.020,17.070,21190336.0,1241700
2024-1-3,10:25,17.080,17.110,17.030,17.080,12835731.0,751700
2024-1-3,10:30,17.090,17.130,17.060,17.130,8284891.0,484800
2024-1-3,10:35,17.140,17.180,17.120,17.120,10261053.0,598300
2024-1-3,10:40,17.130,17.130,17.070,17.080,10087911.0,590200
2024-1-3,10:45,17.070,17.090,17.050,17.070,10465858.0,613000
2024-1-3,10:50,17.080,17.110,17.050,17.090,7946628.0,465400
2024-1-3,10:55,17.090,17.100,17.060,17.080,7155725.0,419000
2024-1-3,11:00,17.070,17.090,17.050,17.090,7379200.0,432400
2024-1-3,11:05,17.080,17.080,16.960,17.000,36301248.0,2133300
2024-1-3,11:10,17.000,17.010,16.980,16.990,17227748.0,1013800
2024-1-3,11:15,16.990,17.000,16.970,16.970,10490435.0,617700
2024-1-3,11:20,16.980,17.000,16.950,16.950,14355313.0,845400
2024-1-3,11:25,16.980,17.000,16.950,16.960,8056052.0,474600
2024-1-3,11:30,16.950,16.960,16.880,16.890,18138254.0,1072300
2024-1-3,13:05,16.890,16.930,16.820,16.850,18115244.0,1073300
2024-1-3,13:10,16.840,16.840,16.780,16.820,20420384.0,1214700
2024-1-3,13:15,16.830,16.830,16.780,16.780,15643810.0,930600
2024-1-3,13:20,16.800,16.870,16.780,16.860,10788232.0,641200
2024-1-3,13:25,16.870,16.920,16.850,16.860,10424637.0,617700
2024-1-3,13:30,16.870,16.880,16.830,16.850,5072216.0,300900
2024-1-3,13:35,16.850,16.870,16.830,16.840,5994453.0,355800
2024-1-3,13:40,16.850,16.940,16.840,16.870,9495314.0,562600
2024-1-3,13:45,16.870,16.870,16.810,16.810,12808581.0,760700
