日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-1-2,09:35,15.600,15.600,15.240,15.360,79879256.0,51907
2024-1-2,09:40,15.360,15.420,15.300,15.400,32385456.0,21084
2024-1-2,09:45,15.400,15.480,15.380,15.460,32240200.0,20882
2024-1-2,09:50,15.460,15.500,15.340,15.360,24609200.0,15950
2024-1-2,09:55,15.360,15.360,15.320,15.340,28473440.0,18562
2024-1-2,10:00,15.320,15.360,15.300,15.340,16063072.0,10477
2024-1-2,10:05,15.320,15.400,15.320,15.380,16302416.0,10610
2024-1-2,10:10,15.380,15.420,15.340,15.380,16442944.0,10694
2024-1-2,10:15,15.380,15.380,15.320,15.340,14104704.0,9190
2024-1-2,10:20,15.340,15.340,15.320,15.320,18449584.0,12034
2024-1-2,10:25,15.340,15.340,15.280,15.300,27553984.0,17998
2024-1-2,10:30,15.300,15.380,15.300,15.380,22251552.0,14518
2024-1-2,10:35,15.360,15.460,15.360,15.460,14729280.0,9562
2024-1-2,10:40,15.440,15.460,15.400,15.420,4494304.0,2912
2024-1-2,10:45,15.420,15.440,15.420,15.440,4799936.0,3112
2024-1-2,10:50,15.440,15.460,15.400,15.400,12162496.0,7880
2024-1-2,10:55,15.400,15.420,15.400,15.400,4562080.0,2962
2024-1-2,11:00,15.400,15.400,15.340,15.380,7331520.0,4768
2024-1-2,11:05,15.360,15.380,15.340,15.360,5661440.0,3686
2024-1-2,11:10,15.360,15.400,15.360,15.400,13125824.0,8542
2024-1-2,11:15,15.400,15.400,15.340,15.340,6599456.0,4294
2024-1-2,11:20,15.360,15.380,15.340,15.380,2997888.0,1951
2024-1-2,11:25,15.380,15.380,15.340,15.340,5283232.0,3441
2024-1-2,11:30,15.360,15.360,15.340,15.340,6090144.0,3966
2024-1-2,11:35,15.340,15.400,15.340,15.400,17518976.0,11394
2024-1-2,11:40,15.400,15.400,15.360,15.380,2645632.0,1720
2024-1-2,11:45,15.360,15.380,15.360,15.380,2338944.0,1522
2024-1-2,11:50,15.380,15.380,15.360,15.360,1254592.0,816
2024-1-2,11:55,15.360,15.380,15.360,15.380,2456800.0,1598
2024-1-2,12:00,15.380,15.380,15.360,15.380,3324704.0,2162
2024-1-2,13:05,15.380,15.480,15.360,15.400,40481056.0,26260
2024-1-2,13:10,15.420,15.480,15.420,15.460,10158336.0,6578
2024-1-2,13:15,15.460,15.460,15.440,15.460,4557824.0,2948
2024-1-2,13:20,15.460,15.520,15.440,15.500,27902432.0,18010
2024-1-2,13:25,15.500,15.520,15.480,15.500,12169280.0,7852
2024-1-2,13:30,15.500,15.580,15.480,15.580,11476608.0,7389
2024-1-2,13:35,15.580,15.600,15.540,15.560,18091072.0,11612
2024-1-2,13:40,15.540,15.560,15.500,15.540,6454208.0,4158
2024-1-2,13:45,15.540,15.540,15.520,15.520,3722752.0,2396
2024-1-2,13:50,15.540,15.560,15.520,15.520,6916416.0,4452
2024-1-2,13:55,15.500,15.520,15.460,15.480,9591424.0,6190
2024-1-2,14:00,15.460,15.480,15.460,15.460,4412672.0,2854
2024-1-2,14:05,15.460,15.480,15.440,15.440,2781504.0,1800
2024-1-2,14:10,15.460,15.460,15.440,15.460,7007616.0,4537
2024-1-2,14:15,15.460,15.480,15.440,15.440,12277376.0,7940
2024-1-2,14:20,15.440,15.440,15.400,15.420,17058496.0,11060
2024-1-2,14:25,15.420,15.420,15.400,15.420,2925696.0,1898
2024-1-2,14:30,15.400,15.420,15.380,15.380,9759552.0,6339
2024-1-2,14:35,15.400,15.420,15.380,15.400,17534976.0,11386
2024-1-2,14:40,15.380,15.420,15.360,15.360,11765568.0,7644
2024-1-2,14:45,15.360,15.420,15.360,15.420,10031680.0,6516
2024-1-2,14:50,15.420,15.420,15.400,15.420,4064000.0,2636
2024-1-2,14:55,15.420,15.420,15.400,15.400,6445184.0,4184
2024-1-2,15:00,15.400,15.420,15.400,15.400,5747264.0,3730
2024-1-2,15:05,15.400,15.440,15.400,15.400,12888512.0,8358
2024-1-2,15:10,15.400,15.420,15.400,15.420,6111808.0,3963
2024-1-2,15:15,15.420,15.440,15.420,15.420,4508096.0,2922
2024-1-2,15:20,15.420,15.460,15.420,15.460,9458176.0,6122
2024-1-2,15:25,15.460,15.480,15.440,15.480,6614080.0,4276
2024-1-2,15:30,15.480,15.500,15.460,15.500,10154496.0,6558
2024-1-2,15:35,15.480,15.500,15.480,15.480,6925312.0,4470
2024-1-2,15:40,15.500,15.500,15.460,15.480,17161088.0,11088
2024-1-2,15:45,15.480,15.500,15.460,15.460,16863744.0,10892
2024-1-2,15:50,15.460,15.480,15.440,15.480,19376064.0,12523
2024-1-2,15:55,15.480,15.540,15.480,15.500,37243136.0,23997
2024-1-2,16:00,15.500,15.540,15.480,15.480,78459904.0,50636
2024-1-3,09:35,15.280,15.460,15.280,15.400,26309544.0,17163
2024-1-3,09:40,15.400,15.420,15.320,15.340,15714444.0,10224
2024-1-3,09:45,15.340,15.400,15.300,15.340,27382500.0,17844
2024-1-3,09:50,15.340,15.380,15.320,15.340,17504680.0,11403
2024-1-3,09:55,15.340,15.380,15.260,15.260,30845728.0,20146
2024-1-3,10:00,15.280,15.280,15.180,15.240,38315936.0,25182
2024-1-3,10:05,15.220,15.320,15.220,15.320,13282160.0,8710
2024-1-3,10:10,15.320,15.320,15.260,15.260,11608160.0,7590
2024-1-3,10:15,15.280,15.280,15.260,15.280,4235808.0,2774
2024-1-3,10:20,15.280,15.280,15.220,15.260,15821152.0,10375
2024-1-3,10:25,15.260,15.280,15.240,15.260,8398160.0,5506
2024-1-3,10:30,15.240,15.280,15.220,15.280,9579952.0,6282
2024-1-3,10:35,15.280,15.280,15.260,15.260,9868944.0,6464
2024-1-3,10:40,15.260,15.280,15.260,15.260,6118816.0,4008
2024-1-3,10:45,15.260,15.280,15.260,15.280,2517456.0,1648
2024-1-3,10:50,15.280,15.300,15.260,15.280,12893664.0,8438
2024-1-3,10:55,15.280,15.280,15.220,15.240,11817872.0,7750
2024-1-3,11:00,15.220,15.240,15.200,15.200,31734208.0,20860
2024-1-3,11:05,15.220,15.220,15.120,15.120,33371200.0,22014
2024-1-3,11:10,15.120,15.140,15.040,15.060,30987136.0,20528
2024-1-3,11:15,15.060,15.080,15.040,15.080,21151840.0,14042
2024-1-3,11:20,15.080,15.100,15.000,15.020,40153440.0,26720
2024-1-3,11:25,15.020,15.060,15.000,15.000,24940576.0,16600
2024-1-3,11:30,15.020,15.040,14.960,14.980,40939072.0,27302
2024-1-3,11:35,14.980,14.980,14.940,14.960,21094784.0,14105
2024-1-3,11:40,14.980,14.980,14.940,14.960,22836128.0,15280
2024-1-3,11:45,14.960,14.960,14.920,14.940,23998528.0,16060
2024-1-3,11:50,14.940,14.960,14.920,14.920,9328064.0,6248
2024-1-3,11:55,14.940,14.940,14.900,14.940,33865600.0,22716
2024-1-3,12:00,14.940,14.960,14.920,14.940,22356928.0,14967
2024-1-3,13:05,14.940,14.960,14.880,14.920,58061824.0,38925
2024-1-3,13:10,14.920,14.980,14.900,14.980,38588544.0,25838
2024-1-3,13:15,14.960,14.980,14.940,14.980,11677952.0,7804
2024-1-3,13:20,14.980,14.980,14.940,14.960,12152448.0,8122
2024-1-3,13:25,14.960,14.960,14.920,14.940,10781568.0,7214
2024-1-3,13:30,14.940,14.960,14.900,14.920,34978304.0,23424
2024-1-3,13:35,14.900,14.920,14.820,14.840,42725376.0,28713
2024-1-3,13:40,14.820,14.840,14.760,14.820,118036032.0,79730
2024-1-3,13:45,14.800,14.840,14.800,14.840,24376384.0,16438
2024-1-3,13:50,14.840,14.860,14.780,14.840,33531584.0,22628
2024-1-3,13:55,14.840,14.840,14.800,14.820,12081664.0,8154
2024-1-3,14:00,14.820,14.840,14.800,14.820,16780096.0,11328
2024-1-3,14:05,14.820,14.840,14.800,14.800,31236736.0,21088
2024-1-3,14:10,14.820,14.820,14.800,14.820,32904384.0,22228
2024-1-3,14:15,14.820,14.840,14.800,14.840,25713664.0,17354
2024-1-3,14:20,14.840,14.860,14.820,14.860,19051136.0,12836
2024-1-3,14:25,14.860,14.920,14.860,14.920,19269120.0,12945
2024-1-3,14:30,14.920,14.980,14.900,14.960,24392320.0,16316
2024-1-3,14:35,14.940,14.960,14.920,14.940,8762624.0,5866
2024-1-3,14:40,14.940,14.940,14.900,14.900,15712000.0,10534
2024-1-3,14:45,14.920,14.940,14.900,14.920,13417728.0,8993
2024-1-3,14:50,14.940,14.960,14.920,14.960,9391616.0,6288
2024-1-3,14:55,14.960,14.960,14.920,14.940,16935552.0,11330
2024-1-3,15:00,14.940,14.940,14.920,14.940,11537792.0,7728
2024-1-3,15:05,14.940,14.960,14.920,14.920,14138496.0,9467
2024-1-3,15:10,14.920,14.920,14.880,14.920,17992576.0,12073
2024-1-3,15:15,14.920,14.940,14.900,14.940,12168832.0,8154
2024-1-3,15:20,14.940,14.940,14.900,14.920,7255936.0,4862
2024-1-3,15:25,14.920,14.940,14.880,14.880,24275456.0,16278
2024-1-3,15:30,14.900,14.900,14.880,14.900,8274560.0,5555
2024-1-3,15:35,14.880,14.900,14.860,14.860,11855744.0,7966
2024-1-3,15:40,14.880,14.920,14.880,14.900,33487232.0,22484
2024-1-3,15:45,14.900,14.900,14.880,14.880,9486336.0,6372
2024-1-3,15:50,14.900,14.920,14.860,14.920,58937856.0,39593
2024-1-3,15:55,14.920,14.940,14.880,14.880,45317632.0,30386
2024-1-3,16:00,14.900,14.980,14.880,14.980,191033728.0,127615
2024-1-4,09:35,14.900,14.960,14.740,14.860,45917204.0,30949
2024-1-4,09:40,14.860,15.060,14.820,15.040,50877932.0,34060
2024-1-4,09:45,15.060,15.060,14.900,14.940,25724032.0,17164
2024-1-4,09:50,14.960,15.100,14.960,15.100,26792368.0,17838
2024-1-4,09:55,15.080,15.140,15.060,15.080,35354608.0,23412
2024-1-4,10:00,15.080,15.100,15.060,15.080,12968736.0,8593
2024-1-4,10:05,15.080,15.080,15.020,15.040,13897968.0,9238
2024-1-4,10:10,15.040,15.040,15.000,15.040,12449536.0,8290
2024-1-4,10:15,15.040,15.080,15.040,15.080,10352224.0,6876
2024-1-4,10:20,15.080,15.080,15.040,15.080,13132032.0,8720
2024-1-4,10:25,15.080,15.080,15.020,15.040,14388896.0,9562
2024-1-4,10:30,15.040,15.080,15.020,15.040,15313040.0,10176
2024-1-4,10:35,15.020,15.040,14.980,15.000,13813856.0,9205
2024-1-4,10:40,15.000,15.000,14.980,15.000,2558624.0,1707
2024-1-4,10:45,15.000,15.000,14.920,14.940,10176320.0,6802
2024-1-4,10:50,14.920,14.960,14.920,14.960,11493440.0,7694
2024-1-4,10:55,14.960,14.960,14.940,14.960,1752544.0,1172
2024-1-4,11:00,14.960,14.960,14.920,14.940,5191904.0,3474
2024-1-4,11:05,14.920,14.940,14.920,14.940,1883328.0,1262
2024-1-4,11:10,14.940,14.940,14.920,14.920,2370368.0,1588
2024-1-4,11:15,14.920,14.940,14.920,14.920,2541728.0,1702
2024-1-4,11:20,14.940,15.000,14.920,15.000,15441984.0,10324
2024-1-4,11:25,15.000,15.000,14.940,14.980,14585536.0,9744
2024-1-4,11:30,14.980,15.000,14.960,15.000,3718464.0,2482
2024-1-4,11:35,15.000,15.000,14.980,15.000,2033152.0,1356
2024-1-4,11:40,15.000,15.020,14.980,15.000,15595584.0,10396
2024-1-4,11:45,15.000,15.020,14.980,15.020,2199520.0,1466
2024-1-4,11:50,15.020,15.020,14.980,15.000,3942880.0,2628
2024-1-4,11:55,15.000,15.020,14.980,15.000,6524864.0,4350
2024-1-4,12:00,15.000,15.000,14.980,15.000,2378656.0,1586
2024-1-4,13:05,15.000,15.020,14.980,15.000,13814656.0,9208
2024-1-4,13:10,15.020,15.020,14.960,14.960,15471392.0,10324
2024-1-4,13:15,14.980,14.980,14.940,14.940,10537504.0,7046
2024-1-4,13:20,14.940,14.960,14.940,14.940,3275872.0,2192
2024-1-4,13:25,14.960,14.960,14.920,14.920,4497600.0,3010
2024-1-4,13:30,14.940,14.940,14.920,14.940,8181024.0,5482
2024-1-4,13:35,14.920,14.940,14.920,14.940,3767328.0,2524
2024-1-4,13:40,14.920,14.940,14.920,14.920,10904352.0,7304
2024-1-4,13:45,14.940,14.940,14.900,14.920,8581600.0,5754
2024-1-4,13:50,14.900,14.920,14.900,14.920,4749600.0,3186
2024-1-4,13:55,14.920,14.920,14.900,14.920,1801600.0,1208
2024-1-4,14:00,14.920,14.920,14.900,14.920,2929600.0,1964
2024-1-4,14:05,14.900,14.920,14.900,14.900,8447008.0,5668
