日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-1-2,09:35,54.700,54.970,54.200,54.550,36657392.0,670500
2024-1-2,09:40,54.510,54.860,54.450,54.790,17925652.0,327700
2024-1-2,09:45,54.760,55.110,54.760,55.020,21757346.0,395800
2024-1-2,09:50,54.990,55.640,54.950,55.590,30856630.0,558500
2024-1-2,09:55,55.570,55.570,54.770,55.200,28442824.0,516200
2024-1-2,10:00,55.200,55.200,55.030,55.100,11220025.0,203600
2024-1-2,10:05,55.170,55.520,55.170,55.470,11962876.0,216000
2024-1-2,10:10,55.470,55.490,55.250,55.470,9498815.0,171400
2024-1-2,10:15,55.500,55.680,55.390,55.660,13758983.0,247800
2024-1-2,10:20,55.690,55.790,55.530,55.790,11090496.0,199200
2024-1-2,10:25,55.800,55.830,55.690,55.820,7993608.0,143400
2024-1-2,10:30,55.820,55.850,55.700,55.830,9954657.0,178500
2024-1-2,10:35,55.880,56.170,55.830,55.960,14314904.0,255700
2024-1-2,10:40,55.960,55.970,55.760,55.870,5452108.0,97600
2024-1-2,10:45,55.880,55.980,55.820,55.930,9856687.0,176400
2024-1-2,10:50,55.930,55.930,55.750,55.770,6445375.0,115500
2024-1-2,10:55,55.790,55.850,55.730,55.800,6516065.0,116800
2024-1-2,11:00,55.810,55.900,55.720,55.720,7282280.0,130500
2024-1-2,11:05,55.730,55.790,55.540,55.660,7769880.0,139600
2024-1-2,11:10,55.710,55.770,55.640,55.710,3873426.0,69500
2024-1-2,11:15,55.710,55.820,55.670,55.690,6176819.0,110800
2024-1-2,11:20,55.700,55.770,55.540,55.730,8486362.0,152500
2024-1-2,11:25,55.730,55.780,55.620,55.710,2601141.0,46700
2024-1-2,11:30,55.710,55.850,55.620,55.730,3400292.0,61000
2024-1-2,13:05,55.740,55.740,55.610,55.710,4489207.0,80600
2024-1-2,13:10,55.720,55.850,55.710,55.710,3078162.0,55200
2024-1-2,13:15,55.710,55.710,55.520,55.630,6917888.0,124400
2024-1-2,13:20,55.610,55.650,55.300,55.310,6641849.0,119600
2024-1-2,13:25,55.310,55.400,55.250,55.320,7467535.0,135000
2024-1-2,13:30,55.320,55.600,55.280,55.600,2750912.0,49600
2024-1-2,13:35,55.600,55.740,55.380,55.470,11545320.0,207900
2024-1-2,13:40,55.470,55.600,55.330,55.540,5728483.0,103300
2024-1-2,13:45,55.510,55.650,55.490,55.560,3227593.0,58100
2024-1-2,13:50,55.500,55.520,55.350,55.450,4481095.0,80800
2024-1-2,13:55,55.450,55.600,55.340,55.510,4655740.0,83900
2024-1-2,14:00,55.510,55.700,55.460,55.690,6518722.0,117200
2024-1-2,14:05,55.690,55.720,55.550,55.550,4776020.0,85800
2024-1-2,14:10,55.620,55.680,55.530,55.670,5279915.0,94900
2024-1-2,14:15,55.680,55.710,55.620,55.700,5657561.0,101600
2024-1-2,14:20,55.700,55.850,55.680,55.760,8032232.0,144100
2024-1-2,14:25,55.720,55.750,55.520,55.580,4321423.0,77700
2024-1-2,14:30,55.570,55.570,55.400,55.450,5237619.0,94400
2024-1-2,14:35,55.490,55.550,55.350,55.480,5089229.0,91800
2024-1-2,14:40,55.480,55.510,55.390,55.430,3970432.0,71600
2024-1-2,14:45,55.420,55.460,55.390,55.390,5696576.0,102800
2024-1-2,14:50,55.390,55.400,55.210,55.230,6795793.0,122900
2024-1-2,14:55,55.260,55.320,55.220,55.250,4686959.0,84800
2024-1-2,15:00,55.260,55.310,55.230,55.230,5878780.0,106400
2024-1-3,09:35,55.200,56.000,55.120,55.800,15714109.0,282600
2024-1-3,09:40,55.840,56.200,55.690,55.920,18240328.0,326100
2024-1-3,09:45,55.790,56.000,55.600,55.890,7899549.0,141600
2024-1-3,09:50,55.880,56.080,55.680,56.030,12648166.0,226300
2024-1-3,09:55,56.060,56.060,55.550,55.710,8513534.0,152600
2024-1-3,10:00,55.690,55.760,55.510,55.730,7036875.0,126400
2024-1-3,10:05,55.720,55.720,55.510,55.510,4301890.0,77300
2024-1-3,10:10,55.510,55.870,55.490,55.710,7421603.0,133300
2024-1-3,10:15,55.770,55.970,55.620,55.660,9719842.0,174000
2024-1-3,10:20,55.660,55.930,55.610,55.810,8951298.0,160500
2024-1-3,10:25,55.800,55.800,55.700,55.750,2749508.0,49300
2024-1-3,10:30,55.750,55.800,55.560,55.570,1921251.0,34500
2024-1-3,10:35,55.560,55.620,55.480,55.500,2026983.0,36500
2024-1-3,10:40,55.500,55.500,55.190,55.190,5784282.0,104600
2024-1-3,10:45,55.200,55.440,55.110,55.240,6279040.0,113600
2024-1-3,10:50,55.240,55.450,55.210,55.400,4149974.0,75000
2024-1-3,10:55,55.400,55.430,55.200,55.280,5813112.0,105100
2024-1-3,11:00,55.280,55.460,55.200,55.450,4305540.0,77900
2024-1-3,11:05,55.380,55.460,55.220,55.370,2947796.0,53300
2024-1-3,11:10,55.370,55.380,55.260,55.260,1831475.0,33100
2024-1-3,11:15,55.220,55.260,55.020,55.070,2161780.0,39200
2024-1-3,11:20,55.090,55.220,54.980,55.040,7157184.0,130000
2024-1-3,11:25,55.040,55.110,54.850,54.880,2973720.0,54100
2024-1-3,11:30,54.850,54.990,54.850,54.880,2511633.0,45800
2024-1-3,13:05,54.870,55.020,54.790,54.860,5970698.0,108700
2024-1-3,13:10,54.860,55.020,54.820,54.960,4437572.0,80800
2024-1-3,13:15,54.960,55.000,54.910,54.910,1917591.0,34900
2024-1-3,13:20,54.910,54.980,54.890,54.890,2356157.0,42900
2024-1-3,13:25,54.890,54.950,54.830,54.910,1576020.0,28700
2024-1-3,13:30,54.920,54.920,54.790,54.790,2743013.0,50000
2024-1-3,13:35,54.790,54.900,54.790,54.880,4053882.0,73900
2024-1-3,13:40,54.900,55.210,54.900,55.030,7766619.0,141100
2024-1-3,13:45,55.080,55.080,54.880,54.900,2573537.0,46800
2024-1-3,13:50,54.900,55.180,54.900,55.010,5063541.0,92000
2024-1-3,13:55,55.020,55.080,55.000,55.010,2608042.0,47400
2024-1-3,14:00,55.010,55.210,55.010,55.160,4876386.0,88500
2024-1-3,14:05,55.150,55.510,55.070,55.510,14552407.0,263000
2024-1-3,14:10,55.480,55.750,55.360,55.540,16573494.0,298000
2024-1-3,14:15,55.540,55.680,55.470,55.620,4202142.0,75600
2024-1-3,14:20,55.630,55.770,55.600,55.760,6383918.0,114600
2024-1-3,14:25,55.780,55.950,55.680,55.910,9835694.0,176200
2024-1-3,14:30,55.920,56.080,55.850,56.070,10019157.0,179000
2024-1-3,14:35,56.090,56.090,55.870,56.010,15078680.0,269300
2024-1-3,14:40,56.000,56.060,55.900,56.000,12113648.0,216300
2024-1-3,14:45,56.000,56.010,55.810,55.880,10630388.0,190000
2024-1-3,14:50,55.930,56.000,55.710,55.830,7262756.0,130000
2024-1-3,14:55,55.840,55.990,55.740,55.740,8613323.0,154100
2024-1-3,15:00,55.710,55.930,55.660,55.930,4371517.0,78300
2024-1-4,09:35,55.820,56.020,55.310,55.600,22751550.0,409400
2024-1-4,09:40,55.520,55.600,54.800,54.920,14453374.0,262300
2024-1-4,09:45,54.910,54.910,54.600,54.640,19819364.0,362000
2024-1-4,09:50,54.630,54.730,54.370,54.430,8795764.0,161200
2024-1-4,09:55,54.390,54.480,54.340,54.420,9033490.0,166000
2024-1-4,10:00,54.420,54.440,54.200,54.230,5930745.0,109200
2024-1-4,10:05,54.210,54.300,54.160,54.210,5237616.0,96600
2024-1-4,10:10,54.210,54.210,54.020,54.020,6152473.0,113700
2024-1-4,10:15,54.010,54.150,54.010,54.120,4676952.0,86500
2024-1-4,10:20,54.100,54.180,54.020,54.040,4312129.0,79700
2024-1-4,10:25,54.030,54.160,54.000,54.070,8040877.0,148800
2024-1-4,10:30,54.070,54.160,53.990,54.010,3718995.0,68800
2024-1-4,10:35,54.020,54.150,53.990,54.070,3815596.0,70600
2024-1-4,10:40,54.070,54.140,54.000,54.000,4917107.0,91000
2024-1-4,10:45,54.030,54.130,53.970,54.060,9179658.0,169900
2024-1-4,10:50,54.130,54.260,54.110,54.210,5257838.0,97000
2024-1-4,10:55,54.200,54.240,54.140,54.210,4021797.0,74200
2024-1-4,11:00,54.200,54.220,54.010,54.140,3785251.0,69900
2024-1-4,11:05,54.050,54.160,54.000,54.050,6130449.0,113400
2024-1-4,11:10,54.050,54.170,54.000,54.000,5881289.0,108800
2024-1-4,11:15,54.010,54.120,54.000,54.000,6155416.0,113900
2024-1-4,11:20,54.020,54.060,53.990,53.990,3986153.0,73800
2024-1-4,11:25,54.000,54.030,53.880,53.970,4993758.0,92500
2024-1-4,11:30,53.960,54.010,53.870,53.940,9236850.0,171200
2024-1-4,13:05,53.930,54.010,53.800,53.880,8486058.0,157400
2024-1-4,13:10,53.880,53.910,53.710,53.730,5636340.0,104700
2024-1-4,13:15,53.740,53.890,53.740,53.880,4563697.0,84800
2024-1-4,13:20,53.880,53.970,53.850,53.960,1250603.0,23200
2024-1-4,13:25,53.960,54.070,53.950,54.010,2370646.0,43900
2024-1-4,13:30,54.010,54.030,53.990,53.990,1236820.0,22900
2024-1-4,13:35,53.980,54.070,53.940,54.070,4092088.0,75800
2024-1-4,13:40,54.070,54.070,53.930,53.980,1895010.0,35100
2024-1-4,13:45,53.950,54.070,53.940,54.050,2446629.0,45300
2024-1-4,13:50,54.020,54.050,53.940,53.950,3682214.0,68200
2024-1-4,13:55,53.940,54.000,53.900,54.000,2551686.0,47300
2024-1-4,14:00,54.000,54.000,53.950,53.970,1673089.0,31000
2024-1-4,14:05,53.970,53.990,53.870,53.930,5547955.0,102900
2024-1-4,14:10,53.930,54.060,53.920,54.030,7226756.0,133900
2024-1-4,14:15,54.030,54.100,54.000,54.060,4431301.0,82000
2024-1-4,14:20,54.060,54.120,54.020,54.110,2750999.0,50900
2024-1-4,14:25,54.110,54.130,54.050,54.080,2953396.0,54600
2024-1-4,14:30,54.080,54.100,54.030,54.070,3773578.0,69800
2024-1-4,14:35,54.070,54.210,54.070,54.170,6077661.0,112300
2024-1-4,14:40,54.170,54.340,54.160,54.190,7401396.0,136500
