日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-4-1,09:35,62.400,62.420,61.850,62.000,99805600.0,1605400
2024-4-1,09:40,62.000,62.100,61.600,61.690,41670184.0,674200
2024-4-1,09:45,61.700,61.930,61.550,61.570,38150744.0,618500
2024-4-1,09:50,61.600,62.080,61.570,61.640,32825692.0,530400
2024-4-1,09:55,61.610,61.650,61.310,61.390,30670612.0,499100
2024-4-1,10:00,61.380,61.650,61.300,61.460,19526446.0,318000
2024-4-1,10:05,61.460,61.580,61.300,61.350,20885140.0,340000
2024-4-1,10:10,61.340,61.340,61.140,61.160,25182020.0,411100
2024-4-1,10:15,61.140,61.360,61.130,61.360,16716734.0,272900
2024-4-1,10:20,61.360,61.590,61.350,61.520,13129719.0,213700
2024-4-1,10:25,61.520,61.870,61.510,61.870,18471164.0,299700
2024-4-1,10:30,61.870,61.870,61.680,61.800,25308976.0,409400
2024-4-1,10:35,61.800,62.000,61.710,62.000,25660074.0,414900
2024-4-1,10:40,62.040,62.140,61.730,61.770,20813884.0,335500
2024-4-1,10:45,61.770,61.880,61.490,61.500,9565217.0,155200
2024-4-1,10:50,61.500,61.600,61.450,61.470,10047268.0,163400
2024-4-1,10:55,61.470,61.560,61.470,61.510,6342115.0,103100
2024-4-1,11:00,61.500,61.570,61.480,61.490,6004844.0,97600
2024-4-1,11:05,61.480,61.660,61.480,61.660,7729552.0,125600
2024-4-1,11:10,61.670,61.820,61.500,61.690,8497030.0,137700
2024-4-1,11:15,61.700,61.700,61.480,61.650,5818925.0,94500
2024-4-1,11:20,61.650,61.780,61.530,61.770,8371574.0,135800
2024-4-1,11:25,61.700,61.800,61.640,61.800,4950732.0,80200
2024-4-1,11:30,61.820,61.820,61.580,61.620,4775538.0,77400
2024-4-1,13:05,61.700,61.980,61.700,61.980,16656417.0,269200
2024-4-1,13:10,61.980,61.980,61.830,61.860,10712805.0,173000
2024-4-1,13:15,61.830,61.880,61.820,61.880,6797685.0,109900
2024-4-1,13:20,61.890,61.890,61.620,61.690,9556457.0,154800
2024-4-1,13:25,61.660,61.680,61.600,61.610,7696519.0,124900
2024-4-1,13:30,61.610,61.690,61.600,61.600,9668907.0,156900
2024-4-1,13:35,61.610,61.670,61.500,61.610,9184358.0,149200
2024-4-1,13:40,61.600,61.640,61.470,61.480,9756539.0,158600
