日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-4-1,09:35,95.760,97.480,95.600,97.480,2398733.0,24900
2024-4-1,09:40,97.390,97.390,96.520,97.180,1572027.0,16200
2024-4-1,09:45,97.180,98.430,97.180,98.420,3902158.0,39800
2024-4-1,09:50,98.000,98.270,97.480,98.000,3167732.0,32300
2024-4-1,09:55,98.000,98.270,97.450,98.250,1797457.0,18400
2024-4-1,10:00,98.250,98.250,97.920,98.250,740375.0,7500
2024-4-1,10:05,98.250,98.260,98.000,98.170,738271.0,7500
2024-4-1,10:10,98.170,98.170,97.770,98.000,1783567.0,18200
2024-4-1,10:15,98.000,98.050,97.740,98.010,837656.0,8600
2024-4-1,10:20,98.010,98.130,97.980,98.130,260774.0,2600
2024-4-1,10:25,98.160,99.200,98.160,98.760,2006406.0,20400
2024-4-1,10:30,98.710,98.790,98.500,98.530,233350.0,2300
2024-4-1,10:35,98.530,99.070,98.500,98.610,889758.0,9100
2024-4-1,10:40,99.010,99.010,98.250,98.300,760755.0,7700
2024-4-1,10:45,98.230,98.750,98.220,98.270,1597399.0,16200
2024-4-1,10:50,98.280,98.620,98.270,98.620,935326.0,9500
2024-4-1,10:55,98.620,98.660,98.400,98.400,258525.0,2600
2024-4-1,11:00,98.400,98.800,98.400,98.650,897604.0,9100
2024-4-1,11:05,98.880,99.290,98.880,99.250,1776829.0,18000
2024-4-1,11:10,99.250,99.250,98.980,99.250,500804.0,5000
2024-4-1,11:15,98.900,99.260,98.900,99.190,484700.0,4900
2024-4-1,11:20,98.880,99.230,98.880,99.110,837043.0,8500
2024-4-1,11:25,99.240,99.800,99.240,99.800,1386224.0,13900
2024-4-1,11:30,99.800,99.800,99.570,99.570,304205.0,3100
2024-4-1,13:05,99.570,99.700,99.110,99.540,1129288.0,11300
2024-4-1,13:10,99.540,99.540,99.140,99.440,1016003.0,10200
2024-4-1,13:15,99.500,99.500,99.300,99.480,759658.0,7700
2024-4-1,13:20,99.500,99.570,98.880,98.880,1526969.0,15400
2024-4-1,13:25,98.900,99.360,98.900,98.930,256265.0,2500
2024-4-1,13:30,99.200,99.350,98.930,99.350,371118.0,3800
2024-4-1,13:35,99.340,99.340,98.900,98.900,167717.0,1700
2024-4-1,13:40,98.900,98.900,98.650,98.660,1844946.0,18600
2024-4-1,13:45,98.650,98.910,98.470,98.610,344833.0,3500
2024-4-1,13:50,98.610,98.870,98.450,98.860,217939.0,2200
2024-4-1,13:55,98.420,98.820,98.420,98.820,110535.0,1200
2024-4-1,14:00,98.570,98.570,98.410,98.440,450583.0,4500
2024-4-1,14:05,98.410,98.470,98.000,98.100,1626816.0,16600
2024-4-1,14:10,98.050,98.050,97.960,97.960,2058730.0,21000
2024-4-1,14:15,97.890,97.950,97.890,97.950,1500970.0,15400
2024-4-1,14:20,97.910,97.910,97.600,97.600,927184.0,9400
