日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-7-1,09:35,16.300,16.450,16.260,16.430,5941246.0,363100
2024-7-1,09:40,16.420,16.430,16.270,16.270,5964485.0,364900
2024-7-1,09:45,16.270,16.300,16.160,16.220,6184251.0,381100
2024-7-1,09:50,16.220,16.260,16.160,16.170,4562956.0,281700
2024-7-1,09:55,16.170,16.300,16.170,16.250,2888369.0,177900
2024-7-1,10:00,16.240,16.330,16.240,16.300,3075014.0,188800
2024-7-1,10:05,16.310,16.310,16.200,16.210,2186860.0,134700
2024-7-1,10:10,16.210,16.220,16.180,16.220,2714067.0,167600
2024-7-1,10:15,16.220,16.250,16.220,16.230,1457480.0,89800
2024-7-1,10:20,16.230,16.250,16.220,16.240,1927635.0,118700
2024-7-1,10:25,16.240,16.240,16.070,16.080,7242768.0,448300
2024-7-1,10:30,16.070,16.120,16.070,16.110,2199530.0,136600
2024-7-1,10:35,16.110,16.120,16.030,16.030,4499342.0,279700
2024-7-1,10:40,16.010,16.090,16.000,16.000,4313786.0,269100
2024-7-1,10:45,16.030,16.120,16.010,16.110,1919411.0,119400
2024-7-1,10:50,16.120,16.170,16.100,16.170,1119096.0,69400
2024-7-1,10:55,16.170,16.170,16.090,16.160,888292.0,55100
2024-7-1,11:00,16.170,16.190,16.120,16.120,568780.0,35200
2024-7-1,11:05,16.120,16.140,16.100,16.110,818801.0,50800
2024-7-1,11:10,16.110,16.120,16.080,16.120,1031850.0,64100
2024-7-1,11:15,16.110,16.120,16.090,16.110,521672.0,32400
2024-7-1,11:20,16.110,16.170,16.110,16.170,414517.0,25700
2024-7-1,11:25,16.170,16.180,16.140,16.150,698025.0,43200
2024-7-1,11:30,16.160,16.220,16.160,16.210,877818.0,54200
2024-7-1,13:05,16.240,16.240,16.120,16.230,1634798.0,101100
2024-7-1,13:10,16.210,16.230,16.130,16.150,937601.0,57900
2024-7-1,13:15,16.150,16.210,16.140,16.180,465800.0,28800
2024-7-1,13:20,16.180,16.310,16.180,16.310,2119256.0,130300
2024-7-1,13:25,16.300,16.310,16.250,16.260,1020972.0,62700
2024-7-1,13:30,16.260,16.280,16.250,16.260,2329759.0,143300
2024-7-1,13:35,16.270,16.360,16.270,16.340,3986246.0,243900
2024-7-1,13:40,16.340,16.340,16.280,16.280,960853.0,58900
2024-7-1,13:45,16.280,16.450,16.280,16.410,5057105.0,308700
2024-7-1,13:50,16.420,16.450,16.350,16.410,3717199.0,226600
2024-7-1,13:55,16.400,16.430,16.400,16.410,1750471.0,106600
2024-7-1,14:00,16.410,16.480,16.400,16.460,3743506.0,227600
2024-7-1,14:05,16.480,16.490,16.430,16.450,3176730.0,193000
2024-7-1,14:10,16.450,16.520,16.440,16.510,2892795.0,175400
2024-7-1,14:15,16.500,16.500,16.450,16.490,1766019.0,107200
2024-7-1,14:20,16.500,16.500,16.440,16.440,2383048.0,144600
2024-7-1,14:25,16.440,16.440,16.400,16.400,2241274.0,136600
2024-7-1,14:30,16.410,16.450,16.400,16.430,1589954.0,96800
2024-7-1,14:35,16.450,16.520,16.450,16.460,3168000.0,192100
2024-7-1,14:40,16.470,16.490,16.470,16.480,1565767.0,95000
2024-7-1,14:45,16.480,16.550,16.470,16.530,4880865.0,295800
2024-7-1,14:50,16.530,16.570,16.520,16.560,5511495.0,332900
2024-7-1,14:55,16.560,16.640,16.560,16.610,7000545.0,421900
2024-7-1,15:00,16.610,16.650,16.600,16.640,5564647.0,334700
2024-7-2,09:35,16.940,17.130,16.850,17.130,33742804.0,1990700
2024-7-2,09:40,17.150,17.170,16.830,16.830,16578705.0,975500
2024-7-2,09:45,16.840,16.910,16.750,16.830,9599916.0,570700
2024-7-2,09:50,16.830,16.930,16.830,16.850,5340765.0,316300
2024-7-2,09:55,16.850,16.900,16.800,16.850,4809412.0,285500
2024-7-2,10:00,16.840,16.890,16.800,16.800,2703233.0,160600
2024-7-2,10:05,16.800,16.800,16.700,16.740,4407232.0,263000
2024-7-2,10:10,16.740,16.850,16.740,16.850,1940219.0,115600
2024-7-2,10:15,16.850,16.860,16.790,16.810,1345485.0,80000
2024-7-2,10:20,16.800,16.840,16.790,16.830,872551.0,51900
2024-7-2,10:25,16.840,16.850,16.750,16.750,2357582.0,140400
2024-7-2,10:30,16.800,16.800,16.740,16.740,2298759.0,137200
