日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-7-1,09:35,53.610,53.960,53.420,53.630,20574384.0,383000
2024-7-1,09:40,53.690,53.840,53.120,53.130,11361321.0,212300
2024-7-1,09:45,53.140,53.300,52.900,53.260,19839058.0,373400
2024-7-1,09:50,53.260,53.260,52.950,52.980,12752038.0,240400
2024-7-1,09:55,53.000,53.270,52.980,53.270,11940285.0,224700
2024-7-1,10:00,53.260,53.270,53.090,53.090,6550032.0,123100
2024-7-1,10:05,53.090,53.150,52.780,52.780,16071924.0,303800
2024-7-1,10:10,52.790,52.850,52.600,52.770,12517715.0,237400
2024-7-1,10:15,52.760,52.800,52.600,52.700,15303572.0,290500
2024-7-1,10:20,52.720,52.760,52.660,52.670,5743858.0,109000
2024-7-1,10:25,52.670,52.670,52.430,52.480,15552815.0,296100
2024-7-1,10:30,52.510,52.660,52.450,52.610,15159787.0,288600
2024-7-1,10:35,52.650,52.710,52.600,52.670,4946533.0,93900
2024-7-1,10:40,52.670,52.870,52.600,52.830,4621908.0,87700
2024-7-1,10:45,52.820,52.980,52.780,52.950,4343465.0,82100
2024-7-1,10:50,52.950,52.950,52.700,52.730,8182663.0,155000
2024-7-1,10:55,52.710,52.930,52.700,52.810,3309310.0,62700
2024-7-1,11:00,52.810,52.890,52.710,52.800,1936881.0,36700
2024-7-1,11:05,52.800,52.800,52.560,52.570,7899982.0,150000
2024-7-1,11:10,52.560,52.730,52.520,52.590,7167658.0,136300
2024-7-1,11:15,52.570,52.650,52.510,52.560,5776731.0,109900
2024-7-1,11:20,52.550,52.560,52.400,52.490,10249316.0,195300
2024-7-1,11:25,52.480,52.490,52.400,52.410,7342190.0,140000
2024-7-1,11:30,52.400,52.600,52.350,52.470,10705391.0,204200
2024-7-1,13:05,52.480,52.570,52.360,52.500,16795088.0,320300
2024-7-1,13:10,52.470,52.660,52.450,52.450,7766543.0,147800
2024-7-1,13:15,52.430,52.510,52.370,52.440,6873515.0,131100
2024-7-1,13:20,52.430,53.070,52.430,52.960,11733048.0,222000
2024-7-1,13:25,52.920,53.080,52.910,53.080,7313547.0,138000
2024-7-1,13:30,53.090,53.090,52.990,53.020,5706212.0,107600
2024-7-1,13:35,53.050,53.200,53.040,53.160,11114942.0,209100
2024-7-1,13:40,53.160,53.170,52.950,52.950,7033244.0,132500
2024-7-1,13:45,52.950,53.010,52.910,53.010,6434530.0,121500
2024-7-1,13:50,53.010,53.180,53.010,53.170,6458832.0,121600
2024-7-1,13:55,53.160,53.280,53.160,53.210,7622449.0,143200
2024-7-1,14:00,53.210,53.230,53.070,53.090,4915873.0,92500
2024-7-1,14:05,53.080,53.230,53.080,53.230,5897666.0,111000
2024-7-1,14:10,53.220,53.560,53.180,53.490,9913661.0,185800
2024-7-1,14:15,53.480,53.540,53.320,53.440,8383013.0,156800
2024-7-1,14:20,53.430,53.430,53.110,53.120,7584405.0,142400
2024-7-1,14:25,53.110,53.120,52.920,53.030,7926160.0,149500
2024-7-1,14:30,53.010,53.140,53.000,53.020,6675789.0,125900
2024-7-1,14:35,53.000,53.030,53.000,53.010,6096105.0,115000
2024-7-1,14:40,53.000,53.080,53.000,53.050,6881571.0,129800
2024-7-1,14:45,53.060,53.160,53.030,53.030,6253603.0,117800
2024-7-1,14:50,53.030,53.170,53.030,53.170,12126516.0,228400
2024-7-1,14:55,53.170,53.260,53.160,53.220,7429793.0,139600
2024-7-1,15:00,53.220,53.320,53.220,53.300,9796616.0,183800
2024-7-2,09:35,54.900,55.680,54.880,55.230,148132560.0,2680000
2024-7-2,09:40,55.230,55.230,54.600,54.760,42568864.0,775400
2024-7-2,09:45,54.770,55.480,54.690,55.230,38203024.0,693200
2024-7-2,09:50,55.160,55.160,54.750,54.770,16947296.0,308500
2024-7-2,09:55,54.770,54.850,54.600,54.700,15186322.0,277600
2024-7-2,10:00,54.700,54.700,54.450,54.590,13238159.0,242600
2024-7-2,10:05,54.540,54.540,54.330,54.430,12563791.0,230900
2024-7-2,10:10,54.400,54.450,54.300,54.360,12667564.0,233000
2024-7-2,10:15,54.350,54.380,54.250,54.370,10034649.0,184700
2024-7-2,10:20,54.370,54.560,54.300,54.520,14722570.0,270600
2024-7-2,10:25,54.450,54.750,54.420,54.740,10328482.0,189200
2024-7-2,10:30,54.750,54.890,54.470,54.520,8666581.0,158400
2024-7-2,10:35,54.520,54.560,54.430,54.520,5459457.0,100200
2024-7-2,10:40,54.480,54.490,54.360,54.460,10007651.0,183800
2024-7-2,10:45,54.480,54.490,54.310,54.310,4743987.0,87200
2024-7-2,10:50,54.310,54.420,54.290,54.340,3907533.0,71900
2024-7-2,10:55,54.320,54.450,54.310,54.360,4350773.0,80000
2024-7-2,11:00,54.360,54.470,54.360,54.410,3791225.0,69700
2024-7-2,11:05,54.410,54.410,54.280,54.330,4543260.0,83600
2024-7-2,11:10,54.320,54.380,54.180,54.340,6332990.0,116700
2024-7-2,11:15,54.360,54.430,54.300,54.320,2152814.0,39600
2024-7-2,11:20,54.320,54.390,54.260,54.270,3788299.0,69700
2024-7-2,11:25,54.270,54.350,54.220,54.280,7233890.0,133400
2024-7-2,11:30,54.280,54.420,54.270,54.410,3441338.0,63300
2024-7-2,13:05,54.400,54.410,54.160,54.190,3728571.0,68700
2024-7-2,13:10,54.180,54.190,54.140,54.150,4896581.0,90400
2024-7-2,13:15,54.170,54.450,54.170,54.430,6323999.0,116500
2024-7-2,13:20,54.410,54.550,54.400,54.450,8609194.0,158000
2024-7-2,13:25,54.450,54.530,54.450,54.480,6610697.0,121300
2024-7-2,13:30,54.490,54.790,54.490,54.590,7129228.0,130500
2024-7-2,13:35,54.580,54.600,54.530,54.600,2592179.0,47500
2024-7-2,13:40,54.590,54.690,54.590,54.650,2999398.0,54900
2024-7-2,13:45,54.660,54.770,54.640,54.750,5777367.0,105600
2024-7-2,13:50,54.730,54.870,54.710,54.750,9436305.0,172200
2024-7-2,13:55,54.750,54.760,54.670,54.700,3862362.0,70600
2024-7-2,14:00,54.700,54.720,54.690,54.720,1832574.0,33500
2024-7-2,14:05,54.720,54.830,54.720,54.730,4360073.0,79600
2024-7-2,14:10,54.740,54.740,54.650,54.670,2504566.0,45800
2024-7-2,14:15,54.650,54.710,54.650,54.680,2181746.0,39900
2024-7-2,14:20,54.690,54.700,54.640,54.640,1973675.0,36100
2024-7-2,14:25,54.640,54.700,54.610,54.650,7506818.0,137300
2024-7-2,14:30,54.660,54.670,54.600,54.600,5463220.0,100000
2024-7-2,14:35,54.620,54.700,54.520,54.540,10801849.0,197700
2024-7-2,14:40,54.530,54.540,54.410,54.470,6226201.0,114300
2024-7-2,14:45,54.460,54.470,54.430,54.430,4279688.0,78600
2024-7-2,14:50,54.420,54.440,54.300,54.320,7771949.0,142900
2024-7-2,14:55,54.310,54.330,54.200,54.250,17981492.0,331400
2024-7-2,15:00,54.240,54.300,54.240,54.300,8230361.0,151600
2024-7-3,09:35,55.990,57.450,55.990,56.960,236590496.0,4165200
2024-7-3,09:40,56.990,57.170,56.660,56.660,78993040.0,1388000
2024-7-3,09:45,56.610,56.790,56.260,56.750,55949112.0,989600
2024-7-3,09:50,56.790,56.970,56.500,56.570,33588184.0,591100
2024-7-3,09:55,56.550,56.700,56.400,56.660,14970285.0,265000
2024-7-3,10:00,56.670,56.700,56.460,56.510,19649640.0,347100
2024-7-3,10:05,56.500,56.640,56.270,56.270,18847246.0,333900
2024-7-3,10:10,56.270,56.270,56.000,56.200,25549354.0,455300
2024-7-3,10:15,56.220,56.220,55.960,55.990,17725988.0,316200
2024-7-3,10:20,56.000,56.110,55.930,56.000,14982247.0,267500
2024-7-3,10:25,56.010,56.030,55.900,56.020,13410232.0,239500
2024-7-3,10:30,56.000,56.180,56.000,56.000,10246581.0,182700
2024-7-3,10:35,56.000,56.010,55.810,55.850,8670728.0,155100
2024-7-3,10:40,55.850,55.850,55.670,55.680,13721594.0,246100
2024-7-3,10:45,55.680,55.770,55.660,55.660,7339264.0,131700
2024-7-3,10:50,55.660,55.670,55.550,55.550,6434388.0,115700
2024-7-3,10:55,55.550,55.550,55.290,55.370,9313906.0,168200
2024-7-3,11:00,55.380,55.440,55.360,55.420,6459725.0,116600
2024-7-3,11:05,55.440,55.490,55.210,55.240,9140056.0,165000
2024-7-3,11:10,55.210,55.400,55.180,55.280,10263068.0,185700
2024-7-3,11:15,55.280,55.500,55.220,55.470,8433767.0,152400
2024-7-3,11:20,55.470,55.970,55.460,55.690,7515539.0,134800
2024-7-3,11:25,55.680,55.870,55.680,55.800,7024980.0,125900
2024-7-3,11:30,55.700,55.870,55.670,55.810,4903301.0,87900
2024-7-3,13:05,55.810,55.880,55.490,55.490,4465342.0,80300
2024-7-3,13:10,55.500,55.500,55.400,55.470,4130006.0,74500
2024-7-3,13:15,55.470,55.540,55.380,55.540,4127288.0,74400
2024-7-3,13:20,55.530,55.530,55.400,55.440,2505269.0,45200
2024-7-3,13:25,55.420,55.490,55.420,55.480,2567373.0,46300
2024-7-3,13:30,55.480,55.490,55.310,55.350,5778998.0,104300
2024-7-3,13:35,55.350,55.380,55.330,55.340,2523975.0,45600
2024-7-3,13:40,55.340,55.450,55.320,55.330,2574190.0,46500
2024-7-3,13:45,55.320,55.320,55.230,55.250,8859797.0,160300
2024-7-3,13:50,55.280,55.280,55.030,55.070,8526459.0,154600
