日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-9-30,09:35,42.880,45.000,42.880,44.280,52391352.0,1197000
2024-9-30,09:40,44.280,44.580,43.270,43.350,28360732.0,645800
2024-9-30,09:45,43.370,43.530,42.970,43.000,35098620.0,812600
2024-9-30,09:50,43.000,43.000,42.570,42.820,26894634.0,627500
2024-9-30,09:55,42.660,42.830,42.000,42.690,15693600.0,371400
2024-9-30,10:00,42.710,43.190,42.710,43.140,13405131.0,312200
2024-9-30,10:05,43.130,43.340,42.880,43.270,10130601.0,235100
2024-9-30,10:10,43.260,43.580,43.210,43.390,8293561.0,191300
2024-9-30,10:15,43.390,43.390,43.110,43.290,7962966.0,184100
2024-9-30,10:20,43.290,43.540,43.260,43.530,7615955.0,175800
2024-9-30,10:25,43.550,43.990,43.550,43.680,10791174.0,246200
2024-9-30,10:30,43.680,43.990,43.680,43.940,6828422.5,155500
2024-9-30,10:35,43.930,43.980,43.450,43.570,9322848.0,213100
2024-9-30,10:40,43.570,43.880,43.570,43.870,4881156.5,111500
2024-9-30,10:45,43.860,44.200,43.840,44.130,7968188.0,180900
2024-9-30,10:50,44.150,44.420,44.150,44.420,3597336.75,81300
2024-9-30,10:55,44.420,44.430,44.210,44.400,4436734.5,100200
2024-9-30,11:00,44.410,44.520,44.320,44.520,8867578.0,199700
2024-9-30,11:05,44.520,44.680,44.330,44.350,10897427.0,244500
2024-9-30,11:10,44.340,44.400,43.790,43.990,7415177.0,168500
2024-9-30,11:15,44.000,44.300,44.000,44.260,2754231.0,62400
2024-9-30,11:20,44.260,44.350,44.220,44.350,3539593.0,80000
2024-9-30,11:25,44.350,44.440,44.260,44.440,3003405.25,67700
2024-9-30,11:30,44.450,44.500,44.440,44.490,2887360.0,64900
2024-9-30,13:05,44.500,44.900,44.500,44.890,9194106.0,205700
2024-9-30,13:10,44.890,44.950,44.800,44.900,4972110.0,110800
2024-9-30,13:15,44.900,44.970,44.380,44.380,8621280.0,192800
2024-9-30,13:20,44.380,44.480,44.210,44.480,9697483.0,218800
2024-9-30,13:25,44.480,44.480,44.440,44.460,7722105.5,173700
2024-9-30,13:30,44.470,44.500,44.360,44.360,7338737.0,165000
2024-9-30,13:35,44.390,44.580,44.380,44.550,10757030.0,242000
2024-9-30,13:40,44.550,44.820,44.510,44.820,6465648.0,144700
2024-9-30,13:45,44.820,44.870,44.660,44.710,7542420.5,168400
2024-9-30,13:50,44.670,44.810,44.540,44.750,8822968.0,197600
2024-9-30,13:55,44.740,44.780,44.700,44.730,6996407.0,156400
2024-9-30,14:00,44.730,44.760,44.720,44.740,8977315.0,200700
2024-9-30,14:05,44.740,44.850,44.730,44.840,7203963.0,160700
