日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-9-30,09:35,26.110,26.990,26.110,26.950,100449232.0,3766200
2024-9-30,09:40,26.920,27.140,26.700,26.710,68315432.0,2538100
2024-9-30,09:45,26.720,26.730,26.570,26.710,48050496.0,1803500
2024-9-30,09:50,26.710,26.890,26.590,26.880,44167672.0,1653800
2024-9-30,09:55,26.860,26.860,25.960,26.010,60856636.0,2311700
2024-9-30,10:00,26.000,26.390,25.940,26.220,49659220.0,1895800
2024-9-30,10:05,26.180,26.570,26.180,26.480,29600606.0,1122800
2024-9-30,10:10,26.480,26.790,26.480,26.720,30463312.0,1142100
2024-9-30,10:15,26.720,26.810,26.680,26.750,31903292.0,1192300
2024-9-30,10:20,26.730,26.910,26.710,26.910,36775024.0,1371200
2024-9-30,10:25,26.920,26.980,26.850,26.970,22419786.0,832500
2024-9-30,10:30,26.960,27.100,26.880,26.910,52798588.0,1955800
2024-9-30,10:35,26.910,26.980,26.710,26.810,15134252.0,564400
2024-9-30,10:40,26.820,26.950,26.810,26.850,6368878.0,236900
2024-9-30,10:45,26.900,26.990,26.850,26.900,5950296.0,220900
2024-9-30,10:50,26.910,26.980,26.900,26.970,10864830.0,403000
2024-9-30,10:55,26.970,27.000,26.950,27.000,8527564.0,316100
2024-9-30,11:00,27.000,27.280,26.990,27.250,27408842.0,1010600
2024-9-30,11:05,27.220,27.280,27.180,27.180,14402423.0,528600
2024-9-30,11:10,27.250,27.360,27.150,27.360,22827360.0,837200
2024-9-30,11:15,27.360,27.520,27.360,27.520,27982148.0,1018100
2024-9-30,11:20,27.520,27.540,27.510,27.530,15410096.0,559800
2024-9-30,11:25,27.540,27.540,27.510,27.530,13762077.0,500000
2024-9-30,11:30,27.530,27.540,27.520,27.540,12676573.0,460400
2024-9-30,13:05,27.530,27.550,27.480,27.550,35903736.0,1304400
2024-9-30,13:10,27.540,27.550,27.530,27.530,14535102.0,527700
2024-9-30,13:15,27.530,27.560,27.520,27.520,13583270.0,493100
2024-9-30,13:20,27.520,27.540,27.290,27.490,13843137.0,505400
2024-9-30,13:25,27.490,27.530,27.390,27.530,10542930.0,384000
2024-9-30,13:30,27.530,27.560,27.520,27.560,33419404.0,1212900
2024-9-30,13:35,27.560,27.560,27.540,27.560,8536759.0,309800
2024-9-30,13:40,27.550,27.560,27.550,27.560,5732951.0,208000
2024-9-30,13:45,27.560,27.560,27.550,27.560,15480746.0,561800
2024-9-30,13:50,27.550,27.560,27.550,27.560,11668236.0,423400
2024-9-30,13:55,27.560,27.560,27.550,27.560,7480541.5,271400
2024-9-30,14:00,27.550,27.560,27.550,27.560,4579897.0,166200
2024-9-30,14:05,27.560,27.560,27.550,27.560,7117834.0,258300
2024-9-30,14:10,27.550,27.560,27.550,27.560,2405973.0,87300
2024-9-30,14:15,27.560,27.560,27.560,27.560,2670564.0,96900
2024-9-30,14:20,27.560,27.560,27.550,27.560,10312188.0,374200
2024-9-30,14:25,27.560,27.560,27.400,27.450,25616232.0,931300
2024-9-30,14:30,27.450,27.520,27.300,27.450,20252324.0,739000
2024-9-30,14:35,27.450,27.520,27.400,27.430,15634446.0,570000
2024-9-30,14:40,27.430,27.560,27.430,27.560,7331271.0,266500
2024-9-30,14:45,27.560,27.560,27.550,27.560,9489109.0,344300
2024-9-30,14:50,27.560,27.560,27.550,27.560,4831244.0,175300
2024-9-30,14:55,27.560,27.560,27.560,27.560,1474460.0,53500
2024-9-30,15:00,27.560,27.560,27.560,27.560,1674545.625,60800
2024-10-8,09:35,30.320,30.320,30.320,30.320,66723404.0,2200600
2024-10-8,09:40,30.320,30.320,30.320,30.320,13107336.0,432300
2024-10-8,09:45,30.320,30.320,29.830,29.910,127239576.0,4199900
2024-10-8,09:50,29.940,30.320,29.770,30.320,94014112.0,3118200
2024-10-8,09:55,30.310,30.320,30.310,30.320,58897368.0,1942800
2024-10-8,10:00,30.310,30.320,30.300,30.310,19710344.0,650200
2024-10-8,10:05,30.320,30.320,30.310,30.310,17086600.0,563600
2024-10-8,10:10,30.320,30.320,30.070,30.100,26319848.0,870000
2024-10-8,10:15,30.090,30.150,29.760,29.880,56984632.0,1904300
2024-10-8,10:20,29.840,30.170,29.820,30.060,34435956.0,1147700
2024-10-8,10:25,30.060,30.090,29.860,29.890,21273694.0,710500
2024-10-8,10:30,29.890,29.890,29.510,29.530,35064408.0,1180500
2024-10-8,10:35,29.510,29.620,29.310,29.360,37610712.0,1276700
2024-10-8,10:40,29.350,29.350,28.600,28.900,56712764.0,1962100
2024-10-8,10:45,28.940,29.850,28.910,29.780,31411660.0,1068700
2024-10-8,10:50,29.740,29.820,29.500,29.500,24628076.0,829400
2024-10-8,10:55,29.400,29.600,29.310,29.340,16119264.0,546700
2024-10-8,11:00,29.350,29.470,29.180,29.230,14159827.0,483300
2024-10-8,11:05,29.210,29.680,29.210,29.660,14777922.0,501800
2024-10-8,11:10,29.650,29.880,29.650,29.880,21535780.0,723500
2024-10-8,11:15,29.880,30.000,29.830,29.980,17439624.0,582500
2024-10-8,11:20,29.990,30.200,29.950,30.130,28128360.0,935300
2024-10-8,11:25,30.130,30.200,30.080,30.180,16775297.0,556600
2024-10-8,11:30,30.180,30.180,30.000,30.150,9182890.0,305100
2024-10-8,13:05,30.130,30.150,29.800,29.960,25020748.0,833200
2024-10-8,13:10,29.910,29.970,29.700,29.750,16727894.0,560400
2024-10-8,13:15,29.680,29.880,29.600,29.640,12593137.0,423900
2024-10-8,13:20,29.600,29.880,29.590,29.690,15664006.0,526900
2024-10-8,13:25,29.620,29.700,29.410,29.420,13651481.0,462200
2024-10-8,13:30,29.410,29.630,29.310,29.560,16942668.0,574400
2024-10-8,13:35,29.530,29.670,29.420,29.530,13076332.0,442400
2024-10-8,13:40,29.500,29.590,29.400,29.450,15120119.0,512600
2024-10-8,13:45,29.460,29.730,29.380,29.600,17263832.0,583600
2024-10-8,13:50,29.610,29.630,29.450,29.470,17115348.0,579200
2024-10-8,13:55,29.520,29.570,29.270,29.270,18743340.0,637000
2024-10-8,14:00,29.260,29.390,29.200,29.390,14370076.0,491100
2024-10-8,14:05,29.330,29.660,29.330,29.550,14941577.0,507200
2024-10-8,14:10,29.550,29.740,29.480,29.560,14207049.0,479700
2024-10-8,14:15,29.530,29.630,29.480,29.540,8419541.0,285100
2024-10-8,14:20,29.490,29.590,29.480,29.510,8067442.0,273200
2024-10-8,14:25,29.510,29.530,29.430,29.530,10625314.0,360400
2024-10-8,14:30,29.530,29.990,29.480,29.990,14336599.0,482000
2024-10-8,14:35,29.990,30.260,29.950,30.200,24428552.0,810900
2024-10-8,14:40,30.200,30.280,30.170,30.270,17354932.0,574000
2024-10-8,14:45,30.270,30.320,30.260,30.310,31817578.0,1050200
2024-10-8,14:50,30.320,30.320,30.300,30.310,31957396.0,1054300
2024-10-8,14:55,30.310,30.320,30.270,30.310,31556278.0,1041200
2024-10-8,15:00,30.320,30.320,30.220,30.280,28446518.0,939000
2024-10-9,09:35,29.370,29.370,28.360,29.090,88363496.0,3079000
2024-10-9,09:40,29.040,29.550,29.040,29.340,47730068.0,1627700
2024-10-9,09:45,29.290,29.580,29.270,29.430,39494868.0,1342700
2024-10-9,09:50,29.440,30.180,29.440,30.080,40734456.0,1365800
2024-10-9,09:55,30.070,30.500,30.000,30.040,54130588.0,1787100
2024-10-9,10:00,30.000,30.090,29.820,29.920,38649868.0,1289000
2024-10-9,10:05,29.920,29.990,29.620,29.900,27335472.0,916700
2024-10-9,10:10,29.890,29.890,29.400,29.400,30655888.0,1033600
2024-10-9,10:15,29.410,29.670,29.380,29.630,31327108.0,1060200
2024-10-9,10:20,29.620,30.060,29.620,29.980,36262248.0,1214000
2024-10-9,10:25,29.960,30.200,29.900,29.900,21648542.0,719800
2024-10-9,10:30,29.920,30.000,29.660,29.710,17935990.0,601800
2024-10-9,10:35,29.720,29.800,29.500,29.500,12687190.0,427300
2024-10-9,10:40,29.500,29.680,29.260,29.260,20007356.0,678000
2024-10-9,10:45,29.260,29.700,29.260,29.700,18850252.0,638600
2024-10-9,10:50,29.700,29.950,29.630,29.690,10721911.0,360100
2024-10-9,10:55,29.690,29.830,29.590,29.610,7880175.0,265500
2024-10-9,11:00,29.660,29.690,29.480,29.560,9417984.0,319000
2024-10-9,11:05,29.550,29.740,29.520,29.600,9433985.0,318400
2024-10-9,11:10,29.600,29.680,29.390,29.400,12731585.0,431500
2024-10-9,11:15,29.400,29.490,29.230,29.230,14391017.0,490300
2024-10-9,11:20,29.200,29.290,28.980,28.980,23831492.0,817700
2024-10-9,11:25,28.960,29.340,28.800,29.310,22637712.0,780600
2024-10-9,11:30,29.300,30.000,29.260,30.000,32524540.0,1097900
2024-10-9,13:05,29.860,30.770,29.860,30.770,67273312.0,2219100
2024-10-9,13:10,30.770,30.800,30.300,30.500,27774700.0,908100
2024-10-9,13:15,30.450,30.510,30.280,30.450,19789400.0,650100
2024-10-9,13:20,30.450,30.660,30.440,30.630,17782396.0,581700
2024-10-9,13:25,30.610,30.990,30.570,30.950,29361080.0,954000
