日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-9-30,09:35,45.180,48.000,45.000,47.620,38191456.0,826100
2024-9-30,09:40,47.240,48.550,46.990,47.070,24622232.0,516500
2024-9-30,09:45,47.100,49.510,47.100,49.510,21275952.0,441700
2024-9-30,09:50,49.500,51.100,49.480,50.330,63435824.0,1255000
2024-9-30,09:55,50.090,50.200,48.910,50.000,23575024.0,474200
2024-9-30,10:00,49.820,50.360,49.000,50.000,10958458.0,219700
2024-9-30,10:05,50.010,50.980,49.870,50.290,13100454.0,260100
2024-9-30,10:10,50.510,50.800,50.450,50.560,4600556.0,90800
2024-9-30,10:15,50.560,50.570,50.010,50.350,7214910.0,143200
2024-9-30,10:20,50.300,50.760,50.220,50.750,9055165.0,179000
2024-9-30,10:25,50.730,50.980,50.650,50.900,8232852.0,161900
2024-9-30,10:30,50.890,51.000,50.850,51.000,7587067.0,148900
2024-9-30,10:35,51.000,51.100,50.960,51.080,7556044.0,148000
2024-9-30,10:40,51.000,51.000,50.830,50.970,6182260.0,121400
2024-9-30,10:45,50.950,51.100,50.800,51.100,19219188.0,376300
2024-9-30,10:50,51.100,51.100,51.080,51.100,9877154.0,193300
2024-9-30,10:55,51.100,51.100,51.090,51.100,7593277.0,148600
2024-9-30,11:00,51.100,51.100,51.100,51.100,328879.59375,6400
2024-9-30,11:05,51.100,51.100,51.100,51.100,1221290.0,23900
2024-9-30,11:10,51.100,51.100,50.980,51.000,6496243.0,127300
2024-9-30,11:15,51.000,51.100,50.990,51.030,2190462.0,42900
2024-9-30,11:20,51.100,51.100,51.050,51.100,2197257.0,43000
2024-9-30,11:25,51.100,51.100,51.090,51.090,1343842.0,26300
2024-9-30,11:30,51.090,51.100,51.090,51.100,541651.0,10600
2024-9-30,13:05,51.100,51.100,51.090,51.100,8482343.0,166000
2024-9-30,13:10,51.100,51.100,51.100,51.100,4563230.0,89300
2024-9-30,13:15,51.100,51.100,51.100,51.100,4471013.0,87500
2024-9-30,13:20,51.100,51.100,51.100,51.100,654080.0,12800
2024-9-30,13:25,51.100,51.100,51.100,51.100,56210.0,1100
2024-9-30,13:30,51.100,51.100,51.100,51.100,158410.0,3100
2024-9-30,13:35,51.100,51.100,51.100,51.100,204400.0,4000
2024-9-30,13:40,51.100,51.100,51.100,51.100,531440.0,10400
2024-9-30,13:45,51.100,51.100,51.100,51.100,628530.0,12300
2024-9-30,13:50,51.100,51.100,51.100,51.100,56210.0,1100
