日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-9-30,09:35,6.560,6.820,6.560,6.820,2017742.125,3008
2024-9-30,09:40,6.820,6.880,6.820,6.850,481543.875,704
2024-9-30,09:45,6.830,6.840,6.790,6.790,680778.25,998
2024-9-30,09:50,6.760,6.790,6.610,6.610,693078.0,1036
2024-9-30,09:55,6.590,6.680,6.580,6.680,651697.75,984
2024-9-30,10:00,6.590,6.670,6.580,6.670,557380.0,842
2024-9-30,10:05,6.680,6.730,6.610,6.730,639964.5,966
2024-9-30,10:10,6.690,6.690,6.590,6.600,1024312.0,1548
2024-9-30,10:15,6.600,6.670,6.600,6.670,759294.0,1148
2024-9-30,10:20,6.670,6.730,6.670,6.730,466944.0,696
2024-9-30,10:25,6.680,6.750,6.680,6.750,186010.0,276
2024-9-30,10:30,6.750,6.770,6.720,6.740,122810.0,182
2024-9-30,10:35,6.710,6.710,6.650,6.670,159033.5,238
2024-9-30,10:40,6.700,6.700,6.620,6.660,405948.0,610
2024-9-30,10:45,6.660,6.770,6.660,6.770,1123954.0,1680
2024-9-30,10:50,6.780,6.780,6.710,6.760,1474505.0,2184
2024-9-30,10:55,6.760,6.760,6.710,6.710,162556.0,240
2024-9-30,11:00,6.710,6.720,6.710,6.720,49678.0,74
2024-9-30,11:05,6.740,6.770,6.720,6.770,375424.0,556
2024-9-30,11:10,6.770,6.800,6.760,6.790,500314.0,738
2024-9-30,11:15,6.800,6.880,6.800,6.860,1108544.0,1620
2024-9-30,11:20,6.860,6.860,6.830,6.850,279434.0,408
2024-9-30,11:25,6.850,6.850,6.780,6.780,354918.0,520
2024-9-30,11:30,6.780,6.830,6.750,6.830,135586.0,200
2024-9-30,11:35,6.810,6.850,6.800,6.830,300258.0,440
2024-9-30,11:40,6.880,6.920,6.850,6.920,1472218.0,2136
2024-9-30,11:45,6.920,6.970,6.920,6.950,796107.0,1146
2024-9-30,11:50,6.950,6.970,6.920,6.920,759846.0,1094
2024-9-30,11:55,6.920,6.950,6.920,6.930,234128.0,338
2024-9-30,12:00,6.930,7.000,6.920,6.990,476324.0,684
2024-9-30,13:05,6.990,7.170,6.990,7.120,849286.0,1200
2024-9-30,13:10,7.150,7.170,7.090,7.110,546524.0,766
2024-9-30,13:15,7.090,7.150,7.090,7.140,903106.0,1268
2024-9-30,13:20,7.140,7.140,7.010,7.020,1618064.0,2282
2024-9-30,13:25,7.050,7.060,7.000,7.000,245912.0,350
2024-9-30,13:30,7.000,7.060,7.000,7.060,208332.0,296
2024-9-30,13:35,7.060,7.070,7.050,7.050,293760.0,416
2024-9-30,13:40,7.050,7.080,7.020,7.080,591206.0,840
2024-9-30,13:45,7.080,7.120,7.070,7.120,264012.0,372
2024-9-30,13:50,7.130,7.130,7.070,7.080,322198.0,454
2024-9-30,13:55,7.090,7.120,7.090,7.110,364218.0,512
2024-9-30,14:00,7.110,7.120,7.090,7.090,438104.0,616
2024-9-30,14:05,7.100,7.100,7.080,7.090,358792.0,506
2024-9-30,14:10,7.090,7.120,7.070,7.110,1632744.0,2296
2024-9-30,14:15,7.150,7.190,7.150,7.160,1106640.0,1542
2024-9-30,14:20,7.160,7.200,7.140,7.140,968500.0,1352
2024-9-30,14:25,7.090,7.120,7.080,7.110,326854.0,460
2024-9-30,14:30,7.110,7.110,7.000,7.010,1032350.0,1464
2024-9-30,14:35,7.010,7.010,6.890,7.000,1439776.0,2072
2024-9-30,14:40,6.950,7.010,6.920,7.010,326026.0,468
2024-9-30,14:45,7.010,7.130,7.010,7.120,923118.0,1302
2024-9-30,14:50,7.100,7.110,7.010,7.010,1248176.0,1770
2024-9-30,14:55,7.010,7.020,6.980,7.010,999216.0,1428
2024-9-30,15:00,7.000,7.030,6.980,7.030,843896.0,1203
2024-9-30,15:05,7.030,7.030,6.960,6.960,919356.0,1316
2024-9-30,15:10,6.960,6.980,6.920,6.920,688772.0,992
2024-9-30,15:15,6.920,6.930,6.890,6.890,1080984.0,1563
2024-9-30,15:20,6.890,6.950,6.890,6.940,733516.0,1060
2024-9-30,15:25,6.940,6.940,6.920,6.930,838324.0,1210
2024-9-30,15:30,6.930,6.930,6.910,6.930,860560.0,1244
2024-9-30,15:35,6.930,6.930,6.890,6.890,1102168.0,1596
2024-9-30,15:40,6.890,6.910,6.890,6.890,1007896.0,1462
2024-9-30,15:45,6.890,6.890,6.830,6.830,1769260.0,2577
2024-9-30,15:50,6.820,6.850,6.810,6.840,909044.0,1332
2024-9-30,15:55,6.840,6.930,6.830,6.930,461332.0,674
2024-9-30,16:00,6.930,6.940,6.880,6.880,694600.0,1006
2024-10-2,09:35,6.890,6.890,6.680,6.890,242680.015625,354
2024-10-2,09:40,6.990,6.990,6.890,6.930,393696.0,568
2024-10-2,09:45,6.920,6.920,6.730,6.820,214606.0625,314
2024-10-2,09:50,6.700,6.750,6.700,6.740,75298.0,112
2024-10-2,09:55,6.780,6.850,6.780,6.850,24550.0,36
2024-10-2,10:00,6.880,6.880,6.800,6.870,389536.0625,572
2024-10-2,10:05,6.860,6.860,6.740,6.740,368212.0,542
2024-10-2,10:10,6.730,6.790,6.730,6.790,219968.0,326
2024-10-2,10:15,6.760,6.790,6.760,6.790,182579.875,270
2024-10-2,10:20,6.800,6.800,6.760,6.760,177516.0,262
2024-10-2,10:25,6.740,6.810,6.730,6.810,169940.0,252
2024-10-2,10:30,6.810,6.810,6.810,6.810,87168.0,128
2024-10-2,10:35,6.810,6.810,6.810,6.810,65376.0,96
2024-10-2,10:40,6.810,6.810,6.810,6.810,0.0,0
2024-10-2,10:45,6.890,6.890,6.810,6.810,485552.25,710
2024-10-2,10:50,6.800,6.800,6.780,6.780,186038.0,274
2024-10-2,10:55,6.780,6.840,6.780,6.840,16663.0,24
2024-10-2,11:00,6.840,6.840,6.840,6.840,0.0,0
2024-10-2,11:05,6.840,6.900,6.840,6.880,432558.25,632
2024-10-2,11:10,6.900,6.900,6.900,6.900,447266.0,648
2024-10-2,11:15,6.940,6.980,6.940,6.980,231048.0,332
2024-10-2,11:20,6.970,6.970,6.930,6.930,162632.0,234
2024-10-2,11:25,6.930,6.930,6.930,6.930,74844.0,108
2024-10-2,11:30,6.940,6.940,6.880,6.890,413978.0,600
2024-10-2,11:35,6.890,6.890,6.890,6.890,2756.0,4
2024-10-2,11:40,6.960,6.960,6.960,6.960,114600.0,166
2024-10-2,11:45,6.990,6.990,6.960,6.970,121610.0,174
2024-10-2,11:50,6.960,6.960,6.890,6.900,81420.0,118
2024-10-2,11:55,6.900,6.990,6.900,6.900,729560.0,1055
2024-10-2,12:00,6.900,6.900,6.900,6.900,465881.0,675
2024-10-2,13:05,6.900,6.910,6.900,6.900,447202.0,648
2024-10-2,13:10,6.890,6.900,6.890,6.890,763552.0,1108
2024-10-2,13:15,6.880,6.910,6.870,6.870,497038.0,722
2024-10-2,13:20,6.860,6.870,6.860,6.870,400913.5,584
2024-10-2,13:25,6.870,6.870,6.870,6.870,112668.0,164
2024-10-2,13:30,6.850,6.850,6.850,6.850,69870.0,102
2024-10-2,13:35,6.850,6.850,6.800,6.800,242990.0,356
2024-10-2,13:40,6.810,6.810,6.730,6.730,251378.0,370
2024-10-2,13:45,6.740,6.810,6.740,6.810,240938.0,356
2024-10-2,13:50,6.800,6.850,6.800,6.800,118788.0,174
2024-10-2,13:55,6.760,6.820,6.740,6.800,525200.0,776
2024-10-2,14:00,6.800,6.800,6.750,6.750,203464.0,300
2024-10-2,14:05,6.750,6.750,6.740,6.740,168705.0,250
2024-10-2,14:10,6.740,6.740,6.740,6.740,534.0,0
2024-10-2,14:15,6.800,6.800,6.760,6.800,25832.0,38
2024-10-2,14:20,6.800,6.800,6.800,6.800,2720.0,4
2024-10-2,14:25,6.800,6.800,6.760,6.760,235080.0,346
2024-10-2,14:30,6.760,6.820,6.760,6.790,43606.0,64
2024-10-2,14:35,6.790,6.790,6.790,6.790,2716.0,4
2024-10-2,14:40,6.790,6.790,6.790,6.790,0.0,0
2024-10-2,14:45,6.830,6.840,6.830,6.840,358176.0,524
2024-10-2,14:50,6.820,6.820,6.780,6.780,5432.0,8
2024-10-2,14:55,6.770,6.800,6.770,6.800,301304.0,444
2024-10-2,15:00,6.800,6.800,6.800,6.800,480080.0,706
2024-10-2,15:05,6.800,6.800,6.800,6.800,204000.0,300
2024-10-2,15:10,6.800,6.800,6.800,6.800,0.0,0
2024-10-2,15:15,6.810,6.810,6.810,6.810,28602.0,42
2024-10-2,15:20,6.900,6.920,6.860,6.920,598706.0,870
2024-10-2,15:25,6.900,6.900,6.810,6.860,1568518.0,2276
2024-10-2,15:30,6.900,6.900,6.860,6.860,2772261.0,4020
2024-10-2,15:35,6.960,7.010,6.960,7.010,3540054.0,5057
2024-10-2,15:40,7.010,7.110,7.010,7.030,174798.0,246
2024-10-2,15:45,7.030,7.050,7.010,7.050,87352.0,124
2024-10-2,15:50,7.050,7.200,7.050,7.200,447036.0,624
2024-10-2,15:55,7.200,7.300,7.190,7.300,196334.0,272
2024-10-2,16:00,7.270,7.320,7.100,7.180,1293354.0,1795
2024-10-3,09:35,7.180,7.210,7.060,7.060,393886.03125,550
2024-10-3,09:40,7.000,7.000,7.000,7.000,350000.03125,500
2024-10-3,09:45,6.840,6.860,6.790,6.790,263084.0,386
