日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-12-31,09:35,27.380,27.760,27.180,27.320,4478993.0,163400
2024-12-31,09:40,27.360,27.390,27.140,27.170,4323764.0,158400
2024-12-31,09:45,27.170,27.180,27.040,27.150,6020467.0,222200
2024-12-31,09:50,27.140,27.180,27.020,27.100,2755046.0,101700
2024-12-31,09:55,27.080,27.150,26.910,27.150,6798135.0,251400
2024-12-31,10:00,27.050,27.050,26.640,26.750,8959185.0,334400
2024-12-31,10:05,26.750,26.920,26.680,26.920,5128658.0,191500
2024-12-31,10:10,26.900,26.990,26.900,26.900,2087591.0,77400
2024-12-31,10:15,26.910,26.990,26.830,26.890,3202400.0,119100
2024-12-31,10:20,26.990,27.000,26.950,26.980,2927616.0,108400
2024-12-31,10:25,26.950,27.090,26.890,26.890,1781854.0,66100
2024-12-31,10:30,26.910,27.070,26.910,27.020,1136002.0,42100
2024-12-31,10:35,27.030,27.070,26.900,26.900,1506367.0,55800
2024-12-31,10:40,26.910,26.930,26.890,26.890,580606.0,21600
2024-12-31,10:45,26.890,26.980,26.870,26.980,1778913.0,66100
2024-12-31,10:50,26.930,27.010,26.880,27.010,1083012.0,40200
2024-12-31,10:55,26.920,27.000,26.890,26.890,1607810.0,59700
2024-12-31,11:00,26.890,26.940,26.810,26.860,735006.0,27400
2024-12-31,11:05,26.880,26.930,26.810,26.930,624135.0,23200
2024-12-31,11:10,26.930,26.930,26.840,26.840,740974.0,27600
2024-12-31,11:15,26.870,26.930,26.830,26.860,1325064.0,49300
2024-12-31,11:20,26.890,26.960,26.770,26.790,860960.0,32100
2024-12-31,11:25,26.770,26.830,26.730,26.790,2186691.0,81700
2024-12-31,11:30,26.800,26.810,26.670,26.670,1543669.0,57700
2024-12-31,13:05,26.660,26.800,26.660,26.800,847284.0,31700
2024-12-31,13:10,26.800,26.830,26.670,26.830,2337929.0,87400
2024-12-31,13:15,26.790,26.790,26.700,26.760,1978510.0,73900
2024-12-31,13:20,26.810,26.810,26.690,26.710,1087334.0,40700
2024-12-31,13:25,26.720,26.720,26.690,26.720,460666.0,17200
2024-12-31,13:30,26.730,26.770,26.700,26.710,1048968.0,39200
2024-12-31,13:35,26.710,26.790,26.700,26.730,603872.0,22600
2024-12-31,13:40,26.780,26.790,26.680,26.750,819459.0,30700
2024-12-31,13:45,26.750,26.800,26.700,26.700,444452.0,16600
2024-12-31,13:50,26.660,26.670,26.510,26.610,6432959.0,241800
2024-12-31,13:55,26.600,26.650,26.520,26.570,2276164.0,85600
2024-12-31,14:00,26.580,26.630,26.510,26.540,2012557.0,75800
2024-12-31,14:05,26.540,26.580,26.520,26.520,1322499.0,49800
2024-12-31,14:10,26.520,26.530,26.400,26.400,5132005.0,193800
2024-12-31,14:15,26.450,26.530,26.380,26.470,1965189.0,74400
2024-12-31,14:20,26.410,26.490,26.410,26.480,1327052.0,50200
2024-12-31,14:25,26.490,26.540,26.450,26.490,2419553.0,91300
2024-12-31,14:30,26.490,26.520,26.350,26.370,2646138.0,100100
2024-12-31,14:35,26.370,26.540,26.370,26.430,3381709.0,127900
2024-12-31,14:40,26.430,26.540,26.420,26.510,2211762.0,83600
2024-12-31,14:45,26.540,26.550,26.430,26.520,1195259.0,45200
2024-12-31,14:50,26.550,26.560,26.470,26.470,2656411.0,100100
2024-12-31,14:55,26.470,26.500,26.330,26.350,9025585.0,341700
2024-12-31,15:00,26.360,26.370,26.250,26.250,4770827.0,181400
2025-1-2,09:35,26.200,26.300,25.680,25.750,9442470.0,364800
2025-1-2,09:40,25.790,26.090,25.790,25.910,3697359.0,142500
2025-1-2,09:45,25.910,25.940,25.660,25.760,4898646.0,190000
2025-1-2,09:50,25.710,25.840,25.660,25.730,4231126.0,164500
2025-1-2,09:55,25.730,25.820,25.720,25.750,4226305.0,163900
2025-1-2,10:00,25.760,25.810,25.680,25.760,5282008.0,205300
2025-1-2,10:05,25.760,25.880,25.680,25.720,4473462.0,173600
2025-1-2,10:10,25.720,25.760,25.650,25.650,2816054.0,109600
2025-1-2,10:15,25.650,25.750,25.550,25.700,3458381.0,134900
2025-1-2,10:20,25.700,25.790,25.690,25.790,1497594.0,58200
2025-1-2,10:25,25.790,25.970,25.790,25.900,4566518.0,176400
2025-1-2,10:30,25.900,25.920,25.810,25.890,1471636.0,56900
2025-1-2,10:35,25.870,25.890,25.760,25.760,1759745.0,68200
2025-1-2,10:40,25.750,25.950,25.750,25.850,3478387.0,134500
2025-1-2,10:45,25.850,25.940,25.820,25.920,1300557.0,50200
2025-1-2,10:50,25.920,26.060,25.920,26.060,1905975.0,73300
2025-1-2,10:55,26.060,26.200,26.050,26.170,3687245.0,141100
2025-1-2,11:00,26.180,26.220,26.100,26.190,3120960.0,119200
2025-1-2,11:05,26.130,26.380,26.130,26.250,2417258.0,92100
2025-1-2,11:10,26.230,26.280,26.100,26.220,1025373.0,39200
2025-1-2,11:15,26.170,26.170,25.960,26.010,1787829.0,68500
2025-1-2,11:20,25.960,26.030,25.940,25.970,494674.0,19100
2025-1-2,11:25,26.010,26.030,25.970,26.030,615552.0,23600
2025-1-2,11:30,26.030,26.040,26.000,26.030,686378.0,26400
2025-1-2,13:05,26.000,26.000,25.900,25.940,1018646.0,39300
2025-1-2,13:10,25.940,25.960,25.900,25.930,784442.0,30200
2025-1-2,13:15,25.930,25.960,25.880,25.880,1305430.0,50400
2025-1-2,13:20,25.860,25.910,25.710,25.750,2786541.0,107900
2025-1-2,13:25,25.800,25.800,25.720,25.730,1064010.0,41300
2025-1-2,13:30,25.750,25.750,25.670,25.750,2226582.0,86700
2025-1-2,13:35,25.720,25.780,25.710,25.720,1077707.0,41800
2025-1-2,13:40,25.720,25.750,25.580,25.740,4388268.0,171100
2025-1-2,13:45,25.730,25.730,25.570,25.580,3086170.0,120600
2025-1-2,13:50,25.570,25.600,25.550,25.600,2175958.0,85100
2025-1-2,13:55,25.600,25.600,25.400,25.480,3986091.0,156400
2025-1-2,14:00,25.430,25.600,25.430,25.600,1833562.0,71900
2025-1-2,14:05,25.580,25.600,25.530,25.530,1784767.0,69800
2025-1-2,14:10,25.530,25.540,25.410,25.410,1686642.0,66300
2025-1-2,14:15,25.380,25.410,25.200,25.270,4591304.0,181600
2025-1-2,14:20,25.230,25.230,25.140,25.150,3452946.0,137100
2025-1-2,14:25,25.150,25.300,25.150,25.300,3489288.0,138400
2025-1-2,14:30,25.300,25.390,25.220,25.290,1527531.0,60400
2025-1-2,14:35,25.340,25.340,25.110,25.170,2602999.0,103100
2025-1-2,14:40,25.170,25.190,25.020,25.080,4569133.0,181900
2025-1-2,14:45,25.030,25.070,24.930,24.980,4290427.0,171600
2025-1-2,14:50,24.980,25.050,24.950,25.050,2398751.0,96000
2025-1-2,14:55,25.050,25.170,25.010,25.150,2334316.0,93000
2025-1-2,15:00,25.150,25.220,25.110,25.210,1908462.0,75800
2025-1-3,09:35,25.310,25.460,24.910,25.090,6624291.0,263400
