日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-12-31,09:35,43.880,43.880,43.010,43.330,5554257.0,128300
2024-12-31,09:40,43.310,43.410,42.690,42.880,5307719.0,123200
2024-12-31,09:45,42.700,42.860,42.610,42.690,5393586.0,126200
2024-12-31,09:50,42.670,43.170,42.380,42.850,8137034.0,191100
2024-12-31,09:55,42.860,42.970,42.500,42.520,3926279.0,92000
2024-12-31,10:00,42.600,42.600,42.050,42.230,7329288.0,173300
2024-12-31,10:05,42.200,42.730,42.170,42.730,3970319.5,93500
2024-12-31,10:10,42.770,42.770,42.550,42.640,1070508.0,25100
2024-12-31,10:15,42.670,42.870,42.640,42.760,803649.0,18800
2024-12-31,10:20,42.760,42.880,42.690,42.820,877178.0,20500
2024-12-31,10:25,42.770,42.790,42.550,42.550,1113474.0,26100
2024-12-31,10:30,42.520,42.780,42.470,42.670,1468598.0,34500
2024-12-31,10:35,42.740,42.740,42.360,42.360,2835423.0,66700
2024-12-31,10:40,42.360,42.450,42.330,42.330,1925047.0,45400
2024-12-31,10:45,42.350,42.470,42.330,42.350,1872360.0,44200
2024-12-31,10:50,42.330,42.420,42.160,42.220,2395004.0,56700
2024-12-31,10:55,42.220,42.290,42.030,42.030,3189004.0,75700
2024-12-31,11:00,42.030,42.240,42.030,42.240,1870837.0,44400
2024-12-31,11:05,42.170,42.250,42.050,42.250,2413518.0,57300
2024-12-31,11:10,42.270,42.270,42.100,42.100,484679.0,11500
2024-12-31,11:15,42.080,42.350,42.050,42.200,1827111.0,43300
2024-12-31,11:20,42.200,42.360,42.100,42.120,1593562.0,37700
2024-12-31,11:25,42.100,42.160,42.030,42.160,2019432.0,48000
2024-12-31,11:30,42.170,42.280,42.060,42.120,1058260.0,25100
2024-12-31,13:05,42.120,42.150,41.870,41.990,3809565.0,90700
2024-12-31,13:10,41.920,42.000,41.810,41.860,1784163.0,42600
2024-12-31,13:15,41.850,41.850,41.700,41.770,3174731.0,76000
2024-12-31,13:20,41.770,41.940,41.720,41.750,1922418.0,46000
2024-12-31,13:25,41.740,41.820,41.720,41.820,822769.0,19700
2024-12-31,13:30,41.820,41.820,41.750,41.750,526195.0,12600
2024-12-31,13:35,41.750,41.780,41.510,41.550,4192191.0,100700
2024-12-31,13:40,41.570,41.710,41.570,41.680,1108077.0,26600
2024-12-31,13:45,41.660,41.700,41.600,41.600,1111756.0,26700
2024-12-31,13:50,41.600,41.800,41.550,41.800,1382527.0,33200
2024-12-31,13:55,41.800,41.800,41.520,41.550,2147477.0,51500
2024-12-31,14:00,41.520,41.660,41.510,41.520,1131627.375,27200
2024-12-31,14:05,41.510,41.600,41.450,41.450,2602412.0,62700
2024-12-31,14:10,41.460,41.470,41.320,41.350,1924909.0,46500
2024-12-31,14:15,41.320,41.460,41.320,41.430,1949200.0,47100
2024-12-31,14:20,41.380,41.500,41.380,41.500,2922399.0,70500
2024-12-31,14:25,41.510,41.600,41.420,41.490,1585743.0,38200
2024-12-31,14:30,41.480,41.600,41.380,41.380,1359680.0,32800
2024-12-31,14:35,41.360,41.640,41.360,41.520,1482305.0,35700
2024-12-31,14:40,41.510,41.680,41.510,41.650,1792638.0,43100
2024-12-31,14:45,41.650,41.690,41.530,41.660,1632853.0,39200
2024-12-31,14:50,41.660,41.760,41.560,41.580,2725851.0,65400
2024-12-31,14:55,41.590,41.640,41.410,41.440,5393499.0,129900
2024-12-31,15:00,41.440,41.490,41.320,41.380,3328423.0,80400
2025-1-2,09:35,41.130,41.350,40.520,40.730,5457775.0,133800
2025-1-2,09:40,40.730,41.240,40.610,41.170,2679973.0,65500
2025-1-2,09:45,41.120,41.120,40.880,41.120,1743673.0,42500
2025-1-2,09:50,41.120,41.400,41.120,41.270,2869066.0,69600
2025-1-2,09:55,41.270,41.540,41.270,41.370,2162355.0,52200
2025-1-2,10:00,41.360,41.510,41.300,41.300,1528280.0,36900
2025-1-2,10:05,41.410,41.420,41.030,41.290,1956935.0,47500
2025-1-2,10:10,41.300,41.450,41.120,41.440,694115.0,16800
2025-1-2,10:15,41.250,41.440,41.250,41.440,1412971.0,34200
2025-1-2,10:20,41.450,41.480,41.340,41.470,1392569.0,33600
2025-1-2,10:25,41.470,41.680,41.380,41.600,1565546.0,37700
2025-1-2,10:30,41.620,41.760,41.390,41.620,735416.0,17700
2025-1-2,10:35,41.680,41.850,41.680,41.830,1796513.0,43000
2025-1-2,10:40,41.840,42.100,41.830,41.940,3549187.0,84600
2025-1-2,10:45,41.900,41.930,41.800,41.840,1984304.0,47400
2025-1-2,10:50,41.840,42.130,41.840,42.120,2030588.0,48300
2025-1-2,10:55,42.110,42.610,42.100,42.380,4695648.0,110700
2025-1-2,11:00,42.400,42.570,42.260,42.360,1204171.0,28400
2025-1-2,11:05,42.360,42.360,42.130,42.290,1635958.0,38700
2025-1-2,11:10,42.220,42.310,42.120,42.120,637768.0,15100
2025-1-2,11:15,42.120,42.120,41.930,41.930,1307520.0,31100
2025-1-2,11:20,42.000,42.040,41.910,41.930,763325.0,18200
2025-1-2,11:25,42.040,42.040,41.920,42.010,722249.0,17200
2025-1-2,11:30,42.000,42.000,41.880,41.890,570265.0,13600
2025-1-2,13:05,42.010,42.180,41.790,41.850,3087788.0,73700
2025-1-2,13:10,41.890,41.930,41.760,41.770,431154.0,10300
2025-1-2,13:15,41.810,41.880,41.760,41.770,581123.0,13900
2025-1-2,13:20,41.750,41.770,41.620,41.680,1212873.0,29100
2025-1-2,13:25,41.670,41.670,41.530,41.610,882114.0,21200
2025-1-2,13:30,41.630,41.760,41.540,41.580,1053016.0,25300
2025-1-2,13:35,41.590,41.710,41.500,41.520,874454.0,21000
2025-1-2,13:40,41.600,41.600,41.380,41.380,854307.0,20600
2025-1-2,13:45,41.390,41.640,41.380,41.380,1043467.0,25200
2025-1-2,13:50,41.400,41.410,41.190,41.210,1420758.0,34400
2025-1-2,13:55,41.210,41.250,41.030,41.050,1841957.0,44800
2025-1-2,14:00,41.050,41.200,41.030,41.200,1681139.625,40900
2025-1-2,14:05,41.150,41.260,41.070,41.120,2046727.0,49700
2025-1-2,14:10,41.090,41.100,40.810,40.870,2022373.375,49400
2025-1-2,14:15,40.880,40.890,40.800,40.800,1576998.0,38600
2025-1-2,14:20,40.780,40.780,40.640,40.720,2128505.0,52300
2025-1-2,14:25,40.710,40.810,40.650,40.810,659500.0,16200
2025-1-2,14:30,40.870,41.180,40.870,40.950,886245.0,21600
2025-1-2,14:35,40.950,41.020,40.680,40.680,1184948.0,29000
2025-1-2,14:40,40.680,40.840,40.600,40.600,2102802.0,51700
2025-1-2,14:45,40.600,40.670,40.560,40.620,1632409.0,40200
2025-1-2,14:50,40.620,40.620,40.480,40.550,3527359.5,87000
2025-1-2,14:55,40.600,40.830,40.600,40.830,1205404.0,29600
2025-1-2,15:00,40.850,40.850,40.680,40.850,2072891.75,50900
2025-1-3,09:35,41.400,41.500,40.380,40.440,6781938.0,166400
2025-1-3,09:40,40.500,40.880,40.500,40.550,4452923.0,109800
2025-1-3,09:45,40.700,40.880,40.580,40.790,1580875.0,38800
2025-1-3,09:50,40.860,40.880,40.110,40.230,4620343.0,114100
2025-1-3,09:55,40.230,40.260,40.050,40.130,3605296.0,89800
2025-1-3,10:00,40.260,40.780,40.220,40.500,1653384.0,40900
2025-1-3,10:05,40.430,40.500,40.280,40.320,920863.0,22800
2025-1-3,10:10,40.220,40.480,40.220,40.480,1028477.0,25500
2025-1-3,10:15,40.490,40.710,40.400,40.470,1130376.0,27900
2025-1-3,10:20,40.450,40.660,40.420,40.460,458060.0,11300
2025-1-3,10:25,40.520,40.880,40.470,40.880,1897310.0,46600
2025-1-3,10:30,40.880,41.020,40.800,40.800,1879237.0,45900
2025-1-3,10:35,40.780,40.930,40.780,40.890,768552.0,18800
2025-1-3,10:40,40.900,40.960,40.700,40.710,411544.0,10100
2025-1-3,10:45,40.710,40.720,40.510,40.550,902467.0,22200
2025-1-3,10:50,40.550,40.640,40.380,40.420,850636.0,21000
2025-1-3,10:55,40.420,40.520,40.410,40.480,457327.0,11300
