日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,29.450,29.550,29.060,29.140,238454128.0,8138300
2025-3-31,09:40,29.160,29.190,29.000,29.030,210652944.0,7240300
2025-3-31,09:45,29.030,29.100,28.710,28.820,229423168.0,7939200
2025-3-31,09:50,28.830,28.860,28.490,28.520,197296240.0,6892300
2025-3-31,09:55,28.510,28.660,28.450,28.660,139041904.0,4865700
2025-3-31,10:00,28.670,29.130,28.660,29.110,99811392.0,3452700
2025-3-31,10:05,29.120,29.120,28.830,28.830,77996008.0,2694100
2025-3-31,10:10,28.830,28.850,28.670,28.710,44935512.0,1563100
2025-3-31,10:15,28.720,28.730,28.620,28.630,59227448.0,2066700
2025-3-31,10:20,28.620,28.670,28.500,28.510,75060448.0,2627500
2025-3-31,10:25,28.510,28.600,28.510,28.600,52392564.0,1834700
2025-3-31,10:30,28.600,28.650,28.540,28.540,42290296.0,1478600
2025-3-31,10:35,28.540,28.650,28.510,28.520,41834280.0,1464800
2025-3-31,10:40,28.520,28.570,28.520,28.530,32083798.0,1124100
2025-3-31,10:45,28.540,28.540,28.490,28.500,48769828.0,1711000
2025-3-31,10:50,28.500,28.560,28.500,28.530,24100672.0,845000
2025-3-31,10:55,28.520,28.520,28.390,28.410,78393384.0,2756100
2025-3-31,11:00,28.410,28.500,28.380,28.430,39668504.0,1395200
2025-3-31,11:05,28.430,28.520,28.400,28.410,41948704.0,1474700
2025-3-31,11:10,28.410,28.470,28.370,28.390,48676776.0,1714300
2025-3-31,11:15,28.390,28.450,28.390,28.450,25402092.0,893800
2025-3-31,11:20,28.450,28.570,28.440,28.550,25065948.0,879400
2025-3-31,11:25,28.550,28.570,28.440,28.440,27836454.0,976400
2025-3-31,11:30,28.440,28.530,28.400,28.500,26186524.0,920500
2025-3-31,13:05,28.500,28.570,28.430,28.570,47997504.0,1684600
2025-3-31,13:10,28.560,28.770,28.490,28.700,46848372.0,1634100
2025-3-31,13:15,28.700,28.780,28.560,28.750,32282640.0,1126000
2025-3-31,13:20,28.750,28.760,28.650,28.670,31722036.0,1104900
2025-3-31,13:25,28.660,28.710,28.620,28.700,24646490.0,860100
2025-3-31,13:30,28.700,28.710,28.550,28.550,23682928.0,827700
2025-3-31,13:35,28.550,28.670,28.540,28.590,22115420.0,773200
2025-3-31,13:40,28.590,28.690,28.540,28.620,28415022.0,993400
2025-3-31,13:45,28.660,28.660,28.600,28.610,15783198.0,551300
2025-3-31,13:50,28.610,28.610,28.510,28.510,19548458.0,684600
2025-3-31,13:55,28.520,28.600,28.510,28.590,26337548.0,922400
2025-3-31,14:00,28.590,28.590,28.520,28.540,21438786.0,751000
2025-3-31,14:05,28.550,28.620,28.520,28.620,28406168.0,994800
2025-3-31,14:10,28.630,28.790,28.610,28.750,49332228.0,1718600
2025-3-31,14:15,28.740,28.850,28.740,28.790,44263316.0,1537100
2025-3-31,14:20,28.800,28.900,28.790,28.830,40778572.0,1413400
2025-3-31,14:25,28.820,28.970,28.800,28.890,43321388.0,1499800
2025-3-31,14:30,28.890,28.890,28.740,28.790,42668404.0,1481700
2025-3-31,14:35,28.800,28.900,28.780,28.850,33671076.0,1166800
2025-3-31,14:40,28.850,28.890,28.810,28.820,29124954.0,1009300
2025-3-31,14:45,28.830,28.840,28.780,28.830,42152236.0,1463400
2025-3-31,14:50,28.830,28.860,28.810,28.820,34878736.0,1209600
2025-3-31,14:55,28.820,28.870,28.800,28.830,62089640.0,2153100
2025-3-31,15:00,28.820,28.850,28.820,28.830,52704016.0,1828200
2025-4-1,09:35,28.930,29.120,28.810,28.990,179428832.0,6190400
2025-4-1,09:40,28.990,28.990,28.750,28.790,77977592.0,2705400
2025-4-1,09:45,28.780,28.780,28.640,28.720,52461024.0,1827800
2025-4-1,09:50,28.700,28.860,28.670,28.790,38550128.0,1340600
2025-4-1,09:55,28.770,28.830,28.710,28.810,25129708.0,873600
2025-4-1,10:00,28.830,28.920,28.760,28.830,44186268.0,1532500
2025-4-1,10:05,28.840,28.920,28.790,28.840,37883404.0,1313300
2025-4-1,10:10,28.840,28.900,28.830,28.860,27762716.0,961700
2025-4-1,10:15,28.870,28.950,28.820,28.910,31578522.0,1092900
2025-4-1,10:20,28.920,28.980,28.850,28.960,33447972.0,1156800
2025-4-1,10:25,28.970,28.980,28.920,28.960,30882880.0,1066600
2025-4-1,10:30,28.960,28.980,28.860,28.860,25986776.0,898500
2025-4-1,10:35,28.870,28.880,28.790,28.810,31385738.0,1089100
2025-4-1,10:40,28.810,28.810,28.730,28.790,32811136.0,1140900
2025-4-1,10:45,28.800,28.820,28.770,28.820,14643110.0,508500
2025-4-1,10:50,28.820,28.860,28.770,28.860,19379322.0,672800
2025-4-1,10:55,28.850,28.860,28.770,28.800,23537482.0,816900
2025-4-1,11:00,28.790,28.810,28.740,28.760,22460468.0,780900
2025-4-1,11:05,28.760,28.800,28.700,28.710,29336490.0,1021000
2025-4-1,11:10,28.740,28.750,28.660,28.710,26863000.0,936200
2025-4-1,11:15,28.710,28.760,28.680,28.750,14041674.0,489100
2025-4-1,11:20,28.750,28.790,28.720,28.780,12424255.0,432100
2025-4-1,11:25,28.780,28.820,28.730,28.740,16030678.0,557100
2025-4-1,11:30,28.740,28.760,28.720,28.740,12283184.0,427500
2025-4-1,13:05,28.740,28.780,28.660,28.670,32760466.0,1141300
2025-4-1,13:10,28.670,28.690,28.640,28.640,25738804.0,898100
2025-4-1,13:15,28.640,28.680,28.640,28.660,14457900.0,504500
2025-4-1,13:20,28.660,28.690,28.580,28.600,33546648.0,1172300
2025-4-1,13:25,28.600,28.650,28.560,28.640,26777316.0,936600
2025-4-1,13:30,28.630,28.670,28.550,28.570,29226746.0,1021600
2025-4-1,13:35,28.590,28.660,28.570,28.590,17168864.0,599900
2025-4-1,13:40,28.580,28.600,28.500,28.540,45099180.0,1580400
2025-4-1,13:45,28.530,28.570,28.510,28.570,21591360.0,756800
2025-4-1,13:50,28.560,28.620,28.560,28.580,19485372.0,681500
2025-4-1,13:55,28.590,28.630,28.560,28.590,12132986.0,424300
2025-4-1,14:00,28.600,28.600,28.560,28.570,18939320.0,662700
2025-4-1,14:05,28.560,28.670,28.560,28.600,20808908.0,727400
2025-4-1,14:10,28.600,28.630,28.550,28.620,25787988.0,901800
2025-4-1,14:15,28.610,28.610,28.530,28.540,18820268.0,658900
2025-4-1,14:20,28.540,28.550,28.500,28.530,32215284.0,1129500
2025-4-1,14:25,28.520,28.550,28.490,28.520,36256136.0,1271700
2025-4-1,14:30,28.520,28.550,28.490,28.530,22845714.0,801200
2025-4-1,14:35,28.530,28.590,28.520,28.540,22457472.0,786300
2025-4-1,14:40,28.540,28.580,28.530,28.540,14538886.0,509200
2025-4-1,14:45,28.550,28.570,28.530,28.540,21847918.0,765300
