日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,29.650,29.650,28.910,29.120,2233408.0,76800
2025-3-31,09:40,29.180,29.370,29.150,29.270,1086157.0,37100
2025-3-31,09:45,29.280,29.300,29.100,29.160,396799.0,13600
2025-3-31,09:50,29.140,29.170,29.040,29.090,616994.0,21200
2025-3-31,09:55,29.080,29.340,29.080,29.340,412803.0,14200
2025-3-31,10:00,29.270,29.370,29.140,29.360,1723027.0,58900
2025-3-31,10:05,29.300,29.650,29.300,29.590,1408880.0,47700
2025-3-31,10:10,29.610,29.700,29.590,29.650,644021.0,21800
2025-3-31,10:15,29.700,29.760,29.550,29.690,1372330.0,46200
2025-3-31,10:20,29.610,29.880,29.610,29.870,2243045.0,75200
2025-3-31,10:25,29.860,29.950,29.800,29.920,1583732.0,53000
2025-3-31,10:30,29.920,29.990,29.840,29.870,2327582.0,77800
2025-3-31,10:35,29.870,29.940,29.860,29.920,867197.0,29100
2025-3-31,10:40,29.900,29.980,29.870,29.870,1680530.0,56100
2025-3-31,10:45,29.860,29.890,29.760,29.870,656433.0,22000
2025-3-31,10:50,29.870,29.910,29.860,29.910,733819.0,24600
2025-3-31,10:55,29.940,29.950,29.920,29.950,301645.0,10000
2025-3-31,11:00,29.950,30.070,29.940,30.040,1221982.0,40800
2025-3-31,11:05,30.050,30.090,30.030,30.030,1531676.0,50900
2025-3-31,11:10,30.010,30.030,29.910,29.990,372746.0,12400
2025-3-31,11:15,29.990,29.990,29.930,29.980,357864.0,12000
2025-3-31,11:20,29.980,30.000,29.790,29.820,946300.0,31600
2025-3-31,11:25,29.830,29.850,29.740,29.790,1009560.0,33900
2025-3-31,11:30,29.770,29.840,29.710,29.820,561707.0,18900
2025-3-31,13:05,29.760,29.950,29.720,29.950,1282752.0,42900
2025-3-31,13:10,29.980,29.980,29.760,29.870,745237.0,25000
2025-3-31,13:15,29.850,29.860,29.560,29.770,945141.0,31700
2025-3-31,13:20,29.770,29.770,29.500,29.500,397876.0,13400
2025-3-31,13:25,29.600,29.680,29.520,29.560,316581.0,10700
2025-3-31,13:30,29.580,29.590,29.500,29.510,428387.0,14500
2025-3-31,13:35,29.530,29.590,29.510,29.550,995155.0,33700
2025-3-31,13:40,29.520,29.710,29.510,29.610,794992.0,26900
2025-3-31,13:45,29.610,29.720,29.600,29.620,418468.0,14100
2025-3-31,13:50,29.640,29.640,29.600,29.600,395605.0,13300
2025-3-31,13:55,29.620,29.800,29.620,29.770,252382.0,8500
2025-3-31,14:00,29.780,29.790,29.720,29.790,158178.0,5300
2025-3-31,14:05,29.780,29.810,29.730,29.790,267695.0,9000
2025-3-31,14:10,29.810,29.950,29.800,29.800,738469.0,24800
2025-3-31,14:15,29.800,29.980,29.800,29.880,443042.0,14800
2025-3-31,14:20,29.890,29.990,29.890,29.950,478960.0,16000
2025-3-31,14:25,29.940,30.050,29.900,30.000,588385.0,19600
2025-3-31,14:30,30.000,30.000,29.900,29.900,812738.0,27200
2025-3-31,14:35,29.920,29.950,29.900,29.900,306686.0,10200
2025-3-31,14:40,29.900,30.000,29.900,29.970,614387.0,20500
2025-3-31,14:45,30.000,30.000,29.900,29.980,194793.0,6500
2025-3-31,14:50,29.980,29.980,29.910,29.960,227485.0,7600
2025-3-31,14:55,29.910,30.020,29.910,30.020,503029.0,16800
2025-3-31,15:00,29.930,30.040,29.930,30.030,637795.0,21200
2025-4-1,09:35,30.140,30.460,29.830,30.460,3156474.0,104700
2025-4-1,09:40,30.460,30.640,30.430,30.620,4379541.0,143400
2025-4-1,09:45,30.610,30.610,30.400,30.440,3339176.0,109400
2025-4-1,09:50,30.400,30.570,30.190,30.560,2751006.0,90400
2025-4-1,09:55,30.500,30.570,30.500,30.550,1201869.0,39400
2025-4-1,10:00,30.540,30.560,30.500,30.510,1167502.0,38200
2025-4-1,10:05,30.500,30.600,30.350,30.510,1888116.0,61900
