日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-1-2,09:35,75.000,75.000,73.710,73.720,7634956.0,102700
2024-1-2,09:40,73.750,73.810,73.250,73.290,7898497.0,107400
2024-1-2,09:45,73.290,73.910,73.250,73.420,4805921.0,65400
2024-1-2,09:50,73.430,73.580,73.190,73.190,5771779.0,78700
2024-1-2,09:55,73.170,73.170,72.500,72.550,6980769.0,95800
2024-1-2,10:00,72.580,72.810,72.540,72.780,2993619.0,41200
2024-1-2,10:05,72.780,73.030,72.700,72.700,5059848.5,69500
2024-1-2,10:10,72.720,72.900,72.550,72.560,3343555.0,46000
2024-1-2,10:15,72.560,72.560,72.260,72.480,5640496.0,77900
2024-1-2,10:20,72.470,72.580,72.280,72.400,5514892.0,76200
2024-1-2,10:25,72.430,72.430,71.910,71.980,10189316.0,141300
2024-1-2,10:30,71.980,72.060,71.830,71.840,3459722.0,48100
2024-1-2,10:35,71.830,71.830,71.590,71.640,4853635.0,67700
2024-1-2,10:40,71.640,71.960,71.520,71.580,5845029.0,81600
2024-1-2,10:45,71.600,71.740,71.460,71.570,5991031.0,83700
2024-1-2,10:50,71.570,71.570,71.300,71.420,3192443.0,44700
2024-1-2,10:55,71.420,71.420,71.250,71.250,2831392.0,39700
2024-1-2,11:00,71.250,71.250,71.120,71.150,5330400.0,74900
2024-1-2,11:05,71.160,71.240,71.000,71.170,5679146.0,79900
2024-1-2,11:10,71.170,71.170,70.900,70.990,3612834.0,50900
2024-1-2,11:15,70.950,70.990,70.880,70.880,2986533.0,42100
2024-1-2,11:20,70.880,71.110,70.710,71.000,4342858.0,61300
2024-1-2,11:25,70.980,71.000,70.670,70.680,2831059.0,40000
2024-1-2,11:30,70.680,70.860,70.650,70.790,2969686.0,42000
2024-1-2,13:05,70.700,70.700,69.910,70.020,9449702.0,134600
2024-1-2,13:10,70.050,70.380,69.990,70.260,4366657.0,62300
2024-1-2,13:15,70.250,70.250,70.020,70.110,3560857.0,50800
2024-1-2,13:20,70.110,70.200,70.000,70.140,5254751.0,75000
2024-1-2,13:25,70.120,70.120,69.880,69.880,3723077.0,53200
2024-1-2,13:30,69.880,70.050,69.800,70.030,7077492.0,101200
2024-1-2,13:35,70.030,70.200,69.980,70.200,4232114.5,60400
2024-1-2,13:40,70.230,70.560,70.230,70.560,2667246.0,37900
2024-1-2,13:45,70.560,70.600,70.210,70.320,2779471.0,39500
2024-1-2,13:50,70.360,70.400,70.200,70.240,2044706.0,29100
2024-1-2,13:55,70.240,70.440,70.240,70.330,2525482.0,35900
2024-1-2,14:00,70.330,70.440,70.240,70.270,2778329.0,39500
