日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-1-2,09:35,33.510,33.650,33.290,33.310,9293842.0,277900
2024-1-2,09:40,33.280,33.280,32.950,33.100,8084170.0,244400
2024-1-2,09:45,33.090,33.180,33.060,33.080,3243344.0,97900
2024-1-2,09:50,33.080,33.100,32.990,33.090,5288609.0,160100
2024-1-2,09:55,33.110,33.110,32.910,32.910,4799877.0,145400
2024-1-2,10:00,32.900,32.920,32.800,32.880,6854374.0,208600
2024-1-2,10:05,32.870,33.010,32.800,33.000,5165733.0,157100
2024-1-2,10:10,32.990,33.000,32.860,32.900,2432970.0,73900
2024-1-2,10:15,32.890,32.910,32.850,32.910,2445706.0,74400
2024-1-2,10:20,32.910,33.100,32.880,32.990,3491043.0,105800
2024-1-2,10:25,32.990,33.040,32.960,33.040,969534.0,29400
2024-1-2,10:30,33.020,33.150,33.000,33.120,2018375.0,61000
2024-1-2,10:35,33.120,33.120,33.000,33.010,1186309.0,35900
2024-1-2,10:40,33.010,33.050,32.950,32.970,1352607.0,41000
2024-1-2,10:45,32.950,33.050,32.950,33.050,1267233.0,38400
2024-1-2,10:50,33.060,33.060,33.020,33.030,416276.0,12600
2024-1-2,10:55,33.020,33.020,32.900,32.900,583523.0,17700
2024-1-2,11:00,32.910,32.990,32.910,32.970,471128.0,14300
2024-1-2,11:05,32.970,33.010,32.970,33.000,485023.0,14700
2024-1-2,11:10,33.000,33.140,33.000,33.120,803630.0,24300
2024-1-2,11:15,33.120,33.140,33.070,33.110,483397.0,14600
2024-1-2,11:20,33.110,33.200,33.110,33.170,1094364.0,33000
2024-1-2,11:25,33.140,33.180,33.100,33.150,914962.0,27600
2024-1-2,11:30,33.160,33.160,33.100,33.130,530117.0,16000
2024-1-2,13:05,33.120,33.180,33.070,33.180,914292.0,27600
2024-1-2,13:10,33.180,33.210,33.170,33.180,1397154.0,42100
2024-1-2,13:15,33.180,33.180,33.120,33.120,510367.0,15400
2024-1-2,13:20,33.120,33.120,33.060,33.120,863507.0,26100
2024-1-2,13:25,33.110,33.180,33.050,33.180,993810.0,30000
2024-1-2,13:30,33.180,33.240,33.160,33.240,1945470.0,58600
2024-1-2,13:35,33.220,33.220,33.110,33.180,2013070.0,60700
2024-1-2,13:40,33.180,33.220,33.140,33.210,774303.0,23300
2024-1-2,13:45,33.230,33.230,33.140,33.140,1209990.0,36500
2024-1-2,13:50,33.140,33.170,33.110,33.110,487178.0,14700
2024-1-2,13:55,33.110,33.130,33.080,33.100,542846.0,16400
2024-1-2,14:00,33.100,33.100,33.050,33.080,403656.0,12200
2024-1-2,14:05,33.070,33.100,33.010,33.010,1223378.0,37000
2024-1-2,14:10,33.020,33.080,33.020,33.080,565120.0,17100
2024-1-2,14:15,33.080,33.080,33.050,33.080,671240.0,20300
2024-1-2,14:20,33.070,33.070,33.030,33.070,608053.0,18400
2024-1-2,14:25,33.040,33.070,33.020,33.040,1202675.0,36400
2024-1-2,14:30,33.040,33.050,33.000,33.010,1132638.0,34300
2024-1-2,14:35,33.020,33.040,33.010,33.020,1298025.0,39300
2024-1-2,14:40,33.020,33.070,32.980,33.060,2456666.0,74400
2024-1-2,14:45,32.990,33.050,32.960,32.970,1959235.0,59400
2024-1-2,14:50,32.970,33.020,32.950,32.950,2245271.0,68100
2024-1-2,14:55,32.950,32.960,32.910,32.920,2351355.0,71400
2024-1-2,15:00,32.920,32.930,32.900,32.900,1941537.0,59000
2024-1-3,09:35,32.890,33.200,32.740,33.200,9406640.0,285700
2024-1-3,09:40,33.190,33.340,33.110,33.120,8162285.0,245600
2024-1-3,09:45,33.110,33.390,33.110,33.350,7508221.0,225400
2024-1-3,09:50,33.330,33.370,33.150,33.190,6196658.0,186300
2024-1-3,09:55,33.190,33.190,33.010,33.010,4358009.0,131600
2024-1-3,10:00,33.010,33.050,32.900,32.930,3666353.0,111200
2024-1-3,10:05,32.940,32.950,32.870,32.890,2978025.0,90500
2024-1-3,10:10,32.950,32.950,32.800,32.820,3141892.0,95600
2024-1-3,10:15,32.820,32.900,32.770,32.870,2545611.0,77600
2024-1-3,10:20,32.900,32.920,32.780,32.870,1829534.0,55700
2024-1-3,10:25,32.870,32.910,32.780,32.880,2169751.0,66100
2024-1-3,10:30,32.860,32.890,32.810,32.890,1721523.0,52400
2024-1-3,10:35,32.870,33.090,32.870,32.990,4031725.0,122200
2024-1-3,10:40,32.990,32.990,32.900,32.930,2085007.0,63300
2024-1-3,10:45,32.910,33.080,32.910,33.070,2257080.0,68400
2024-1-3,10:50,33.070,33.140,33.020,33.140,2781948.0,84100
2024-1-3,10:55,33.130,33.130,33.020,33.120,3739505.0,113000
2024-1-3,11:00,33.120,33.230,33.090,33.230,3413324.0,102900
2024-1-3,11:05,33.230,33.230,33.050,33.080,1269509.0,38300
2024-1-3,11:10,33.090,33.090,32.950,32.950,1904075.0,57700
2024-1-3,11:15,32.950,32.960,32.830,32.830,1719266.0,52300
2024-1-3,11:20,32.850,32.860,32.790,32.790,2845677.0,86700
2024-1-3,11:25,32.800,32.810,32.710,32.730,3115914.0,95100
2024-1-3,11:30,32.730,32.750,32.680,32.680,1805584.0,55200
2024-1-3,13:05,32.680,32.680,32.570,32.570,1742253.0,53400
2024-1-3,13:10,32.570,32.630,32.550,32.610,1016956.0,31200
2024-1-3,13:15,32.610,32.700,32.600,32.600,1250257.0,38300
2024-1-3,13:20,32.600,32.690,32.600,32.650,548021.0,16800
2024-1-3,13:25,32.690,32.760,32.660,32.690,1147319.0,35100
2024-1-3,13:30,32.720,32.720,32.580,32.650,1782330.0,54600
2024-1-3,13:35,32.600,32.670,32.590,32.670,450397.0,13800
2024-1-3,13:40,32.670,32.850,32.670,32.700,863846.0,26400
2024-1-3,13:45,32.690,32.690,32.640,32.650,819829.0,25100
2024-1-3,13:50,32.610,32.670,32.600,32.640,1014800.0,31100
2024-1-3,13:55,32.650,32.660,32.640,32.640,306907.0,9400
2024-1-3,14:00,32.640,32.690,32.640,32.640,976572.0,29900
2024-1-3,14:05,32.650,32.720,32.600,32.710,1520603.0,46600
2024-1-3,14:10,32.690,32.800,32.690,32.760,885617.0,27100
2024-1-3,14:15,32.760,32.840,32.730,32.750,1128050.0,34400
2024-1-3,14:20,32.750,32.830,32.730,32.820,508133.0,15500
2024-1-3,14:25,32.840,32.880,32.800,32.830,1107038.0,33700
2024-1-3,14:30,32.850,32.930,32.850,32.910,1496647.0,45500
2024-1-3,14:35,32.910,32.930,32.870,32.880,1809724.0,55000
2024-1-3,14:40,32.880,32.900,32.810,32.830,1487800.0,45300
2024-1-3,14:45,32.840,32.850,32.780,32.790,905447.0,27600
2024-1-3,14:50,32.800,32.800,32.770,32.790,2288626.0,69800
2024-1-3,14:55,32.800,32.800,32.710,32.740,3457934.0,105600
2024-1-3,15:00,32.720,32.760,32.720,32.760,1634516.0,49900
2024-1-4,09:35,32.600,32.610,32.150,32.160,9052516.0,279900
2024-1-4,09:40,32.150,32.270,32.070,32.110,8205050.0,255200
2024-1-4,09:45,32.110,32.200,31.970,32.140,8088281.0,252300
2024-1-4,09:50,32.140,32.180,32.010,32.160,2458159.0,76600
2024-1-4,09:55,32.160,32.200,32.100,32.100,1919233.0,59700
2024-1-4,10:00,32.110,32.130,31.980,32.020,5043454.0,157400
2024-1-4,10:05,32.020,32.030,31.900,31.940,7230609.0,226200
2024-1-4,10:10,31.970,32.000,31.900,31.910,3733249.0,116800
2024-1-4,10:15,31.920,31.930,31.780,31.820,6026895.0,189300
2024-1-4,10:20,31.830,31.930,31.780,31.910,3229243.0,101400
2024-1-4,10:25,31.920,31.930,31.830,31.850,2031140.0,63700
2024-1-4,10:30,31.860,31.860,31.810,31.820,1336802.0,42000
2024-1-4,10:35,31.820,31.820,31.660,31.660,7408131.0,233400
2024-1-4,10:40,31.680,31.700,31.600,31.620,5441669.0,172000
2024-1-4,10:45,31.620,31.700,31.610,31.630,2706292.0,85500
2024-1-4,10:50,31.650,31.720,31.630,31.660,1789992.0,56500
2024-1-4,10:55,31.660,31.680,31.500,31.520,4250918.0,134600
2024-1-4,11:00,31.520,31.540,31.390,31.400,9410214.0,299000
2024-1-4,11:05,31.400,31.480,31.360,31.480,5591923.0,178100
2024-1-4,11:10,31.500,31.550,31.420,31.450,2197436.0,69800
2024-1-4,11:15,31.450,31.490,31.450,31.480,1595604.0,50700
2024-1-4,11:20,31.480,31.540,31.470,31.510,1609499.0,51100
2024-1-4,11:25,31.510,31.560,31.400,31.400,1986283.0,63100
2024-1-4,11:30,31.400,31.500,31.320,31.500,2007601.0,63900
2024-1-4,13:05,31.500,31.540,31.470,31.520,840988.0,26700
2024-1-4,13:10,31.530,31.560,31.470,31.470,992629.0,31500
2024-1-4,13:15,31.470,31.550,31.460,31.500,1178041.0,37400
2024-1-4,13:20,31.500,31.540,31.490,31.540,1868252.0,59300
2024-1-4,13:25,31.560,31.570,31.500,31.510,968373.0,30700
2024-1-4,13:30,31.500,31.500,31.470,31.470,1130205.0,35900
2024-1-4,13:35,31.470,31.470,31.380,31.410,2003462.0,63800
2024-1-4,13:40,31.420,31.420,31.380,31.380,1306062.0,41600
2024-1-4,13:45,31.390,31.450,31.380,31.410,1881167.0,59900
2024-1-4,13:50,31.410,31.410,31.360,31.380,894277.0,28500
2024-1-4,13:55,31.370,31.420,31.360,31.390,1060796.0,33800
2024-1-4,14:00,31.390,31.400,31.350,31.390,1019634.0,32500
2024-1-4,14:05,31.380,31.390,31.350,31.380,1286034.0,41000
2024-1-4,14:10,31.390,31.510,31.370,31.510,1450656.0,46100
2024-1-4,14:15,31.520,31.550,31.470,31.480,1424312.0,45200
2024-1-4,14:20,31.460,31.480,31.430,31.470,937337.0,29800
2024-1-4,14:25,31.470,31.490,31.460,31.480,456407.0,14500
2024-1-4,14:30,31.480,31.490,31.450,31.460,1076136.0,34200
2024-1-4,14:35,31.460,31.460,31.400,31.450,1228690.0,39100
2024-1-4,14:40,31.430,31.520,31.430,31.500,2833219.0,90000
2024-1-4,14:45,31.500,31.500,31.390,31.450,3152802.0,100300
2024-1-4,14:50,31.410,31.590,31.410,31.520,4612448.0,146400
2024-1-4,14:55,31.590,31.680,31.520,31.560,5323784.0,168500
2024-1-4,15:00,31.550,31.700,31.540,31.580,4408975.0,139400
2024-1-5,09:35,31.520,31.520,31.200,31.410,5719256.0,182200
2024-1-5,09:40,31.420,31.680,31.400,31.630,3079518.0,97500
2024-1-5,09:45,31.620,31.670,31.440,31.500,3274332.0,103700
2024-1-5,09:50,31.500,31.580,31.450,31.490,1985072.0,63000
2024-1-5,09:55,31.500,31.530,31.350,31.350,2193679.0,69800
2024-1-5,10:00,31.350,31.360,31.310,31.330,2993216.0,95500
2024-1-5,10:05,31.320,31.350,31.200,31.290,3427310.0,109600
2024-1-5,10:10,31.290,31.540,31.280,31.360,2472486.0,78800
2024-1-5,10:15,31.380,31.580,31.350,31.480,2947088.0,93600
2024-1-5,10:20,31.410,31.480,31.380,31.430,1590352.0,50600
2024-1-5,10:25,31.450,31.520,31.400,31.520,1642780.0,52200
2024-1-5,10:30,31.520,31.580,31.480,31.570,2587260.0,82000
2024-1-5,10:35,31.570,31.590,31.460,31.460,693506.0,22000
2024-1-5,10:40,31.460,31.580,31.440,31.550,1914040.0,60700
2024-1-5,10:45,31.550,31.580,31.480,31.500,1315257.0,41700
2024-1-5,10:50,31.480,31.560,31.470,31.480,821732.0,26100
2024-1-5,10:55,31.500,31.560,31.480,31.520,939250.0,29800
2024-1-5,11:00,31.510,31.570,31.470,31.470,848197.0,26900
2024-1-5,11:05,31.470,31.500,31.430,31.430,830611.0,26400
2024-1-5,11:10,31.430,31.450,31.400,31.430,581327.0,18500
2024-1-5,11:15,31.440,31.440,31.340,31.370,1151572.0,36700
2024-1-5,11:20,31.370,31.420,31.360,31.360,351629.0,11200
2024-1-5,11:25,31.360,31.420,31.340,31.360,671610.0,21400
2024-1-5,11:30,31.360,31.380,31.300,31.300,1315176.0,42000
2024-1-5,13:05,31.300,31.300,31.260,31.270,813183.0,26000
2024-1-5,13:10,31.260,31.280,31.210,31.240,1825725.0,58500
2024-1-5,13:15,31.240,31.240,31.170,31.180,1347635.0,43200
2024-1-5,13:20,31.180,31.230,31.150,31.180,1072883.0,34400
2024-1-5,13:25,31.170,31.170,31.080,31.090,3329978.0,107000
2024-1-5,13:30,31.060,31.120,31.060,31.110,3456659.0,111200
2024-1-5,13:35,31.110,31.200,31.100,31.140,4375473.0,140500
2024-1-5,13:40,31.160,31.220,31.070,31.080,2679429.0,86000
2024-1-5,13:45,31.080,31.080,31.040,31.040,1385446.0,44600
2024-1-5,13:50,31.040,31.040,30.990,31.020,3658943.0,118000
2024-1-5,13:55,31.010,31.030,30.970,30.990,2163746.0,69800
2024-1-5,14:00,31.000,31.030,30.950,31.000,3866045.0,124800
2024-1-5,14:05,31.020,31.090,31.010,31.050,1730196.0,55700
2024-1-5,14:10,31.050,31.140,31.000,31.070,2010279.0,64700
2024-1-5,14:15,31.060,31.070,31.000,31.000,1328121.0,42800
2024-1-5,14:20,31.000,31.010,30.950,30.970,3519564.0,113600
2024-1-5,14:25,30.980,30.980,30.800,30.860,13232015.0,428800
2024-1-5,14:30,30.810,30.850,30.670,30.730,4647063.0,150900
2024-1-5,14:35,30.710,30.760,30.650,30.650,4835816.0,157500
2024-1-5,14:40,30.640,30.800,30.640,30.700,6004990.0,195600
2024-1-5,14:45,30.700,30.800,30.650,30.700,5542228.0,180500
2024-1-5,14:50,30.690,30.800,30.680,30.700,12084368.0,393300
2024-1-5,14:55,30.710,30.970,30.690,30.850,7542764.0,245300
2024-1-5,15:00,30.840,30.970,30.820,30.850,2093446.0,67800
2024-1-8,09:35,30.900,31.030,30.650,30.780,4958786.0,160800
2024-1-8,09:40,30.710,30.800,30.600,30.650,4210566.0,137100
2024-1-8,09:45,30.660,30.780,30.550,30.570,4530036.0,147800
2024-1-8,09:50,30.660,30.770,30.630,30.680,2924729.0,95300
2024-1-8,09:55,30.670,30.730,30.550,30.580,2476331.0,80900
2024-1-8,10:00,30.580,30.610,30.480,30.510,3396093.0,111200
2024-1-8,10:05,30.500,30.640,30.500,30.620,2803922.0,91700
2024-1-8,10:10,30.610,30.650,30.540,30.610,1837971.0,60100
2024-1-8,10:15,30.600,30.600,30.450,30.520,2864054.0,93900
2024-1-8,10:20,30.530,30.550,30.470,30.550,2258319.0,74000
2024-1-8,10:25,30.550,30.560,30.460,30.460,1272406.0,41700
2024-1-8,10:30,30.460,30.460,30.400,30.440,2045426.0,67200
2024-1-8,10:35,30.440,30.570,30.430,30.500,3712948.0,121700
2024-1-8,10:40,30.510,30.530,30.400,30.450,1658225.0,54400
2024-1-8,10:45,30.450,30.450,30.400,30.410,1885954.0,62000
2024-1-8,10:50,30.410,30.440,30.370,30.440,3629572.0,119400
2024-1-8,10:55,30.430,30.440,30.370,30.400,3435229.0,113000
2024-1-8,11:00,30.400,30.470,30.390,30.390,1974718.0,64900
2024-1-8,11:05,30.380,30.450,30.380,30.430,1557241.0,51200
2024-1-8,11:10,30.430,30.440,30.380,30.400,1620808.0,53300
2024-1-8,11:15,30.390,30.440,30.370,30.390,1340439.0,44100
2024-1-8,11:20,30.370,30.450,30.340,30.360,2353477.0,77400
2024-1-8,11:25,30.370,30.400,30.330,30.330,1135732.0,37400
2024-1-8,11:30,30.320,30.380,30.310,30.380,1501672.0,49500
2024-1-8,13:05,30.330,30.430,30.330,30.430,2448199.0,80600
2024-1-8,13:10,30.410,30.450,30.310,30.340,1816622.0,59800
2024-1-8,13:15,30.340,30.360,30.320,30.320,1799118.0,59300
2024-1-8,13:20,30.310,30.350,30.300,30.350,3705050.0,122200
2024-1-8,13:25,30.360,30.360,30.310,30.310,1492365.0,49200
2024-1-8,13:30,30.330,30.340,30.280,30.320,2031052.0,67000
2024-1-8,13:35,30.320,30.340,30.210,30.250,2593644.0,85600
2024-1-8,13:40,30.230,30.300,30.230,30.280,1225996.0,40500
2024-1-8,13:45,30.270,30.300,30.250,30.250,1510698.0,49900
2024-1-8,13:50,30.280,30.280,30.240,30.260,2247818.0,74300
2024-1-8,13:55,30.250,30.290,30.200,30.280,3216766.0,106400
2024-1-8,14:00,30.290,30.360,30.250,30.300,3079290.0,101600
2024-1-8,14:05,30.300,30.350,30.230,30.350,2870035.0,94800
2024-1-8,14:10,30.350,30.500,30.340,30.400,3678808.0,120900
2024-1-8,14:15,30.350,30.390,30.240,30.320,2785421.0,91900
2024-1-8,14:20,30.320,30.350,30.200,30.260,3903329.0,128900
2024-1-8,14:25,30.250,30.350,30.230,30.310,3241608.0,107000
2024-1-8,14:30,30.310,30.400,30.310,30.320,2015853.0,66400
2024-1-8,14:35,30.330,30.350,30.250,30.270,2054328.0,67800
2024-1-8,14:40,30.260,30.330,30.220,30.240,1993773.0,65900
2024-1-8,14:45,30.240,30.290,30.230,30.230,2251154.0,74400
2024-1-8,14:50,30.250,30.290,30.230,30.240,2187575.0,72300
2024-1-8,14:55,30.250,30.270,30.180,30.190,2868502.0,94900
2024-1-8,15:00,30.190,30.260,30.170,30.260,3815327.0,126300
2024-1-9,09:35,30.280,30.680,30.280,30.600,5396411.0,176700
2024-1-9,09:40,30.540,30.590,30.400,30.580,3765523.0,123500
2024-1-9,09:45,30.580,30.900,30.530,30.670,8516094.0,277100
2024-1-9,09:50,30.680,30.880,30.670,30.860,4722215.0,153300
2024-1-9,09:55,30.820,30.860,30.730,30.730,5950271.0,193300
2024-1-9,10:00,30.740,30.790,30.660,30.790,4850310.0,158000
2024-1-9,10:05,30.780,30.860,30.780,30.840,3144560.0,102000
2024-1-9,10:10,30.850,30.900,30.740,30.760,3961806.0,128400
2024-1-9,10:15,30.760,30.820,30.720,30.780,1999793.0,65000
2024-1-9,10:20,30.810,30.900,30.770,30.900,1977135.0,64100
2024-1-9,10:25,30.880,30.920,30.840,30.880,1590101.0,51500
2024-1-9,10:30,30.900,30.940,30.770,30.780,2156987.0,69900
2024-1-9,10:35,30.770,30.790,30.710,30.790,1555753.0,50600
2024-1-9,10:40,30.790,30.820,30.620,30.660,2360675.0,76900
2024-1-9,10:45,30.660,30.680,30.580,30.590,1282634.0,41900
2024-1-9,10:50,30.570,30.640,30.550,30.560,2121194.0,69400
2024-1-9,10:55,30.560,30.580,30.460,30.490,1519880.0,49800
2024-1-9,11:00,30.490,30.490,30.400,30.400,1980856.0,65100
2024-1-9,11:05,30.390,30.390,30.310,30.310,1065805.0,35100
2024-1-9,11:10,30.310,30.360,30.280,30.360,2494418.0,82300
2024-1-9,11:15,30.330,30.400,30.300,30.310,1116577.0,36800
2024-1-9,11:20,30.310,30.350,30.310,30.350,961282.0,31700
2024-1-9,11:25,30.340,30.350,30.270,30.270,1145682.0,37800
2024-1-9,11:30,30.270,30.290,30.220,30.270,1146629.0,37900
2024-1-9,13:05,30.270,30.350,30.220,30.270,934979.0,30900
2024-1-9,13:10,30.270,30.310,30.160,30.210,2001043.0,66200
2024-1-9,13:15,30.250,30.330,30.200,30.220,1323341.0,43700
2024-1-9,13:20,30.210,30.220,30.100,30.130,1327823.0,44000
2024-1-9,13:25,30.130,30.130,30.000,30.050,2569933.0,85500
2024-1-9,13:30,30.050,30.080,29.960,29.960,2409275.0,80300
2024-1-9,13:35,29.960,30.090,29.960,30.090,1823860.0,60700
2024-1-9,13:40,30.090,30.160,30.080,30.090,1388412.0,46100
2024-1-9,13:45,30.080,30.190,30.080,30.080,518330.0,17200
2024-1-9,13:50,30.090,30.120,30.020,30.060,1034413.0,34400
2024-1-9,13:55,30.030,30.100,30.010,30.030,1045151.0,34800
2024-1-9,14:00,30.020,30.080,29.990,30.000,696901.0,23200
2024-1-9,14:05,30.020,30.080,29.970,29.970,1383874.0,46100
2024-1-9,14:10,30.000,30.180,29.980,30.160,1848805.0,61500
2024-1-9,14:15,30.180,30.280,30.090,30.100,2606030.0,86300
2024-1-9,14:20,30.100,30.280,30.100,30.260,1752067.0,58000
2024-1-9,14:25,30.280,30.300,30.230,30.270,1344501.0,44400
2024-1-9,14:30,30.260,30.300,30.210,30.260,1040302.0,34400
2024-1-9,14:35,30.250,30.330,30.250,30.300,942023.0,31100
2024-1-9,14:40,30.310,30.310,30.200,30.240,1752404.0,57900
2024-1-9,14:45,30.230,30.230,30.160,30.200,1410308.0,46700
2024-1-9,14:50,30.200,30.200,30.170,30.170,1593715.0,52800
2024-1-9,14:55,30.170,30.250,30.170,30.220,2002000.0,66300
2024-1-9,15:00,30.220,30.240,30.180,30.220,1341612.0,44400
2024-1-10,09:35,30.030,30.090,29.740,29.790,7309264.0,244200
2024-1-10,09:40,29.790,29.840,29.600,29.610,4284665.0,144200
2024-1-10,09:45,29.600,29.780,29.600,29.640,4408880.0,148500
2024-1-10,09:50,29.630,29.820,29.630,29.750,3181232.0,107000
2024-1-10,09:55,29.750,29.820,29.620,29.670,3546445.0,119400
