日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-1-2,09:35,32.180,32.300,31.550,31.700,15153634.0,475700
2024-1-2,09:40,31.690,31.900,31.690,31.740,4178804.0,131500
2024-1-2,09:45,31.740,31.770,31.620,31.740,3894836.0,122900
2024-1-2,09:50,31.700,31.700,31.530,31.650,3809687.0,120500
2024-1-2,09:55,31.660,31.700,31.400,31.420,3508609.0,111200
2024-1-2,10:00,31.450,31.620,31.420,31.560,2299413.0,73000
2024-1-2,10:05,31.570,31.620,31.500,31.510,1911803.0,60600
2024-1-2,10:10,31.520,31.660,31.470,31.580,1946134.5,61700
2024-1-2,10:15,31.560,31.600,31.500,31.570,1517390.0,48100
2024-1-2,10:20,31.550,31.820,31.530,31.780,3618589.0,114200
2024-1-2,10:25,31.800,31.900,31.730,31.870,2546912.0,80000
2024-1-2,10:30,31.860,31.860,31.770,31.800,820763.0,25800
2024-1-2,10:35,31.790,31.940,31.750,31.900,1439488.0,45200
2024-1-2,10:40,31.900,31.970,31.820,31.850,2553500.0,80000
2024-1-2,10:45,31.810,31.850,31.800,31.830,808434.0,25400
2024-1-2,10:50,31.830,31.940,31.830,31.920,1151002.0,36100
2024-1-2,10:55,31.910,31.950,31.810,31.950,1668253.0,52300
2024-1-2,11:00,31.940,32.010,31.910,32.010,1687591.0,52800
2024-1-2,11:05,32.010,32.060,31.960,32.060,2279587.0,71200
2024-1-2,11:10,32.060,32.120,32.030,32.120,1122259.0,35000
2024-1-2,11:15,32.110,32.110,32.020,32.090,1404676.0,43800
2024-1-2,11:20,32.080,32.130,32.040,32.070,2293998.0,71500
2024-1-2,11:25,32.080,32.100,32.010,32.060,1625649.0,50700
2024-1-2,11:30,32.040,32.090,32.000,32.050,1082678.0,33800
2024-1-2,13:05,32.020,32.080,31.840,31.960,4910526.0,153600
2024-1-2,13:10,31.960,31.980,31.890,31.930,2441950.0,76500
2024-1-2,13:15,31.930,31.930,31.810,31.880,1473088.0,46200
2024-1-2,13:20,31.880,31.960,31.820,31.890,1740741.0,54600
2024-1-2,13:25,31.890,31.960,31.830,31.920,2392091.0,75000
2024-1-2,13:30,31.920,32.200,31.920,32.200,4280581.0,133600
2024-1-2,13:35,32.190,32.200,32.000,32.170,5426519.0,168900
2024-1-2,13:40,32.170,32.190,32.140,32.190,1608524.0,50000
2024-1-2,13:45,32.200,32.280,32.170,32.190,2142543.0,66500
2024-1-2,13:50,32.180,32.270,32.150,32.150,2812403.0,87300
2024-1-2,13:55,32.130,32.200,32.130,32.170,1289883.0,40100
2024-1-2,14:00,32.170,32.220,32.160,32.200,2346622.0,72900
2024-1-2,14:05,32.220,32.270,32.160,32.190,1582231.0,49100
2024-1-2,14:10,32.230,32.300,32.210,32.300,1760877.0,54600
2024-1-2,14:15,32.300,32.380,32.280,32.330,2362802.75,73100
2024-1-2,14:20,32.320,32.320,32.160,32.170,2284760.0,70800
2024-1-2,14:25,32.170,32.220,32.160,32.220,907847.0,28200
2024-1-2,14:30,32.210,32.220,31.960,32.000,3641741.0,113600
2024-1-2,14:35,32.020,32.130,31.940,31.940,2898486.0,90500
2024-1-2,14:40,31.940,31.970,31.830,31.830,3080707.0,96600
2024-1-2,14:45,31.830,31.890,31.780,31.810,3058747.0,96100
2024-1-2,14:50,31.810,31.990,31.810,31.880,2345172.0,73500
2024-1-2,14:55,31.930,31.960,31.880,31.900,1253866.5,39200
2024-1-2,15:00,31.830,31.980,31.830,31.950,957866.875,30000
2024-1-3,09:35,31.820,31.830,31.200,31.400,8764350.0,279500
2024-1-3,09:40,31.410,31.500,31.300,31.320,3286558.0,104700
2024-1-3,09:45,31.320,31.680,31.320,31.460,5181976.0,164200
