日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-1-2,09:35,12.850,12.860,12.730,12.860,26745080.0,2090400
2024-1-2,09:40,12.850,12.870,12.760,12.780,9200242.0,718300
2024-1-2,09:45,12.780,12.860,12.770,12.860,13196796.0,1029300
2024-1-2,09:50,12.860,12.880,12.810,12.810,8012991.0,623500
2024-1-2,09:55,12.810,12.860,12.780,12.830,10716568.0,835800
2024-1-2,10:00,12.830,12.840,12.810,12.830,7703087.0,600800
2024-1-2,10:05,12.840,12.880,12.830,12.850,8748606.0,680600
2024-1-2,10:10,12.850,12.930,12.840,12.880,11611528.0,901100
2024-1-2,10:15,12.880,12.880,12.820,12.820,9947715.0,774200
2024-1-2,10:20,12.820,12.860,12.820,12.820,6641325.5,517600
2024-1-2,10:25,12.840,12.880,12.820,12.880,5137782.0,399500
2024-1-2,10:30,12.870,12.910,12.860,12.880,5509282.0,427500
2024-1-2,10:35,12.890,12.910,12.860,12.860,9133807.0,708700
2024-1-2,10:40,12.880,12.880,12.860,12.880,3680941.0,286000
2024-1-2,10:45,12.890,12.890,12.850,12.860,7348731.0,571100
2024-1-2,10:50,12.870,12.880,12.840,12.850,8971215.0,697800
2024-1-2,10:55,12.850,12.870,12.830,12.850,6299718.0,490300
2024-1-2,11:00,12.850,12.860,12.840,12.850,6092645.0,474200
2024-1-2,11:05,12.860,12.860,12.840,12.840,3063733.0,238400
2024-1-2,11:10,12.850,12.880,12.820,12.870,6656442.0,517900
2024-1-2,11:15,12.870,12.880,12.850,12.850,3330523.0,259000
2024-1-2,11:20,12.850,12.860,12.850,12.850,5424855.0,422100
2024-1-2,11:25,12.850,12.870,12.850,12.850,3295204.5,256300
2024-1-2,11:30,12.860,12.870,12.840,12.860,3244039.5,252400
2024-1-2,13:05,12.850,12.860,12.840,12.850,5999946.0,467000
2024-1-2,13:10,12.850,12.850,12.840,12.850,5305175.5,412900
2024-1-2,13:15,12.850,12.860,12.830,12.840,6537088.5,509000
2024-1-2,13:20,12.830,12.850,12.830,12.850,7301606.0,568800
2024-1-2,13:25,12.840,12.860,12.830,12.830,4496599.0,350000
2024-1-2,13:30,12.830,12.850,12.820,12.850,4447219.0,346500
2024-1-2,13:35,12.850,12.850,12.820,12.850,5781455.0,450300
2024-1-2,13:40,12.850,12.860,12.830,12.850,8560363.0,666100
2024-1-2,13:45,12.870,12.880,12.850,12.860,8207789.0,638200
2024-1-2,13:50,12.870,12.870,12.840,12.840,5179475.5,403100
2024-1-2,13:55,12.840,12.850,12.820,12.840,6164369.0,480300
2024-1-2,14:00,12.840,12.850,12.820,12.830,8108826.0,632300
2024-1-2,14:05,12.850,12.860,12.820,12.850,8386578.0,652900
2024-1-2,14:10,12.820,12.860,12.800,12.850,11108938.0,866100
2024-1-2,14:15,12.850,12.860,12.820,12.830,5903822.0,459900
2024-1-2,14:20,12.830,12.840,12.790,12.790,11182758.0,872900
2024-1-2,14:25,12.800,12.800,12.750,12.760,13894727.0,1087300
2024-1-2,14:30,12.760,12.770,12.730,12.730,12556432.0,984700
2024-1-2,14:35,12.730,12.770,12.730,12.760,11135196.0,873100
2024-1-2,14:40,12.750,12.790,12.750,12.780,7929174.0,621000
2024-1-2,14:45,12.780,12.790,12.760,12.760,6433254.0,503600
2024-1-2,14:50,12.770,12.770,12.740,12.760,12000907.0,940600
2024-1-2,14:55,12.760,12.770,12.730,12.770,13197656.0,1035300
2024-1-2,15:00,12.770,12.770,12.700,12.750,15293038.0,1200400
2024-1-3,09:35,12.700,12.700,12.580,12.620,15753075.0,1247700
2024-1-3,09:40,12.620,12.650,12.560,12.560,14300852.0,1135100
2024-1-3,09:45,12.570,12.590,12.550,12.580,14614215.0,1162800
2024-1-3,09:50,12.570,12.630,12.560,12.560,10963128.0,870600
2024-1-3,09:55,12.580,12.600,12.570,12.580,8416236.0,668600
2024-1-3,10:00,12.570,12.590,12.540,12.570,16883212.0,1344400
2024-1-3,10:05,12.590,12.610,12.560,12.610,15032080.0,1195600
2024-1-3,10:10,12.610,12.610,12.560,12.590,6183342.0,491300
2024-1-3,10:15,12.590,12.590,12.520,12.530,11107686.0,885000
2024-1-3,10:20,12.560,12.570,12.500,12.550,16396689.0,1308800
2024-1-3,10:25,12.560,12.570,12.490,12.500,11801016.0,942100
2024-1-3,10:30,12.520,12.580,12.490,12.580,10752484.0,858200
2024-1-3,10:35,12.580,12.590,12.550,12.570,4761188.5,378600
2024-1-3,10:40,12.570,12.570,12.520,12.560,6022816.0,480300
2024-1-3,10:45,12.560,12.580,12.540,12.540,5909372.0,470500
2024-1-3,10:50,12.570,12.570,12.530,12.560,3951605.5,314800
2024-1-3,10:55,12.560,12.570,12.530,12.550,5411098.0,431100
2024-1-3,11:00,12.570,12.570,12.530,12.540,3105128.0,247400
2024-1-3,11:05,12.540,12.560,12.520,12.520,3077996.0,245500
2024-1-3,11:10,12.520,12.540,12.500,12.500,4153307.0,331800
2024-1-3,11:15,12.520,12.550,12.500,12.500,5774951.0,461400
2024-1-3,11:20,12.510,12.560,12.490,12.510,8475664.0,677300
2024-1-3,11:25,12.490,12.570,12.460,12.550,19709594.0,1574300
2024-1-3,11:30,12.560,12.580,12.510,12.520,3377736.0,269400
2024-1-3,13:05,12.510,12.510,12.480,12.490,2943814.0,235600
2024-1-3,13:10,12.490,12.490,12.450,12.470,7754038.0,621900
2024-1-3,13:15,12.470,12.510,12.470,12.490,2858504.0,228800
2024-1-3,13:20,12.490,12.490,12.460,12.470,3282476.0,263200
2024-1-3,13:25,12.470,12.480,12.450,12.460,3023306.0,242600
2024-1-3,13:30,12.450,12.480,12.440,12.470,5954965.0,478200
2024-1-3,13:35,12.470,12.500,12.440,12.480,7746330.0,621400
2024-1-3,13:40,12.500,12.550,12.480,12.510,5196207.0,415000
2024-1-3,13:45,12.510,12.510,12.470,12.480,4824825.0,386200
2024-1-3,13:50,12.480,12.490,12.470,12.490,2169607.0,173800
2024-1-3,13:55,12.480,12.490,12.470,12.470,1712097.0,137200
2024-1-3,14:00,12.470,12.490,12.470,12.480,3654314.0,292900
2024-1-3,14:05,12.480,12.480,12.460,12.480,3732491.0,299300
2024-1-3,14:10,12.470,12.490,12.470,12.490,7103103.0,569300
2024-1-3,14:15,12.490,12.510,12.480,12.500,3367607.0,269500
2024-1-3,14:20,12.500,12.510,12.490,12.510,1196126.0,95700
2024-1-3,14:25,12.510,12.520,12.500,12.500,2549984.0,203800
2024-1-3,14:30,12.510,12.540,12.510,12.520,5510350.0,440000
2024-1-3,14:35,12.530,12.530,12.500,12.500,3061329.0,244600
2024-1-3,14:40,12.510,12.510,12.490,12.490,3365228.0,269300
2024-1-3,14:45,12.500,12.500,12.490,12.490,4640681.0,371400
2024-1-3,14:50,12.500,12.520,12.490,12.500,6562477.0,524900
2024-1-3,14:55,12.510,12.520,12.500,12.510,3967116.0,317200
2024-1-3,15:00,12.510,12.520,12.500,12.500,4243038.0,339300
2024-1-4,09:35,12.530,12.540,12.410,12.460,10714236.0,860700
2024-1-4,09:40,12.440,12.470,12.410,12.430,5702952.0,458300
2024-1-4,09:45,12.450,12.450,12.380,12.430,9276615.0,747200
2024-1-4,09:50,12.430,12.450,12.380,12.400,6671964.0,537300
2024-1-4,09:55,12.400,12.410,12.370,12.400,7788928.0,628600
2024-1-4,10:00,12.390,12.400,12.320,12.380,12356989.0,999500
2024-1-4,10:05,12.390,12.410,12.350,12.370,4322807.0,349000
2024-1-4,10:10,12.370,12.400,12.360,12.370,4931761.0,398300
2024-1-4,10:15,12.370,12.370,12.330,12.330,8155171.0,660600
2024-1-4,10:20,12.330,12.360,12.300,12.340,17116564.0,1388000
2024-1-4,10:25,12.340,12.340,12.280,12.290,17165052.0,1395500
2024-1-4,10:30,12.280,12.280,12.240,12.260,18875820.0,1539400
2024-1-4,10:35,12.260,12.280,12.240,12.250,6205055.0,506100
2024-1-4,10:40,12.250,12.260,12.230,12.250,6517037.0,532200
2024-1-4,10:45,12.250,12.250,12.220,12.220,3529685.0,288500
2024-1-4,10:50,12.230,12.230,12.210,12.210,7458017.0,610400
2024-1-4,10:55,12.210,12.220,12.180,12.200,5758898.0,472100
2024-1-4,11:00,12.190,12.230,12.170,12.210,8815964.0,723000
2024-1-4,11:05,12.210,12.250,12.180,12.250,6714878.0,549500
2024-1-4,11:10,12.250,12.290,12.230,12.290,7687982.0,627000
2024-1-4,11:15,12.280,12.300,12.260,12.300,3992538.0,325000
2024-1-4,11:20,12.290,12.310,12.280,12.310,4999581.0,406500
2024-1-4,11:25,12.300,12.310,12.270,12.300,4148086.0,337200
2024-1-4,11:30,12.300,12.330,12.270,12.300,4850436.5,394100
2024-1-4,13:05,12.310,12.310,12.250,12.270,2499567.0,203500
2024-1-4,13:10,12.270,12.270,12.230,12.230,2191545.0,178900
2024-1-4,13:15,12.230,12.240,12.190,12.210,7701804.0,631100
2024-1-4,13:20,12.200,12.220,12.190,12.220,3924085.0,321500
2024-1-4,13:25,12.220,12.250,12.220,12.230,3592109.0,293600
2024-1-4,13:30,12.240,12.240,12.220,12.220,911196.0,74500
2024-1-4,13:35,12.230,12.230,12.190,12.190,4574780.0,374900
2024-1-4,13:40,12.190,12.200,12.170,12.180,7033673.0,577500
2024-1-4,13:45,12.170,12.230,12.170,12.230,6529010.0,535400
2024-1-4,13:50,12.230,12.230,12.190,12.190,3144205.0,257600
2024-1-4,13:55,12.200,12.200,12.160,12.160,7635625.0,626900
2024-1-4,14:00,12.160,12.190,12.140,12.150,7057279.0,580100
2024-1-4,14:05,12.150,12.160,12.120,12.140,7900606.0,650900
2024-1-4,14:10,12.130,12.210,12.130,12.210,7989868.0,656100
2024-1-4,14:15,12.210,12.220,12.180,12.210,6282741.0,514900
2024-1-4,14:20,12.210,12.230,12.170,12.220,4670116.0,382900
2024-1-4,14:25,12.230,12.270,12.200,12.230,6610213.0,540600
2024-1-4,14:30,12.250,12.250,12.200,12.240,6382490.0,521900
2024-1-4,14:35,12.240,12.270,12.210,12.270,6373335.0,520400
2024-1-4,14:40,12.260,12.290,12.250,12.280,7003376.0,570600
2024-1-4,14:45,12.280,12.280,12.240,12.260,6117051.0,498900
2024-1-4,14:50,12.270,12.280,12.240,12.240,2917067.0,238000
2024-1-4,14:55,12.250,12.260,12.240,12.250,3857406.0,314800
2024-1-4,15:00,12.250,12.270,12.240,12.260,4818809.0,393100
2024-1-5,09:35,12.250,12.250,12.100,12.150,13796618.0,1136700
2024-1-5,09:40,12.160,12.310,12.160,12.290,10041656.0,820000
2024-1-5,09:45,12.300,12.310,12.260,12.300,6737239.0,548200
2024-1-5,09:50,12.300,12.330,12.250,12.280,6337865.5,515600
2024-1-5,09:55,12.280,12.310,12.270,12.300,3939766.0,320400
2024-1-5,10:00,12.300,12.310,12.270,12.310,4994508.0,406200
2024-1-5,10:05,12.310,12.310,12.280,12.280,3751252.0,305200
2024-1-5,10:10,12.290,12.290,12.250,12.250,3687942.0,300500
2024-1-5,10:15,12.250,12.260,12.210,12.220,5990596.0,489600
2024-1-5,10:20,12.210,12.220,12.160,12.170,14389450.0,1180000
2024-1-5,10:25,12.170,12.190,12.150,12.190,5157996.0,423800
