日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-1-2,09:35,51.010,51.770,50.520,51.130,12451739.0,243800
2024-1-2,09:40,51.110,51.880,51.030,51.690,11871126.0,230700
2024-1-2,09:45,51.740,52.490,51.680,52.120,24977252.0,479800
2024-1-2,09:50,52.050,52.580,51.950,52.540,18159868.0,347600
2024-1-2,09:55,52.600,52.800,52.160,52.600,20700436.0,393800
2024-1-2,10:00,52.590,52.590,52.010,52.030,12409965.0,237600
2024-1-2,10:05,52.030,52.450,51.830,51.920,5670799.0,108800
2024-1-2,10:10,51.930,52.340,51.920,52.160,4700689.0,90000
2024-1-2,10:15,52.140,52.150,51.870,52.070,3286567.0,63200
2024-1-2,10:20,52.110,52.690,51.930,52.580,8829251.0,168300
2024-1-2,10:25,52.650,52.780,52.260,52.430,8989700.0,170900
2024-1-2,10:30,52.470,52.470,52.080,52.410,2402466.0,46000
2024-1-2,10:35,52.400,52.400,52.100,52.150,2011157.0,38600
2024-1-2,10:40,52.110,52.210,51.680,51.680,4875566.0,93800
2024-1-2,10:45,51.610,51.780,51.610,51.680,1721231.0,33300
2024-1-2,10:50,51.700,51.710,51.610,51.610,2039293.0,39400
2024-1-2,10:55,51.610,51.720,51.480,51.720,3429005.0,66600
2024-1-2,11:00,51.700,51.850,51.610,51.710,1977948.0,38200
2024-1-2,11:05,51.650,51.900,51.630,51.900,1460353.0,28200
2024-1-2,11:10,51.900,52.240,51.900,52.050,2883596.0,55400
2024-1-2,11:15,52.090,52.150,51.990,52.100,1806418.0,34700
2024-1-2,11:20,52.130,52.250,52.130,52.230,2052615.0,39300
2024-1-2,11:25,52.220,52.500,52.200,52.410,5455306.0,104200
2024-1-2,11:30,52.410,52.450,52.170,52.420,1857443.0,35400
2024-1-2,13:05,52.420,52.420,51.870,51.970,1639721.0,31500
2024-1-2,13:10,52.010,52.140,52.000,52.070,1177101.0,22600
2024-1-2,13:15,52.070,52.070,51.760,51.850,1661751.0,32000
2024-1-2,13:20,51.890,51.890,51.590,51.650,1722343.0,33300
2024-1-2,13:25,51.700,51.760,51.560,51.700,1504837.0,29100
2024-1-2,13:30,51.630,51.630,51.350,51.590,3244059.0,63100
2024-1-2,13:35,51.550,51.590,51.420,51.550,1699892.0,32900
2024-1-2,13:40,51.550,52.000,51.520,52.000,3438082.0,66500
2024-1-2,13:45,51.970,51.980,51.800,51.800,2397963.0,46200
2024-1-2,13:50,51.800,51.870,51.650,51.670,1197814.0,23100
2024-1-2,13:55,51.670,51.850,51.520,51.570,1696397.0,32900
2024-1-2,14:00,51.600,51.740,51.570,51.630,1406847.0,27200
2024-1-2,14:05,51.690,51.840,51.520,51.520,1896002.0,36700
2024-1-2,14:10,51.610,51.690,51.450,51.520,2679473.0,51900
2024-1-2,14:15,51.520,51.670,51.450,51.480,1093433.0,21200
2024-1-2,14:20,51.460,51.500,51.300,51.300,1731021.0,33700
2024-1-2,14:25,51.300,51.350,51.090,51.240,2666016.0,52100
2024-1-2,14:30,51.280,51.350,51.100,51.240,2436616.0,47500
2024-1-2,14:35,51.250,51.520,51.240,51.300,3794416.0,73900
2024-1-2,14:40,51.400,51.530,51.220,51.230,4178373.0,81200
2024-1-2,14:45,51.250,51.490,51.190,51.190,3693486.0,72000
2024-1-2,14:50,51.210,51.280,51.060,51.070,3900439.0,76200
2024-1-2,14:55,51.050,51.400,51.030,51.150,4156056.0,81300
2024-1-2,15:00,51.160,51.160,51.070,51.150,2967727.0,58000
2024-1-3,09:35,51.110,51.490,50.130,50.320,14666991.0,289600
2024-1-3,09:40,50.340,50.950,50.300,50.300,8491292.0,167900
2024-1-3,09:45,50.360,50.750,50.010,50.080,11337722.0,225300
2024-1-3,09:50,50.080,50.490,50.080,50.180,5413412.0,107800
2024-1-3,09:55,50.150,50.260,50.000,50.030,5265499.0,105100
2024-1-3,10:00,50.020,50.020,49.500,49.880,13958082.0,280800
2024-1-3,10:05,49.850,49.850,49.620,49.740,6891330.0,138500
2024-1-3,10:10,49.740,49.750,49.520,49.520,3764934.0,75800
2024-1-3,10:15,49.520,49.700,49.470,49.700,3146529.0,63600
2024-1-3,10:20,49.710,49.920,49.620,49.820,2966723.0,59600
2024-1-3,10:25,49.890,49.890,49.710,49.750,1923450.0,38600
2024-1-3,10:30,49.900,49.900,49.720,49.850,1696970.0,34100
2024-1-3,10:35,49.850,50.120,49.830,50.000,2442360.0,48900
2024-1-3,10:40,49.860,49.930,49.700,49.700,1190309.0,23900
2024-1-3,10:45,49.700,49.710,49.550,49.550,1728449.0,34900
2024-1-3,10:50,49.550,49.550,49.400,49.500,3290328.0,66400
2024-1-3,10:55,49.500,49.600,49.230,49.240,3761670.0,76200
2024-1-3,11:00,49.250,49.290,48.890,49.100,5857186.0,119400
2024-1-3,11:05,49.100,49.100,48.940,48.940,2339001.0,47700
2024-1-3,11:10,49.010,49.190,48.920,48.960,4120667.0,84100
2024-1-3,11:15,48.960,49.170,48.890,49.170,5578431.0,113900
2024-1-3,11:20,49.170,49.320,48.900,48.960,3378751.0,68800
2024-1-3,11:25,49.150,49.150,48.840,49.100,5604221.0,114500
2024-1-3,11:30,49.090,49.150,48.560,48.560,10869695.0,222000
2024-1-3,13:05,48.600,48.600,48.010,48.190,19679924.0,407900
2024-1-3,13:10,48.190,48.460,48.040,48.210,8328005.0,172700
2024-1-3,13:15,48.400,48.400,48.000,48.020,7689231.0,159900
2024-1-3,13:20,48.100,48.370,48.020,48.210,6825564.0,141500
