日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-4-1,09:35,38.000,38.270,37.800,37.870,5419285.0,142600
2024-4-1,09:40,37.880,38.130,37.770,37.970,3980402.0,104900
2024-4-1,09:45,37.900,37.920,37.500,37.580,5398283.0,143400
2024-4-1,09:50,37.580,37.870,37.550,37.660,3446159.0,91400
2024-4-1,09:55,37.660,38.190,37.660,38.130,3510990.0,92400
2024-4-1,10:00,38.170,38.170,37.920,38.050,3579908.0,94100
2024-4-1,10:05,38.040,38.110,37.810,37.990,2906061.0,76400
2024-4-1,10:10,38.050,38.080,37.880,37.950,4325676.0,113900
2024-4-1,10:15,37.930,38.070,37.830,37.860,2421576.0,63800
2024-4-1,10:20,37.830,38.090,37.810,38.070,1648794.0,43500
2024-4-1,10:25,38.030,38.150,37.890,37.930,3454590.0,90700
2024-4-1,10:30,37.910,38.110,37.910,38.100,2081160.0,54700
2024-4-1,10:35,38.050,38.100,37.920,38.000,1875822.0,49300
2024-4-1,10:40,38.000,38.190,38.000,38.100,2577804.0,67700
2024-4-1,10:45,38.100,38.170,38.010,38.010,1301207.0,34200
2024-4-1,10:50,38.010,38.070,37.960,38.000,2496657.0,65600
2024-4-1,10:55,38.000,38.110,38.000,38.110,1192431.0,31400
2024-4-1,11:00,38.110,38.430,38.090,38.420,6092973.0,159000
2024-4-1,11:05,38.420,38.550,38.200,38.300,5561391.0,144700
2024-4-1,11:10,38.290,38.340,38.250,38.270,941645.0,24500
2024-4-1,11:15,38.250,38.500,38.210,38.220,2370034.0,61800
2024-4-1,11:20,38.210,38.360,38.100,38.100,2384555.0,62500
2024-4-1,11:25,38.130,38.450,38.130,38.400,1594165.0,41600
2024-4-1,11:30,38.270,38.290,38.190,38.200,593787.0,15500
2024-4-1,13:05,38.240,38.260,38.100,38.110,1887303.0,49400
2024-4-1,13:10,38.130,38.130,37.920,37.970,3736392.0,98200
2024-4-1,13:15,37.960,37.970,37.830,37.850,2710882.0,71500
2024-4-1,13:20,37.850,37.880,37.670,37.690,2591534.0,68700
2024-4-1,13:25,37.700,37.780,37.700,37.780,1108971.0,29300
2024-4-1,13:30,37.780,37.780,37.600,37.650,4610658.0,122400
2024-4-1,13:35,37.660,37.660,37.400,37.500,4590047.0,122200
2024-4-1,13:40,37.500,37.530,37.420,37.460,3202744.0,85500
2024-4-1,13:45,37.470,37.480,37.270,37.270,4412452.0,118100
2024-4-1,13:50,37.270,37.330,37.260,37.300,3073709.0,82500
2024-4-1,13:55,37.300,37.500,37.250,37.500,2478657.0,66400
2024-4-1,14:00,37.410,37.680,37.390,37.390,2843446.0,75900
2024-4-1,14:05,37.390,37.500,37.300,37.380,1890407.0,50600
2024-4-1,14:10,37.370,37.370,37.250,37.260,2370178.0,63500
2024-4-1,14:15,37.260,37.500,37.200,37.260,3491262.0,93600
2024-4-1,14:20,37.260,37.300,37.200,37.270,4809294.0,129100
2024-4-1,14:25,37.270,37.310,37.250,37.290,5332812.0,143100
2024-4-1,14:30,37.290,37.340,37.250,37.260,1530468.0,41100
2024-4-1,14:35,37.240,37.550,37.220,37.550,2504085.0,67000
2024-4-1,14:40,37.560,37.670,37.480,37.510,2242624.0,59600
2024-4-1,14:45,37.510,37.530,37.320,37.530,1450066.0,38800
2024-4-1,14:50,37.580,37.800,37.450,37.640,5506614.0,146300
2024-4-1,14:55,37.650,37.650,37.490,37.540,1202064.0,32000
2024-4-1,15:00,37.510,37.610,37.510,37.610,790827.0,21000
2024-4-2,09:35,37.580,37.580,37.000,37.000,4077392.0,109600
2024-4-2,09:40,37.030,37.080,36.750,36.860,5692608.0,154300
2024-4-2,09:45,36.810,37.200,36.800,37.160,2924639.0,79100
2024-4-2,09:50,37.050,37.320,37.040,37.180,2201259.0,59200
2024-4-2,09:55,37.160,37.230,36.880,36.930,6730513.0,182200
2024-4-2,10:00,36.930,37.000,36.830,36.880,1364557.0,37000
2024-4-2,10:05,36.870,36.870,36.700,36.710,6366711.0,173100
2024-4-2,10:10,36.730,36.760,36.610,36.630,6090146.0,166200
2024-4-2,10:15,36.630,36.630,36.300,36.590,7907965.0,216800
2024-4-2,10:20,36.590,36.700,36.500,36.570,3487619.0,95300
2024-4-2,10:25,36.510,36.840,36.510,36.770,3344034.0,91300
2024-4-2,10:30,36.750,36.750,36.550,36.690,1295882.0,35400
2024-4-2,10:35,36.580,36.770,36.560,36.770,1523179.0,41500
2024-4-2,10:40,36.800,36.810,36.720,36.810,493686.0,13400
2024-4-2,10:45,36.760,36.830,36.540,36.540,3388573.0,92300
2024-4-2,10:50,36.550,36.620,36.510,36.510,702912.0,19200
2024-4-2,10:55,36.520,36.700,36.520,36.670,1733648.0,47400
2024-4-2,11:00,36.620,36.740,36.560,36.670,1494939.0,40800
2024-4-2,11:05,36.700,37.130,36.700,37.070,5442964.0,147300
2024-4-2,11:10,37.090,37.120,36.960,37.050,1028305.0,27700
2024-4-2,11:15,37.050,37.070,37.040,37.050,329360.0,8900
2024-4-2,11:20,37.120,37.140,37.030,37.040,1655571.0,44700
2024-4-2,11:25,37.040,37.100,36.960,37.050,2852363.0,77000
2024-4-2,11:30,37.040,37.170,37.040,37.160,1400970.0,37800
2024-4-2,13:05,37.170,37.170,36.940,37.040,1135294.0,30600
2024-4-2,13:10,37.030,37.130,36.990,37.090,220279.0,5900
2024-4-2,13:15,37.010,37.010,36.960,36.960,154564.0,4200
2024-4-2,13:20,36.960,36.960,36.630,36.710,2018365.0,54700
2024-4-2,13:25,36.700,36.810,36.700,36.750,606356.0,16500
2024-4-2,13:30,36.720,36.850,36.720,36.820,856174.0,23300
2024-4-2,13:35,36.870,36.960,36.800,36.870,751883.0,20400
2024-4-2,13:40,36.860,36.910,36.840,36.890,308722.0,8400
2024-4-2,13:45,36.890,36.960,36.870,36.870,439793.0,11900
2024-4-2,13:50,36.870,36.870,36.720,36.720,915575.0,24900
2024-4-2,13:55,36.710,36.790,36.710,36.710,723536.0,19700
2024-4-2,14:00,36.790,36.910,36.730,36.910,297169.0,8100
2024-4-2,14:05,36.910,36.910,36.800,36.820,302186.0,8200
2024-4-2,14:10,36.800,36.800,36.750,36.760,611660.0,16600
2024-4-2,14:15,36.780,36.810,36.770,36.780,110359.0,3000
2024-4-2,14:20,36.750,36.750,36.600,36.740,2190264.0,59800
2024-4-2,14:25,36.730,36.800,36.710,36.740,433578.0,11800
2024-4-2,14:30,36.710,36.780,36.600,36.780,2453697.0,66900
2024-4-2,14:35,36.780,36.780,36.650,36.660,541733.0,14800
2024-4-2,14:40,36.660,36.670,36.600,36.600,500335.0,13600
2024-4-2,14:45,36.600,36.780,36.590,36.780,850476.0,23300
2024-4-2,14:50,36.780,36.890,36.610,36.880,2554838.0,69300
2024-4-2,14:55,36.860,36.960,36.740,36.850,2038072.0,55300
2024-4-2,15:00,36.850,36.870,36.810,36.820,782544.0,21200
2024-4-3,09:35,36.750,37.100,36.500,36.760,2549734.0,69400
2024-4-3,09:40,36.830,36.990,36.550,36.570,3369494.0,91700
2024-4-3,09:45,36.580,36.620,36.400,36.440,1719358.0,47100
2024-4-3,09:50,36.440,36.630,36.360,36.360,2528538.0,69300
2024-4-3,09:55,36.360,36.360,36.180,36.200,3732019.0,103000
2024-4-3,10:00,36.210,36.210,36.070,36.150,3810511.0,105400
2024-4-3,10:05,36.150,36.460,36.120,36.390,2268441.0,62500
2024-4-3,10:10,36.420,36.570,36.380,36.430,2263476.0,62100
2024-4-3,10:15,36.400,36.560,36.340,36.550,1325303.0,36300
2024-4-3,10:20,36.530,36.590,36.410,36.580,1889924.0,51800
2024-4-3,10:25,36.580,36.770,36.450,36.710,3578790.0,97800
2024-4-3,10:30,36.750,37.000,36.690,36.850,3326094.0,90100
2024-4-3,10:35,36.850,37.060,36.760,36.940,4152550.0,112300
2024-4-3,10:40,37.050,37.050,36.760,36.860,793180.0,21500
2024-4-3,10:45,36.870,36.950,36.700,36.790,774325.0,21100
2024-4-3,10:50,36.730,36.980,36.730,36.760,1176928.0,31900
2024-4-3,10:55,36.760,36.950,36.730,36.860,1546545.0,42000
2024-4-3,11:00,36.940,37.100,36.820,36.830,3796566.0,102600
2024-4-3,11:05,36.840,36.920,36.710,36.880,1314354.0,35700
2024-4-3,11:10,36.880,36.880,36.720,36.780,463405.0,12600
2024-4-3,11:15,36.780,36.780,36.720,36.730,272208.0,7400
2024-4-3,11:20,36.740,36.770,36.740,36.770,158720.0,4300
2024-4-3,11:25,36.770,36.870,36.730,36.730,392946.0,10700
2024-4-3,11:30,36.710,36.730,36.700,36.730,384932.0,10500
2024-4-3,13:05,36.740,36.960,36.730,36.910,753456.0,20400
2024-4-3,13:10,36.850,36.960,36.760,36.820,384299.0,10400
2024-4-3,13:15,36.810,36.810,36.640,36.740,879431.0,24000
2024-4-3,13:20,36.710,36.720,36.630,36.660,519840.0,14200
2024-4-3,13:25,36.680,36.680,36.540,36.550,2028745.0,55400
2024-4-3,13:30,36.540,36.600,36.470,36.600,759233.0,20700
2024-4-3,13:35,36.590,36.650,36.540,36.550,1233052.0,33800
2024-4-3,13:40,36.550,36.550,36.450,36.470,1469813.0,40300
2024-4-3,13:45,36.470,36.550,36.470,36.520,373749.0,10200
2024-4-3,13:50,36.500,36.510,36.460,36.460,992540.0,27200
2024-4-3,13:55,36.480,36.510,36.400,36.490,1843556.0,50600
2024-4-3,14:00,36.490,36.490,36.410,36.430,339866.0,9300
2024-4-3,14:05,36.440,36.590,36.420,36.530,642967.0,17600
2024-4-3,14:10,36.560,36.570,36.470,36.500,402989.0,11100
2024-4-3,14:15,36.500,36.500,36.430,36.480,833494.0,22800
2024-4-3,14:20,36.490,36.560,36.480,36.560,828634.0,22700
2024-4-3,14:25,36.540,36.550,36.480,36.480,696113.0,19100
2024-4-3,14:30,36.480,36.530,36.400,36.420,2624846.0,72000
2024-4-3,14:35,36.460,36.470,36.430,36.430,408334.0,11200
2024-4-3,14:40,36.430,36.540,36.430,36.540,473768.0,13000
2024-4-3,14:45,36.620,36.630,36.560,36.560,987420.0,27000
2024-4-3,14:50,36.580,36.640,36.510,36.600,1213936.0,33200
2024-4-3,14:55,36.610,36.610,36.500,36.550,1192284.0,32600
2024-4-3,15:00,36.550,36.560,36.500,36.550,902838.0,24700
2024-4-8,09:35,36.660,36.820,36.210,36.750,3129460.0,85500
2024-4-8,09:40,36.800,37.070,36.700,36.850,4229041.0,114600
2024-4-8,09:45,36.840,36.840,36.300,36.310,2180408.0,59800
2024-4-8,09:50,36.300,36.330,35.870,35.930,4264598.0,118200
2024-4-8,09:55,36.020,36.400,35.930,36.400,5613578.0,155600
2024-4-8,10:00,36.390,36.590,36.230,36.380,4389932.0,120400
2024-4-8,10:05,36.380,36.610,36.280,36.280,2166828.0,59500
2024-4-8,10:10,36.320,36.400,36.130,36.310,2652874.0,73200
2024-4-8,10:15,36.300,36.320,36.130,36.130,1336671.0,37000
2024-4-8,10:20,36.150,36.200,36.000,36.010,2474044.0,68600
2024-4-8,10:25,36.010,36.160,36.010,36.150,2019049.0,56000
2024-4-8,10:30,36.150,36.540,36.150,36.470,4192500.0,115000
2024-4-8,10:35,36.540,36.640,36.430,36.430,2117400.0,57900
2024-4-8,10:40,36.440,36.520,36.440,36.510,835271.0,22900
2024-4-8,10:45,36.510,36.600,36.450,36.450,966216.0,26500
2024-4-8,10:50,36.470,36.670,36.470,36.510,1626061.0,44400
2024-4-8,10:55,36.510,36.550,36.470,36.470,672469.0,18500
2024-4-8,11:00,36.520,36.560,36.480,36.500,638320.0,17500
2024-4-8,11:05,36.500,36.530,36.470,36.530,983219.0,26900
2024-4-8,11:10,36.540,36.550,36.500,36.550,588306.0,16100
2024-4-8,11:15,36.520,36.520,36.460,36.480,872721.0,23900
2024-4-8,11:20,36.480,36.520,36.450,36.510,1388496.0,38100
2024-4-8,11:25,36.510,36.590,36.440,36.530,747721.0,20500
2024-4-8,11:30,36.520,36.530,36.480,36.480,871481.0,23800
2024-4-8,13:05,36.520,36.620,36.440,36.560,1595603.0,43700
2024-4-8,13:10,36.510,36.610,36.480,36.510,1289542.0,35300
2024-4-8,13:15,36.520,36.650,36.500,36.650,2050577.0,56000
2024-4-8,13:20,36.650,36.680,36.560,36.640,1993766.0,54400
2024-4-8,13:25,36.650,36.670,36.560,36.650,930499.0,25400
2024-4-8,13:30,36.560,36.650,36.530,36.600,1723654.0,47100
2024-4-8,13:35,36.600,36.690,36.540,36.660,2116577.0,57800
2024-4-8,13:40,36.660,36.690,36.510,36.680,1608999.0,43900
2024-4-8,13:45,36.690,36.700,36.530,36.530,1845487.0,50400
2024-4-8,13:50,36.660,36.770,36.550,36.690,2145432.0,58400
2024-4-8,13:55,36.690,36.770,36.550,36.710,2115709.0,57700
2024-4-8,14:00,36.660,36.670,36.570,36.660,1597223.0,43600
2024-4-8,14:05,36.550,36.730,36.550,36.700,2089878.0,57000
2024-4-8,14:10,36.690,36.690,36.430,36.430,1751321.0,47900
2024-4-8,14:15,36.430,36.480,36.250,36.400,1045114.0,28700
2024-4-8,14:20,36.410,36.510,36.320,36.510,938732.0,25800
2024-4-8,14:25,36.510,36.520,36.400,36.430,1075860.0,29500
2024-4-8,14:30,36.430,36.500,36.330,36.470,1129756.0,31000
2024-4-8,14:35,36.470,36.590,36.340,36.380,1323865.0,36300
2024-4-8,14:40,36.540,36.600,36.370,36.590,3091272.0,84600
2024-4-8,14:45,36.590,36.860,36.590,36.670,3131674.0,85200
2024-4-8,14:50,36.720,36.730,36.660,36.660,3064832.0,83500
2024-4-8,14:55,36.720,36.780,36.650,36.650,3487979.0,94900
2024-4-8,15:00,36.650,36.700,36.610,36.610,612473.0,16700
2024-4-9,09:35,36.480,36.670,36.210,36.580,1980413.0,54200
2024-4-9,09:40,36.600,36.800,36.410,36.410,1742617.0,47600
2024-4-9,09:45,36.370,36.480,36.260,36.450,1913528.0,52600
2024-4-9,09:50,36.420,36.430,36.180,36.230,1890007.0,52100
2024-4-9,09:55,36.280,36.380,36.070,36.340,1680434.0,46400
2024-4-9,10:00,36.370,36.690,36.370,36.510,1508881.0,41300
2024-4-9,10:05,36.500,36.670,36.400,36.400,1336535.0,36600
2024-4-9,10:10,36.440,36.500,36.330,36.370,2868055.0,78700
2024-4-9,10:15,36.370,36.650,36.350,36.620,3484019.0,95500
2024-4-9,10:20,36.630,37.130,36.630,37.100,5189682.0,140600
2024-4-9,10:25,37.090,37.090,36.840,36.840,3001505.0,81300
2024-4-9,10:30,36.880,36.970,36.820,36.910,1822417.0,49400
2024-4-9,10:35,36.900,36.900,36.730,36.770,1293264.0,35100
2024-4-9,10:40,36.770,36.910,36.760,36.870,798860.0,21700
2024-4-9,10:45,36.900,36.990,36.830,36.830,1474883.0,39900
2024-4-9,10:50,36.810,36.830,36.750,36.750,406669.0,11100
2024-4-9,10:55,36.750,36.820,36.740,36.820,385336.0,10500
2024-4-9,11:00,36.750,36.790,36.720,36.780,424287.0,11500
2024-4-9,11:05,36.780,36.780,36.660,36.770,1486221.0,40500
2024-4-9,11:10,36.770,36.890,36.700,36.840,577312.0,15700
2024-4-9,11:15,36.770,36.770,36.690,36.740,579070.0,15800
2024-4-9,11:20,36.710,36.710,36.610,36.610,453573.0,12300
2024-4-9,11:25,36.610,36.620,36.510,36.560,339415.0,9300
2024-4-9,11:30,36.540,36.550,36.500,36.550,550946.0,15100
2024-4-9,13:05,36.550,36.620,36.500,36.620,858475.0,23500
2024-4-9,13:10,36.610,36.700,36.590,36.650,579262.0,15800
2024-4-9,13:15,36.630,36.810,36.610,36.810,901418.0,24500
2024-4-9,13:20,36.770,36.950,36.760,36.860,2177767.0,59100
2024-4-9,13:25,36.830,36.830,36.750,36.750,707784.0,19300
2024-4-9,13:30,36.750,36.800,36.720,36.780,425054.0,11500
2024-4-9,13:35,36.780,36.910,36.780,36.890,1225473.0,33300
2024-4-9,13:40,36.720,36.880,36.720,36.790,788953.0,21400
2024-4-9,13:45,36.800,36.810,36.630,36.770,631831.0,17200
2024-4-9,13:50,36.770,36.810,36.680,36.720,514898.0,14000
2024-4-9,13:55,36.720,36.870,36.720,36.790,673441.0,18300
2024-4-9,14:00,36.760,36.770,36.680,36.720,705079.0,19200
