日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-7-1,09:35,32.530,33.060,32.310,33.000,15922322.0,485000
2024-7-1,09:40,32.970,33.100,32.780,32.780,13769605.0,417500
2024-7-1,09:45,32.800,32.980,32.700,32.800,12101955.0,368200
2024-7-1,09:50,32.830,33.060,32.760,32.820,10099250.0,307300
2024-7-1,09:55,32.800,33.000,32.700,32.890,6469855.0,197000
2024-7-1,10:00,32.830,33.000,32.820,32.970,3510080.0,106600
2024-7-1,10:05,32.970,32.970,32.710,32.740,4422227.0,134800
2024-7-1,10:10,32.720,32.910,32.710,32.720,4575657.0,139600
2024-7-1,10:15,32.710,32.730,32.550,32.590,4885370.0,149600
2024-7-1,10:20,32.610,32.630,32.500,32.500,3399439.0,104300
2024-7-1,10:25,32.500,32.570,32.480,32.500,4015939.0,123500
2024-7-1,10:30,32.500,32.580,32.470,32.580,2765086.0,85100
2024-7-1,10:35,32.580,32.620,32.480,32.520,2094879.0,64400
2024-7-1,10:40,32.520,32.550,32.480,32.490,2743541.0,84400
2024-7-1,10:45,32.490,32.730,32.490,32.680,2347609.0,72100
2024-7-1,10:50,32.670,32.670,32.530,32.590,2422205.0,74300
2024-7-1,10:55,32.570,32.630,32.500,32.530,1926755.0,59200
2024-7-1,11:00,32.520,32.540,32.400,32.440,3680143.0,113400
2024-7-1,11:05,32.420,32.420,32.300,32.310,4178959.0,129200
2024-7-1,11:10,32.320,32.340,32.250,32.290,4035908.0,125000
2024-7-1,11:15,32.290,32.420,32.270,32.300,2834839.0,87600
2024-7-1,11:20,32.310,32.530,32.310,32.530,1859911.0,57400
2024-7-1,11:25,32.530,32.530,32.350,32.440,1525173.0,47000
2024-7-1,11:30,32.410,32.510,32.410,32.510,714092.0,22000
2024-7-1,13:05,32.530,32.540,32.360,32.520,1336827.0,41200
2024-7-1,13:10,32.540,32.590,32.370,32.410,1891553.0,58200
2024-7-1,13:15,32.410,32.500,32.400,32.490,1135641.0,35000
2024-7-1,13:20,32.480,32.730,32.470,32.680,2963795.0,90800
2024-7-1,13:25,32.680,32.690,32.500,32.590,3081365.0,94500
2024-7-1,13:30,32.580,32.660,32.530,32.650,1440968.0,44200
2024-7-1,13:35,32.670,32.790,32.650,32.660,3840000.0,117400
2024-7-1,13:40,32.660,32.660,32.600,32.610,2696439.5,82700
2024-7-1,13:45,32.610,32.690,32.610,32.680,1750354.0,53600
2024-7-1,13:50,32.680,32.760,32.610,32.750,2441128.0,74700
2024-7-1,13:55,32.750,32.820,32.660,32.820,3753913.0,114600
2024-7-1,14:00,32.820,32.840,32.770,32.810,3274424.0,99800
2024-7-1,14:05,32.830,33.050,32.820,32.950,7964509.0,241600
2024-7-1,14:10,32.970,33.160,32.950,33.040,12342142.0,373000
2024-7-1,14:15,33.070,33.250,33.020,33.230,13722115.0,413900
