日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-7-1,09:35,31.900,32.230,31.610,32.090,67791840.0,2123800
2024-7-1,09:40,32.050,32.500,32.020,32.080,39526444.0,1227300
2024-7-1,09:45,32.100,32.240,31.890,31.910,36665224.0,1144700
2024-7-1,09:50,31.900,32.010,31.680,31.680,32072012.0,1009000
2024-7-1,09:55,31.680,32.010,31.600,31.960,35794360.0,1125100
2024-7-1,10:00,31.950,32.040,31.790,31.820,19416472.0,608600
2024-7-1,10:05,31.870,31.910,31.670,31.800,21568816.0,679300
2024-7-1,10:10,31.800,31.910,31.620,31.710,17968690.0,565900
2024-7-1,10:15,31.740,31.770,31.500,31.590,36878772.0,1167000
2024-7-1,10:20,31.570,31.650,31.420,31.490,26351512.0,835200
2024-7-1,10:25,31.470,31.500,31.410,31.430,17087900.0,543500
2024-7-1,10:30,31.410,31.420,31.210,31.420,28947864.0,924500
2024-7-1,10:35,31.390,31.390,31.250,31.250,16481784.0,526300
2024-7-1,10:40,31.240,31.250,30.960,31.090,33361702.0,1073400
2024-7-1,10:45,31.090,31.190,31.070,31.170,19054316.0,612200
2024-7-1,10:50,31.160,31.300,31.130,31.250,15990916.0,512200
2024-7-1,10:55,31.230,31.280,31.060,31.070,13949671.0,447400
2024-7-1,11:00,31.090,31.180,30.980,31.140,26216558.0,844700
2024-7-1,11:05,31.140,31.160,30.950,31.020,19210700.0,619700
2024-7-1,11:10,31.000,31.050,30.970,30.970,14221378.0,458800
2024-7-1,11:15,30.970,31.070,30.940,31.070,16937056.0,546500
2024-7-1,11:20,31.000,31.180,30.940,31.170,9234758.0,297600
2024-7-1,11:25,31.170,31.170,31.000,31.160,13403861.0,431300
2024-7-1,11:30,31.170,31.340,31.120,31.210,15923395.0,509700
2024-7-1,13:05,31.200,31.440,31.150,31.380,12857301.0,410600
2024-7-1,13:10,31.380,31.400,31.310,31.390,9697225.0,309200
2024-7-1,13:15,31.390,31.620,31.350,31.580,14004483.0,444800
2024-7-1,13:20,31.580,31.890,31.570,31.800,21208092.0,667600
2024-7-1,13:25,31.810,31.850,31.630,31.770,10869811.0,342400
2024-7-1,13:30,31.780,31.780,31.640,31.640,11317110.0,357000
2024-7-1,13:35,31.640,31.830,31.640,31.790,13698796.0,431500
2024-7-1,13:40,31.790,32.200,31.630,32.030,54518168.0,1703300
2024-7-1,13:45,32.050,32.210,31.920,32.210,18666558.0,582400
2024-7-1,13:50,32.220,32.230,32.020,32.150,12807380.0,398800
2024-7-1,13:55,32.130,32.510,32.090,32.500,34422576.0,1065100
2024-7-1,14:00,32.520,32.550,32.380,32.500,27410044.0,844000
2024-7-1,14:05,32.490,32.890,32.390,32.880,40259616.0,1232300
2024-7-1,14:10,32.880,33.280,32.880,33.000,68379144.0,2066600
2024-7-1,14:15,33.010,33.230,32.940,33.200,42478736.0,1282700
2024-7-1,14:20,33.220,33.450,33.000,33.200,77473136.0,2329500
2024-7-1,14:25,33.230,33.460,33.100,33.400,58456864.0,1754100
2024-7-1,14:30,33.430,33.680,33.390,33.550,57262736.0,1708300
2024-7-1,14:35,33.560,33.830,33.530,33.750,58458536.0,1736600
2024-7-1,14:40,33.740,34.290,33.740,34.000,71117024.0,2090900
2024-7-1,14:45,34.030,34.100,33.800,33.810,48128200.0,1418700
2024-7-1,14:50,33.810,33.850,33.610,33.740,37904464.0,1123100
2024-7-1,14:55,33.720,33.800,33.690,33.760,36870216.0,1092500
2024-7-1,15:00,33.770,33.780,33.630,33.630,29039034.0,861900
2024-7-2,09:35,34.350,34.510,33.630,33.920,225154336.0,6608800
2024-7-2,09:40,33.900,33.950,33.310,33.620,78769024.0,2345500
2024-7-2,09:45,33.600,33.680,33.430,33.620,51623384.0,1539200
2024-7-2,09:50,33.570,33.900,33.320,33.320,47865840.0,1425800
2024-7-2,09:55,33.320,33.810,33.300,33.760,40407416.0,1201800
2024-7-2,10:00,33.740,33.740,33.550,33.590,19283752.0,573700
2024-7-2,10:05,33.580,33.630,33.470,33.570,25745544.0,767400
2024-7-2,10:10,33.520,33.780,33.380,33.680,20334566.0,605800
2024-7-2,10:15,33.680,33.930,33.660,33.900,40428304.0,1195700
2024-7-2,10:20,33.850,34.270,33.810,34.180,45533612.0,1336300
2024-7-2,10:25,34.180,34.650,34.170,34.640,88369240.0,2564300
2024-7-2,10:30,34.630,34.770,34.420,34.540,63776168.0,1843400
2024-7-2,10:35,34.510,34.560,34.190,34.220,42163120.0,1225500
2024-7-2,10:40,34.210,34.240,34.080,34.210,24036992.0,703900
2024-7-2,10:45,34.200,34.210,34.080,34.130,28742380.0,841800
