日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-9-30,09:35,33.100,34.100,33.080,34.020,238844272.0,7125900
2024-9-30,09:40,34.020,34.140,33.680,33.690,120071496.0,3539000
2024-9-30,09:45,33.660,33.670,33.500,33.560,83926360.0,2499700
2024-9-30,09:50,33.530,33.800,33.280,33.300,80799816.0,2414900
2024-9-30,09:55,33.300,33.400,32.990,33.400,84902392.0,2563200
2024-9-30,10:00,33.410,33.520,33.300,33.500,52655032.0,1575700
2024-9-30,10:05,33.520,33.700,33.440,33.690,56986324.0,1697400
2024-9-30,10:10,33.690,33.700,33.590,33.660,27984644.0,831200
2024-9-30,10:15,33.650,33.720,33.590,33.670,33321356.0,989900
2024-9-30,10:20,33.710,33.770,33.650,33.770,26594276.0,789100
2024-9-30,10:25,33.780,34.050,33.750,34.050,74021696.0,2180700
2024-9-30,10:30,34.040,34.070,33.980,34.040,40356644.0,1185900
2024-9-30,10:35,34.040,34.040,33.860,33.890,33182224.0,978300
2024-9-30,10:40,33.900,33.980,33.880,33.960,21554682.0,635300
2024-9-30,10:45,33.960,34.100,33.950,34.080,36198280.0,1063800
2024-9-30,10:50,34.080,34.260,34.040,34.180,54177824.0,1586900
2024-9-30,10:55,34.170,34.310,34.160,34.300,27825766.0,812900
2024-9-30,11:00,34.300,34.330,34.240,34.320,23736354.0,692100
2024-9-30,11:05,34.320,34.390,34.070,34.070,30176398.0,880500
2024-9-30,11:10,34.060,34.200,33.980,34.190,26325870.0,773100
2024-9-30,11:15,34.200,34.300,34.180,34.280,17292956.0,505300
2024-9-30,11:20,34.290,34.370,34.270,34.360,17484654.0,509600
2024-9-30,11:25,34.360,34.380,34.290,34.370,17894872.0,521300
2024-9-30,11:30,34.360,34.440,34.350,34.420,15820270.0,460100
2024-9-30,13:05,34.420,34.780,34.420,34.650,65408856.0,1894400
2024-9-30,13:10,34.650,34.720,34.610,34.720,32858418.0,947600
2024-9-30,13:15,34.720,34.720,34.400,34.400,37850364.0,1094600
2024-9-30,13:20,34.390,34.580,34.330,34.560,33952424.0,986300
2024-9-30,13:25,34.560,34.570,34.400,34.550,27937272.0,808900
2024-9-30,13:30,34.550,34.690,34.450,34.630,25601004.0,740100
2024-9-30,13:35,34.610,34.700,34.590,34.680,22907516.0,661200
2024-9-30,13:40,34.680,34.880,34.680,34.820,41049416.0,1180200
2024-9-30,13:45,34.820,34.870,34.790,34.800,22497248.0,646000
2024-9-30,13:50,34.840,34.960,34.790,34.930,25740406.0,737800
2024-9-30,13:55,34.930,34.980,34.910,34.970,26565232.0,759900
2024-9-30,14:00,34.970,34.970,34.920,34.950,16224765.0,464200
2024-9-30,14:05,34.950,34.980,34.930,34.980,16883044.0,482800
2024-9-30,14:10,34.980,35.090,34.970,35.060,46686680.0,1333200
2024-9-30,14:15,35.050,35.050,34.990,35.000,20145652.0,575400
2024-9-30,14:20,35.000,35.020,34.880,34.880,28150276.0,804500
2024-9-30,14:25,34.880,34.880,34.280,34.350,51002272.0,1478000
2024-9-30,14:30,34.360,34.580,34.120,34.570,59340792.0,1729600
2024-9-30,14:35,34.550,34.560,34.400,34.450,28198208.0,818600
2024-9-30,14:40,34.450,34.660,34.450,34.660,21287910.0,616500
2024-9-30,14:45,34.660,34.700,34.640,34.700,26204832.0,755700
2024-9-30,14:50,34.700,34.920,34.700,34.920,32426236.0,930400
2024-9-30,14:55,34.900,34.980,34.900,34.950,33603280.0,961500
2024-9-30,15:00,34.950,34.960,34.910,34.920,34781936.0,995900
2024-10-8,09:35,38.410,38.410,38.060,38.310,322392992.0,8412100
2024-10-8,09:40,38.310,38.340,37.900,37.930,144249824.0,3776800
2024-10-8,09:45,37.900,38.020,37.200,37.390,143278688.0,3800600
2024-10-8,09:50,37.390,38.190,37.370,38.170,117184240.0,3103200
2024-10-8,09:55,38.180,38.290,38.140,38.220,109780280.0,2871700
2024-10-8,10:00,38.200,38.260,38.020,38.100,45523012.0,1194100
2024-10-8,10:05,38.120,38.150,38.000,38.040,40977608.0,1075500
2024-10-8,10:10,38.040,38.100,37.890,37.940,59853900.0,1575000
2024-10-8,10:15,37.900,37.900,37.420,37.510,60219696.0,1599500
2024-10-8,10:20,37.500,37.860,37.480,37.820,51633456.0,1368300
2024-10-8,10:25,37.830,37.840,37.620,37.630,36191512.0,959200
2024-10-8,10:30,37.620,37.630,37.290,37.300,50949172.0,1358900
2024-10-8,10:35,37.280,37.440,36.830,36.830,90453664.0,2435700
2024-10-8,10:40,36.850,36.850,35.300,35.920,109992800.0,3047100
2024-10-8,10:45,35.950,37.220,35.950,37.220,71958496.0,1958100
2024-10-8,10:50,37.230,37.350,36.900,36.900,39029852.0,1050400
2024-10-8,10:55,36.910,37.010,36.740,36.740,32343424.0,877200
2024-10-8,11:00,36.740,36.750,36.490,36.500,37682292.0,1029500
2024-10-8,11:05,36.510,36.840,36.500,36.820,46701512.0,1272400
2024-10-8,11:10,36.800,37.470,36.800,37.380,53661092.0,1445900
2024-10-8,11:15,37.350,37.560,37.210,37.560,41277212.0,1103500
2024-10-8,11:20,37.560,37.800,37.480,37.690,33411812.0,887100
2024-10-8,11:25,37.670,37.750,37.550,37.630,24952552.0,662800
2024-10-8,11:30,37.630,37.690,37.510,37.600,16135027.0,429300
2024-10-8,13:05,37.620,37.620,37.380,37.400,36940772.0,983600
2024-10-8,13:10,37.370,37.410,37.120,37.160,36911188.0,991600
2024-10-8,13:15,37.170,37.410,37.090,37.300,26910086.0,722200
2024-10-8,13:20,37.300,37.460,37.190,37.220,20545360.0,550600
2024-10-8,13:25,37.230,37.230,36.980,36.980,37847856.0,1022100
2024-10-8,13:30,36.960,37.150,36.940,37.120,29501650.0,796400
2024-10-8,13:35,37.120,37.250,36.950,36.970,27568266.0,742800
2024-10-8,13:40,36.960,37.020,36.860,36.860,30180572.0,817100
2024-10-8,13:45,36.860,37.100,36.830,37.010,32955362.0,891700
2024-10-8,13:50,37.020,37.020,36.770,36.770,24987624.0,677700
2024-10-8,13:55,36.780,36.820,36.720,36.720,20898408.0,568300
2024-10-8,14:00,36.700,36.970,36.590,36.970,39989712.0,1089700
2024-10-8,14:05,36.970,37.190,36.970,37.080,30951008.0,834300
2024-10-8,14:10,37.090,37.100,37.000,37.000,13421006.0,362100
2024-10-8,14:15,37.000,37.220,37.000,37.190,27553172.0,742300
2024-10-8,14:20,37.180,37.200,37.100,37.200,22498740.0,605700
2024-10-8,14:25,37.200,37.460,37.160,37.440,40008796.0,1072900
