日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-9-30,09:35,88.880,91.490,88.880,91.300,745124544.0,8296700
2024-9-30,09:40,91.170,92.200,89.120,89.500,410234784.0,4518500
2024-9-30,09:45,89.500,89.690,88.670,88.940,285746272.0,3205300
2024-9-30,09:50,88.910,88.940,87.950,88.380,225226896.0,2547500
2024-9-30,09:55,88.360,88.610,86.680,88.590,176464288.0,2019000
2024-9-30,10:00,88.590,89.070,88.430,89.000,144398336.0,1626600
2024-9-30,10:05,89.010,89.730,89.010,89.540,107912504.0,1207300
2024-9-30,10:10,89.500,90.030,89.190,89.600,112614048.0,1253700
2024-9-30,10:15,89.680,90.050,89.680,90.050,74471576.0,828400
2024-9-30,10:20,90.050,90.480,90.050,90.400,105402464.0,1166800
2024-9-30,10:25,90.400,91.000,90.400,91.000,134672736.0,1481800
2024-9-30,10:30,91.000,91.220,91.000,91.160,118535984.0,1300800
2024-9-30,10:35,91.180,91.480,90.950,91.200,121604792.0,1334300
2024-9-30,10:40,91.120,91.390,91.110,91.110,74268344.0,813900
2024-9-30,10:45,91.090,91.240,90.950,91.140,68862408.0,756000
2024-9-30,10:50,91.180,91.690,91.060,91.690,70316304.0,769800
2024-9-30,10:55,91.700,92.480,91.700,92.470,156386032.0,1699400
2024-9-30,11:00,92.480,93.000,92.480,93.000,116037808.0,1250300
2024-9-30,11:05,93.000,93.170,92.550,92.880,98453200.0,1060100
2024-9-30,11:10,92.860,92.990,92.200,92.990,78477912.0,846900
2024-9-30,11:15,92.990,93.460,92.900,93.460,60529656.0,650200
2024-9-30,11:20,93.490,94.570,93.490,94.560,135601776.0,1442300
2024-9-30,11:25,94.560,94.660,93.800,93.900,81140128.0,860300
2024-9-30,11:30,93.910,94.430,93.820,94.430,49909640.0,531400
2024-9-30,13:05,94.490,96.180,94.450,96.000,210928256.0,2207900
2024-9-30,13:10,96.150,96.510,95.900,96.490,130255968.0,1352600
2024-9-30,13:15,96.470,96.660,94.680,94.790,93274784.0,972500
2024-9-30,13:20,94.790,95.970,94.530,95.900,80364800.0,845800
2024-9-30,13:25,95.510,95.980,95.250,95.400,63579156.0,665200
2024-9-30,13:30,95.400,95.790,95.370,95.730,51140508.0,534900
2024-9-30,13:35,95.740,96.210,95.740,96.210,64833300.0,675700
2024-9-30,13:40,96.200,96.980,96.200,96.980,115435264.0,1193500
2024-9-30,13:45,96.940,97.070,96.910,97.000,88080960.0,908300
2024-9-30,13:50,96.980,97.070,96.900,97.060,97585440.0,1006300
2024-9-30,13:55,97.070,97.450,97.010,97.400,93597216.0,963500
2024-9-30,14:00,97.410,98.770,97.410,98.600,129912448.0,1323400
2024-9-30,14:05,98.500,99.300,98.500,99.280,107350056.0,1085200
2024-9-30,14:10,99.220,99.960,99.190,99.780,88645712.0,889800
2024-9-30,14:15,99.790,99.790,98.280,98.360,93249072.0,938900
2024-9-30,14:20,98.350,99.260,98.330,98.560,68793568.0,696200
2024-9-30,14:25,98.560,98.560,95.470,95.810,114178768.0,1184900
2024-9-30,14:30,95.850,98.360,95.810,98.110,91388696.0,940400
2024-9-30,14:35,97.980,98.070,96.750,97.500,63283936.0,650000
2024-9-30,14:40,97.530,98.530,97.530,98.530,71676416.0,730100
2024-9-30,14:45,98.540,98.870,98.510,98.740,76502760.0,775200
2024-9-30,14:50,98.670,98.800,98.010,98.040,105638552.0,1071400
2024-9-30,14:55,98.280,99.360,97.980,99.300,125409248.0,1271400
2024-9-30,15:00,99.300,99.580,99.300,99.580,125138896.0,1257400
2024-10-8,09:35,115.980,119.000,113.000,116.900,1330046592.0,11355100
2024-10-8,09:40,116.500,118.960,116.500,117.900,484257216.0,4099600
