日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-12-31,09:35,31.240,31.490,31.050,31.060,7839489.0,250800
2024-12-31,09:40,31.100,31.100,30.860,30.950,8049297.0,260100
2024-12-31,09:45,30.930,31.030,30.870,30.950,4922827.0,159100
2024-12-31,09:50,30.950,31.390,30.900,31.270,6410969.0,205800
2024-12-31,09:55,31.280,31.350,31.230,31.320,4948531.0,158100
2024-12-31,10:00,31.310,31.440,31.250,31.270,6187826.0,197200
2024-12-31,10:05,31.250,31.320,31.210,31.250,6179989.0,197700
2024-12-31,10:10,31.260,31.300,31.130,31.170,2784925.0,89200
2024-12-31,10:15,31.190,31.250,31.100,31.110,2605431.0,83600
2024-12-31,10:20,31.100,31.210,31.100,31.180,1916800.0,61500
2024-12-31,10:25,31.180,31.240,31.120,31.190,3706296.0,118900
2024-12-31,10:30,31.160,31.320,31.130,31.250,9877183.0,316100
2024-12-31,10:35,31.250,31.350,31.160,31.200,5904332.0,188900
2024-12-31,10:40,31.240,31.240,31.110,31.120,1321474.0,42400
2024-12-31,10:45,31.120,31.180,31.070,31.160,1468381.0,47200
2024-12-31,10:50,31.160,31.190,31.090,31.130,2002086.0,64300
2024-12-31,10:55,31.110,31.150,31.050,31.100,3465239.0,111500
2024-12-31,11:00,31.100,31.120,31.000,31.000,1458630.0,47000
2024-12-31,11:05,31.000,31.000,30.790,30.860,5952708.0,192800
2024-12-31,11:10,30.800,30.920,30.800,30.810,3398311.0,110200
2024-12-31,11:15,30.810,30.880,30.730,30.730,5844136.0,189800
2024-12-31,11:20,30.760,30.800,30.710,30.720,4831383.0,157200
2024-12-31,11:25,30.730,30.890,30.700,30.830,4725384.0,153700
2024-12-31,11:30,30.840,30.970,30.780,30.800,3124657.0,101200
2024-12-31,13:05,30.800,30.960,30.770,30.890,3186584.0,103300
2024-12-31,13:10,30.860,30.940,30.830,30.900,1948753.0,63100
2024-12-31,13:15,30.870,30.900,30.830,30.840,2293015.0,74300
2024-12-31,13:20,30.850,30.900,30.800,30.800,2045667.0,66300
2024-12-31,13:25,30.820,30.840,30.760,30.810,2288273.0,74300
2024-12-31,13:30,30.820,30.930,30.790,30.910,2837489.0,92000
2024-12-31,13:35,30.920,30.950,30.790,30.790,2730784.0,88500
2024-12-31,13:40,30.780,30.830,30.750,30.750,2330114.0,75700
2024-12-31,13:45,30.750,30.800,30.740,30.760,2076597.0,67500
2024-12-31,13:50,30.740,30.860,30.740,30.860,2359020.0,76600
2024-12-31,13:55,30.850,30.960,30.840,30.960,3872129.0,125300
2024-12-31,14:00,30.960,30.960,30.900,30.950,1688671.0,54600
2024-12-31,14:05,30.940,30.950,30.880,30.930,3064946.0,99100
2024-12-31,14:10,30.930,30.930,30.820,30.860,3181505.0,103100
2024-12-31,14:15,30.860,30.860,30.720,30.720,3319078.0,107800
2024-12-31,14:20,30.770,30.810,30.710,30.720,3797638.0,123500
2024-12-31,14:25,30.720,30.840,30.700,30.790,3693647.0,120100
2024-12-31,14:30,30.790,30.810,30.720,30.770,2400057.0,78000
2024-12-31,14:35,30.770,30.840,30.720,30.720,3433891.0,111600
2024-12-31,14:40,30.750,30.850,30.750,30.800,3458162.0,112300
2024-12-31,14:45,30.840,30.890,30.790,30.890,4173367.0,135400
2024-12-31,14:50,30.860,30.940,30.800,30.850,4161092.0,134800
2024-12-31,14:55,30.850,30.850,30.700,30.730,5370020.0,174600
2024-12-31,15:00,30.740,30.820,30.720,30.760,3978614.0,129300
2025-1-2,09:35,30.760,30.880,30.300,30.370,9647028.0,315700
2025-1-2,09:40,30.300,30.450,30.200,30.420,9871479.0,325500
2025-1-2,09:45,30.420,30.430,30.150,30.220,8099457.0,267700
2025-1-2,09:50,30.220,30.230,29.920,29.950,13510144.0,449300
2025-1-2,09:55,29.940,30.070,29.880,29.920,7850817.0,262200
2025-1-2,10:00,29.960,29.980,29.720,29.720,11375319.0,381100
2025-1-2,10:05,29.720,30.110,29.690,30.100,9840148.0,329000
2025-1-2,10:10,30.040,30.350,30.040,30.300,13129450.0,434600
2025-1-2,10:15,30.280,30.310,30.170,30.230,8154457.0,269800
2025-1-2,10:20,30.220,30.240,30.150,30.220,4027588.0,133400
2025-1-2,10:25,30.220,30.300,30.200,30.260,4024124.0,133100
2025-1-2,10:30,30.260,30.300,30.190,30.260,4595300.0,151900
2025-1-2,10:35,30.260,30.430,30.220,30.430,4517450.0,149000
2025-1-2,10:40,30.410,30.510,30.350,30.400,3649070.0,119900
2025-1-2,10:45,30.410,30.480,30.350,30.400,3461270.0,113800
2025-1-2,10:50,30.380,30.450,30.380,30.420,2972290.0,97700
2025-1-2,10:55,30.420,30.480,30.360,30.370,6309791.0,207400
2025-1-2,11:00,30.380,30.450,30.310,30.410,3843041.0,126600
2025-1-2,11:05,30.400,30.400,30.300,30.370,1854100.0,61100
2025-1-2,11:10,30.370,30.430,30.320,30.420,1698329.0,55900
2025-1-2,11:15,30.420,30.430,30.330,30.330,1931668.0,63600
2025-1-2,11:20,30.330,30.330,30.270,30.300,1811739.0,59800
2025-1-2,11:25,30.290,30.330,30.280,30.310,1227314.0,40500
2025-1-2,11:30,30.310,30.350,30.300,30.310,960914.0,31700
2025-1-2,13:05,30.320,30.320,30.100,30.130,3253462.0,107700
2025-1-2,13:10,30.140,30.160,30.040,30.080,3541029.0,117700
2025-1-2,13:15,30.070,30.220,30.050,30.210,2949452.0,98000
2025-1-2,13:20,30.210,30.280,30.170,30.180,1393027.0,46100
2025-1-2,13:25,30.180,30.180,30.050,30.060,2936681.0,97500
2025-1-2,13:30,30.070,30.100,30.030,30.070,2017189.0,67100
2025-1-2,13:35,30.070,30.100,30.030,30.080,2636878.0,87700
2025-1-2,13:40,30.080,30.080,30.000,30.020,3343880.0,111400
2025-1-2,13:45,30.010,30.060,29.980,30.000,1879173.0,62600
2025-1-2,13:50,30.000,30.020,29.920,29.920,2071347.0,69100
2025-1-2,13:55,29.920,29.930,29.840,29.870,3572314.0,119500
2025-1-2,14:00,29.870,30.020,29.850,30.010,3240381.0,108300
2025-1-2,14:05,30.000,30.050,29.910,29.950,1906340.0,63600
2025-1-2,14:10,29.940,29.960,29.870,29.880,3833424.0,128200
2025-1-2,14:15,29.870,29.880,29.770,29.780,4085610.0,137000
2025-1-2,14:20,29.780,29.800,29.730,29.780,1643027.0,55200
2025-1-2,14:25,29.790,30.000,29.730,29.860,2848560.0,95500
2025-1-2,14:30,29.890,30.000,29.840,29.900,4455771.0,148900
