日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-12-31,09:35,40.860,40.980,40.420,40.480,42609308.0,1048200
2024-12-31,09:40,40.470,40.620,40.390,40.520,22657194.0,559500
2024-12-31,09:45,40.530,40.890,40.480,40.880,31137106.0,766400
2024-12-31,09:50,40.850,40.880,40.610,40.800,20191056.0,495200
2024-12-31,09:55,40.810,40.920,40.750,40.850,18234600.0,446300
2024-12-31,10:00,40.850,40.910,40.700,40.840,11228488.0,275100
2024-12-31,10:05,40.850,40.910,40.750,40.810,19060244.0,466700
2024-12-31,10:10,40.840,40.900,40.810,40.850,6842947.0,167500
2024-12-31,10:15,40.860,41.130,40.850,41.090,17509076.0,427200
2024-12-31,10:20,41.110,41.280,41.060,41.210,33452106.0,812300
2024-12-31,10:25,41.210,41.390,41.210,41.310,54499020.0,1319600
2024-12-31,10:30,41.310,41.450,41.300,41.440,38191600.0,923200
2024-12-31,10:35,41.440,41.660,41.350,41.550,58588508.0,1411000
2024-12-31,10:40,41.540,41.760,41.540,41.660,68659920.0,1648400
2024-12-31,10:45,41.670,41.740,41.470,41.740,49530616.0,1190300
2024-12-31,10:50,41.730,41.770,41.510,41.750,41148452.0,986800
2024-12-31,10:55,41.760,41.800,41.720,41.780,37385672.0,894900
2024-12-31,11:00,41.770,41.790,41.600,41.600,30432564.0,729500
2024-12-31,11:05,41.590,41.590,41.480,41.530,24574586.0,591700
2024-12-31,11:10,41.540,41.540,41.450,41.450,17541532.0,422800
2024-12-31,11:15,41.420,41.530,41.380,41.430,13032151.0,314300
2024-12-31,11:20,41.430,41.510,41.420,41.420,7593567.0,183100
2024-12-31,11:25,41.430,41.550,41.390,41.550,12810944.0,309100
2024-12-31,11:30,41.530,41.650,41.530,41.570,11195506.0,269200
2024-12-31,13:05,41.570,41.740,41.540,41.720,24041088.0,576800
2024-12-31,13:10,41.710,41.760,41.650,41.700,19863314.0,476200
2024-12-31,13:15,41.700,41.700,41.520,41.680,26024248.0,625300
2024-12-31,13:20,41.660,41.690,41.470,41.510,26658136.0,641600
2024-12-31,13:25,41.500,41.560,41.450,41.530,19350876.0,466300
2024-12-31,13:30,41.520,41.580,41.480,41.480,19515504.0,470000
2024-12-31,13:35,41.490,41.500,41.370,41.470,15788374.0,381000
