日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-12-31,09:35,63.600,65.300,63.500,64.960,305191392.0,4748300
2024-12-31,09:40,65.020,65.220,63.000,63.100,175942688.0,2733600
2024-12-31,09:45,63.130,64.200,62.700,63.910,144799072.0,2289300
2024-12-31,09:50,63.960,64.050,63.240,63.990,47332044.0,744000
2024-12-31,09:55,63.990,64.480,63.400,63.580,52267996.0,818200
2024-12-31,10:00,63.520,63.520,62.530,62.990,76590448.0,1215100
2024-12-31,10:05,63.100,63.480,63.000,63.120,48292284.0,763400
2024-12-31,10:10,63.170,63.900,63.110,63.250,42424596.0,668500
2024-12-31,10:15,63.230,63.670,63.200,63.280,29664540.0,467400
2024-12-31,10:20,63.240,63.740,63.240,63.370,22718452.0,357800
2024-12-31,10:25,63.360,63.860,63.230,63.710,36378704.0,572300
2024-12-31,10:30,63.800,63.900,63.480,63.610,30636372.0,480700
2024-12-31,10:35,63.530,63.720,63.410,63.630,21774296.0,342600
2024-12-31,10:40,63.560,63.720,63.160,63.450,23675308.0,373300
2024-12-31,10:45,63.570,63.810,63.550,63.640,12665471.0,198900
2024-12-31,10:50,63.620,63.630,63.260,63.320,17781690.0,280500
2024-12-31,10:55,63.310,63.460,63.200,63.250,18137552.0,286400
2024-12-31,11:00,63.230,63.610,63.200,63.560,26486012.0,418600
2024-12-31,11:05,63.550,63.710,63.280,63.680,16828512.0,265200
2024-12-31,11:10,63.700,63.750,63.300,63.500,24721144.0,389000
2024-12-31,11:15,63.500,64.580,63.500,64.400,65085440.0,1015000
2024-12-31,11:20,64.400,64.530,63.780,63.840,51611356.0,802700
2024-12-31,11:25,63.800,63.800,63.380,63.580,32506468.0,511500
2024-12-31,11:30,63.860,63.860,62.950,62.950,41279240.0,652500
2024-12-31,13:05,63.000,63.600,61.880,62.290,136273264.0,2182300
2024-12-31,13:10,62.240,62.360,61.820,62.180,91140960.0,1469200
2024-12-31,13:15,62.130,62.380,61.810,62.330,41888280.0,674100
2024-12-31,13:20,62.270,62.690,62.270,62.290,34480364.0,552300
2024-12-31,13:25,62.390,62.970,62.390,62.840,27213318.0,434500
2024-12-31,13:30,62.840,62.870,62.350,62.410,19382394.0,309600
2024-12-31,13:35,62.420,62.660,62.110,62.300,34828632.0,559300
2024-12-31,13:40,62.170,62.250,61.860,62.060,44960032.0,725100
2024-12-31,13:45,62.050,62.080,61.600,61.760,37430804.0,605000
2024-12-31,13:50,61.750,62.550,61.730,62.540,24701712.0,398100
2024-12-31,13:55,62.540,62.660,62.270,62.640,25728532.0,412100
2024-12-31,14:00,62.660,62.660,62.240,62.430,22891008.0,367000
2024-12-31,14:05,62.550,62.640,62.260,62.330,13466096.0,215600
2024-12-31,14:10,62.280,62.320,61.910,62.060,31117734.0,501400
2024-12-31,14:15,62.050,62.150,61.910,62.050,25236592.0,406600
2024-12-31,14:20,62.060,62.260,61.970,62.130,21179880.0,341000
2024-12-31,14:25,62.130,62.310,62.000,62.200,20641508.0,332300
2024-12-31,14:30,62.240,62.370,62.030,62.060,13336742.0,214500
2024-12-31,14:35,62.060,62.620,62.060,62.360,28263868.0,453300
2024-12-31,14:40,62.390,62.600,62.350,62.420,21533132.0,344600
2024-12-31,14:45,62.460,62.500,62.080,62.250,28380994.0,455600
2024-12-31,14:50,62.250,62.330,61.790,61.840,67739992.0,1092300
2024-12-31,14:55,61.830,61.890,61.540,61.650,57475724.0,931900
2024-12-31,15:00,61.670,61.710,61.460,61.460,78015784.0,1267900
2025-1-2,09:35,62.380,62.960,59.950,60.680,214011136.0,3518200
2025-1-2,09:40,60.540,61.450,60.290,61.070,109036960.0,1789500
2025-1-2,09:45,61.110,61.250,60.180,60.600,82665864.0,1361800
2025-1-2,09:50,60.540,60.630,60.140,60.390,74887560.0,1242000
2025-1-2,09:55,60.540,61.190,60.420,61.070,51234336.0,842200
2025-1-2,10:00,61.000,61.000,60.380,60.500,40582624.0,669300
2025-1-2,10:05,60.580,61.050,60.330,60.960,45304996.0,746000
2025-1-2,10:10,60.890,61.590,60.740,60.910,40441016.0,661600
2025-1-2,10:15,60.770,60.840,60.470,60.690,31229810.0,514800
2025-1-2,10:20,60.670,61.310,60.670,61.100,31912664.0,523600
2025-1-2,10:25,61.060,61.070,60.720,60.780,18708924.0,307300
2025-1-2,10:30,60.860,60.900,60.410,60.450,30711494.0,506700
2025-1-2,10:35,60.400,60.400,59.800,60.190,71644968.0,1193600
2025-1-2,10:40,60.190,60.380,60.000,60.200,26544856.0,440900
2025-1-2,10:45,60.150,60.370,59.960,60.370,26092616.0,434100
2025-1-2,10:50,60.370,61.070,60.350,61.000,36300188.0,598400
