日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,29.460,30.090,29.300,29.900,15415721.0,519300
2025-3-31,09:40,29.910,30.030,29.780,29.830,14128073.0,471800
2025-3-31,09:45,29.770,29.830,29.500,29.500,5364512.0,181000
2025-3-31,09:50,29.530,29.760,29.530,29.720,4411408.0,148900
2025-3-31,09:55,29.760,30.000,29.730,29.950,5292976.0,177000
2025-3-31,10:00,29.950,30.030,29.860,29.980,6745552.0,225000
2025-3-31,10:05,29.980,30.100,29.840,29.970,6854206.0,228700
2025-3-31,10:10,29.970,29.990,29.850,29.870,2940118.0,98300
2025-3-31,10:15,29.870,29.910,29.810,29.820,2946251.0,98700
2025-3-31,10:20,29.810,29.940,29.810,29.870,4510756.0,151100
2025-3-31,10:25,29.870,29.920,29.770,29.830,2659462.0,89100
2025-3-31,10:30,29.840,29.850,29.620,29.650,4379474.0,147300
2025-3-31,10:35,29.700,29.830,29.650,29.830,1830473.0,61500
2025-3-31,10:40,29.810,29.820,29.710,29.710,1704669.0,57300
2025-3-31,10:45,29.720,29.750,29.530,29.630,4169145.0,140700
2025-3-31,10:50,29.620,29.690,29.590,29.640,3379102.0,114100
2025-3-31,10:55,29.610,29.700,29.570,29.570,2360123.0,79600
2025-3-31,11:00,29.570,29.630,29.560,29.600,4041255.0,136600
2025-3-31,11:05,29.600,29.630,29.560,29.610,2642401.0,89200
2025-3-31,11:10,29.610,29.730,29.600,29.650,1762199.0,59500
2025-3-31,11:15,29.680,29.790,29.680,29.750,1528108.0,51400
2025-3-31,11:20,29.770,29.910,29.770,29.890,2849684.0,95500
2025-3-31,11:25,29.890,29.910,29.620,29.640,3131514.0,105100
2025-3-31,11:30,29.620,29.710,29.590,29.690,1564912.0,52800
2025-3-31,13:05,29.650,29.860,29.610,29.780,3315113.0,111500
2025-3-31,13:10,29.800,29.900,29.770,29.860,1641505.0,55000
2025-3-31,13:15,29.870,29.870,29.750,29.780,2314122.0,77700
2025-3-31,13:20,29.800,29.820,29.740,29.750,3457210.0,116000
2025-3-31,13:25,29.740,29.750,29.700,29.720,1262781.0,42500
2025-3-31,13:30,29.710,29.720,29.690,29.710,969145.0,32600
2025-3-31,13:35,29.720,29.730,29.650,29.730,2395548.0,80700
2025-3-31,13:40,29.730,29.820,29.730,29.820,870949.0,29300
2025-3-31,13:45,29.810,29.810,29.690,29.690,1295239.0,43500
2025-3-31,13:50,29.690,29.700,29.630,29.640,1827318.0,61600
2025-3-31,13:55,29.650,29.670,29.410,29.460,7769768.0,262800
2025-3-31,14:00,29.410,29.500,29.400,29.470,4773864.0,162000
2025-3-31,14:05,29.490,29.490,29.380,29.420,3856557.0,131100
2025-3-31,14:10,29.430,29.670,29.420,29.660,4323332.0,146500
2025-3-31,14:15,29.650,29.760,29.620,29.730,4049075.0,136500
2025-3-31,14:20,29.730,30.090,29.710,30.080,12412134.0,414200
2025-3-31,14:25,30.090,30.300,30.000,30.160,10527773.0,349000
2025-3-31,14:30,30.150,30.180,30.000,30.000,4908242.0,163000
2025-3-31,14:35,30.010,30.060,29.980,30.050,2667044.0,88800
2025-3-31,14:40,30.040,30.170,30.040,30.120,4286103.0,142300
2025-3-31,14:45,30.110,30.110,30.050,30.080,3091415.0,102800
2025-3-31,14:50,30.050,30.160,30.050,30.120,3729716.0,123800
2025-3-31,14:55,30.120,30.130,30.070,30.090,4063953.0,135000
2025-3-31,15:00,30.090,30.100,30.070,30.100,4590337.0,152500
2025-4-1,09:35,30.100,30.480,30.000,30.480,19890158.0,656500
2025-4-1,09:40,30.490,30.590,30.330,30.420,14048816.0,461100
2025-4-1,09:45,30.420,30.420,30.180,30.200,9789637.0,323200
2025-4-1,09:50,30.170,30.370,30.170,30.350,5599936.0,184800
2025-4-1,09:55,30.340,30.500,30.330,30.440,8544848.0,281100
2025-4-1,10:00,30.400,30.500,30.360,30.440,8627503.0,283400
2025-4-1,10:05,30.450,30.630,30.410,30.500,12731835.0,416900
2025-4-1,10:10,30.490,30.540,30.450,30.540,3737559.0,122600
2025-4-1,10:15,30.530,30.710,30.530,30.630,12202084.0,398300
2025-4-1,10:20,30.600,30.790,30.600,30.750,17293664.0,562800
2025-4-1,10:25,30.760,30.850,30.700,30.830,13620017.0,442300
2025-4-1,10:30,30.780,30.830,30.690,30.720,7015330.0,228300
2025-4-1,10:35,30.690,30.690,30.600,30.600,3781187.0,123400
2025-4-1,10:40,30.610,30.610,30.510,30.600,3854828.0,126200
2025-4-1,10:45,30.620,30.640,30.580,30.610,2879689.0,94100
2025-4-1,10:50,30.610,30.660,30.580,30.590,2332307.0,76200
2025-4-1,10:55,30.590,30.600,30.550,30.580,1667298.0,54500
2025-4-1,11:00,30.570,30.590,30.560,30.580,1605371.0,52500
2025-4-1,11:05,30.590,30.630,30.490,30.500,4879365.0,159700
2025-4-1,11:10,30.490,30.550,30.400,30.410,3270329.0,107300
2025-4-1,11:15,30.410,30.480,30.370,30.450,3328634.0,109400
2025-4-1,11:20,30.450,30.590,30.440,30.590,1524751.0,50000
2025-4-1,11:25,30.590,30.700,30.590,30.680,5478786.0,178700
2025-4-1,11:30,30.680,30.720,30.630,30.640,3288180.0,107200
2025-4-1,13:05,30.640,30.650,30.530,30.590,4986048.0,162800
2025-4-1,13:10,30.520,30.580,30.460,30.460,1965713.0,64400
2025-4-1,13:15,30.470,30.550,30.470,30.490,1473672.0,48300
2025-4-1,13:20,30.480,30.490,30.400,30.400,3578080.0,117600
2025-4-1,13:25,30.390,30.520,30.380,30.520,2947531.0,96800
2025-4-1,13:30,30.520,30.520,30.460,30.460,3627265.0,118900
2025-4-1,13:35,30.450,30.460,30.400,30.420,3614479.0,118800
2025-4-1,13:40,30.420,30.440,30.400,30.440,2215946.0,72800
2025-4-1,13:45,30.430,30.520,30.430,30.450,1425625.0,46800
2025-4-1,13:50,30.450,30.480,30.430,30.480,2129964.0,70000
2025-4-1,13:55,30.530,30.760,30.530,30.740,10564045.0,344600
2025-4-1,14:00,30.740,31.130,30.650,30.940,25640824.0,830000
2025-4-1,14:05,30.960,31.320,30.960,30.980,20951012.0,673000
2025-4-1,14:10,30.980,31.000,30.880,30.960,10453622.0,337800
2025-4-1,14:15,30.950,30.950,30.830,30.880,6597401.0,213700
2025-4-1,14:20,30.880,30.900,30.830,30.830,3891432.0,126000
2025-4-1,14:25,30.830,30.830,30.720,30.780,5282548.0,171600
2025-4-1,14:30,30.770,30.820,30.760,30.780,3213204.0,104400
2025-4-1,14:35,30.790,30.860,30.750,30.750,3406386.0,110600
2025-4-1,14:40,30.760,30.790,30.750,30.790,3536591.0,114900
2025-4-1,14:45,30.790,30.910,30.770,30.850,10330880.0,335100
2025-4-1,14:50,30.850,30.910,30.840,30.850,6147180.0,199000
2025-4-1,14:55,30.850,30.860,30.770,30.800,4405202.0,143000
2025-4-1,15:00,30.790,30.810,30.770,30.780,5657904.0,183800
2025-4-2,09:35,30.860,30.880,30.520,30.530,13063258.0,425800
2025-4-2,09:40,30.580,30.730,30.480,30.600,7927387.0,259200
2025-4-2,09:45,30.590,30.640,30.400,30.430,10113459.0,331700
2025-4-2,09:50,30.430,30.580,30.410,30.580,4345923.0,142700
2025-4-2,09:55,30.580,30.880,30.560,30.870,8196642.0,266600
2025-4-2,10:00,30.870,31.040,30.770,30.860,13286679.0,430000
2025-4-2,10:05,30.860,30.860,30.740,30.770,3337742.0,108400
2025-4-2,10:10,30.780,30.780,30.660,30.730,3923436.0,127700
2025-4-2,10:15,30.770,30.770,30.690,30.710,2395968.0,78000
2025-4-2,10:20,30.710,30.820,30.710,30.750,2501144.0,81300
2025-4-2,10:25,30.770,30.890,30.730,30.890,3729303.0,121100
2025-4-2,10:30,30.900,30.920,30.800,30.800,6330855.0,205000
2025-4-2,10:35,30.830,30.880,30.780,30.780,1931398.0,62600
2025-4-2,10:40,30.800,30.850,30.730,30.780,4044048.0,131400
2025-4-2,10:45,30.810,30.850,30.750,30.810,1234220.0,40100
2025-4-2,10:50,30.810,30.810,30.750,30.750,1330387.0,43200
2025-4-2,10:55,30.750,30.850,30.730,30.830,2030397.0,66000
2025-4-2,11:00,30.850,30.870,30.690,30.690,1972269.0,64100
2025-4-2,11:05,30.690,30.710,30.600,30.600,4511757.0,147200
2025-4-2,11:10,30.550,30.610,30.500,30.510,5994796.0,196300
2025-4-2,11:15,30.510,30.700,30.510,30.660,1626675.0,53200
2025-4-2,11:20,30.660,30.660,30.530,30.560,1329033.0,43400
2025-4-2,11:25,30.550,30.690,30.550,30.670,1119342.0,36600
2025-4-2,11:30,30.680,30.680,30.580,30.580,964574.0,31400
2025-4-2,13:05,30.570,30.670,30.540,30.620,1462331.0,47800
2025-4-2,13:10,30.620,30.660,30.580,30.610,1301507.0,42600
2025-4-2,13:15,30.640,30.650,30.530,30.560,1769522.0,57800
2025-4-2,13:20,30.560,30.560,30.500,30.530,2852474.0,93500
2025-4-2,13:25,30.510,30.540,30.460,30.460,3387221.0,111100
2025-4-2,13:30,30.500,30.540,30.480,30.540,1565847.0,51400
2025-4-2,13:35,30.510,30.610,30.500,30.510,1922898.0,62900
2025-4-2,13:40,30.510,30.550,30.450,30.450,2661959.0,87400
2025-4-2,13:45,30.460,30.560,30.430,30.510,1409283.0,46200
2025-4-2,13:50,30.520,30.550,30.410,30.430,5892486.0,193600
2025-4-2,13:55,30.430,30.510,30.400,30.500,1604988.0,52700
2025-4-2,14:00,30.500,30.550,30.410,30.550,2472893.0,81200
2025-4-2,14:05,30.550,30.550,30.420,30.420,1725821.0,56600
2025-4-2,14:10,30.430,30.470,30.310,30.410,7237974.0,238300
2025-4-2,14:15,30.410,30.410,30.330,30.360,5833998.0,192300
2025-4-2,14:20,30.380,30.430,30.360,30.410,2595254.0,85300
2025-4-2,14:25,30.410,30.430,30.380,30.380,1212573.0,39900
2025-4-2,14:30,30.380,30.400,30.370,30.380,1331734.0,43800
2025-4-2,14:35,30.380,30.420,30.370,30.410,1240850.0,40900
2025-4-2,14:40,30.410,30.410,30.360,30.370,3030656.0,99700
2025-4-2,14:45,30.360,30.410,30.360,30.390,3612429.0,118900
2025-4-2,14:50,30.400,30.400,30.300,30.370,9250293.0,305000
2025-4-2,14:55,30.360,30.370,30.290,30.310,7364831.0,242900
2025-4-2,15:00,30.310,30.400,30.290,30.400,6825026.0,224700
2025-4-3,09:35,29.610,30.300,29.580,30.140,26280208.0,879000
2025-4-3,09:40,30.140,30.490,30.120,30.340,7371570.0,242900
2025-4-3,09:45,30.360,30.500,30.240,30.500,5913122.0,194600
2025-4-3,09:50,30.490,30.500,30.300,30.410,8356484.0,274500
2025-4-3,09:55,30.420,30.420,30.130,30.130,4107191.0,135700
2025-4-3,10:00,30.130,30.240,30.080,30.100,6475722.0,214900
2025-4-3,10:05,30.150,30.300,30.020,30.050,5322328.0,176700
2025-4-3,10:10,30.090,30.240,29.900,29.920,9925350.0,331300
2025-4-3,10:15,29.910,29.990,29.830,29.900,4276434.0,143000
2025-4-3,10:20,29.900,30.000,29.860,29.990,4558556.0,152500
2025-4-3,10:25,29.990,30.040,29.930,29.970,1434812.0,47800
2025-4-3,10:30,29.980,30.230,29.930,30.140,2061043.0,68600
2025-4-3,10:35,30.140,30.200,30.120,30.130,1414793.0,46900
2025-4-3,10:40,30.130,30.170,30.080,30.110,2372224.0,78800
2025-4-3,10:45,30.100,30.150,30.100,30.120,713614.0,23700
2025-4-3,10:50,30.120,30.210,30.090,30.090,1602754.0,53100
2025-4-3,10:55,30.110,30.160,29.900,29.990,1609988.0,53800
2025-4-3,11:00,29.900,29.970,29.900,29.950,1100465.0,36700
2025-4-3,11:05,29.950,29.970,29.920,29.950,1432338.0,47900
2025-4-3,11:10,29.950,30.050,29.940,30.020,1405860.0,46900
2025-4-3,11:15,30.020,30.020,29.890,29.890,2304369.0,77000
2025-4-3,11:20,29.890,29.890,29.800,29.820,3301673.0,110600
2025-4-3,11:25,29.820,29.940,29.820,29.880,1374310.0,46000
2025-4-3,11:30,29.880,29.890,29.730,29.820,6130640.0,205700
2025-4-3,13:05,29.810,29.810,29.620,29.660,14299395.0,481900
2025-4-3,13:10,29.660,29.660,29.580,29.580,7551784.0,255000
2025-4-3,13:15,29.580,29.760,29.580,29.690,1555308.0,52400
2025-4-3,13:20,29.690,29.690,29.660,29.680,1500102.0,50500
2025-4-3,13:25,29.680,29.680,29.500,29.520,9894335.0,334800
2025-4-3,13:30,29.500,29.700,29.500,29.700,1735636.0,58800
2025-4-3,13:35,29.670,29.740,29.630,29.700,1447016.0,48700
2025-4-3,13:40,29.700,29.890,29.630,29.890,1443756.0,48700
2025-4-3,13:45,29.880,29.880,29.700,29.730,753458.0,25300
2025-4-3,13:50,29.720,29.720,29.680,29.720,1014526.0,34100
2025-4-3,13:55,29.720,29.920,29.720,29.900,1717643.0,57500
2025-4-3,14:00,29.900,29.940,29.810,29.880,2406052.0,80500
2025-4-3,14:05,29.880,29.920,29.850,29.860,1657320.0,55500
2025-4-3,14:10,29.860,29.970,29.860,29.900,1940861.0,64900
2025-4-3,14:15,29.910,29.930,29.780,29.790,1661445.0,55600
2025-4-3,14:20,29.790,29.870,29.730,29.870,591940.0,19900
2025-4-3,14:25,29.820,29.860,29.810,29.860,220373.0,7400
2025-4-3,14:30,29.830,29.830,29.760,29.790,872564.0,29300
2025-4-3,14:35,29.850,29.920,29.840,29.880,1128492.0,37700
2025-4-3,14:40,29.880,29.930,29.860,29.890,809462.0,27100
2025-4-3,14:45,29.900,29.900,29.890,29.890,1267884.0,42400
2025-4-3,14:50,29.890,29.900,29.770,29.770,3903530.0,130800
2025-4-3,14:55,29.770,29.790,29.740,29.770,4724470.0,158700
2025-4-3,15:00,29.770,29.780,29.620,29.740,4931768.0,165900
2025-4-7,09:35,27.500,27.790,26.840,27.750,47791804.0,1748700
2025-4-7,09:40,27.630,27.740,26.000,26.080,34350924.0,1291600
2025-4-7,09:45,26.080,26.300,25.560,25.830,23827080.0,916900
2025-4-7,09:50,25.830,26.150,25.600,25.690,10619815.0,410400
2025-4-7,09:55,25.600,26.100,24.800,26.040,18974544.0,749100
2025-4-7,10:00,25.880,26.470,25.880,26.060,10597670.0,404500
2025-4-7,10:05,26.050,26.190,25.900,26.140,7286013.0,279400
2025-4-7,10:10,26.130,26.480,26.110,26.380,9106675.0,344900
2025-4-7,10:15,26.380,26.410,25.910,26.160,7289045.0,277900
2025-4-7,10:20,26.190,26.450,26.140,26.410,5467200.0,207200
2025-4-7,10:25,26.410,26.420,26.000,26.360,7049376.0,268100
2025-4-7,10:30,26.390,26.410,26.010,26.010,2401269.0,91200
2025-4-7,10:35,26.110,26.320,26.010,26.200,2867005.0,109700
2025-4-7,10:40,26.200,26.300,26.160,26.180,1459446.0,55600
2025-4-7,10:45,26.260,26.440,26.200,26.430,2311851.0,87800
2025-4-7,10:50,26.420,26.500,26.400,26.490,4184789.0,158200
2025-4-7,10:55,26.490,26.520,26.390,26.390,2699411.0,101900
2025-4-7,11:00,26.390,26.390,26.200,26.200,3075466.0,117000
2025-4-7,11:05,26.200,26.200,26.090,26.140,2215439.0,84800
2025-4-7,11:10,26.140,26.160,26.060,26.080,4010915.0,153700
2025-4-7,11:15,26.070,26.070,25.700,25.760,3857560.0,148900
