日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,60.800,61.860,60.800,61.190,20626610.0,336500
2025-3-31,09:40,61.230,61.410,60.990,61.160,13013581.0,212700
2025-3-31,09:45,61.160,61.160,60.500,60.520,11758419.0,193500
2025-3-31,09:50,60.500,60.750,60.290,60.700,12347969.0,203900
2025-3-31,09:55,60.690,61.220,60.570,61.220,6181982.0,101700
2025-3-31,10:00,61.200,61.580,61.110,61.520,7143476.0,116400
2025-3-31,10:05,61.550,61.550,61.130,61.310,5330595.0,87000
2025-3-31,10:10,61.230,61.340,60.890,61.060,3832401.0,62700
2025-3-31,10:15,61.100,61.130,60.720,60.720,7768171.0,127400
2025-3-31,10:20,60.810,60.820,60.600,60.650,7081750.0,116700
2025-3-31,10:25,60.650,60.850,60.540,60.620,4256622.0,70200
2025-3-31,10:30,60.610,60.810,60.610,60.640,2775908.0,45700
2025-3-31,10:35,60.630,60.750,60.440,60.450,9363894.0,154500
2025-3-31,10:40,60.440,60.560,60.440,60.460,5084615.0,84100
2025-3-31,10:45,60.460,60.560,60.360,60.550,3250154.0,53800
2025-3-31,10:50,60.510,60.600,60.420,60.450,2536395.0,41900
2025-3-31,10:55,60.470,60.780,60.470,60.480,3440942.0,56800
2025-3-31,11:00,60.480,60.600,60.400,60.510,4681869.0,77300
2025-3-31,11:05,60.510,60.760,60.500,60.690,3518462.0,58100
2025-3-31,11:10,60.690,60.750,60.550,60.730,1736467.0,28600
2025-3-31,11:15,60.760,60.830,60.510,60.770,1568353.0,25900
2025-3-31,11:20,60.760,60.940,60.500,60.620,3967695.0,65300
2025-3-31,11:25,60.580,60.800,59.980,60.000,10062222.0,167200
2025-3-31,11:30,60.000,60.180,60.000,60.080,3661432.0,60900
2025-3-31,13:05,60.080,60.630,60.050,60.590,6463109.0,107300
2025-3-31,13:10,60.590,60.770,60.430,60.740,2309588.0,38100
2025-3-31,13:15,60.770,60.790,60.500,60.720,3693220.0,60800
2025-3-31,13:20,60.800,60.890,60.530,60.540,2685428.0,44300
2025-3-31,13:25,60.530,60.550,60.250,60.360,3371082.0,55800
2025-3-31,13:30,60.350,60.430,60.340,60.430,1375040.0,22800
2025-3-31,13:35,60.380,60.420,60.230,60.250,2761486.0,45700
2025-3-31,13:40,60.250,60.260,60.090,60.160,4978187.0,82800
2025-3-31,13:45,60.200,60.220,60.060,60.070,3138997.0,52200
2025-3-31,13:50,60.030,60.090,60.020,60.090,901331.0,15000
2025-3-31,13:55,60.050,60.210,60.020,60.100,1430631.0,23800
2025-3-31,14:00,60.090,60.180,60.020,60.160,2660962.0,44300
2025-3-31,14:05,60.050,60.160,59.910,60.160,3715179.0,61900
2025-3-31,14:10,60.130,60.520,60.130,60.480,4486428.0,74300
2025-3-31,14:15,60.440,60.700,60.440,60.700,5947370.0,98100
2025-3-31,14:20,60.700,61.070,60.700,60.930,6688712.0,109800
2025-3-31,14:25,60.900,61.200,60.830,61.010,3847534.0,63000
2025-3-31,14:30,61.010,61.090,60.700,60.710,1780047.0,29300
2025-3-31,14:35,60.710,61.000,60.710,60.880,3313817.0,54400
2025-3-31,14:40,60.920,60.980,60.830,60.930,3198533.0,52500
2025-3-31,14:45,60.920,61.000,60.810,61.000,3609383.0,59200
2025-3-31,14:50,60.990,61.150,60.970,61.040,4146340.0,68000
2025-3-31,14:55,61.040,61.090,60.950,60.990,3573893.0,58600
2025-3-31,15:00,60.950,61.090,60.950,61.090,4632814.0,75900
