日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-6-30,09:35,25.490,25.880,25.480,25.510,81214032.0,3166100
2025-6-30,09:40,25.500,26.230,25.500,26.230,120365520.0,4656400
2025-6-30,09:45,26.290,26.450,25.990,26.010,151145408.0,5773900
2025-6-30,09:50,26.020,26.260,25.970,26.120,81582288.0,3120400
2025-6-30,09:55,26.100,26.200,26.050,26.140,41004832.0,1569500
2025-6-30,10:00,26.120,26.180,26.070,26.100,29165392.0,1115800
2025-6-30,10:05,26.100,26.360,26.100,26.270,78574584.0,2991800
2025-6-30,10:10,26.260,26.330,26.150,26.200,40723172.0,1551500
2025-6-30,10:15,26.190,26.300,26.150,26.290,31595722.0,1205800
2025-6-30,10:20,26.300,26.400,26.300,26.340,62531460.0,2372100
2025-6-30,10:25,26.330,26.340,26.190,26.220,19259556.0,733000
2025-6-30,10:30,26.220,26.450,26.200,26.430,48787992.0,1850800
2025-6-30,10:35,26.430,26.600,26.320,26.490,75215568.0,2838000
2025-6-30,10:40,26.480,26.500,26.260,26.320,21672692.0,822300
2025-6-30,10:45,26.320,26.330,26.260,26.330,14300123.0,543900
2025-6-30,10:50,26.330,26.400,26.300,26.340,15315970.0,581400
2025-6-30,10:55,26.330,26.340,26.240,26.270,18697736.0,711500
2025-6-30,11:00,26.280,26.500,26.270,26.430,25245916.0,955900
2025-6-30,11:05,26.390,26.450,26.350,26.360,18699098.0,708400
2025-6-30,11:10,26.390,26.420,26.300,26.350,14048555.0,532900
2025-6-30,11:15,26.350,26.500,26.350,26.380,23898016.0,904600
2025-6-30,11:20,26.380,26.390,26.300,26.320,11437930.0,434100
2025-6-30,11:25,26.320,26.530,26.270,26.530,28515378.0,1078800
2025-6-30,11:30,26.540,26.700,26.420,26.670,69701848.0,2621500
2025-6-30,13:05,26.720,26.760,26.430,26.430,49244844.0,1850600
2025-6-30,13:10,26.420,26.600,26.420,26.570,23155800.0,873400
2025-6-30,13:15,26.580,26.720,26.580,26.690,35163196.0,1318300
2025-6-30,13:20,26.700,26.700,26.600,26.650,19983110.0,749400
2025-6-30,13:25,26.640,26.750,26.510,26.740,28131878.0,1056100
2025-6-30,13:30,26.730,26.730,26.540,26.560,12225646.0,459300
2025-6-30,13:35,26.550,26.590,26.500,26.500,19699028.0,742200
2025-6-30,13:40,26.490,26.500,26.410,26.490,19485898.0,736700
2025-6-30,13:45,26.500,26.500,26.300,26.360,30176280.0,1143900
2025-6-30,13:50,26.400,26.500,26.400,26.440,16554061.0,625700
2025-6-30,13:55,26.400,26.450,26.330,26.400,15988344.0,605600
2025-6-30,14:00,26.390,26.500,26.380,26.490,15379885.0,581400
2025-6-30,14:05,26.490,26.510,26.420,26.430,12455993.0,470400
2025-6-30,14:10,26.430,26.500,26.420,26.470,7197128.0,271900
2025-6-30,14:15,26.480,26.490,26.420,26.420,10296180.0,389100
2025-6-30,14:20,26.420,26.460,26.360,26.440,18331272.0,693800
2025-6-30,14:25,26.460,26.520,26.430,26.450,11907899.0,449500
2025-6-30,14:30,26.440,26.520,26.400,26.510,13109995.0,495300
2025-6-30,14:35,26.510,26.510,26.440,26.500,18866104.0,712200
2025-6-30,14:40,26.490,26.510,26.420,26.480,22408068.0,846500
2025-6-30,14:45,26.470,26.500,26.470,26.470,23115252.0,872700
2025-6-30,14:50,26.490,26.490,26.450,26.470,33974752.0,1283300
2025-6-30,14:55,26.470,26.500,26.470,26.490,38435700.0,1451000
2025-6-30,15:00,26.490,26.500,26.480,26.500,40977512.0,1546600
2025-7-1,09:35,26.200,26.490,26.150,26.150,93791248.0,3571600
2025-7-1,09:40,26.170,26.300,26.010,26.060,68304848.0,2610100
2025-7-1,09:45,26.100,26.130,26.020,26.060,72634584.0,2788100
2025-7-1,09:50,26.060,26.130,26.010,26.050,39996868.0,1534900
2025-7-1,09:55,26.050,26.180,26.000,26.180,47853128.0,1838400
2025-7-1,10:00,26.190,26.300,26.150,26.150,31168278.0,1188100
2025-7-1,10:05,26.150,26.150,26.040,26.050,16270056.0,623700
2025-7-1,10:10,26.050,26.060,25.910,25.990,46974476.0,1807400
2025-7-1,10:15,26.000,26.020,25.940,25.940,30257452.0,1164800
2025-7-1,10:20,25.940,25.970,25.910,25.970,24216412.0,933800
2025-7-1,10:25,25.960,26.030,25.950,26.020,14075088.0,541600
2025-7-1,10:30,26.010,26.030,25.960,25.990,25529110.0,982100
2025-7-1,10:35,25.990,26.170,25.950,26.040,26262334.0,1008700
2025-7-1,10:40,26.040,26.230,26.030,26.140,23197552.0,886600
2025-7-1,10:45,26.120,26.370,26.100,26.320,20166446.0,769400
2025-7-1,10:50,26.320,26.350,26.160,26.170,16872860.0,642400
2025-7-1,10:55,26.160,26.160,26.040,26.120,10086098.0,386300
2025-7-1,11:00,26.130,26.130,26.050,26.080,11797323.0,452200
2025-7-1,11:05,26.070,26.080,26.040,26.080,7510246.0,288200
2025-7-1,11:10,26.080,26.080,25.980,25.990,13053692.0,501600
2025-7-1,11:15,25.990,26.030,25.850,25.870,33600296.0,1296100
2025-7-1,11:20,25.860,26.040,25.840,25.990,21029840.0,811300
2025-7-1,11:25,25.990,26.040,25.980,26.010,7468775.0,287200
2025-7-1,11:30,26.010,26.060,25.960,26.050,11520014.0,442800
2025-7-1,13:05,26.100,26.180,25.990,26.120,10345972.0,396600
