日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-6-30,09:35,29.990,30.560,29.940,30.080,121847424.0,4035300
2025-6-30,09:40,30.080,30.220,29.850,29.850,52852224.0,1757900
2025-6-30,09:45,29.860,30.240,29.850,30.130,38349844.0,1275100
2025-6-30,09:50,30.180,30.200,30.000,30.160,25056508.0,831700
2025-6-30,09:55,30.160,30.290,30.120,30.290,33985136.0,1124200
2025-6-30,10:00,30.280,30.410,30.230,30.370,30895126.0,1018800
2025-6-30,10:05,30.360,30.360,30.170,30.220,25032304.0,828100
2025-6-30,10:10,30.200,30.220,30.130,30.130,16634583.0,551000
2025-6-30,10:15,30.120,30.430,30.020,30.360,28830942.0,951200
2025-6-30,10:20,30.350,30.390,30.270,30.320,14181517.0,467400
2025-6-30,10:25,30.320,30.390,30.220,30.390,18078388.0,596400
2025-6-30,10:30,30.400,30.400,30.210,30.210,22215948.0,732600
2025-6-30,10:35,30.200,30.230,30.150,30.170,11807393.0,391200
2025-6-30,10:40,30.150,30.180,29.930,30.000,32250504.0,1074000
2025-6-30,10:45,30.010,30.270,29.980,30.270,11673562.0,387700
2025-6-30,10:50,30.260,30.290,30.100,30.100,6877591.0,227700
2025-6-30,10:55,30.110,30.230,30.040,30.040,7783117.5,258100
2025-6-30,11:00,30.040,30.180,30.040,30.100,9493730.0,315500
2025-6-30,11:05,30.070,30.110,29.970,29.990,11251314.0,374900
2025-6-30,11:10,30.000,30.030,29.970,29.970,9398324.0,313300
2025-6-30,11:15,29.960,30.020,29.960,30.000,6085294.0,203000
2025-6-30,11:20,30.010,30.070,29.920,30.000,13388928.0,446600
2025-6-30,11:25,29.970,30.050,29.950,30.010,4191454.5,139800
2025-6-30,11:30,30.040,30.150,30.000,30.150,5803687.0,192800
2025-6-30,13:05,30.140,30.140,30.010,30.060,4816829.5,160200
2025-6-30,13:10,30.100,30.140,30.060,30.120,3551598.0,118000
2025-6-30,13:15,30.120,30.310,30.120,30.170,23997364.0,793300
2025-6-30,13:20,30.150,30.150,30.040,30.060,8876944.0,295200
2025-6-30,13:25,30.060,30.100,30.000,30.000,11884481.0,395600
2025-6-30,13:30,30.010,30.050,29.980,29.990,8439623.0,281200
2025-6-30,13:35,29.980,29.990,29.910,29.920,11331338.0,378400
2025-6-30,13:40,29.920,29.940,29.850,29.860,16307615.0,545400
2025-6-30,13:45,29.850,29.860,29.620,29.700,30581980.0,1027400
2025-6-30,13:50,29.690,29.800,29.630,29.630,24810926.0,835300
2025-6-30,13:55,29.640,29.850,29.600,29.840,23120070.0,778500
2025-6-30,14:00,29.830,29.850,29.720,29.750,8060213.0,270900
2025-6-30,14:05,29.770,29.870,29.770,29.870,10177786.0,341400
2025-6-30,14:10,29.860,29.890,29.830,29.840,8071969.0,270200
2025-6-30,14:15,29.830,29.860,29.800,29.820,9427194.0,316100
2025-6-30,14:20,29.820,29.820,29.720,29.730,11913349.0,400400
2025-6-30,14:25,29.730,29.760,29.710,29.740,9503530.0,319600
2025-6-30,14:30,29.740,29.780,29.710,29.780,22891352.0,770100
2025-6-30,14:35,29.780,29.780,29.750,29.760,6122481.5,205700
2025-6-30,14:40,29.750,29.770,29.700,29.720,14984219.0,504000
2025-6-30,14:45,29.750,29.760,29.700,29.700,17587000.0,591600
2025-6-30,14:50,29.700,29.770,29.700,29.770,27914684.0,939200
2025-6-30,14:55,29.740,29.770,29.700,29.710,18618580.0,626200
2025-6-30,15:00,29.720,29.720,29.700,29.710,25218824.0,848900
2025-7-1,09:35,29.730,30.140,29.660,30.050,55216556.0,1842900
2025-7-1,09:40,30.030,30.030,29.610,29.610,29811812.0,1000500
2025-7-1,09:45,29.610,29.690,29.500,29.670,24990424.0,845100
2025-7-1,09:50,29.700,29.930,29.660,29.660,17627746.0,591200
2025-7-1,09:55,29.660,30.070,29.650,29.940,41948868.0,1401800
2025-7-1,10:00,29.940,30.010,29.930,30.000,20846992.0,695200
2025-7-1,10:05,29.990,30.000,29.770,29.820,19003872.0,636800
2025-7-1,10:10,29.830,29.970,29.760,29.870,9649554.0,323100
2025-7-1,10:15,29.890,29.950,29.850,29.860,8310568.0,277900
2025-7-1,10:20,29.860,29.870,29.700,29.790,10789423.0,362500
2025-7-1,10:25,29.780,29.950,29.720,29.930,11908690.0,399300
2025-7-1,10:30,29.910,29.970,29.850,29.850,7408672.5,247600
2025-7-1,10:35,29.850,29.870,29.800,29.800,3447471.0,115600
2025-7-1,10:40,29.810,29.810,29.710,29.720,6946269.5,233500
2025-7-1,10:45,29.710,29.720,29.600,29.600,11659131.0,393200
2025-7-1,10:50,29.600,29.670,29.540,29.670,16749318.0,566200
2025-7-1,10:55,29.670,29.680,29.600,29.600,6573066.0,221800
2025-7-1,11:00,29.650,29.760,29.600,29.720,8466574.0,285400
2025-7-1,11:05,29.710,29.720,29.610,29.680,4913583.0,165600
2025-7-1,11:10,29.680,29.680,29.600,29.610,3341092.0,112800
2025-7-1,11:15,29.620,29.620,29.480,29.480,22551710.0,763600
2025-7-1,11:20,29.480,29.480,29.400,29.480,15162035.0,515100
2025-7-1,11:25,29.470,29.550,29.430,29.550,5889122.0,199800
2025-7-1,11:30,29.550,29.550,29.480,29.540,3351827.75,113500
2025-7-1,13:05,29.560,29.700,29.530,29.590,5826872.0,196800
2025-7-1,13:10,29.600,29.640,29.580,29.630,2732947.5,92300
2025-7-1,13:15,29.630,29.730,29.630,29.700,5806786.0,195600
2025-7-1,13:20,29.690,29.720,29.660,29.710,5252643.0,176800
2025-7-1,13:25,29.710,29.800,29.700,29.740,5850471.5,196600
2025-7-1,13:30,29.730,29.820,29.730,29.810,8075406.0,271300
2025-7-1,13:35,29.770,29.810,29.650,29.650,6631288.5,223000
2025-7-1,13:40,29.660,29.710,29.620,29.620,5503840.0,185500
2025-7-1,13:45,29.620,29.620,29.570,29.570,6511172.5,220000
2025-7-1,13:50,29.560,29.680,29.540,29.650,5721084.0,193300
2025-7-1,13:55,29.650,29.700,29.600,29.670,4733235.0,159600
