日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,61.930,63.500,61.390,61.780,22150814.0,354900
2025-3-31,09:40,61.780,62.500,61.630,62.450,14009069.0,225200
2025-3-31,09:45,62.410,62.500,62.000,62.070,10225052.0,164100
2025-3-31,09:50,62.110,62.230,61.660,61.660,8069568.0,130100
2025-3-31,09:55,61.630,62.100,61.590,62.060,4335679.0,70100
2025-3-31,10:00,61.990,62.540,61.900,62.490,5008052.0,80500
2025-3-31,10:05,62.490,62.820,62.330,62.650,11620395.0,185800
2025-3-31,10:10,62.630,63.010,62.630,62.730,8725579.0,138900
2025-3-31,10:15,62.640,62.700,62.380,62.510,7263524.0,116200
2025-3-31,10:20,62.500,62.500,62.210,62.240,11945985.0,191600
2025-3-31,10:25,62.250,62.470,62.180,62.300,6220471.0,99900
2025-3-31,10:30,62.300,62.520,62.180,62.180,4241424.0,68000
2025-3-31,10:35,62.180,62.180,61.700,61.810,8864810.0,142900
2025-3-31,10:40,61.830,62.000,61.760,61.760,3342797.0,54000
2025-3-31,10:45,61.720,61.900,61.550,61.570,5382097.0,87300
2025-3-31,10:50,61.560,61.640,61.410,61.520,9475467.0,153900
2025-3-31,10:55,61.570,61.630,61.020,61.170,9397275.0,153200
2025-3-31,11:00,61.170,61.320,61.060,61.090,8558347.0,139900
2025-3-31,11:05,61.140,61.440,61.080,61.440,4192860.0,68500
2025-3-31,11:10,61.430,61.510,61.200,61.210,1901269.0,31000
2025-3-31,11:15,61.210,61.270,61.100,61.260,2752112.0,45000
2025-3-31,11:20,61.210,61.510,61.080,61.410,2897687.0,47300
2025-3-31,11:25,61.510,61.880,60.800,60.840,7427315.0,121600
2025-3-31,11:30,60.920,61.150,60.880,61.060,3296381.0,54000
2025-3-31,13:05,61.050,61.500,60.970,61.430,3419044.0,55800
2025-3-31,13:10,61.390,61.750,61.350,61.740,2048568.0,33300
2025-3-31,13:15,62.000,62.210,61.600,62.070,6816094.0,110100
2025-3-31,13:20,62.010,62.190,61.590,61.670,5617454.0,90800
2025-3-31,13:25,61.620,61.830,61.510,61.760,2269709.0,36800
2025-3-31,13:30,61.760,61.810,61.660,61.740,1321447.0,21400
2025-3-31,13:35,61.730,61.740,61.430,61.500,5279513.0,85700
2025-3-31,13:40,61.500,61.620,61.500,61.550,1882851.0,30600
2025-3-31,13:45,61.550,61.570,61.450,61.490,1790359.0,29100
2025-3-31,13:50,61.510,61.570,61.460,61.550,1273535.0,20700
2025-3-31,13:55,61.550,61.750,61.510,61.660,1922891.0,31200
2025-3-31,14:00,61.670,61.700,61.580,61.620,3446262.0,55900
2025-3-31,14:05,61.620,61.900,61.500,61.870,4389946.0,71200
2025-3-31,14:10,61.860,62.210,61.860,62.210,5741049.0,92500
2025-3-31,14:15,62.190,62.370,62.130,62.370,6730281.0,108100
2025-3-31,14:20,62.370,62.510,62.290,62.290,6043581.0,96800
2025-3-31,14:25,62.290,62.340,62.080,62.160,5003822.0,80400
2025-3-31,14:30,62.150,62.280,62.080,62.200,3154034.0,50700
