日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-6-30,09:35,37.500,37.880,37.300,37.370,239626400.0,6373400
2025-6-30,09:40,37.310,37.490,37.280,37.340,97198736.0,2599500
2025-6-30,09:45,37.340,37.610,37.340,37.420,102967248.0,2748200
2025-6-30,09:50,37.390,37.430,37.180,37.250,130248464.0,3492100
2025-6-30,09:55,37.250,37.310,37.070,37.080,127121136.0,3420300
2025-6-30,10:00,37.100,37.440,37.050,37.280,99922096.0,2683100
2025-6-30,10:05,37.300,37.440,37.110,37.440,85067424.0,2282200
2025-6-30,10:10,37.360,38.180,37.360,38.120,203615296.0,5369000
2025-6-30,10:15,38.090,38.200,37.970,38.100,142768800.0,3750400
2025-6-30,10:20,38.110,38.120,37.650,37.700,112384872.0,2959800
2025-6-30,10:25,37.700,37.800,37.550,37.630,63636048.0,1689300
2025-6-30,10:30,37.650,37.770,37.470,37.480,55013736.0,1463000
2025-6-30,10:35,37.490,37.560,37.400,37.410,41142952.0,1098200
2025-6-30,10:40,37.410,37.410,37.230,37.250,52259468.0,1399600
2025-6-30,10:45,37.250,37.540,37.240,37.490,70929696.0,1898000
2025-6-30,10:50,37.510,37.570,37.400,37.500,42055252.0,1121700
2025-6-30,10:55,37.490,37.580,37.390,37.480,48845864.0,1303600
2025-6-30,11:00,37.500,37.500,37.330,37.330,31627768.0,845700
2025-6-30,11:05,37.330,37.350,37.200,37.210,36725720.0,985300
2025-6-30,11:10,37.210,37.290,37.150,37.220,42520916.0,1142800
2025-6-30,11:15,37.220,37.440,37.220,37.430,19270384.0,516600
2025-6-30,11:20,37.410,37.640,37.400,37.620,33874076.0,901900
2025-6-30,11:25,37.610,37.690,37.570,37.630,25161912.0,668600
2025-6-30,11:30,37.690,37.700,37.560,37.560,16744202.0,444900
2025-6-30,13:05,37.560,37.740,37.540,37.690,41063304.0,1090800
2025-6-30,13:10,37.680,37.840,37.590,37.700,52154392.0,1382700
2025-6-30,13:15,37.710,37.740,37.580,37.590,31065608.0,824700
2025-6-30,13:20,37.580,37.730,37.470,37.710,33373902.0,887800
