日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-6-30,09:35,107.500,109.100,107.400,108.000,8127015.0,753
2025-6-30,09:40,108.100,108.800,107.900,107.900,4373570.0,404
2025-6-30,09:45,108.000,109.500,107.900,109.000,10637591.0,977
2025-6-30,09:50,109.000,109.000,108.500,108.700,2855332.0,262
2025-6-30,09:55,108.700,109.200,108.500,109.100,9245372.0,850
2025-6-30,10:00,109.200,110.700,109.000,110.700,24111288.0,2194
2025-6-30,10:05,110.400,110.700,109.400,109.900,6148628.0,559
2025-6-30,10:10,110.000,111.000,110.000,110.900,16550780.0,1500
2025-6-30,10:15,110.900,112.100,110.800,112.000,21594176.0,1936
2025-6-30,10:20,112.100,113.000,111.900,111.900,21500064.0,1907
2025-6-30,10:25,111.800,112.700,111.600,111.800,18171160.0,1621
2025-6-30,10:30,111.800,111.900,111.100,111.200,4374928.0,392
2025-6-30,10:35,111.200,111.200,110.500,110.500,4440976.0,401
2025-6-30,10:40,110.400,110.700,110.100,110.300,3781264.0,343
2025-6-30,10:45,110.000,110.400,109.800,109.900,6001776.0,545
2025-6-30,10:50,109.800,109.800,108.900,109.000,10378832.0,951
2025-6-30,10:55,108.900,109.000,108.000,108.300,8249344.0,761
2025-6-30,11:00,108.300,108.500,107.600,107.700,9248192.0,855
2025-6-30,11:05,107.700,107.900,107.200,107.300,7560656.0,702
2025-6-30,11:10,107.300,108.000,107.200,108.000,11649504.0,1083
2025-6-30,11:15,108.100,108.200,107.900,108.000,3759248.0,348
2025-6-30,11:20,108.000,108.700,108.000,108.600,6627008.0,612
2025-6-30,11:25,108.600,109.200,108.500,109.100,7438960.0,684
2025-6-30,11:30,109.100,109.100,108.900,108.900,1820176.0,167
2025-6-30,11:35,109.000,109.000,108.500,108.600,3264848.0,300
2025-6-30,11:40,108.600,108.600,108.500,108.600,727584.0,67
2025-6-30,11:45,108.600,109.400,108.400,109.300,12429536.0,1143
2025-6-30,11:50,109.300,109.300,109.200,109.300,1540096.0,141
2025-6-30,11:55,109.200,109.300,109.200,109.300,1278656.0,117
2025-6-30,12:00,109.300,109.500,109.200,109.200,7402896.0,677
2025-6-30,13:05,109.100,109.100,108.300,108.400,3323680.0,306
2025-6-30,13:10,108.400,108.400,108.300,108.400,584976.0,54
2025-6-30,13:15,108.400,108.400,108.000,108.000,1721792.0,159
2025-6-30,13:20,108.300,108.400,107.900,108.400,9873728.0,913
2025-6-30,13:25,108.400,108.400,108.000,108.000,5050720.0,467
2025-6-30,13:30,107.900,108.800,107.800,108.400,13521632.0,1249
2025-6-30,13:35,108.400,108.400,108.200,108.300,682272.0,63
2025-6-30,13:40,108.300,108.600,108.200,108.500,3164672.0,292
2025-6-30,13:45,108.500,108.600,108.400,108.600,2486176.0,229
2025-6-30,13:50,108.600,108.600,108.300,108.500,1225696.0,113
2025-6-30,13:55,108.500,108.700,108.300,108.700,7473184.0,689
2025-6-30,14:00,108.700,108.700,108.600,108.700,1054272.0,97
2025-6-30,14:05,108.700,109.000,108.700,109.000,8185856.0,752
2025-6-30,14:10,109.000,109.000,108.400,108.400,5037344.0,463
2025-6-30,14:15,108.600,108.600,108.200,108.300,3639296.0,336
2025-6-30,14:20,108.400,108.400,108.000,108.000,4708160.0,435
2025-6-30,14:25,108.000,108.200,108.000,108.000,2562048.0,237
2025-6-30,14:30,108.200,108.200,107.900,108.000,7901984.0,731
2025-6-30,14:35,108.100,108.200,107.900,108.100,5015616.0,464
2025-6-30,14:40,108.100,108.100,108.000,108.100,1934528.0,179
2025-6-30,14:45,108.100,108.400,108.000,108.400,8217696.0,760
2025-6-30,14:50,108.400,108.400,108.300,108.400,910368.0,84
2025-6-30,14:55,108.400,108.400,108.300,108.400,2459360.0,227
2025-6-30,15:00,108.400,108.400,108.300,108.400,3077088.0,284
2025-6-30,15:05,108.300,108.400,108.300,108.400,2144864.0,198
2025-6-30,15:10,108.400,108.400,108.200,108.200,2685472.0,248
2025-6-30,15:15,108.300,108.300,108.100,108.100,2758752.0,255
2025-6-30,15:20,108.100,108.300,108.100,108.200,3342208.0,309
2025-6-30,15:25,108.200,108.200,107.700,108.000,13158592.0,1219
2025-6-30,15:30,107.900,108.200,107.800,108.200,6048384.0,560
2025-6-30,15:35,108.200,108.800,108.100,108.800,4882752.0,450
2025-6-30,15:40,108.700,108.900,108.300,108.600,3910208.0,360
2025-6-30,15:45,108.600,109.000,108.600,108.900,3121920.0,287
2025-6-30,15:50,108.700,109.400,108.700,109.300,4648000.0,426
2025-6-30,15:55,109.300,109.400,108.000,108.500,10894112.0,1007
2025-6-30,16:00,108.100,108.600,108.100,108.300,7680352.0,709
2025-7-2,09:35,109.500,111.700,108.300,111.300,23846562.0,2154
2025-7-2,09:40,111.300,111.500,109.800,109.800,6162952.0,557
2025-7-2,09:45,109.900,110.200,109.500,109.900,5417082.0,493
2025-7-2,09:50,109.900,110.800,109.700,110.100,7234480.0,655
2025-7-2,09:55,110.400,110.500,109.800,109.800,3101628.0,282
2025-7-2,10:00,109.700,109.800,109.000,109.300,4825940.0,441
2025-7-2,10:05,109.400,110.200,109.400,110.100,3426300.0,312
2025-7-2,10:10,110.200,110.400,109.400,109.800,3701740.0,337
2025-7-2,10:15,110.000,110.100,109.200,109.400,3756940.0,343
2025-7-2,10:20,109.300,110.100,109.300,109.900,3240652.0,295
2025-7-2,10:25,109.900,110.800,109.700,110.700,4335212.0,393
2025-7-2,10:30,110.700,110.900,110.600,110.600,2104288.0,190
2025-7-2,10:35,110.700,111.000,110.500,110.800,3700512.0,334
2025-7-2,10:40,110.800,110.900,110.400,110.800,2533848.0,229
2025-7-2,10:45,110.900,110.900,110.600,110.600,1616672.0,146
2025-7-2,10:50,110.600,110.800,110.500,110.500,1040160.0,94
2025-7-2,10:55,110.500,110.700,110.500,110.500,2211688.0,200
2025-7-2,11:00,110.600,110.800,110.500,110.700,1117840.0,101
2025-7-2,11:05,110.800,110.900,110.700,110.800,1551568.0,140
2025-7-2,11:10,110.800,111.000,110.800,110.900,2873136.0,259
2025-7-2,11:15,110.900,111.400,110.600,111.100,15608672.0,1405
2025-7-2,11:20,111.100,111.200,110.900,111.100,2143440.0,193
2025-7-2,11:25,111.200,111.500,111.100,111.500,8495560.0,763
2025-7-2,11:30,111.400,112.000,111.300,111.500,17509888.0,1568
2025-7-2,11:35,111.500,111.800,111.400,111.600,2957240.0,265
2025-7-2,11:40,111.500,111.600,111.400,111.400,1416160.0,127
2025-7-2,11:45,111.400,111.500,111.400,111.500,1092048.0,98
2025-7-2,11:50,111.500,111.500,111.400,111.500,1047680.0,94
2025-7-2,11:55,111.400,111.500,111.300,111.400,2272752.0,204
2025-7-2,12:00,111.400,111.400,111.100,111.200,2291200.0,206
2025-7-2,13:05,111.200,111.700,110.800,110.800,4730432.0,425
2025-7-2,13:10,110.900,111.000,110.300,110.800,2921808.0,264
2025-7-2,13:15,110.800,110.800,110.100,110.400,3158512.0,286
2025-7-2,13:20,110.500,110.600,110.100,110.100,2605136.0,236
2025-7-2,13:25,110.200,110.500,110.000,110.300,6863920.0,623
2025-7-2,13:30,110.200,110.300,109.600,109.800,5315568.0,483
2025-7-2,13:35,109.800,109.800,109.200,109.300,2868304.0,262
2025-7-2,13:40,109.400,109.400,109.200,109.400,4516160.0,413
2025-7-2,13:45,109.300,109.400,109.000,109.100,1746960.0,160
2025-7-2,13:50,109.000,109.100,109.000,109.100,3292864.0,302
2025-7-2,13:55,109.000,109.600,109.000,109.600,2848992.0,261
2025-7-2,14:00,109.600,109.800,109.500,109.500,1611264.0,147
2025-7-2,14:05,109.400,109.500,109.200,109.300,722240.0,66
2025-7-2,14:10,109.400,109.400,109.000,109.200,1408144.0,129
2025-7-2,14:15,109.100,109.200,109.000,109.000,1374160.0,126
2025-7-2,14:20,109.000,109.100,108.500,108.600,3175952.0,292
2025-7-2,14:25,108.600,108.700,108.000,108.200,5230224.0,483
2025-7-2,14:30,108.200,108.200,108.100,108.100,1243600.0,115
2025-7-2,14:35,108.100,108.200,107.900,107.900,4786832.0,443
2025-7-2,14:40,107.900,108.000,107.800,107.800,1391872.0,129
2025-7-2,14:45,107.800,107.800,107.600,107.800,2735520.0,254
2025-7-2,14:50,107.800,107.800,107.500,107.500,1410384.0,131
2025-7-2,14:55,107.600,107.600,107.000,107.100,4083088.0,381
2025-7-2,15:00,107.200,107.700,107.000,107.600,3722880.0,347
2025-7-2,15:05,107.500,107.500,106.100,106.100,6650144.0,623
2025-7-2,15:10,106.200,106.200,106.000,106.100,12140144.0,1144
2025-7-2,15:15,106.200,106.300,106.100,106.200,2686800.0,253
2025-7-2,15:20,106.200,106.500,105.500,106.500,14875360.0,1402
2025-7-2,15:25,106.400,106.500,105.900,106.000,2524864.0,238
2025-7-2,15:30,106.000,106.100,105.500,106.000,12896736.0,1219
2025-7-2,15:35,106.100,106.100,105.600,105.700,4385888.0,414
2025-7-2,15:40,105.700,105.700,104.900,105.000,10168768.0,966
2025-7-2,15:45,104.900,105.200,104.900,105.000,4444512.0,423
2025-7-2,15:50,105.000,105.100,104.700,104.700,7454336.0,711
2025-7-2,15:55,104.900,105.000,104.600,104.900,10931744.0,1043
2025-7-2,16:00,104.900,105.800,104.900,105.800,8534112.0,809
2025-7-3,09:35,105.900,106.500,103.100,104.100,11456381.0,1095
2025-7-3,09:40,104.000,104.600,103.600,103.700,5700799.0,548
2025-7-3,09:45,103.600,104.900,103.600,104.700,6040392.0,580
2025-7-3,09:50,104.700,104.700,103.300,104.000,13556000.0,1304
2025-7-3,09:55,104.100,104.300,103.600,103.900,4924788.0,474
2025-7-3,10:00,103.900,104.600,103.800,104.600,3373884.0,324
2025-7-3,10:05,104.600,104.900,104.400,104.500,1748568.0,167
2025-7-3,10:10,104.500,106.300,104.400,105.300,15502100.0,1470
2025-7-3,10:15,105.300,105.300,104.200,104.200,1736800.0,166
2025-7-3,10:20,104.200,104.500,104.000,104.000,4304264.0,413
